ts,open,high,low,close,volume,dt
1637236800000,102.59,104.54,96.76,96.76,7108.77,2021-11-18 12:00:00+00:00
1637251200000,97.5,103.98,92.2,101.96,4177.35,2021-11-18 16:00:00+00:00
1637265600000,101.96,105.0,96.81,101.48,2865.43,2021-11-18 20:00:00+00:00
1637280000000,101.48,102.77,96.07,97.33,1457.8,2021-11-19 00:00:00+00:00
1637294400000,97.33,113.49,97.33,102.32,1673.92,2021-11-19 04:00:00+00:00
1637308800000,102.78,107.71,102.6,107.53,2215.08,2021-11-19 08:00:00+00:00
1637323200000,107.61,111.64,107.49,108.87,4200.41,2021-11-19 12:00:00+00:00
1637337600000,108.73,110.49,106.8,109.35,2766.94,2021-11-19 16:00:00+00:00
1637352000000,108.9,112.24,106.78,112.24,2159.54,2021-11-19 20:00:00+00:00
1637366400000,112.05,119.89,111.56,117.52,4642.33,2021-11-20 00:00:00+00:00
1637380800000,117.71,121.4,116.09,119.11,3947.76,2021-11-20 04:00:00+00:00
1637395200000,119.51,119.85,114.52,116.59,1671.5,2021-11-20 08:00:00+00:00
1637409600000,117.25,122.4,116.56,117.8,4433.99,2021-11-20 12:00:00+00:00
1637424000000,117.43,129.78,117.43,128.73,9341.51,2021-11-20 16:00:00+00:00
1637438400000,129.39,130.8,125.02,125.5,9591.73,2021-11-20 20:00:00+00:00
1637452800000,125.98,133.64,123.24,132.06,5562.66,2021-11-21 00:00:00+00:00
1637467200000,131.92,138.13,130.46,137.62,6513.91,2021-11-21 04:00:00+00:00
1637481600000,137.53,138.88,133.4,137.8,4161.37,2021-11-21 08:00:00+00:00
1637496000000,137.57,147.82,133.55,133.55,14116.52,2021-11-21 12:00:00+00:00
1637510400000,133.76,139.9,125.84,131.39,13857.52,2021-11-21 16:00:00+00:00
1637524800000,131.29,135.51,128.14,128.51,8714.83,2021-11-21 20:00:00+00:00
1637539200000,128.64,137.39,126.12,135.83,12316.47,2021-11-22 00:00:00+00:00
1637553600000,136.06,165.0,129.53,131.97,9236.02,2021-11-22 04:00:00+00:00
1637568000000,132.28,137.56,132.28,134.76,2293.47,2021-11-22 08:00:00+00:00
1637582400000,134.75,139.71,128.81,139.02,4346.58,2021-11-22 12:00:00+00:00
1637596800000,138.98,145.2,135.58,136.07,14194.91,2021-11-22 16:00:00+00:00
1637611200000,135.96,140.81,133.81,134.9,6753.5,2021-11-22 20:00:00+00:00
1637625600000,135.04,139.53,131.76,134.16,6846.43,2021-11-23 00:00:00+00:00
1637640000000,133.92,134.65,129.94,131.37,1261.26,2021-11-23 04:00:00+00:00
1637654400000,131.67,132.07,126.67,128.46,1815.62,2021-11-23 08:00:00+00:00
1637668800000,128.51,132.59,124.52,129.71,5584.36,2021-11-23 12:00:00+00:00
1637683200000,129.69,131.63,127.84,130.08,4112.18,2021-11-23 16:00:00+00:00
1637697600000,130.4,131.09,122.06,123.72,6384.65,2021-11-23 20:00:00+00:00
1637712000000,123.71,125.73,119.13,120.0,3370.36,2021-11-24 00:00:00+00:00
1637726400000,120.41,123.05,118.24,119.44,3520.32,2021-11-24 04:00:00+00:00
1637740800000,119.2,120.89,116.05,118.33,1969.79,2021-11-24 08:00:00+00:00
1637755200000,118.03,119.8,112.61,116.92,6604.32,2021-11-24 12:00:00+00:00
1637769600000,117.48,118.65,113.13,115.29,4270.43,2021-11-24 16:00:00+00:00
1637784000000,114.75,120.17,114.2,115.16,6172.98,2021-11-24 20:00:00+00:00
1637798400000,115.19,126.88,114.33,125.72,10697.56,2021-11-25 00:00:00+00:00
1637812800000,125.66,125.66,119.39,122.23,4282.49,2021-11-25 04:00:00+00:00
1637827200000,122.19,129.5,120.6,127.27,5958.47,2021-11-25 08:00:00+00:00
1637841600000,127.27,130.0,124.49,126.36,4278.63,2021-11-25 12:00:00+00:00
1637856000000,126.17,126.17,119.49,121.1,3670.11,2021-11-25 16:00:00+00:00
1637870400000,121.06,121.45,118.12,119.39,1539.58,2021-11-25 20:00:00+00:00
1637884800000,119.38,119.74,114.97,115.41,2783.31,2021-11-26 00:00:00+00:00
1637899200000,115.47,117.03,111.2,112.48,1928.47,2021-11-26 04:00:00+00:00
1637913600000,111.94,111.94,102.54,102.54,8756.91,2021-11-26 08:00:00+00:00
1637928000000,103.29,112.38,101.36,109.39,6971.66,2021-11-26 12:00:00+00:00
1637942400000,109.39,111.42,107.69,109.69,5690.38,2021-11-26 16:00:00+00:00
1637956800000,109.57,111.1,103.6,104.41,2746.22,2021-11-26 20:00:00+00:00
1637971200000,104.36,108.64,103.34,107.82,3003.74,2021-11-27 00:00:00+00:00
1637985600000,107.78,110.08,105.68,106.65,1296.85,2021-11-27 04:00:00+00:00
1638000000000,106.62,109.82,106.27,107.96,1853.69,2021-11-27 08:00:00+00:00
1638014400000,108.59,109.63,107.73,109.27,1392.06,2021-11-27 12:00:00+00:00
