ts,open,high,low,close,volume,dt
1609459200000,340.87,355.09,336.0,351.45,335.45123,2021-01-01 00:00:00+00:00
1609473600000,351.1,352.35,344.82,345.87,144.80079,2021-01-01 04:00:00+00:00
1609488000000,346.88,350.08,339.85,347.99,245.12105,2021-01-01 08:00:00+00:00
1609502400000,347.46,352.22,343.78,345.54,164.3412,2021-01-01 12:00:00+00:00
1609516800000,346.64,346.98,331.5,337.82,350.4876,2021-01-01 16:00:00+00:00
1609531200000,336.82,343.34,336.82,341.28,118.14187,2021-01-01 20:00:00+00:00
1609545600000,340.08,344.72,333.37,339.49,170.82281,2021-01-02 00:00:00+00:00
1609560000000,339.18,345.13,338.1,343.17,82.06006,2021-01-02 04:00:00+00:00
1609574400000,343.31,352.34,337.95,342.94,269.30138,2021-01-02 08:00:00+00:00
1609588800000,344.19,356.01,342.72,352.94,349.82564,2021-01-02 12:00:00+00:00
1609603200000,354.48,367.1,352.74,361.62,307.36816,2021-01-02 16:00:00+00:00
1609617600000,361.62,361.62,345.77,353.76,186.47235,2021-01-02 20:00:00+00:00
1609632000000,354.57,367.45,354.57,355.83,195.34491,2021-01-03 00:00:00+00:00
1609646400000,356.33,368.7,354.23,363.12,236.39097,2021-01-03 04:00:00+00:00
1609660800000,363.34,396.17,359.85,389.6,928.04773,2021-01-03 08:00:00+00:00
1609675200000,389.76,407.78,383.07,397.84,748.52445,2021-01-03 12:00:00+00:00
1609689600000,398.25,416.27,392.67,396.19,833.88645,2021-01-03 16:00:00+00:00
1609704000000,397.86,433.62,397.86,422.97,287.06041,2021-01-03 20:00:00+00:00
1609718400000,424.44,434.17,408.09,433.3,330.71307,2021-01-04 00:00:00+00:00
1609732800000,434.25,464.34,419.48,428.02,714.07357,2021-01-04 04:00:00+00:00
1609747200000,428.88,434.88,379.99,403.98,541.4828,2021-01-04 08:00:00+00:00
1609761600000,404.24,413.04,396.88,403.51,297.85991,2021-01-04 12:00:00+00:00
1609776000000,404.8,405.02,389.79,401.99,255.42278,2021-01-04 16:00:00+00:00
1609790400000,403.01,409.56,394.2,404.44,130.77135,2021-01-04 20:00:00+00:00
1609804800000,407.31,425.0,395.66,396.79,327.99517,2021-01-05 00:00:00+00:00
1609819200000,397.22,403.32,389.71,396.91,242.96991,2021-01-05 04:00:00+00:00
1609833600000,398.99,416.85,397.23,414.44,149.53168,2021-01-05 08:00:00+00:00
1609848000000,414.26,414.26,399.9,409.03,409.25219,2021-01-05 12:00:00+00:00
1609862400000,408.68,418.79,402.29,414.49,216.42877,2021-01-05 16:00:00+00:00
1609876800000,414.28,422.62,412.16,418.34,70.44635,2021-01-05 20:00:00+00:00
1609891200000,419.99,423.73,410.95,413.32,91.05403,2021-01-06 00:00:00+00:00
1609905600000,415.52,433.94,414.99,422.2,248.78047,2021-01-06 04:00:00+00:00
1609920000000,423.36,440.6,419.99,438.97,150.05856,2021-01-06 08:00:00+00:00
1609934400000,440.64,441.86,427.8,434.75,199.53904,2021-01-06 12:00:00+00:00
1609948800000,436.55,459.51,436.2,436.86,285.32191,2021-01-06 16:00:00+00:00
1609963200000,438.08,455.91,430.56,453.0,123.6057,2021-01-06 20:00:00+00:00
1609977600000,454.82,465.74,448.2,459.99,167.45632,2021-01-07 00:00:00+00:00
1609992000000,459.18,459.18,440.19,442.97,125.94916,2021-01-07 04:00:00+00:00
1610006400000,443.45,451.02,433.33,449.1,192.57299,2021-01-07 08:00:00+00:00
1610020800000,449.4,457.43,444.3,454.49,218.34325,2021-01-07 12:00:00+00:00
1610035200000,455.45,484.37,422.44,452.71,541.55791,2021-01-07 16:00:00+00:00
