ts,open,high,low,close,volume,dt
1609459200000,37.3526,38.0825,37.0332,37.8867,1831.3,2021-01-01 00:00:00+00:00
1609473600000,37.9469,38.006,37.372,37.6168,808.95,2021-01-01 04:00:00+00:00
1609488000000,37.5659,38.9579,37.3701,38.3928,2288.17,2021-01-01 08:00:00+00:00
1609502400000,38.4185,38.8468,37.9397,38.1434,1047.64,2021-01-01 12:00:00+00:00
1609516800000,38.2943,38.2943,37.0491,37.4305,2800.17,2021-01-01 16:00:00+00:00
1609531200000,37.3693,37.9304,37.11,37.6696,1312.1,2021-01-01 20:00:00+00:00
1609545600000,37.6819,37.6819,36.7881,37.5223,1087.36,2021-01-02 00:00:00+00:00
1609560000000,37.584,37.732,37.3924,37.4763,1193.73,2021-01-02 04:00:00+00:00
1609574400000,37.236,37.4739,37.0,37.272,413.33,2021-01-02 08:00:00+00:00
1609588800000,37.2178,38.244,36.9318,37.9562,4310.38,2021-01-02 12:00:00+00:00
1609603200000,38.1063,38.8231,37.8836,38.0,4152.54,2021-01-02 16:00:00+00:00
1609617600000,38.0,38.334,37.1845,38.2207,2181.4,2021-01-02 20:00:00+00:00
1609632000000,38.2413,38.3627,37.879,38.0021,2432.08,2021-01-03 00:00:00+00:00
1609646400000,37.9451,38.2055,37.8,38.0467,4383.43,2021-01-03 04:00:00+00:00
1609660800000,38.0693,39.8438,38.0642,39.8438,3037.34,2021-01-03 08:00:00+00:00
1609675200000,39.8732,41.48,39.5025,40.2863,15940.65,2021-01-03 12:00:00+00:00
1609689600000,40.3355,41.6254,40.1367,40.27,5682.15,2021-01-03 16:00:00+00:00
1609704000000,40.3665,41.6666,40.3665,41.1282,3305.92,2021-01-03 20:00:00+00:00
1609718400000,41.2774,42.2248,41.1564,41.2815,5875.07,2021-01-04 00:00:00+00:00
1609732800000,41.1987,43.2137,40.4426,40.7717,7350.81,2021-01-04 04:00:00+00:00
1609747200000,40.8704,41.1717,38.0204,39.1666,14518.98,2021-01-04 08:00:00+00:00
1609761600000,39.1483,40.1473,38.8493,39.8236,4041.27,2021-01-04 12:00:00+00:00
1609776000000,39.9104,40.0586,38.85,39.9163,3126.22,2021-01-04 16:00:00+00:00
1609790400000,39.9644,41.3594,39.3297,41.0884,3438.72,2021-01-04 20:00:00+00:00
1609804800000,41.1443,41.2962,39.6467,39.8358,4675.98,2021-01-05 00:00:00+00:00
1609819200000,39.8671,40.1613,38.8475,39.6501,4428.0,2021-01-05 04:00:00+00:00
1609833600000,39.8366,40.6348,39.6873,40.6348,1905.27,2021-01-05 08:00:00+00:00
1609848000000,40.6657,40.6657,39.5488,40.0613,1079.9,2021-01-05 12:00:00+00:00
1609862400000,40.2,40.4652,39.8,40.3438,2242.09,2021-01-05 16:00:00+00:00
1609876800000,40.3519,41.8,40.0852,41.8,5483.81,2021-01-05 20:00:00+00:00
1609891200000,41.8537,41.8679,40.45,40.8274,3370.21,2021-01-06 00:00:00+00:00
1609905600000,40.7849,41.4,40.5969,40.6932,3265.03,2021-01-06 04:00:00+00:00
1609920000000,40.9444,41.7814,40.5799,41.4999,1492.37,2021-01-06 08:00:00+00:00
1609934400000,41.4919,42.1564,41.1666,41.4104,4259.33,2021-01-06 12:00:00+00:00
1609948800000,41.6865,42.1098,41.1176,41.1176,4336.76,2021-01-06 16:00:00+00:00
1609963200000,41.1436,42.2031,40.9011,42.2031,3446.01,2021-01-06 20:00:00+00:00
1609977600000,42.2709,42.3852,41.4,42.0821,5131.52,2021-01-07 00:00:00+00:00
1609992000000,42.0663,44.2719,41.647,43.0063,7718.7,2021-01-07 04:00:00+00:00
1610006400000,43.1511,44.2967,42.1404,43.8813,6286.06,2021-01-07 08:00:00+00:00
1610020800000,43.9335,44.3901,43.5882,44.3413,1746.77,2021-01-07 12:00:00+00:00
1610035200000,44.4376,44.5296,41.1,43.2203,8966.67,2021-01-07 16:00:00+00:00
1610049600000,43.4416,43.8073,42.7239,43.5427,1982.63,2021-01-07 20:00:00+00:00
1610064000000,43.5427,43.6456,40.248,41.5356,5826.9,2021-01-08 00:00:00+00:00
1610078400000,41.4647,42.5211,41.135,42.5211,1990.6,2021-01-08 04:00:00+00:00
1610092800000,42.5217,43.4318,42.1874,43.1331,2849.62,2021-01-08 08:00:00+00:00
1610107200000,43.0667,43.0852,41.8,42.3734,2196.76,2021-01-08 12:00:00+00:00
1610121600000,42.4394,42.7383,41.6247,42.0099,2320.08,2021-01-08 16:00:00+00:00
1610136000000,41.773,42.4326,40.9687,42.4121,2128.33,2021-01-08 20:00:00+00:00
1610150400000,42.3943,43.0843,41.9866,42.7732,4102.74,2021-01-09 00:00:00+00:00
1610164800000,42.7239,42.8227,41.5875,41.7452,1392.55,2021-01-09 04:00:00+00:00
1610179200000,41.8005,42.9848,41.6615,42.748,1372.95,2021-01-09 08:00:00+00:00
