ts,open,high,low,close,volume,dt
1609459200000,149.13,154.77,146.97,154.44,140.33729,2021-01-01 00:00:00+00:00
1609473600000,154.88,154.88,140.78,143.75,1244.96041,2021-01-01 04:00:00+00:00
1609488000000,143.42,144.9,142.15,144.69,29.58808,2021-01-01 08:00:00+00:00
1609502400000,143.92,147.09,142.25,142.72,418.96677,2021-01-01 12:00:00+00:00
1609516800000,143.42,144.83,139.9,143.31,259.83782,2021-01-01 16:00:00+00:00
1609531200000,144.18,145.75,142.55,145.53,187.99605,2021-01-01 20:00:00+00:00
1609545600000,145.9,146.93,141.5,145.69,247.95399,2021-01-02 00:00:00+00:00
1609560000000,145.45,147.61,144.9,145.12,182.17025,2021-01-02 04:00:00+00:00
1609574400000,145.4,145.9,141.09,142.33,196.01045,2021-01-02 08:00:00+00:00
1609588800000,142.19,144.9,140.87,141.64,263.23812,2021-01-02 12:00:00+00:00
1609603200000,141.03,143.42,140.2,143.42,221.62104,2021-01-02 16:00:00+00:00
1609617600000,142.7,143.42,134.59,136.61,352.39574,2021-01-02 20:00:00+00:00
1609632000000,136.34,138.47,135.97,137.98,121.51057,2021-01-03 00:00:00+00:00
1609646400000,137.71,138.32,133.08,137.17,311.85017,2021-01-03 04:00:00+00:00
1609660800000,137.33,143.09,136.75,142.11,274.3076,2021-01-03 08:00:00+00:00
1609675200000,141.91,148.85,141.5,146.71,494.85769,2021-01-03 12:00:00+00:00
1609689600000,147.0,151.28,143.82,144.62,352.97601,2021-01-03 16:00:00+00:00
1609704000000,145.27,151.32,145.27,147.05,296.22665,2021-01-03 20:00:00+00:00
1609718400000,147.06,157.67,147.06,156.91,323.08251,2021-01-04 00:00:00+00:00
1609732800000,156.74,161.74,146.68,148.15,433.01987,2021-01-04 04:00:00+00:00
1609747200000,148.43,151.23,137.81,144.18,379.94715,2021-01-04 08:00:00+00:00
1609761600000,144.34,149.59,142.24,147.5,296.9003,2021-01-04 12:00:00+00:00
1609776000000,148.37,148.37,142.9,146.71,269.65085,2021-01-04 16:00:00+00:00
1609790400000,147.11,151.12,144.83,149.82,206.48028,2021-01-04 20:00:00+00:00
1609804800000,151.55,159.53,150.52,151.09,728.27878,2021-01-05 00:00:00+00:00
1609819200000,150.71,153.33,147.29,149.1,219.7011,2021-01-05 04:00:00+00:00
1609833600000,150.66,157.04,150.66,156.79,374.75425,2021-01-05 08:00:00+00:00
1609848000000,157.04,160.99,153.33,160.27,221.85191,2021-01-05 12:00:00+00:00
1609862400000,161.27,165.58,158.0,159.43,558.91197,2021-01-05 16:00:00+00:00
1609876800000,159.46,165.26,158.33,161.85,151.30726,2021-01-05 20:00:00+00:00
1609891200000,162.5,165.42,159.8,161.88,230.31561,2021-01-06 00:00:00+00:00
1609905600000,163.09,168.94,162.79,167.86,181.64231,2021-01-06 04:00:00+00:00
1609920000000,168.84,170.74,165.26,170.58,247.08801,2021-01-06 08:00:00+00:00
1609934400000,170.21,172.55,164.45,168.87,164.44975,2021-01-06 12:00:00+00:00
1609948800000,169.23,186.15,168.84,178.24,827.504,2021-01-06 16:00:00+00:00
1609963200000,179.15,184.68,168.25,184.37,549.14592,2021-01-06 20:00:00+00:00
1609977600000,184.68,191.43,177.18,179.01,400.04069,2021-01-07 00:00:00+00:00
1609992000000,178.23,179.84,170.49,171.11,189.08227,2021-01-07 04:00:00+00:00
1610006400000,172.19,175.94,166.25,173.84,293.37815,2021-01-07 08:00:00+00:00
1610020800000,173.73,188.62,172.06,188.62,482.30031,2021-01-07 12:00:00+00:00
1610035200000,188.63,190.45,169.91,179.27,808.025,2021-01-07 16:00:00+00:00
1610049600000,179.09,181.78,170.55,172.45,433.54521,2021-01-07 20:00:00+00:00
1610064000000,173.65,174.79,153.48,159.98,753.68184,2021-01-08 00:00:00+00:00
1610078400000,158.79,168.08,157.5,168.08,350.06903,2021-01-08 04:00:00+00:00
1610092800000,166.24,175.31,166.23,173.81,479.95564,2021-01-08 08:00:00+00:00
1610107200000,174.04,181.65,167.22,170.47,499.9072,2021-01-08 12:00:00+00:00
1610121600000,172.5,175.0,161.75,161.75,495.04356,2021-01-08 16:00:00+00:00
1610136000000,161.74,166.09,156.24,165.52,222.72446,2021-01-08 20:00:00+00:00
1610150400000,166.19,169.8,161.62,169.29,234.02276,2021-01-09 00:00:00+00:00
1610164800000,169.74,170.0,162.91,166.74,193.63215,2021-01-09 04:00:00+00:00
1610179200000,167.14,172.95,165.61,172.25,181.65825,2021-01-09 08:00:00+00:00
1610193600000,172.5,174.85,170.97,173.96,107.80845,2021-01-09 12:00:00+00:00
1610208000000,173.88,183.65,173.88,180.89,373.09924,2021-01-09 16:00:00+00:00
1610222400000,180.81,186.14,178.57,180.17,296.53905,2021-01-09 20:00:00+00:00
1610236800000,181.32,194.65,181.32,188.38,236.77297,2021-01-10 00:00:00+00:00
1610251200000,190.21,209.05,190.21,202.11,437.59834,2021-01-10 04:00:00+00:00
