ts,open,high,low,close,volume,dt
1632398400000,2.41,2.538,2.396,2.508,5636.9,2021-09-23 12:00:00+00:00
1632412800000,2.539,2.721,2.537,2.702,28871.1,2021-09-23 16:00:00+00:00
1632427200000,2.717,2.995,2.674,2.799,179750.7,2021-09-23 20:00:00+00:00
1632441600000,2.8,2.859,2.649,2.649,75114.0,2021-09-24 00:00:00+00:00
1632456000000,2.656,2.7,2.597,2.677,17739.1,2021-09-24 04:00:00+00:00
1632470400000,2.676,2.734,2.293,2.384,23983.9,2021-09-24 08:00:00+00:00
1632484800000,2.339,2.441,2.296,2.358,5897.1,2021-09-24 12:00:00+00:00
1632499200000,2.385,2.408,2.34,2.375,21166.6,2021-09-24 16:00:00+00:00
1632513600000,2.408,2.48,2.407,2.414,7545.6,2021-09-24 20:00:00+00:00
1632528000000,2.404,2.466,2.376,2.411,8518.9,2021-09-25 00:00:00+00:00
1632542400000,2.416,2.429,2.342,2.355,11674.5,2021-09-25 04:00:00+00:00
1632556800000,2.355,2.393,2.286,2.393,1361.4,2021-09-25 08:00:00+00:00
1632571200000,2.354,2.378,2.309,2.346,27398.5,2021-09-25 12:00:00+00:00
1632585600000,2.315,2.338,2.295,2.333,3408.4,2021-09-25 16:00:00+00:00
1632600000000,2.33,2.33,2.281,2.317,326.1,2021-09-25 20:00:00+00:00
1632614400000,2.28,2.28,2.199,2.239,675.1,2021-09-26 00:00:00+00:00
1632628800000,2.251,2.251,2.09,2.09,4979.7,2021-09-26 04:00:00+00:00
1632643200000,2.09,2.477,2.089,2.367,7903.0,2021-09-26 08:00:00+00:00
1632657600000,2.37,2.464,2.37,2.464,33004.6,2021-09-26 12:00:00+00:00
1632672000000,2.464,2.468,2.383,2.45,6344.8,2021-09-26 16:00:00+00:00
1632686400000,2.469,2.602,2.449,2.568,15935.5,2021-09-26 20:00:00+00:00
1632700800000,2.536,2.692,2.536,2.668,15205.1,2021-09-27 00:00:00+00:00
1632715200000,2.659,2.683,2.535,2.601,7208.2,2021-09-27 04:00:00+00:00
1632729600000,2.604,2.748,2.545,2.688,6214.2,2021-09-27 08:00:00+00:00
1632744000000,2.688,2.695,2.535,2.535,2647.6,2021-09-27 12:00:00+00:00
1632758400000,2.535,2.535,2.444,2.446,34617.4,2021-09-27 16:00:00+00:00
1632772800000,2.444,2.447,2.365,2.374,34913.4,2021-09-27 20:00:00+00:00
1632787200000,2.35,2.402,2.346,2.402,2931.0,2021-09-28 00:00:00+00:00
1632801600000,2.414,2.414,2.308,2.308,15721.9,2021-09-28 04:00:00+00:00
1632816000000,2.326,2.399,2.317,2.396,8167.8,2021-09-28 08:00:00+00:00
1632830400000,2.405,2.413,2.291,2.291,13863.5,2021-09-28 12:00:00+00:00
1632844800000,2.291,2.323,2.247,2.263,3310.9,2021-09-28 16:00:00+00:00
