ts,open,high,low,close,volume,dt
1638403200000,36.31,50.0,35.67,35.75,6491.5,2021-12-02 00:00:00+00:00
1638489600000,35.77,36.68,32.97,33.85,6394.03,2021-12-03 00:00:00+00:00
1638576000000,33.68,33.72,25.24,29.23,23802.18,2021-12-04 00:00:00+00:00
1638662400000,29.64,29.75,26.49,28.16,8734.98,2021-12-05 00:00:00+00:00
1638748800000,28.0,28.93,24.88,28.16,35948.5,2021-12-06 00:00:00+00:00
1638835200000,28.28,31.45,27.81,30.54,65205.53,2021-12-07 00:00:00+00:00
1638921600000,30.52,30.58,28.14,29.88,43413.51,2021-12-08 00:00:00+00:00
1639008000000,29.91,30.11,26.86,26.95,35445.29,2021-12-09 00:00:00+00:00
1639094400000,26.96,28.37,25.77,26.44,34332.18,2021-12-10 00:00:00+00:00
1639180800000,26.58,28.17,25.88,27.81,51295.61,2021-12-11 00:00:00+00:00
1639267200000,27.78,30.03,27.25,29.53,19886.01,2021-12-12 00:00:00+00:00
1639353600000,29.6,29.82,25.55,25.94,22856.16,2021-12-13 00:00:00+00:00
1639440000000,25.9,26.67,25.0,26.18,22303.63,2021-12-14 00:00:00+00:00
1639526400000,26.3,28.03,24.29,27.17,49195.15,2021-12-15 00:00:00+00:00
1639612800000,27.34,27.84,25.76,25.95,50393.09,2021-12-16 00:00:00+00:00
1639699200000,26.02,26.21,24.18,24.67,21738.25,2021-12-17 00:00:00+00:00
1639785600000,24.62,25.71,24.21,25.5,36754.96,2021-12-18 00:00:00+00:00
1639872000000,25.38,25.88,24.67,24.77,22119.86,2021-12-19 00:00:00+00:00
1639958400000,24.7,25.0,23.27,24.06,37850.81,2021-12-20 00:00:00+00:00
1640044800000,24.1,25.61,23.74,25.12,45256.89,2021-12-21 00:00:00+00:00
1640131200000,25.18,28.22,24.97,27.16,96196.94,2021-12-22 00:00:00+00:00
1640217600000,27.24,29.78,26.76,29.12,65234.67,2021-12-23 00:00:00+00:00
1640304000000,29.16,29.66,27.85,28.11,56531.65,2021-12-24 00:00:00+00:00
1640390400000,28.1,29.14,27.97,28.8,24862.49,2021-12-25 00:00:00+00:00
1640476800000,28.81,31.71,28.28,31.35,59346.25,2021-12-26 00:00:00+00:00
1640563200000,31.46,32.77,30.87,30.91,51036.48,2021-12-27 00:00:00+00:00
1640649600000,30.91,30.91,27.49,27.77,76254.57,2021-12-28 00:00:00+00:00
1640736000000,27.96,28.95,26.47,26.8,51007.86,2021-12-29 00:00:00+00:00
1640822400000,26.8,28.4,26.19,27.54,23792.61,2021-12-30 00:00:00+00:00
1640908800000,27.65,28.14,26.26,26.64,46736.64,2021-12-31 00:00:00+00:00
1640995200000,26.76,28.62,26.76,28.62,22830.23,2022-01-01 00:00:00+00:00
1641081600000,28.54,30.61,27.84,29.62,73192.54,2022-01-02 00:00:00+00:00
1641168000000,29.73,30.91,28.64,30.07,75253.48,2022-01-03 00:00:00+00:00
1641254400000,30.06,30.58,28.68,28.7,42478.2,2022-01-04 00:00:00+00:00
1641340800000,28.87,30.37,25.08,26.7,69672.42,2022-01-05 00:00:00+00:00
1641427200000,26.68,27.34,25.52,26.77,32986.33,2022-01-06 00:00:00+00:00
1641513600000,26.84,26.84,24.24,24.88,72175.29,2022-01-07 00:00:00+00:00
1641600000000,24.93,25.53,23.16,23.97,42283.98,2022-01-08 00:00:00+00:00
1641686400000,23.94,25.29,23.69,24.69,14328.49,2022-01-09 00:00:00+00:00
1641772800000,24.7,25.2,22.46,23.74,53005.87,2022-01-10 00:00:00+00:00
1641859200000,23.64,26.02,23.5,25.48,22079.45,2022-01-11 00:00:00+00:00
1641945600000,25.62,27.58,25.47,27.33,26783.58,2022-01-12 00:00:00+00:00
1642032000000,27.43,27.67,25.72,25.72,39865.92,2022-01-13 00:00:00+00:00
1642118400000,25.71,27.88,25.57,27.77,53607.73,2022-01-14 00:00:00+00:00
1642204800000,27.78,28.39,26.85,27.62,18790.95,2022-01-15 00:00:00+00:00
1642291200000,27.61,28.47,27.27,27.64,27383.96,2022-01-16 00:00:00+00:00
1642377600000,27.76,27.76,25.12,25.69,42067.9,2022-01-17 00:00:00+00:00
1642464000000,25.74,26.05,24.25,25.1,59550.8,2022-01-18 00:00:00+00:00
1642550400000,25.04,25.29,23.7,24.05,14237.24,2022-01-19 00:00:00+00:00
1642636800000,24.04,25.62,22.85,23.04,52168.19,2022-01-20 00:00:00+00:00
1642723200000,23.04,23.46,19.06,19.71,93917.93,2022-01-21 00:00:00+00:00
1642809600000,19.57,20.23,16.23,18.3,80113.4,2022-01-22 00:00:00+00:00
1642896000000,18.28,19.19,17.75,18.82,24238.83,2022-01-23 00:00:00+00:00
1642982400000,18.73,18.73,15.83,17.99,90461.54,2022-01-24 00:00:00+00:00
1643068800000,17.98,19.04,17.38,18.35,11827.29,2022-01-25 00:00:00+00:00
1643155200000,18.23,20.04,17.55,17.98,56284.51,2022-01-26 00:00:00+00:00
1643241600000,17.97,18.4,17.13,18.07,49187.55,2022-01-27 00:00:00+00:00
1643328000000,18.05,18.49,17.37,18.35,61917.85,2022-01-28 00:00:00+00:00
1643414400000,18.31,19.04,18.09,18.74,36758.47,2022-01-29 00:00:00+00:00
1643500800000,18.63,18.99,17.82,18.17,71176.02,2022-01-30 00:00:00+00:00
1643587200000,18.12,19.61,17.14,19.44,57170.28,2022-01-31 00:00:00+00:00
1643673600000,19.31,20.0,19.17,19.56,60509.55,2022-02-01 00:00:00+00:00
1643760000000,19.56,20.59,18.55,18.83,94850.56,2022-02-02 00:00:00+00:00
1643846400000,18.84,18.94,17.98,18.94,43700.08,2022-02-03 00:00:00+00:00
1643932800000,18.81,20.52,18.72,20.44,38048.78,2022-02-04 00:00:00+00:00
1644019200000,20.36,22.28,20.32,21.33,68356.99,2022-02-05 00:00:00+00:00
1644105600000,21.38,21.94,20.81,21.87,38207.61,2022-02-06 00:00:00+00:00
1644192000000,21.97,22.7,21.41,22.44,47662.3,2022-02-07 00:00:00+00:00
1644278400000,22.44,23.19,21.08,21.64,60600.9,2022-02-08 00:00:00+00:00
1644364800000,21.67,22.23,21.07,21.9,21600.86,2022-02-09 00:00:00+00:00
1644451200000,21.9,22.45,20.49,20.49,94802.61,2022-02-10 00:00:00+00:00
1644537600000,20.48,20.71,18.59,18.97,62399.38,2022-02-11 00:00:00+00:00
1644624000000,18.84,19.42,18.27,18.78,55655.56,2022-02-12 00:00:00+00:00
1644710400000,18.71,19.28,18.39,18.74,32828.66,2022-02-13 00:00:00+00:00
1644796800000,18.77,18.93,18.03,18.73,37127.23,2022-02-14 00:00:00+00:00
1644883200000,18.72,20.33,18.64,20.16,78941.16,2022-02-15 00:00:00+00:00
1644969600000,20.12,20.18,19.06,19.75,26472.63,2022-02-16 00:00:00+00:00
1645056000000,19.79,20.0,17.82,18.16,145174.42,2022-02-17 00:00:00+00:00
1645142400000,18.04,18.59,17.64,17.84,54810.66,2022-02-18 00:00:00+00:00
1645228800000,17.76,18.21,17.35,17.92,35340.89,2022-02-19 00:00:00+00:00
1645315200000,17.82,17.82,16.7,16.87,44106.04,2022-02-20 00:00:00+00:00
1645401600000,16.95,17.73,16.03,16.17,117822.91,2022-02-21 00:00:00+00:00
1645488000000,16.23,16.71,15.79,16.56,80649.15,2022-02-22 00:00:00+00:00
1645574400000,16.61,17.5,15.92,15.92,73749.42,2022-02-23 00:00:00+00:00
1645660800000,15.9,16.71,14.05,16.19,80111.16,2022-02-24 00:00:00+00:00
1645747200000,16.21,17.53,15.79,17.23,42209.62,2022-02-25 00:00:00+00:00
1645833600000,17.2,18.76,17.2,18.07,109027.19,2022-02-26 00:00:00+00:00
1645920000000,17.95,18.71,17.09,17.49,99415.13,2022-02-27 00:00:00+00:00
1646006400000,17.44,19.11,16.64,18.96,77377.96,2022-02-28 00:00:00+00:00
1646092800000,19.0,19.56,18.34,18.92,88310.37,2022-03-01 00:00:00+00:00
1646179200000,18.79,19.26,18.36,18.56,57384.0,2022-03-02 00:00:00+00:00
1646265600000,18.6,18.66,17.78,18.04,66828.45,2022-03-03 00:00:00+00:00
1646352000000,17.97,17.97,16.5,16.84,65584.67,2022-03-04 00:00:00+00:00
1646438400000,16.73,17.8,16.21,17.26,61252.44,2022-03-05 00:00:00+00:00
1646524800000,17.38,17.59,16.53,16.96,63664.88,2022-03-06 00:00:00+00:00
1646611200000,16.9,17.13,16.0,16.41,58905.24,2022-03-07 00:00:00+00:00
1646697600000,16.35,17.25,16.32,16.98,42425.54,2022-03-08 00:00:00+00:00
1646784000000,17.0,18.09,16.89,17.87,53072.34,2022-03-09 00:00:00+00:00
1646870400000,17.85,17.91,16.69,16.97,59565.82,2022-03-10 00:00:00+00:00
1646956800000,16.87,18.49,16.69,17.69,90015.81,2022-03-11 00:00:00+00:00
1647043200000,17.81,18.76,17.81,18.14,91591.85,2022-03-12 00:00:00+00:00
1647129600000,18.09,18.38,17.13,17.24,68595.03,2022-03-13 00:00:00+00:00
1647216000000,17.2,17.86,17.02,17.68,80873.34,2022-03-14 00:00:00+00:00
1647302400000,17.72,18.04,17.07,17.83,48374.56,2022-03-15 00:00:00+00:00
1647388800000,17.91,19.18,17.7,19.06,77747.37,2022-03-16 00:00:00+00:00
1647475200000,19.07,19.35,18.64,18.77,26587.15,2022-03-17 00:00:00+00:00
1647561600000,18.67,19.2,18.13,18.97,46547.41,2022-03-18 00:00:00+00:00
1647648000000,19.05,19.78,18.87,19.4,66145.42,2022-03-19 00:00:00+00:00
1647734400000,19.37,19.46,18.32,18.65,104489.4,2022-03-20 00:00:00+00:00
1647820800000,18.63,19.05,18.37,18.81,59820.76,2022-03-21 00:00:00+00:00
1647907200000,18.69,20.48,18.68,20.2,78996.5,2022-03-22 00:00:00+00:00
1647993600000,20.22,21.13,19.8,20.98,92209.96,2022-03-23 00:00:00+00:00
1648080000000,21.02,21.49,20.3,21.29,78290.74,2022-03-24 00:00:00+00:00
1648166400000,21.15,21.36,20.2,20.56,31920.64,2022-03-25 00:00:00+00:00
1648252800000,20.6,21.03,20.25,20.91,51742.26,2022-03-26 00:00:00+00:00
1648339200000,20.92,22.48,20.72,22.43,71702.1,2022-03-27 00:00:00+00:00
1648425600000,22.46,23.33,21.8,21.97,55304.53,2022-03-28 00:00:00+00:00
1648512000000,21.95,22.95,21.86,22.45,44594.07,2022-03-29 00:00:00+00:00
1648598400000,22.41,23.0,21.65,22.41,80685.43,2022-03-30 00:00:00+00:00
1648684800000,22.36,23.06,21.08,21.32,99504.06,2022-03-31 00:00:00+00:00
1648771200000,21.34,22.16,20.61,22.05,46378.2,2022-04-01 00:00:00+00:00
1648857600000,22.01,23.84,21.98,22.56,49397.92,2022-04-02 00:00:00+00:00
1648944000000,22.64,23.57,22.53,23.25,34778.26,2022-04-03 00:00:00+00:00
1649030400000,23.18,23.18,21.61,22.85,35184.53,2022-04-04 00:00:00+00:00
