ts,open,high,low,close,volume,dt
1638446400000,36.31,50.0,35.78,36.02,4310.01,2021-12-02 12:00:00+00:00
1638460800000,36.16,36.54,35.67,35.85,1878.32,2021-12-02 16:00:00+00:00
1638475200000,35.86,36.24,35.72,35.75,303.17,2021-12-02 20:00:00+00:00
1638489600000,35.77,36.0,35.29,35.71,1355.21,2021-12-03 00:00:00+00:00
1638504000000,35.53,36.03,35.53,35.72,1324.29,2021-12-03 04:00:00+00:00
1638518400000,35.81,36.52,35.8,36.52,356.13,2021-12-03 08:00:00+00:00
1638532800000,36.53,36.68,35.27,35.27,1677.13,2021-12-03 12:00:00+00:00
1638547200000,35.06,35.06,33.6,33.6,857.72,2021-12-03 16:00:00+00:00
1638561600000,33.45,34.25,32.97,33.85,823.55,2021-12-03 20:00:00+00:00
1638576000000,33.68,33.72,31.92,31.92,735.97,2021-12-04 00:00:00+00:00
1638590400000,31.92,32.12,25.24,27.6,12507.67,2021-12-04 04:00:00+00:00
1638604800000,27.85,28.8,27.39,27.39,1494.14,2021-12-04 08:00:00+00:00
1638619200000,27.84,29.19,27.77,28.84,2393.68,2021-12-04 12:00:00+00:00
1638633600000,28.9,29.88,27.94,29.71,4859.14,2021-12-04 16:00:00+00:00
1638648000000,29.65,29.98,28.88,29.23,1811.58,2021-12-04 20:00:00+00:00
1638662400000,29.64,29.75,28.29,29.14,379.31,2021-12-05 00:00:00+00:00
1638676800000,29.08,29.08,28.31,28.44,669.33,2021-12-05 04:00:00+00:00
1638691200000,28.42,28.59,28.11,28.26,293.43,2021-12-05 08:00:00+00:00
1638705600000,28.64,28.72,26.49,26.61,1850.71,2021-12-05 12:00:00+00:00
1638720000000,27.35,28.24,27.15,27.75,3722.94,2021-12-05 16:00:00+00:00
1638734400000,27.83,28.61,27.39,28.16,1819.26,2021-12-05 20:00:00+00:00
1638748800000,28.0,28.0,26.66,27.29,3107.41,2021-12-06 00:00:00+00:00
1638763200000,27.34,27.74,25.72,26.32,6464.0,2021-12-06 04:00:00+00:00
1638777600000,26.31,26.96,24.88,26.3,11644.84,2021-12-06 08:00:00+00:00
1638792000000,26.27,27.11,25.95,27.11,4752.74,2021-12-06 12:00:00+00:00
1638806400000,27.15,27.4,26.79,27.22,3189.41,2021-12-06 16:00:00+00:00
1638820800000,27.27,28.93,27.05,28.16,6790.1,2021-12-06 20:00:00+00:00
1638835200000,28.28,28.53,27.81,28.21,6133.74,2021-12-07 00:00:00+00:00
1638849600000,28.43,28.74,27.93,28.65,8702.06,2021-12-07 04:00:00+00:00
1638864000000,28.62,29.98,28.6,29.98,5694.0,2021-12-07 08:00:00+00:00
1638878400000,29.82,31.19,28.55,30.84,19587.97,2021-12-07 12:00:00+00:00
1638892800000,30.92,31.45,30.15,30.29,13265.13,2021-12-07 16:00:00+00:00
1638907200000,30.21,30.54,29.42,30.54,11822.63,2021-12-07 20:00:00+00:00
1638921600000,30.52,30.58,28.71,28.88,11448.56,2021-12-08 00:00:00+00:00
1638936000000,28.98,29.58,28.85,29.35,2350.62,2021-12-08 04:00:00+00:00
1638950400000,29.5,29.63,28.14,28.47,6645.21,2021-12-08 08:00:00+00:00
1638964800000,28.53,30.15,28.4,29.64,9359.64,2021-12-08 12:00:00+00:00
1638979200000,29.65,29.72,29.11,29.44,8540.69,2021-12-08 16:00:00+00:00
1638993600000,29.43,29.88,29.2,29.88,5068.79,2021-12-08 20:00:00+00:00
1639008000000,29.91,30.11,28.62,28.87,4603.25,2021-12-09 00:00:00+00:00
1639022400000,28.93,29.1,28.31,28.84,4264.35,2021-12-09 04:00:00+00:00
1639036800000,28.79,28.79,28.17,28.66,8194.73,2021-12-09 08:00:00+00:00
1639051200000,28.54,28.83,27.3,27.7,4985.93,2021-12-09 12:00:00+00:00
1639065600000,27.68,28.0,27.01,27.3,9559.29,2021-12-09 16:00:00+00:00
1639080000000,27.29,27.64,26.86,26.95,3837.74,2021-12-09 20:00:00+00:00
1639094400000,26.96,27.67,26.78,27.3,2442.8,2021-12-10 00:00:00+00:00
1639108800000,27.4,27.46,26.13,26.31,9855.84,2021-12-10 04:00:00+00:00
1639123200000,26.44,27.38,26.39,27.32,1653.54,2021-12-10 08:00:00+00:00
1639137600000,27.58,28.37,26.15,26.15,3934.08,2021-12-10 12:00:00+00:00
1639152000000,26.24,26.51,25.77,26.46,3738.99,2021-12-10 16:00:00+00:00
1639166400000,26.62,27.58,26.36,26.44,12706.93,2021-12-10 20:00:00+00:00
1639180800000,26.58,28.08,25.88,27.45,14978.72,2021-12-11 00:00:00+00:00
1639195200000,27.45,28.17,27.45,27.55,1754.0,2021-12-11 04:00:00+00:00
1639209600000,27.55,28.0,27.11,27.18,7106.5,2021-12-11 08:00:00+00:00
1639224000000,27.11,27.57,27.01,27.43,8343.79,2021-12-11 12:00:00+00:00
1639238400000,27.65,28.01,27.55,27.79,13071.98,2021-12-11 16:00:00+00:00
1639252800000,27.94,28.03,27.3,27.81,6040.62,2021-12-11 20:00:00+00:00
1639267200000,27.78,27.95,27.59,27.81,905.74,2021-12-12 00:00:00+00:00
1639281600000,27.73,27.89,27.25,27.89,1771.7,2021-12-12 04:00:00+00:00
1639296000000,27.59,28.45,27.33,28.27,1517.1,2021-12-12 08:00:00+00:00
1639310400000,28.36,28.8,28.31,28.58,2943.0,2021-12-12 12:00:00+00:00
1639324800000,28.55,29.97,28.52,29.49,4077.58,2021-12-12 16:00:00+00:00
1639339200000,29.47,30.03,29.07,29.53,8670.89,2021-12-12 20:00:00+00:00
1639353600000,29.6,29.82,28.41,29.03,4324.47,2021-12-13 00:00:00+00:00
1639368000000,28.99,29.05,27.92,28.0,3148.78,2021-12-13 04:00:00+00:00
1639382400000,27.92,28.38,27.68,28.17,768.75,2021-12-13 08:00:00+00:00
1639396800000,28.16,28.27,26.31,26.5,5857.08,2021-12-13 12:00:00+00:00
1639411200000,26.48,26.96,25.55,26.26,5767.32,2021-12-13 16:00:00+00:00
1639425600000,26.08,26.46,25.79,25.94,2989.76,2021-12-13 20:00:00+00:00
1639440000000,25.9,26.45,25.74,26.3,1085.28,2021-12-14 00:00:00+00:00
1639454400000,26.34,26.5,25.41,25.99,1358.0,2021-12-14 04:00:00+00:00
1639468800000,26.07,26.32,25.76,26.32,1146.05,2021-12-14 08:00:00+00:00
1639483200000,26.37,26.67,25.5,25.5,3896.38,2021-12-14 12:00:00+00:00
1639497600000,25.57,25.96,25.0,25.39,7836.27,2021-12-14 16:00:00+00:00
1639512000000,25.54,26.46,25.47,26.18,6981.65,2021-12-14 20:00:00+00:00
1639526400000,26.3,26.37,25.76,26.32,2592.39,2021-12-15 00:00:00+00:00
1639540800000,26.37,26.49,25.87,26.21,2236.85,2021-12-15 04:00:00+00:00
1639555200000,26.32,26.65,25.81,25.88,3248.03,2021-12-15 08:00:00+00:00
1639569600000,25.91,26.07,24.49,24.49,7557.13,2021-12-15 12:00:00+00:00
1639584000000,24.45,27.21,24.29,27.03,21922.21,2021-12-15 16:00:00+00:00
1639598400000,27.05,28.03,26.62,27.17,11638.54,2021-12-15 20:00:00+00:00
1639612800000,27.34,27.84,26.82,26.86,6978.48,2021-12-16 00:00:00+00:00
1639627200000,27.02,27.3,26.65,26.93,3381.6,2021-12-16 04:00:00+00:00
1639641600000,26.91,27.73,26.8,27.52,7596.97,2021-12-16 08:00:00+00:00
1639656000000,27.53,27.65,26.8,27.39,8459.81,2021-12-16 12:00:00+00:00
1639670400000,27.49,27.69,26.05,26.05,6125.53,2021-12-16 16:00:00+00:00
1639684800000,26.24,27.0,25.76,25.95,17850.7,2021-12-16 20:00:00+00:00
1639699200000,26.02,26.21,25.73,25.97,2433.1,2021-12-17 00:00:00+00:00
1639713600000,25.91,26.07,25.16,25.43,3061.55,2021-12-17 04:00:00+00:00
1639728000000,25.48,25.62,24.7,24.93,4769.55,2021-12-17 08:00:00+00:00
1639742400000,25.01,25.21,24.18,24.96,4941.98,2021-12-17 12:00:00+00:00
1639756800000,24.94,25.46,24.69,25.0,3342.88,2021-12-17 16:00:00+00:00
1639771200000,24.84,24.96,24.3,24.67,3189.19,2021-12-17 20:00:00+00:00
1639785600000,24.62,24.91,24.21,24.73,4197.0,2021-12-18 00:00:00+00:00
1639800000000,24.73,25.1,24.57,24.92,5892.05,2021-12-18 04:00:00+00:00
1639814400000,25.01,25.51,25.01,25.23,4094.33,2021-12-18 08:00:00+00:00
1639828800000,25.3,25.44,24.94,25.14,6055.09,2021-12-18 12:00:00+00:00
1639843200000,25.21,25.45,25.02,25.36,9354.79,2021-12-18 16:00:00+00:00
1639857600000,25.33,25.71,25.29,25.5,7161.7,2021-12-18 20:00:00+00:00
1639872000000,25.38,25.68,24.87,25.63,9885.23,2021-12-19 00:00:00+00:00
1639886400000,25.68,25.88,25.38,25.49,3943.72,2021-12-19 04:00:00+00:00
1639900800000,25.36,25.36,24.93,25.03,2674.01,2021-12-19 08:00:00+00:00
1639915200000,25.13,25.49,24.95,25.11,1896.29,2021-12-19 12:00:00+00:00
1639929600000,25.0,25.21,24.7,24.7,3230.12,2021-12-19 16:00:00+00:00
1639944000000,24.68,25.12,24.67,24.77,490.49,2021-12-19 20:00:00+00:00
1639958400000,24.7,25.0,24.44,24.58,6472.58,2021-12-20 00:00:00+00:00
1639972800000,24.65,24.82,24.2,24.41,664.51,2021-12-20 04:00:00+00:00
1639987200000,24.41,24.41,23.7,23.98,3690.5,2021-12-20 08:00:00+00:00
1640001600000,23.81,23.94,23.27,23.51,10655.31,2021-12-20 12:00:00+00:00
1640016000000,23.48,24.18,23.45,24.18,9471.11,2021-12-20 16:00:00+00:00
1640030400000,24.23,24.63,24.06,24.06,6896.8,2021-12-20 20:00:00+00:00
1640044800000,24.1,24.53,23.74,24.53,7277.25,2021-12-21 00:00:00+00:00
1640059200000,24.53,24.83,24.29,24.47,16637.6,2021-12-21 04:00:00+00:00
1640073600000,24.47,24.97,24.47,24.94,7122.84,2021-12-21 08:00:00+00:00
1640088000000,24.91,25.35,24.68,24.76,6054.93,2021-12-21 12:00:00+00:00
1640102400000,24.82,25.08,24.77,25.08,5711.72,2021-12-21 16:00:00+00:00
1640116800000,25.14,25.61,25.02,25.12,2452.55,2021-12-21 20:00:00+00:00
1640131200000,25.18,25.93,24.97,25.8,12974.54,2021-12-22 00:00:00+00:00
1640145600000,25.78,26.17,25.58,26.17,9619.38,2021-12-22 04:00:00+00:00
1640160000000,26.12,26.84,25.96,26.61,17612.27,2021-12-22 08:00:00+00:00
1640174400000,26.75,27.38,26.02,27.28,8781.39,2021-12-22 12:00:00+00:00
1640188800000,27.3,27.98,27.16,27.88,26358.56,2021-12-22 16:00:00+00:00
1640203200000,27.85,28.22,26.93,27.16,20850.8,2021-12-22 20:00:00+00:00
1640217600000,27.24,28.48,26.84,28.12,13491.51,2021-12-23 00:00:00+00:00
1640232000000,28.05,28.07,27.03,27.13,4913.87,2021-12-23 04:00:00+00:00
1640246400000,27.17,27.46,26.76,26.85,11248.55,2021-12-23 08:00:00+00:00
1640260800000,26.95,28.23,26.79,28.05,4870.68,2021-12-23 12:00:00+00:00
1640275200000,28.12,29.78,27.5,29.44,14928.74,2021-12-23 16:00:00+00:00
1640289600000,29.45,29.53,28.9,29.12,15781.32,2021-12-23 20:00:00+00:00
1640304000000,29.16,29.29,28.67,28.93,18408.17,2021-12-24 00:00:00+00:00
