ts,open,high,low,close,volume,dt
1609459200000,5.6926,5.7892,5.6926,5.7381,818.49,2021-01-01 00:00:00+00:00
1609473600000,5.7509,5.8259,5.6974,5.7289,1153.24,2021-01-01 04:00:00+00:00
1609488000000,5.7289,5.7632,5.6213,5.7632,632.42,2021-01-01 08:00:00+00:00
1609502400000,5.7447,5.8551,5.7428,5.7592,898.7,2021-01-01 12:00:00+00:00
1609516800000,5.7676,5.773,5.6179,5.6296,881.11,2021-01-01 16:00:00+00:00
1609531200000,5.6549,5.6598,5.6515,5.6515,1355.01,2021-01-01 20:00:00+00:00
1609545600000,5.6502,5.6579,5.577,5.6579,890.46,2021-01-02 00:00:00+00:00
1609560000000,5.6499,5.7078,5.6499,5.6911,201.03,2021-01-02 04:00:00+00:00
1609574400000,5.6733,5.7076,5.6464,5.6627,120.27,2021-01-02 08:00:00+00:00
1609588800000,5.6617,5.8147,5.6416,5.8013,1836.29,2021-01-02 12:00:00+00:00
1609603200000,5.8147,5.9176,5.7777,5.8656,1065.63,2021-01-02 16:00:00+00:00
1609617600000,5.7978,5.7978,5.6333,5.7741,8175.31,2021-01-02 20:00:00+00:00
1609632000000,5.7891,5.9316,5.7799,5.9046,1037.74,2021-01-03 00:00:00+00:00
1609646400000,5.89,6.0514,5.8443,6.0021,1287.95,2021-01-03 04:00:00+00:00
1609660800000,6.0472,6.3647,6.0342,6.3165,4077.4,2021-01-03 08:00:00+00:00
1609675200000,6.3,6.6216,6.2458,6.3401,6624.06,2021-01-03 12:00:00+00:00
1609689600000,6.3401,6.6422,6.2537,6.2537,5245.36,2021-01-03 16:00:00+00:00
1609704000000,6.2692,6.6555,6.2692,6.5539,2592.33,2021-01-03 20:00:00+00:00
1609718400000,6.5746,6.9109,6.5421,6.907,3018.36,2021-01-04 00:00:00+00:00
1609732800000,6.9109,7.7715,5.4,6.943,5248.35,2021-01-04 04:00:00+00:00
1609747200000,7.1182,7.1454,6.3498,6.7954,5261.92,2021-01-04 08:00:00+00:00
1609761600000,6.7967,7.1904,6.7323,6.9919,5051.69,2021-01-04 12:00:00+00:00
1609776000000,7.0546,7.0546,6.696,6.9007,4693.8,2021-01-04 16:00:00+00:00
1609790400000,6.936,7.0553,6.7296,7.0553,2747.91,2021-01-04 20:00:00+00:00
1609804800000,7.0941,7.3789,6.7772,6.8174,5606.35,2021-01-05 00:00:00+00:00
1609819200000,6.8463,6.9238,6.7036,6.8091,2844.29,2021-01-05 04:00:00+00:00
1609833600000,6.8824,7.1077,6.8824,7.1077,1516.8,2021-01-05 08:00:00+00:00
1609848000000,7.1342,7.1342,6.7972,7.0,1830.28,2021-01-05 12:00:00+00:00
1609862400000,7.0,7.1243,6.35,7.0611,1233.14,2021-01-05 16:00:00+00:00
1609876800000,7.0969,7.4678,7.0483,7.2447,5407.21,2021-01-05 20:00:00+00:00
1609891200000,7.2639,7.2723,7.0186,7.0738,522.54,2021-01-06 00:00:00+00:00
1609905600000,7.1165,7.2528,7.0782,7.1809,787.54,2021-01-06 04:00:00+00:00
1609920000000,7.1884,7.48,7.1302,7.44,2872.94,2021-01-06 08:00:00+00:00
1609934400000,7.44,7.5504,7.2931,7.4483,6091.62,2021-01-06 12:00:00+00:00
1609948800000,7.4813,7.745,7.4813,7.4813,4450.35,2021-01-06 16:00:00+00:00
1609963200000,7.4852,7.6442,7.2907,7.5598,5399.55,2021-01-06 20:00:00+00:00
