ts,open,high,low,close,volume,dt
1624017600000,66.86,67.27,65.2,66.2,1412.587,2021-06-18 12:00:00+00:00
1624032000000,65.77,66.93,63.86,63.86,299.4912,2021-06-18 16:00:00+00:00
1624046400000,64.65,65.49,64.14,65.49,97.5168,2021-06-18 20:00:00+00:00
1624060800000,65.85,66.54,64.46,64.75,110.0306,2021-06-19 00:00:00+00:00
1624075200000,65.49,65.64,65.4,65.47,14.1538,2021-06-19 04:00:00+00:00
1624089600000,65.63,65.63,65.63,65.63,9.4285,2021-06-19 08:00:00+00:00
1624104000000,65.99,65.99,65.28,65.65,5.9569,2021-06-19 12:00:00+00:00
1624118400000,65.65,65.76,65.39,65.39,24.0469,2021-06-19 16:00:00+00:00
1624132800000,65.77,66.53,65.26,65.33,60.0211,2021-06-19 20:00:00+00:00
1624147200000,63.71,64.61,63.51,63.73,84.1083,2021-06-20 00:00:00+00:00
1624161600000,64.44,64.66,64.42,64.66,14.6861,2021-06-20 04:00:00+00:00
1624176000000,63.4,63.4,60.11,60.9,189.5895,2021-06-20 08:00:00+00:00
1624190400000,61.2,62.52,61.2,62.15,173.0903,2021-06-20 12:00:00+00:00
1624204800000,60.95,62.78,60.92,62.78,269.2439,2021-06-20 16:00:00+00:00
1624219200000,62.69,63.57,62.69,63.18,145.0272,2021-06-20 20:00:00+00:00
1624233600000,63.43,63.59,60.81,60.81,40.7221,2021-06-21 00:00:00+00:00
1624248000000,60.14,60.29,56.17,57.01,887.0667,2021-06-21 04:00:00+00:00
1624262400000,57.14,58.27,50.1,52.62,1374.9203,2021-06-21 08:00:00+00:00
1624276800000,52.69,55.21,52.06,52.74,583.6133,2021-06-21 12:00:00+00:00
1624291200000,52.68,53.9,50.8,51.45,1273.774,2021-06-21 16:00:00+00:00
1624305600000,52.2,52.84,45.03,46.22,3700.3273,2021-06-21 20:00:00+00:00
1624320000000,46.24,49.43,42.65,47.36,3971.822,2021-06-22 00:00:00+00:00
1624348800000,46.53,49.39,46.53,47.54,2249.604,2021-06-22 08:00:00+00:00
1624363200000,47.55,49.01,45.21,48.87,3241.7502,2021-06-22 12:00:00+00:00
1624377600000,49.96,51.66,49.8,49.8,126.989,2021-06-22 16:00:00+00:00
1624392000000,50.18,50.5,49.2,49.2,116.5854,2021-06-22 20:00:00+00:00
1624406400000,49.12,55.79,47.61,54.89,5959.9014,2021-06-23 00:00:00+00:00
1624420800000,54.94,55.34,53.63,53.63,455.341,2021-06-23 04:00:00+00:00
1624435200000,53.02,55.01,48.75,54.41,788.7173,2021-06-23 08:00:00+00:00
1624449600000,55.05,56.05,53.47,54.32,797.9084,2021-06-23 12:00:00+00:00
1624464000000,54.93,58.72,54.93,56.19,1085.0045,2021-06-23 16:00:00+00:00
1624478400000,57.01,59.2,56.67,58.79,225.4289,2021-06-23 20:00:00+00:00
1624492800000,59.24,59.24,54.6,55.95,270.0939,2021-06-24 00:00:00+00:00
1624507200000,55.47,58.23,55.2,57.12,1456.2733,2021-06-24 04:00:00+00:00
1624521600000,56.99,58.08,56.29,57.44,109.3929,2021-06-24 08:00:00+00:00
1624536000000,57.37,57.75,56.31,57.01,113.1111,2021-06-24 12:00:00+00:00
1624550400000,57.38,57.53,56.06,56.52,116.2656,2021-06-24 16:00:00+00:00
1624564800000,56.77,57.32,56.5,57.32,332.9877,2021-06-24 20:00:00+00:00
1624579200000,57.38,57.87,56.44,57.0,328.9923,2021-06-25 00:00:00+00:00
1624593600000,56.76,56.84,55.48,55.64,149.4307,2021-06-25 04:00:00+00:00
1624608000000,55.18,55.8,53.29,53.42,143.1226,2021-06-25 08:00:00+00:00
1624622400000,52.9,53.7,51.98,52.22,282.1711,2021-06-25 12:00:00+00:00
1624636800000,51.03,52.96,50.44,52.84,392.6049,2021-06-25 16:00:00+00:00
1624651200000,52.77,52.94,51.73,52.6,66.4623,2021-06-25 20:00:00+00:00
1624665600000,51.48,52.85,51.48,52.58,74.3045,2021-06-26 00:00:00+00:00
1624680000000,52.46,53.06,50.94,51.02,72.483,2021-06-26 04:00:00+00:00
1624694400000,50.62,52.83,50.46,52.83,81.4466,2021-06-26 08:00:00+00:00
1624708800000,52.61,52.78,50.98,51.46,138.4657,2021-06-26 12:00:00+00:00
1624723200000,52.12,52.4,51.54,51.96,68.8601,2021-06-26 16:00:00+00:00
1624737600000,51.64,52.76,51.58,52.76,33.8216,2021-06-26 20:00:00+00:00
1624752000000,52.9,55.56,52.9,54.96,257.8033,2021-06-27 00:00:00+00:00
1624766400000,54.88,54.88,54.42,54.42,7.9303,2021-06-27 04:00:00+00:00
1624780800000,53.96,53.96,52.88,52.88,22.6298,2021-06-27 08:00:00+00:00
1624795200000,53.64,55.39,53.29,55.39,124.6794,2021-06-27 12:00:00+00:00
1624809600000,55.68,55.75,53.26,53.26,103.1671,2021-06-27 16:00:00+00:00
1624824000000,54.1,56.35,54.1,56.23,65.2058,2021-06-27 20:00:00+00:00
1624838400000,56.02,56.71,55.06,55.06,51.6462,2021-06-28 00:00:00+00:00
1624852800000,55.32,57.09,55.32,57.09,120.2384,2021-06-28 04:00:00+00:00
1624867200000,56.68,57.34,55.48,56.07,86.2458,2021-06-28 08:00:00+00:00
1624881600000,56.07,57.48,55.98,57.47,182.4735,2021-06-28 12:00:00+00:00
1624896000000,57.34,57.34,56.23,56.69,130.8332,2021-06-28 16:00:00+00:00
1624910400000,56.27,57.22,56.22,56.54,61.0021,2021-06-28 20:00:00+00:00
1624924800000,56.91,57.26,56.29,56.59,47.8268,2021-06-29 00:00:00+00:00
1624939200000,57.04,57.3,57.01,57.3,8.1392,2021-06-29 04:00:00+00:00
1624953600000,57.0,59.92,57.0,59.72,410.5905,2021-06-29 08:00:00+00:00
1624968000000,59.12,62.26,59.06,61.61,447.4329,2021-06-29 12:00:00+00:00
1624982400000,61.63,61.78,60.19,61.04,211.1629,2021-06-29 16:00:00+00:00
1624996800000,60.91,66.21,60.5,64.45,616.975,2021-06-29 20:00:00+00:00
1625011200000,64.66,65.37,62.0,62.0,285.8731,2021-06-30 00:00:00+00:00
1625025600000,61.59,62.35,59.14,62.14,449.0285,2021-06-30 04:00:00+00:00
1625040000000,62.51,62.51,59.78,60.56,116.9556,2021-06-30 08:00:00+00:00
1625054400000,60.66,60.8,56.73,57.39,259.1304,2021-06-30 12:00:00+00:00
1625068800000,58.11,59.12,57.51,59.03,51.9008,2021-06-30 16:00:00+00:00
1625083200000,59.44,60.49,58.77,60.49,210.9653,2021-06-30 20:00:00+00:00
1625097600000,59.42,59.87,57.79,57.81,416.2638,2021-07-01 00:00:00+00:00
1625112000000,57.69,58.72,55.98,56.14,82.5526,2021-07-01 04:00:00+00:00
1625126400000,56.43,57.7,56.31,57.6,92.7495,2021-07-01 08:00:00+00:00
1625140800000,57.44,57.86,56.28,56.78,22.678,2021-07-01 12:00:00+00:00
1625155200000,56.58,56.58,55.3,55.74,15.8398,2021-07-01 16:00:00+00:00
1625169600000,56.55,57.21,56.33,56.82,62.8402,2021-07-01 20:00:00+00:00
1625184000000,56.87,56.87,55.27,55.27,17.9308,2021-07-02 00:00:00+00:00
1625198400000,55.08,55.26,55.08,55.26,6.0422,2021-07-02 04:00:00+00:00
1625212800000,55.1,55.1,55.1,55.1,2.9853,2021-07-02 08:00:00+00:00
1625227200000,55.26,57.19,55.26,57.19,136.789,2021-07-02 12:00:00+00:00
1625241600000,57.32,57.32,56.51,56.51,16.5362,2021-07-02 16:00:00+00:00
1625256000000,56.42,57.21,56.26,57.21,33.5798,2021-07-02 20:00:00+00:00
1625270400000,57.09,57.14,56.78,56.86,47.4921,2021-07-03 00:00:00+00:00
1625284800000,56.96,58.69,56.96,58.69,94.1686,2021-07-03 04:00:00+00:00
1625299200000,58.88,59.92,58.57,58.69,140.9836,2021-07-03 08:00:00+00:00
1625313600000,58.99,59.36,58.75,59.26,93.6077,2021-07-03 12:00:00+00:00
1625328000000,59.75,59.75,58.58,58.61,52.1438,2021-07-03 16:00:00+00:00
1625342400000,59.04,59.04,58.09,58.71,30.0785,2021-07-03 20:00:00+00:00
1625356800000,58.45,58.77,58.18,58.7,6.4829,2021-07-04 00:00:00+00:00
1625371200000,58.95,60.65,58.91,60.37,56.5537,2021-07-04 04:00:00+00:00
1625385600000,60.07,60.07,59.54,59.56,24.1656,2021-07-04 08:00:00+00:00
1625400000000,59.43,59.53,59.04,59.52,30.1698,2021-07-04 12:00:00+00:00
1625414400000,59.63,59.63,59.14,59.49,17.8367,2021-07-04 16:00:00+00:00
1625428800000,59.8,59.97,58.53,58.87,23.3679,2021-07-04 20:00:00+00:00
1625443200000,58.52,58.52,57.35,57.35,56.216,2021-07-05 00:00:00+00:00
1625457600000,57.17,57.56,56.94,57.56,33.8482,2021-07-05 04:00:00+00:00
1625472000000,57.24,57.24,55.89,56.01,65.1499,2021-07-05 08:00:00+00:00
1625486400000,56.14,56.7,55.99,55.99,34.6338,2021-07-05 12:00:00+00:00
1625500800000,55.72,56.32,54.88,56.19,36.0366,2021-07-05 16:00:00+00:00
1625515200000,56.5,56.89,56.28,56.63,57.3172,2021-07-05 20:00:00+00:00
1625529600000,56.88,57.27,56.73,57.08,23.5741,2021-07-06 00:00:00+00:00
1625544000000,57.22,58.17,57.22,58.0,52.0601,2021-07-06 04:00:00+00:00
1625558400000,58.19,58.34,56.52,56.61,59.7788,2021-07-06 08:00:00+00:00
1625572800000,56.97,57.44,56.97,57.07,10.3575,2021-07-06 12:00:00+00:00
1625587200000,56.32,56.68,56.05,56.39,33.9212,2021-07-06 16:00:00+00:00
1625601600000,56.37,56.92,56.24,56.92,4.6343,2021-07-06 20:00:00+00:00
1625616000000,57.06,57.84,57.06,57.54,90.3759,2021-07-07 00:00:00+00:00
1625630400000,57.48,58.02,57.36,57.36,12.4232,2021-07-07 04:00:00+00:00
1625644800000,57.53,57.53,57.53,57.53,0.4346,2021-07-07 08:00:00+00:00
1625659200000,57.77,57.98,57.3,57.3,123.2497,2021-07-07 12:00:00+00:00
1625673600000,57.3,57.6,56.91,57.35,85.2079,2021-07-07 16:00:00+00:00
1625688000000,57.32,57.32,56.37,56.37,46.5359,2021-07-07 20:00:00+00:00
1625702400000,56.32,56.32,55.74,55.97,63.7319,2021-07-08 00:00:00+00:00
1625716800000,55.99,56.02,55.03,55.29,220.3314,2021-07-08 04:00:00+00:00
1625731200000,55.43,55.43,54.88,55.08,47.5753,2021-07-08 08:00:00+00:00
1625745600000,55.27,55.4,55.27,55.4,1.0914,2021-07-08 12:00:00+00:00
1625760000000,55.11,55.11,54.45,54.84,69.4691,2021-07-08 16:00:00+00:00
1625774400000,54.31,54.31,53.13,53.82,78.048,2021-07-08 20:00:00+00:00
1625788800000,53.04,54.19,52.77,54.19,164.3307,2021-07-09 00:00:00+00:00
1625803200000,54.14,54.14,53.78,53.78,10.2685,2021-07-09 04:00:00+00:00
1625817600000,53.67,54.69,53.67,54.69,10.2776,2021-07-09 08:00:00+00:00
1625832000000,54.83,55.56,54.78,55.32,48.5782,2021-07-09 12:00:00+00:00
1625846400000,55.35,55.47,54.76,54.76,64.9006,2021-07-09 16:00:00+00:00
1625860800000,54.79,55.45,54.75,55.42,14.1364,2021-07-09 20:00:00+00:00
1625875200000,55.63,55.92,54.94,54.94,47.5217,2021-07-10 00:00:00+00:00
1625889600000,54.85,54.85,54.69,54.71,16.1295,2021-07-10 04:00:00+00:00
1625904000000,54.49,54.55,54.44,54.55,5.7701,2021-07-10 08:00:00+00:00
1625918400000,54.74,54.74,54.74,54.74,0.4375,2021-07-10 12:00:00+00:00
1625932800000,54.07,54.14,53.95,53.95,44.4775,2021-07-10 16:00:00+00:00
1625947200000,53.84,53.98,53.58,53.98,8.0627,2021-07-10 20:00:00+00:00
1625961600000,54.3,54.54,54.3,54.54,0.7364,2021-07-11 00:00:00+00:00
1625976000000,54.3,54.33,54.03,54.08,18.5489,2021-07-11 04:00:00+00:00
1625990400000,54.39,54.51,54.39,54.51,0.7352,2021-07-11 08:00:00+00:00
1626004800000,54.51,55.46,54.51,55.45,123.5539,2021-07-11 12:00:00+00:00
1626019200000,55.23,55.25,55.01,55.25,27.2445,2021-07-11 16:00:00+00:00
1626033600000,55.62,55.69,55.62,55.69,16.6166,2021-07-11 20:00:00+00:00
1626048000000,54.76,54.76,54.71,54.71,31.7347,2021-07-12 00:00:00+00:00
1626062400000,54.96,55.43,54.96,55.43,10.7372,2021-07-12 04:00:00+00:00
1626076800000,55.25,55.25,54.37,54.37,6.9004,2021-07-12 08:00:00+00:00
1626091200000,54.33,54.38,54.11,54.11,7.3432,2021-07-12 12:00:00+00:00
1626105600000,53.84,53.84,52.86,52.86,30.5633,2021-07-12 16:00:00+00:00
1626120000000,52.73,52.99,52.27,52.38,167.2002,2021-07-12 20:00:00+00:00
1626134400000,52.97,52.97,52.74,52.74,12.4244,2021-07-13 00:00:00+00:00
1626148800000,52.61,52.61,51.21,52.39,119.0572,2021-07-13 04:00:00+00:00
1626163200000,52.24,52.39,51.76,52.25,26.3447,2021-07-13 08:00:00+00:00
1626177600000,51.78,52.2,51.5,52.2,63.1201,2021-07-13 12:00:00+00:00
1626192000000,52.12,52.12,50.58,50.58,145.2894,2021-07-13 16:00:00+00:00
1626206400000,50.54,50.54,50.42,50.52,45.4617,2021-07-13 20:00:00+00:00
1626220800000,51.16,51.16,48.18,48.66,597.1533,2021-07-14 00:00:00+00:00
1626235200000,48.93,49.0,48.52,48.94,114.3778,2021-07-14 04:00:00+00:00
1626249600000,48.43,50.51,48.43,50.32,455.7655,2021-07-14 08:00:00+00:00
1626264000000,49.66,50.68,49.66,50.38,167.8688,2021-07-14 12:00:00+00:00
1626278400000,50.45,50.45,49.37,49.37,147.6374,2021-07-14 16:00:00+00:00
1626292800000,49.52,49.99,49.52,49.57,135.0921,2021-07-14 20:00:00+00:00
1626307200000,49.4,50.29,49.18,49.77,167.0433,2021-07-15 00:00:00+00:00
1626321600000,49.49,49.49,48.63,48.79,126.5499,2021-07-15 04:00:00+00:00
1626336000000,48.37,48.48,48.37,48.48,1.1116,2021-07-15 08:00:00+00:00
1626350400000,48.67,48.67,47.32,47.32,29.3063,2021-07-15 12:00:00+00:00
1626364800000,47.17,47.17,46.37,46.68,127.5951,2021-07-15 16:00:00+00:00
1626379200000,46.76,47.4,46.76,47.4,32.7581,2021-07-15 20:00:00+00:00
1626393600000,48.08,48.21,48.0,48.05,19.1041,2021-07-16 00:00:00+00:00
1626408000000,48.03,48.03,46.99,47.37,70.518,2021-07-16 04:00:00+00:00
1626422400000,46.93,46.93,46.15,46.15,43.7215,2021-07-16 08:00:00+00:00
1626436800000,46.24,46.77,46.24,46.77,41.1168,2021-07-16 12:00:00+00:00
1626451200000,46.77,46.95,46.47,46.47,33.0083,2021-07-16 16:00:00+00:00
1626465600000,46.31,46.37,45.96,46.05,77.3203,2021-07-16 20:00:00+00:00
1626480000000,45.57,45.65,45.23,45.36,86.2006,2021-07-17 00:00:00+00:00
1626494400000,45.68,45.9,45.57,45.61,63.9044,2021-07-17 04:00:00+00:00
1626508800000,46.06,46.06,45.44,45.51,13.1845,2021-07-17 08:00:00+00:00
1626523200000,45.89,45.89,45.86,45.86,13.1425,2021-07-17 12:00:00+00:00
1626537600000,45.52,45.95,45.46,45.94,55.8462,2021-07-17 16:00:00+00:00
1626552000000,45.75,45.75,45.65,45.65,1.2016,2021-07-17 20:00:00+00:00
1626566400000,45.84,47.4,45.84,47.08,256.459,2021-07-18 00:00:00+00:00
1626580800000,46.88,46.89,46.58,46.58,11.8216,2021-07-18 04:00:00+00:00
1626595200000,46.56,46.56,46.56,46.56,1.1299,2021-07-18 08:00:00+00:00
1626609600000,46.96,47.01,45.82,46.05,306.4378,2021-07-18 12:00:00+00:00
1626624000000,46.27,47.43,46.07,47.02,337.5011,2021-07-18 16:00:00+00:00
1626638400000,46.91,47.24,46.61,46.92,73.9569,2021-07-18 20:00:00+00:00
1626652800000,46.8,47.07,46.22,46.38,50.9748,2021-07-19 00:00:00+00:00
1626667200000,46.53,46.77,46.53,46.77,92.9875,2021-07-19 04:00:00+00:00
1626681600000,46.63,46.63,46.26,46.31,32.4178,2021-07-19 08:00:00+00:00
1626696000000,45.65,45.84,44.98,45.78,472.4296,2021-07-19 12:00:00+00:00
1626710400000,45.43,45.53,44.98,45.08,68.2165,2021-07-19 16:00:00+00:00
1626724800000,44.85,45.12,44.41,44.92,169.1374,2021-07-19 20:00:00+00:00
1626739200000,44.88,44.88,42.03,42.46,1338.6445,2021-07-20 00:00:00+00:00
1626753600000,42.14,43.02,42.14,43.02,112.7783,2021-07-20 04:00:00+00:00
1626768000000,42.85,42.85,42.37,42.6,97.1779,2021-07-20 08:00:00+00:00
1626782400000,42.53,42.7,42.05,42.53,95.544,2021-07-20 12:00:00+00:00
1626796800000,42.43,42.43,41.68,42.15,180.5806,2021-07-20 16:00:00+00:00
1626811200000,42.29,42.29,41.02,41.43,194.6083,2021-07-20 20:00:00+00:00
1626825600000,41.02,41.43,40.13,41.43,282.2285,2021-07-21 00:00:00+00:00
1626840000000,41.62,43.69,41.62,43.28,1026.4371,2021-07-21 04:00:00+00:00
1626854400000,42.81,44.86,42.81,44.86,808.5909,2021-07-21 08:00:00+00:00
1626868800000,44.83,46.88,44.19,46.83,852.6026,2021-07-21 12:00:00+00:00
1626883200000,47.04,47.77,45.5,45.71,1062.59,2021-07-21 16:00:00+00:00
1626897600000,45.78,46.05,45.78,46.05,25.3869,2021-07-21 20:00:00+00:00
1626912000000,46.34,46.83,45.16,45.43,398.6418,2021-07-22 00:00:00+00:00
1626926400000,45.5,45.59,44.7,45.55,167.9206,2021-07-22 04:00:00+00:00
1626940800000,45.61,45.79,44.84,44.84,118.9776,2021-07-22 08:00:00+00:00
1626955200000,44.66,45.45,44.66,45.11,122.6849,2021-07-22 12:00:00+00:00
1626969600000,45.87,46.3,45.65,45.94,193.5573,2021-07-22 16:00:00+00:00
1626984000000,46.14,46.14,45.16,45.5,28.6444,2021-07-22 20:00:00+00:00
1626998400000,45.73,46.98,45.51,46.55,171.1749,2021-07-23 00:00:00+00:00
1627012800000,46.88,47.32,46.13,46.52,742.6782,2021-07-23 04:00:00+00:00
1627027200000,46.36,46.59,46.0,46.19,617.6983,2021-07-23 08:00:00+00:00
1627041600000,46.19,46.65,45.62,45.62,190.5744,2021-07-23 12:00:00+00:00
1627056000000,45.46,45.52,44.99,45.52,32.3207,2021-07-23 16:00:00+00:00
1627070400000,45.51,47.15,45.5,47.13,2838.8653,2021-07-23 20:00:00+00:00
1627084800000,47.0,47.44,46.75,47.34,509.7772,2021-07-24 00:00:00+00:00
1627099200000,47.54,47.66,46.82,46.94,140.2764,2021-07-24 04:00:00+00:00
1627113600000,46.86,47.49,46.54,47.49,77.1469,2021-07-24 08:00:00+00:00
1627128000000,46.96,50.4,46.96,50.24,868.0034,2021-07-24 12:00:00+00:00
1627142400000,50.11,51.37,48.45,48.89,657.6915,2021-07-24 16:00:00+00:00
1627156800000,49.25,49.57,48.88,49.42,55.5962,2021-07-24 20:00:00+00:00
1627171200000,49.71,49.75,48.25,48.25,57.1066,2021-07-25 00:00:00+00:00
1627185600000,49.0,49.92,49.0,49.86,31.0934,2021-07-25 04:00:00+00:00
1627200000000,49.94,49.94,48.94,49.04,76.4956,2021-07-25 08:00:00+00:00
1627214400000,49.08,49.08,47.34,47.48,290.1678,2021-07-25 12:00:00+00:00
1627228800000,47.33,48.05,47.3,47.53,9.477,2021-07-25 16:00:00+00:00
1627243200000,47.78,49.01,47.67,49.01,71.9575,2021-07-25 20:00:00+00:00
1627257600000,49.11,51.81,49.09,50.71,293.9224,2021-07-26 00:00:00+00:00
1627272000000,50.96,52.95,50.66,51.29,3370.6653,2021-07-26 04:00:00+00:00
1627286400000,51.04,51.7,50.88,51.3,290.1337,2021-07-26 08:00:00+00:00
1627300800000,50.98,52.76,50.54,52.46,1154.8532,2021-07-26 12:00:00+00:00
1627315200000,52.67,52.67,51.24,51.38,1732.3736,2021-07-26 16:00:00+00:00
1627329600000,51.38,51.38,48.86,49.16,1013.088,2021-07-26 20:00:00+00:00
1627344000000,49.14,49.69,47.28,48.07,1623.3637,2021-07-27 00:00:00+00:00
1627358400000,47.96,48.92,47.96,48.92,692.0564,2021-07-27 04:00:00+00:00
1627372800000,48.48,49.21,48.48,49.21,196.5051,2021-07-27 08:00:00+00:00
