ts,open,high,low,close,volume,dt
1642118400000,25.17,25.25,25.1,25.2,271.76,2022-01-14 00:00:00+00:00
1642132800000,25.13,25.19,24.81,24.94,601.74,2022-01-14 04:00:00+00:00
1642147200000,24.96,24.96,23.97,24.07,460.55,2022-01-14 08:00:00+00:00
1642161600000,24.28,25.01,24.21,24.72,604.97,2022-01-14 12:00:00+00:00
1642176000000,24.84,24.97,24.6,24.93,496.24,2022-01-14 16:00:00+00:00
1642190400000,24.91,25.91,24.91,25.78,832.06,2022-01-14 20:00:00+00:00
1642204800000,25.74,26.21,25.41,26.14,1227.47,2022-01-15 00:00:00+00:00
1642219200000,25.92,25.92,25.52,25.61,471.76,2022-01-15 04:00:00+00:00
1642233600000,25.41,25.91,25.41,25.66,149.02,2022-01-15 08:00:00+00:00
1642248000000,25.69,25.83,25.33,25.63,246.07,2022-01-15 12:00:00+00:00
1642262400000,25.83,25.97,25.33,25.7,250.1,2022-01-15 16:00:00+00:00
1642276800000,25.71,25.74,25.15,25.21,512.31,2022-01-15 20:00:00+00:00
1642291200000,25.12,25.18,24.68,24.98,1284.68,2022-01-16 00:00:00+00:00
1642305600000,25.01,25.5,25.01,25.43,188.68,2022-01-16 04:00:00+00:00
1642320000000,25.43,26.09,25.4,25.97,342.68,2022-01-16 08:00:00+00:00
1642334400000,25.88,26.04,25.54,25.85,280.64,2022-01-16 12:00:00+00:00
1642348800000,25.88,26.34,25.66,25.66,554.66,2022-01-16 16:00:00+00:00
1642363200000,25.66,25.67,25.5,25.56,503.96,2022-01-16 20:00:00+00:00
1642377600000,25.52,25.55,24.92,24.92,817.27,2022-01-17 00:00:00+00:00
1642392000000,24.94,25.16,24.68,25.14,113.66,2022-01-17 04:00:00+00:00
1642406400000,24.92,25.05,24.61,24.74,179.58,2022-01-17 08:00:00+00:00
1642420800000,24.58,24.63,24.19,24.19,520.32,2022-01-17 12:00:00+00:00
1642435200000,24.2,24.34,23.57,23.83,2185.36,2022-01-17 16:00:00+00:00
1642449600000,23.81,23.94,23.33,23.78,3216.73,2022-01-17 20:00:00+00:00
1642464000000,23.79,24.34,23.65,23.65,989.5,2022-01-18 00:00:00+00:00
1642478400000,23.61,23.86,23.38,23.57,145.52,2022-01-18 04:00:00+00:00
1642492800000,23.49,23.49,22.82,23.1,2119.15,2022-01-18 08:00:00+00:00
1642507200000,23.04,23.1,22.44,22.48,1002.6,2022-01-18 12:00:00+00:00
1642521600000,22.48,22.64,22.0,22.34,1795.3,2022-01-18 16:00:00+00:00
1642536000000,22.41,23.31,22.36,22.93,341.88,2022-01-18 20:00:00+00:00
1642550400000,22.93,23.13,22.15,22.34,918.95,2022-01-19 00:00:00+00:00
1642564800000,22.26,22.36,21.53,21.56,1400.32,2022-01-19 04:00:00+00:00
1642579200000,21.38,21.92,21.28,21.92,296.9,2022-01-19 08:00:00+00:00
1642593600000,22.07,22.46,21.89,21.89,982.77,2022-01-19 12:00:00+00:00
1642608000000,21.9,22.2,21.71,21.91,5258.6,2022-01-19 16:00:00+00:00
1642622400000,21.81,21.81,21.62,21.71,371.56,2022-01-19 20:00:00+00:00
1642636800000,21.52,21.84,21.37,21.84,590.7,2022-01-20 00:00:00+00:00
1642651200000,21.75,22.28,21.75,22.28,404.11,2022-01-20 04:00:00+00:00
1642665600000,22.02,22.48,21.97,22.29,193.15,2022-01-20 08:00:00+00:00
1642680000000,22.09,22.95,22.07,22.73,700.88,2022-01-20 12:00:00+00:00
1642694400000,22.85,22.87,22.24,22.41,626.89,2022-01-20 16:00:00+00:00
1642708800000,22.23,22.23,20.02,20.18,5926.17,2022-01-20 20:00:00+00:00
1642723200000,20.17,20.44,19.05,19.17,7851.74,2022-01-21 00:00:00+00:00
1642737600000,19.35,19.56,19.19,19.56,644.49,2022-01-21 04:00:00+00:00
1642752000000,19.54,19.55,19.35,19.4,366.53,2022-01-21 08:00:00+00:00
1642766400000,19.07,19.7,18.42,19.65,6178.61,2022-01-21 12:00:00+00:00
1642780800000,19.54,19.63,18.86,18.86,1563.06,2022-01-21 16:00:00+00:00
1642795200000,18.73,19.13,17.12,17.25,8599.62,2022-01-21 20:00:00+00:00
1642809600000,17.54,17.8,17.18,17.27,1115.74,2022-01-22 00:00:00+00:00
1642824000000,17.32,17.32,15.19,15.52,5382.32,2022-01-22 04:00:00+00:00
1642838400000,15.41,15.84,14.28,15.6,46775.97,2022-01-22 08:00:00+00:00
1642852800000,15.62,16.43,15.25,15.34,8173.73,2022-01-22 12:00:00+00:00
1642867200000,15.33,15.99,15.0,15.26,10987.14,2022-01-22 16:00:00+00:00
1642881600000,15.3,16.29,15.3,15.78,12063.12,2022-01-22 20:00:00+00:00
1642896000000,15.82,16.33,15.52,15.57,738.59,2022-01-23 00:00:00+00:00
1642910400000,15.64,16.3,15.64,16.26,3251.98,2022-01-23 04:00:00+00:00
1642924800000,16.2,16.85,16.04,16.16,2313.34,2022-01-23 08:00:00+00:00
1642939200000,16.15,16.33,15.48,15.55,4950.36,2022-01-23 12:00:00+00:00
1642953600000,15.79,15.91,15.19,15.19,1838.11,2022-01-23 16:00:00+00:00
1642968000000,15.35,16.58,15.35,16.58,1156.29,2022-01-23 20:00:00+00:00
1642982400000,16.49,16.49,15.7,15.97,785.38,2022-01-24 00:00:00+00:00
1642996800000,16.11,16.11,15.29,15.32,1002.82,2022-01-24 04:00:00+00:00
1643011200000,15.24,15.38,13.83,14.08,8943.35,2022-01-24 08:00:00+00:00
1643025600000,13.88,14.57,13.5,14.57,10073.66,2022-01-24 12:00:00+00:00
1643040000000,14.49,15.35,14.16,15.01,8069.09,2022-01-24 16:00:00+00:00
1643054400000,15.21,15.87,15.21,15.63,1514.14,2022-01-24 20:00:00+00:00
1643068800000,15.57,15.57,15.13,15.31,690.77,2022-01-25 00:00:00+00:00
1643083200000,15.37,15.37,14.57,14.91,3296.2,2022-01-25 04:00:00+00:00
1643097600000,15.1,15.59,15.02,15.31,38459.23,2022-01-25 08:00:00+00:00
1643112000000,15.16,15.58,14.91,15.4,691.27,2022-01-25 12:00:00+00:00
1643126400000,15.38,16.0,15.29,15.77,382.97,2022-01-25 16:00:00+00:00
1643140800000,15.54,15.55,15.24,15.46,13231.24,2022-01-25 20:00:00+00:00
1643155200000,15.35,15.51,15.26,15.46,118.45,2022-01-26 00:00:00+00:00
1643169600000,15.59,16.0,15.59,15.74,919.7,2022-01-26 04:00:00+00:00
1643184000000,15.82,16.11,15.82,15.95,570.6,2022-01-26 08:00:00+00:00
1643198400000,16.0,16.55,15.98,15.98,530.8,2022-01-26 12:00:00+00:00
1643212800000,16.07,16.72,15.49,15.91,7004.27,2022-01-26 16:00:00+00:00
1643227200000,15.56,15.61,14.72,15.24,11618.25,2022-01-26 20:00:00+00:00
1643241600000,15.28,15.35,14.41,14.41,680.04,2022-01-27 00:00:00+00:00
1643256000000,14.55,15.1,14.51,14.93,769.62,2022-01-27 04:00:00+00:00
1643270400000,14.86,15.15,14.7,15.15,611.77,2022-01-27 08:00:00+00:00
1643284800000,15.13,15.69,15.12,15.26,2014.4,2022-01-27 12:00:00+00:00
1643299200000,15.37,15.58,14.77,14.92,610.95,2022-01-27 16:00:00+00:00
1643313600000,14.93,15.24,14.47,15.24,4864.86,2022-01-27 20:00:00+00:00
1643328000000,15.24,15.45,14.81,15.27,559.34,2022-01-28 00:00:00+00:00
1643342400000,15.26,15.5,15.09,15.09,33.93,2022-01-28 04:00:00+00:00
1643356800000,15.02,15.22,14.81,14.89,574.64,2022-01-28 08:00:00+00:00
1643371200000,14.96,15.59,14.74,15.51,1068.99,2022-01-28 12:00:00+00:00
1643385600000,15.6,15.91,15.57,15.74,577.5,2022-01-28 16:00:00+00:00
1643400000000,15.79,16.27,15.72,16.14,769.01,2022-01-28 20:00:00+00:00
1643414400000,16.14,16.39,15.96,15.99,654.52,2022-01-29 00:00:00+00:00
1643428800000,16.13,16.43,16.08,16.28,278.32,2022-01-29 04:00:00+00:00
1643443200000,16.4,16.4,16.15,16.18,174.63,2022-01-29 08:00:00+00:00
1643457600000,16.3,16.63,16.04,16.24,6158.03,2022-01-29 12:00:00+00:00
