ts,open,high,low,close,volume,dt
1609459200000,124.77,133.83,123.06,126.19,10503.48858,2021-01-01 00:00:00+00:00
1609545600000,126.01,141.87,123.24,136.99,19535.684,2021-01-02 00:00:00+00:00
1609632000000,136.94,164.37,135.37,160.86,26354.57999,2021-01-03 00:00:00+00:00
1609718400000,161.47,173.78,140.01,155.55,25707.32391,2021-01-04 00:00:00+00:00
1609804800000,155.59,162.68,146.31,158.13,12601.9275,2021-01-05 00:00:00+00:00
1609891200000,158.92,169.64,155.16,169.0,12609.59926,2021-01-06 00:00:00+00:00
1609977600000,168.99,181.31,161.87,169.21,17286.70342,2021-01-07 00:00:00+00:00
1610064000000,169.9,181.83,150.5,172.25,17411.18957,2021-01-08 00:00:00+00:00
1610150400000,172.69,178.85,163.42,177.2,11718.41671,2021-01-09 00:00:00+00:00
1610236800000,177.58,185.69,162.24,170.37,17517.08567,2021-01-10 00:00:00+00:00
1610323200000,170.4,170.58,114.02,139.21,36506.98618,2021-01-11 00:00:00+00:00
1610409600000,139.29,147.46,128.25,133.36,22847.61816,2021-01-12 00:00:00+00:00
1610496000000,133.31,148.33,125.91,147.54,18161.9721,2021-01-13 00:00:00+00:00
1610582400000,147.58,156.8,143.13,152.49,17702.72179,2021-01-14 00:00:00+00:00
1610668800000,152.83,155.65,130.31,144.26,15351.68545,2021-01-15 00:00:00+00:00
1610755200000,143.67,152.47,139.61,143.8,10905.0178,2021-01-16 00:00:00+00:00
1610841600000,143.52,147.03,136.42,142.7,8135.27958,2021-01-17 00:00:00+00:00
1610928000000,143.0,154.88,138.53,151.98,11693.96637,2021-01-18 00:00:00+00:00
1611014400000,152.14,165.92,150.01,151.84,15376.89652,2021-01-19 00:00:00+00:00
1611100800000,151.79,156.06,139.38,149.82,15421.55228,2021-01-20 00:00:00+00:00
1611187200000,149.84,150.17,125.82,129.78,16852.92888,2021-01-21 00:00:00+00:00
1611273600000,129.46,141.78,122.82,137.72,15457.36633,2021-01-22 00:00:00+00:00
1611360000000,137.57,143.65,135.12,137.5,7061.8378,2021-01-23 00:00:00+00:00
1611446400000,137.54,142.63,133.66,140.99,6510.07856,2021-01-24 00:00:00+00:00
1611532800000,141.02,147.55,136.73,137.31,8634.84911,2021-01-25 00:00:00+00:00
1611619200000,137.13,139.77,128.36,134.57,7363.49666,2021-01-26 00:00:00+00:00
1611705600000,134.94,134.94,118.17,122.57,9579.9081,2021-01-27 00:00:00+00:00
1611792000000,122.29,135.83,120.8,133.23,7754.70744,2021-01-28 00:00:00+00:00
