ts,open,high,low,close,volume,dt
1641427200000,2.9085,2.9217,2.8004,2.8046,7410.0,2022-01-06 00:00:00+00:00
1641441600000,2.8127,2.8824,2.8127,2.8742,4579.0,2022-01-06 04:00:00+00:00
1641456000000,2.8824,2.8925,2.8288,2.8453,3132.0,2022-01-06 08:00:00+00:00
1641470400000,2.8558,3.4406,2.8558,3.2807,361736.0,2022-01-06 12:00:00+00:00
1641484800000,3.2939,3.2995,3.1263,3.285,51444.0,2022-01-06 16:00:00+00:00
1641499200000,3.2843,3.3987,3.2181,3.389,23623.0,2022-01-06 20:00:00+00:00
1641513600000,3.3784,3.3949,3.0838,3.1548,58213.0,2022-01-07 00:00:00+00:00
1641528000000,3.1478,3.2486,3.0683,3.2143,33892.0,2022-01-07 04:00:00+00:00
1641542400000,3.1993,3.2695,3.1614,3.1756,21747.0,2022-01-07 08:00:00+00:00
1641556800000,3.1862,3.2121,3.05,3.0981,2718.0,2022-01-07 12:00:00+00:00
1641571200000,3.1131,3.1321,3.0786,3.1069,7108.0,2022-01-07 16:00:00+00:00
1641585600000,3.1051,3.1122,3.0301,3.0405,7028.0,2022-01-07 20:00:00+00:00
1641600000000,3.0535,3.1137,3.0488,3.0655,29815.0,2022-01-08 00:00:00+00:00
1641614400000,3.0761,3.1183,3.066,3.1056,4147.0,2022-01-08 04:00:00+00:00
1641628800000,3.1183,3.1306,3.0593,3.0593,2196.0,2022-01-08 08:00:00+00:00
1641643200000,3.0707,3.0839,2.9784,2.9784,498.0,2022-01-08 12:00:00+00:00
1641657600000,2.9827,3.0131,2.8359,2.8885,18274.0,2022-01-08 16:00:00+00:00
1641672000000,2.8907,3.0,2.8701,2.935,36837.0,2022-01-08 20:00:00+00:00
1641686400000,2.9314,2.977,2.9214,2.9611,3438.0,2022-01-09 00:00:00+00:00
1641700800000,2.9684,2.969,2.9341,2.9348,12043.0,2022-01-09 04:00:00+00:00
1641715200000,2.955,3.0472,2.9,2.9574,22839.0,2022-01-09 08:00:00+00:00
1641729600000,2.945,2.945,2.84,2.8784,8722.0,2022-01-09 12:00:00+00:00
1641744000000,2.8927,3.0391,2.8927,3.0203,13433.0,2022-01-09 16:00:00+00:00
1641758400000,3.0203,3.0325,2.9297,2.9345,21391.0,2022-01-09 20:00:00+00:00
1641772800000,2.9508,2.9656,2.8927,2.9142,556.0,2022-01-10 00:00:00+00:00
1641787200000,2.9184,2.9508,2.9171,2.9508,2176.0,2022-01-10 04:00:00+00:00
1641801600000,2.9632,2.9632,2.8553,2.8553,5939.0,2022-01-10 08:00:00+00:00
1641816000000,2.8442,2.8442,2.6397,2.7197,11484.0,2022-01-10 12:00:00+00:00
1641830400000,2.7387,2.8077,2.6801,2.7333,4152.0,2022-01-10 16:00:00+00:00
1641844800000,2.7322,2.8416,2.7322,2.8257,8424.0,2022-01-10 20:00:00+00:00
1641859200000,2.8021,2.8511,2.7742,2.8499,8965.0,2022-01-11 00:00:00+00:00
1641873600000,2.8473,2.8473,2.7882,2.8073,14326.0,2022-01-11 04:00:00+00:00
1641888000000,2.8217,2.8641,2.7606,2.79,5316.0,2022-01-11 08:00:00+00:00
1641902400000,2.7927,2.8974,2.7699,2.8293,24102.0,2022-01-11 12:00:00+00:00
1641916800000,2.8332,2.9422,2.8332,2.9077,30395.0,2022-01-11 16:00:00+00:00
1641931200000,2.9095,2.9395,2.8733,2.9282,9828.0,2022-01-11 20:00:00+00:00
1641945600000,2.9443,2.9674,2.9142,2.94,48273.0,2022-01-12 00:00:00+00:00
1641960000000,2.9398,2.9683,2.925,2.9349,11250.0,2022-01-12 04:00:00+00:00
1641974400000,2.9508,3.0096,2.9365,2.9827,8892.0,2022-01-12 08:00:00+00:00
1641988800000,2.9932,3.1051,2.9932,3.0369,27894.0,2022-01-12 12:00:00+00:00
1642003200000,3.0463,3.0724,3.0191,3.0624,10422.0,2022-01-12 16:00:00+00:00
1642017600000,3.0599,3.1013,3.0547,3.0877,21747.0,2022-01-12 20:00:00+00:00
1642032000000,3.0909,3.0911,2.9868,3.0179,32482.0,2022-01-13 00:00:00+00:00
1642046400000,3.0251,3.0558,3.0147,3.0342,3178.0,2022-01-13 04:00:00+00:00
1642060800000,3.0554,3.0692,3.0086,3.0288,1650.0,2022-01-13 08:00:00+00:00
1642075200000,3.0353,3.0868,2.9357,2.9803,19535.0,2022-01-13 12:00:00+00:00
1642089600000,2.9681,3.0016,2.9136,2.9362,44714.0,2022-01-13 16:00:00+00:00
1642104000000,2.9158,2.9362,2.8822,2.8864,9543.0,2022-01-13 20:00:00+00:00
1642118400000,2.8942,2.9217,2.872,2.9217,6977.0,2022-01-14 00:00:00+00:00
1642132800000,2.9298,2.9508,2.9,2.9051,19825.0,2022-01-14 04:00:00+00:00
1642147200000,2.9013,2.9072,2.8134,2.8382,10487.0,2022-01-14 08:00:00+00:00
1642161600000,2.846,2.9362,2.846,2.9015,24657.0,2022-01-14 12:00:00+00:00
1642176000000,2.9304,2.9734,2.9013,2.9685,9853.0,2022-01-14 16:00:00+00:00
1642190400000,2.9802,3.0146,2.9364,2.9541,9195.0,2022-01-14 20:00:00+00:00
1642204800000,2.9656,2.9741,2.9405,2.9622,19470.0,2022-01-15 00:00:00+00:00
1642219200000,2.9566,2.9566,2.9149,2.934,16925.0,2022-01-15 04:00:00+00:00
1642233600000,2.9508,3.0556,2.9495,3.0394,22616.0,2022-01-15 08:00:00+00:00
1642248000000,3.0277,3.0637,2.9842,3.0398,17967.0,2022-01-15 12:00:00+00:00
1642262400000,3.0312,3.0312,3.0012,3.0151,7994.0,2022-01-15 16:00:00+00:00
1642276800000,3.0167,3.0306,2.9836,2.9881,16794.0,2022-01-15 20:00:00+00:00
1642291200000,2.9792,2.9938,2.9405,2.9489,8715.0,2022-01-16 00:00:00+00:00
1642305600000,2.958,2.9729,2.9489,2.9729,5490.0,2022-01-16 04:00:00+00:00
1642320000000,2.9788,2.9803,2.9303,2.9561,9199.0,2022-01-16 08:00:00+00:00
1642334400000,2.9656,3.0001,2.9251,2.9845,7311.0,2022-01-16 12:00:00+00:00
1642348800000,2.9909,3.1937,2.9909,3.06,147488.0,2022-01-16 16:00:00+00:00
1642363200000,3.0691,3.1424,3.0691,3.1209,52207.0,2022-01-16 20:00:00+00:00
1642377600000,3.1308,3.1851,3.0277,3.0403,43855.0,2022-01-17 00:00:00+00:00
1642392000000,3.0281,3.0666,2.9824,3.0251,13951.0,2022-01-17 04:00:00+00:00
1642406400000,3.0041,3.0742,2.9759,3.0042,8254.0,2022-01-17 08:00:00+00:00
1642420800000,2.9892,3.0046,2.9147,2.9147,14203.0,2022-01-17 12:00:00+00:00
1642435200000,2.9297,2.9362,2.8695,2.915,38448.0,2022-01-17 16:00:00+00:00
1642449600000,2.9164,2.9285,2.863,2.9013,3821.0,2022-01-17 20:00:00+00:00
1642464000000,2.9187,2.9228,2.8732,2.8858,9001.0,2022-01-18 00:00:00+00:00
1642478400000,2.8836,2.908,2.8427,2.8834,9042.0,2022-01-18 04:00:00+00:00
1642492800000,2.8726,2.8726,2.7996,2.8274,6547.0,2022-01-18 08:00:00+00:00
1642507200000,2.8499,2.8641,2.7792,2.8159,12370.0,2022-01-18 12:00:00+00:00
1642521600000,2.8096,2.833,2.7876,2.8273,4323.0,2022-01-18 16:00:00+00:00
1642536000000,2.8248,2.8784,2.8248,2.8585,3728.0,2022-01-18 20:00:00+00:00
1642550400000,2.8492,2.8978,2.7929,2.8157,6227.0,2022-01-19 00:00:00+00:00
1642564800000,2.8114,2.8556,2.707,2.7223,8611.0,2022-01-19 04:00:00+00:00
1642579200000,2.7247,2.7937,2.7107,2.7743,1788.0,2022-01-19 08:00:00+00:00
1642593600000,2.7937,2.8499,2.7743,2.8077,4550.0,2022-01-19 12:00:00+00:00
1642608000000,2.8124,2.8265,2.7713,2.7981,4644.0,2022-01-19 16:00:00+00:00
1642622400000,2.8075,2.8075,2.7307,2.7334,2643.0,2022-01-19 20:00:00+00:00
1642636800000,2.7263,2.7569,2.7,2.7568,5814.0,2022-01-20 00:00:00+00:00
1642651200000,2.7637,2.8124,2.7622,2.8124,2997.0,2022-01-20 04:00:00+00:00
1642665600000,2.7943,2.8272,2.7923,2.814,8327.0,2022-01-20 08:00:00+00:00
1642680000000,2.8069,2.8924,2.793,2.8784,22476.0,2022-01-20 12:00:00+00:00
1642694400000,2.8832,2.8881,2.8492,2.8557,13474.0,2022-01-20 16:00:00+00:00
1642708800000,2.8492,2.8492,2.6177,2.636,16900.0,2022-01-20 20:00:00+00:00
1642723200000,2.6279,2.6981,2.4622,2.4775,35758.0,2022-01-21 00:00:00+00:00
1642737600000,2.4809,2.5654,2.4805,2.5591,44869.0,2022-01-21 04:00:00+00:00
1642752000000,2.551,2.5672,2.511,2.527,4271.0,2022-01-21 08:00:00+00:00
1642766400000,2.5292,2.533,2.3855,2.4745,26456.0,2022-01-21 12:00:00+00:00
1642780800000,2.4657,2.4953,2.3808,2.3808,28375.0,2022-01-21 16:00:00+00:00
1642795200000,2.3978,2.4,2.1421,2.2194,110340.0,2022-01-21 20:00:00+00:00
1642809600000,2.2095,2.2639,2.1779,2.203,43779.0,2022-01-22 00:00:00+00:00
1642824000000,2.2114,2.2139,1.8772,1.9117,92538.0,2022-01-22 04:00:00+00:00
1642838400000,1.9278,1.9838,1.7086,1.9325,271893.0,2022-01-22 08:00:00+00:00
1642852800000,1.9366,2.0656,1.8922,1.9045,128313.0,2022-01-22 12:00:00+00:00
1642867200000,1.9045,1.9932,1.8727,1.9414,50855.0,2022-01-22 16:00:00+00:00
1642881600000,1.9413,2.079,1.9201,2.0425,59220.0,2022-01-22 20:00:00+00:00
1642896000000,2.0362,2.1207,2.0,2.0473,84641.0,2022-01-23 00:00:00+00:00
1642910400000,2.0399,2.1274,2.0099,2.1104,31658.0,2022-01-23 04:00:00+00:00
1642924800000,2.1022,2.157,2.0813,2.0958,16570.0,2022-01-23 08:00:00+00:00
1642939200000,2.1057,2.1308,2.02,2.0571,54385.0,2022-01-23 12:00:00+00:00
1642953600000,2.0615,2.0751,2.0,2.0129,14036.0,2022-01-23 16:00:00+00:00
1642968000000,2.0157,2.1274,2.0114,2.1163,39099.0,2022-01-23 20:00:00+00:00
1642982400000,2.1094,2.1094,1.9852,2.0064,19651.0,2022-01-24 00:00:00+00:00
1642996800000,2.014,2.0884,1.9428,1.9868,43253.0,2022-01-24 04:00:00+00:00
1643011200000,1.9852,1.993,1.8238,1.8486,57474.0,2022-01-24 08:00:00+00:00
1643025600000,1.8441,1.9008,1.8133,1.895,49199.0,2022-01-24 12:00:00+00:00
1643040000000,1.8783,1.9792,1.8298,1.9774,32616.0,2022-01-24 16:00:00+00:00
1643054400000,1.98,2.138,1.9726,2.0813,53794.0,2022-01-24 20:00:00+00:00
1643068800000,2.0813,2.0813,2.0228,2.0573,10022.0,2022-01-25 00:00:00+00:00
1643083200000,2.0615,2.0615,2.0068,2.0385,7861.0,2022-01-25 04:00:00+00:00
1643097600000,2.0544,2.1169,2.0504,2.0885,14048.0,2022-01-25 08:00:00+00:00
1643112000000,2.076,2.1274,2.0228,2.0504,20708.0,2022-01-25 12:00:00+00:00
1643126400000,2.0647,2.1678,2.0647,2.1377,21973.0,2022-01-25 16:00:00+00:00
1643140800000,2.157,2.1641,2.06,2.1,24697.0,2022-01-25 20:00:00+00:00
1643155200000,2.0944,2.203,2.0813,2.1944,66731.0,2022-01-26 00:00:00+00:00
1643169600000,2.1944,2.2723,2.1852,2.2338,26298.0,2022-01-26 04:00:00+00:00
1643184000000,2.2494,2.2926,2.2402,2.2609,5059.0,2022-01-26 08:00:00+00:00
1643198400000,2.2559,2.2919,2.2096,2.2272,15551.0,2022-01-26 12:00:00+00:00
1643212800000,2.2335,2.3638,2.1636,2.2338,68186.0,2022-01-26 16:00:00+00:00
1643227200000,2.2318,2.2318,2.0646,2.1552,50983.0,2022-01-26 20:00:00+00:00
1643241600000,2.1528,2.23,2.0329,2.0573,54144.0,2022-01-27 00:00:00+00:00
1643256000000,2.0615,2.136,2.043,2.1225,21874.0,2022-01-27 04:00:00+00:00
1643270400000,2.1209,2.2784,2.1127,2.2586,44004.0,2022-01-27 08:00:00+00:00
1643284800000,2.2606,2.3509,2.2386,2.2481,78797.0,2022-01-27 12:00:00+00:00
1643299200000,2.2548,2.2718,2.1797,2.1888,97809.0,2022-01-27 16:00:00+00:00
1643313600000,2.203,2.2831,2.1048,2.258,109063.0,2022-01-27 20:00:00+00:00
1643328000000,2.2429,2.3068,2.1743,2.2945,107960.0,2022-01-28 00:00:00+00:00
1643342400000,2.2976,2.3126,2.223,2.2286,24410.0,2022-01-28 04:00:00+00:00
1643356800000,2.2447,2.2494,2.1942,2.206,9424.0,2022-01-28 08:00:00+00:00
1643371200000,2.2032,2.2558,2.166,2.2331,17029.0,2022-01-28 12:00:00+00:00
1643385600000,2.2291,2.2896,2.2109,2.2449,33699.0,2022-01-28 16:00:00+00:00
1643400000000,2.2558,2.3059,2.2402,2.2898,10404.0,2022-01-28 20:00:00+00:00
1643414400000,2.2739,2.341,2.2692,2.311,19432.0,2022-01-29 00:00:00+00:00
1643428800000,2.32,2.4171,2.32,2.378,16066.0,2022-01-29 04:00:00+00:00
1643443200000,2.3946,2.3978,2.3427,2.348,7206.0,2022-01-29 08:00:00+00:00
1643457600000,2.359,2.3977,2.296,2.3174,19644.0,2022-01-29 12:00:00+00:00
1643472000000,2.3013,2.3638,2.2807,2.3427,10186.0,2022-01-29 16:00:00+00:00
1643486400000,2.346,2.3795,2.3265,2.3646,20126.0,2022-01-29 20:00:00+00:00
1643500800000,2.3578,2.4961,2.3549,2.4488,41520.0,2022-01-30 00:00:00+00:00
1643515200000,2.4493,2.553,2.4424,2.5329,27641.0,2022-01-30 04:00:00+00:00
1643529600000,2.5454,2.5589,2.4982,2.5189,18362.0,2022-01-30 08:00:00+00:00
1643544000000,2.5129,2.5142,2.4254,2.4581,11800.0,2022-01-30 12:00:00+00:00
1643558400000,2.45,2.4594,2.3624,2.385,15092.0,2022-01-30 16:00:00+00:00
1643572800000,2.3797,2.5589,2.3575,2.5115,17376.0,2022-01-30 20:00:00+00:00
1643587200000,2.5115,2.6189,2.3662,2.566,140479.0,2022-01-31 00:00:00+00:00
1643601600000,2.5621,2.591,2.4982,2.5494,32875.0,2022-01-31 04:00:00+00:00
1643616000000,2.5368,2.5996,2.5154,2.5697,34746.0,2022-01-31 08:00:00+00:00
1643630400000,2.5749,2.6606,2.533,2.6177,31900.0,2022-01-31 12:00:00+00:00
1643644800000,2.6136,2.8358,2.6136,2.7882,123370.0,2022-01-31 16:00:00+00:00
1643659200000,2.788,2.8505,2.7606,2.8231,111274.0,2022-01-31 20:00:00+00:00
1643673600000,2.8247,2.8927,2.7643,2.7966,78380.0,2022-02-01 00:00:00+00:00
1643688000000,2.7983,2.8124,2.7263,2.7805,28345.0,2022-02-01 04:00:00+00:00
1643702400000,2.7931,2.8419,2.7479,2.7835,11161.0,2022-02-01 08:00:00+00:00
1643716800000,2.7839,2.7985,2.675,2.729,48055.0,2022-02-01 12:00:00+00:00
1643731200000,2.7197,2.7564,2.6554,2.6678,40760.0,2022-02-01 16:00:00+00:00
1643745600000,2.6635,2.7155,2.6635,2.6824,44646.0,2022-02-01 20:00:00+00:00
1643760000000,2.6839,2.6845,2.6133,2.6574,33954.0,2022-02-02 00:00:00+00:00
1643774400000,2.6544,2.7202,2.6407,2.714,29804.0,2022-02-02 04:00:00+00:00
1643788800000,2.7118,2.7362,2.6447,2.6852,26050.0,2022-02-02 08:00:00+00:00
1643803200000,2.6981,2.7097,2.5334,2.561,30121.0,2022-02-02 12:00:00+00:00
1643817600000,2.5552,2.6506,2.5154,2.6312,47062.0,2022-02-02 16:00:00+00:00
1643832000000,2.6309,2.6448,2.4978,2.5459,37737.0,2022-02-02 20:00:00+00:00
1643846400000,2.5355,2.5603,2.4384,2.443,44599.0,2022-02-03 00:00:00+00:00
1643860800000,2.4594,2.5858,2.4594,2.5858,4995.0,2022-02-03 04:00:00+00:00
1643875200000,2.5886,2.645,2.4953,2.6445,33105.0,2022-02-03 08:00:00+00:00
1643889600000,2.6318,2.6807,2.5749,2.6218,20359.0,2022-02-03 12:00:00+00:00
1643904000000,2.6249,2.633,2.5368,2.5587,17088.0,2022-02-03 16:00:00+00:00
1643918400000,2.5672,2.679,2.5368,2.679,53641.0,2022-02-03 20:00:00+00:00
1643932800000,2.6827,2.7038,2.6501,2.6682,37245.0,2022-02-04 00:00:00+00:00
1643947200000,2.6658,2.7006,2.6439,2.664,9652.0,2022-02-04 04:00:00+00:00
1643961600000,2.6847,2.6981,2.6349,2.6349,3382.0,2022-02-04 08:00:00+00:00
1643976000000,2.6343,2.7387,2.5788,2.6857,38560.0,2022-02-04 12:00:00+00:00
1643990400000,2.6886,2.7908,2.6886,2.7569,39520.0,2022-02-04 16:00:00+00:00
1644004800000,2.76,2.8261,2.7313,2.8156,47204.0,2022-02-04 20:00:00+00:00
1644019200000,2.7998,3.0288,2.7783,2.957,72422.0,2022-02-05 00:00:00+00:00
1644033600000,2.9656,3.1,2.9631,3.0155,35517.0,2022-02-05 04:00:00+00:00
1644048000000,3.0205,3.0646,3.0098,3.0319,6485.0,2022-02-05 08:00:00+00:00
1644062400000,3.0224,3.0435,2.9534,2.9892,30211.0,2022-02-05 12:00:00+00:00
1644076800000,3.0045,3.0045,2.861,2.9204,20303.0,2022-02-05 16:00:00+00:00
1644091200000,2.922,3.0764,2.9013,3.0115,32715.0,2022-02-05 20:00:00+00:00
1644105600000,3.0315,3.1655,3.0272,3.0892,25558.0,2022-02-06 00:00:00+00:00
1644120000000,3.1013,3.1072,3.0248,3.0738,8880.0,2022-02-06 04:00:00+00:00
1644134400000,3.0731,3.1599,3.0706,3.0706,13210.0,2022-02-06 08:00:00+00:00
1644148800000,3.0951,3.2763,3.0458,3.2579,72631.0,2022-02-06 12:00:00+00:00
1644163200000,3.2756,3.3894,3.2642,3.2916,95272.0,2022-02-06 16:00:00+00:00
1644177600000,3.2923,3.3253,3.1823,3.296,46152.0,2022-02-06 20:00:00+00:00
1644192000000,3.31,3.3791,3.2179,3.3052,79080.0,2022-02-07 00:00:00+00:00
1644206400000,3.298,3.358,3.2529,3.3302,110758.0,2022-02-07 04:00:00+00:00
1644220800000,3.3298,3.3487,3.2515,3.276,5161.0,2022-02-07 08:00:00+00:00
