ts,open,high,low,close,volume,dt
1641340800000,2.386,2.453,2.01,2.18,529562.0,2022-01-05 00:00:00+00:00
1641427200000,2.179,2.297,2.076,2.247,395218.2,2022-01-06 00:00:00+00:00
1641513600000,2.263,2.266,2.043,2.049,570573.2,2022-01-07 00:00:00+00:00
1641600000000,2.06,2.143,1.864,1.986,594520.3,2022-01-08 00:00:00+00:00
1641686400000,1.983,2.166,1.965,2.114,308002.9,2022-01-09 00:00:00+00:00
1641772800000,2.113,2.148,1.922,2.073,530937.9,2022-01-10 00:00:00+00:00
1641859200000,2.062,2.373,2.048,2.357,563887.0,2022-01-11 00:00:00+00:00
1641945600000,2.365,2.449,2.31,2.398,438475.2,2022-01-12 00:00:00+00:00
1642032000000,2.394,2.439,2.242,2.252,418067.9,2022-01-13 00:00:00+00:00
1642118400000,2.261,2.351,2.184,2.336,376084.3,2022-01-14 00:00:00+00:00
1642204800000,2.341,2.4,2.297,2.346,158748.6,2022-01-15 00:00:00+00:00
1642291200000,2.344,2.373,2.284,2.332,106686.4,2022-01-16 00:00:00+00:00
1642377600000,2.334,2.452,2.167,2.22,526061.6,2022-01-17 00:00:00+00:00
1642464000000,2.22,2.246,2.079,2.119,692541.4,2022-01-18 00:00:00+00:00
1642550400000,2.126,2.142,2.015,2.032,552067.3,2022-01-19 00:00:00+00:00
1642636800000,2.038,2.192,1.953,1.956,972353.2,2022-01-20 00:00:00+00:00
1642723200000,1.962,2.027,1.64,1.704,1168693.1,2022-01-21 00:00:00+00:00
1642809600000,1.694,1.755,1.397,1.534,2487512.8,2022-01-22 00:00:00+00:00
1642896000000,1.535,1.668,1.511,1.618,762207.8,2022-01-23 00:00:00+00:00
1642982400000,1.607,1.607,1.307,1.508,1446881.0,2022-01-24 00:00:00+00:00
1643068800000,1.505,1.61,1.41,1.553,524857.5,2022-01-25 00:00:00+00:00
1643155200000,1.557,1.827,1.524,1.59,1127093.4,2022-01-26 00:00:00+00:00
1643241600000,1.584,1.665,1.497,1.59,741779.6,2022-01-27 00:00:00+00:00
1643328000000,1.584,1.702,1.564,1.674,525975.0,2022-01-28 00:00:00+00:00
1643414400000,1.673,1.74,1.651,1.699,367634.7,2022-01-29 00:00:00+00:00
1643500800000,1.693,1.709,1.577,1.605,643248.2,2022-01-30 00:00:00+00:00
1643587200000,1.604,1.656,1.521,1.643,414837.8,2022-01-31 00:00:00+00:00
1643673600000,1.632,1.679,1.613,1.649,492486.8,2022-02-01 00:00:00+00:00
1643760000000,1.649,1.664,1.521,1.547,413470.8,2022-02-02 00:00:00+00:00
1643846400000,1.537,1.56,1.476,1.559,543424.8,2022-02-03 00:00:00+00:00
1643932800000,1.549,1.695,1.537,1.69,308005.6,2022-02-04 00:00:00+00:00
1644019200000,1.696,1.757,1.675,1.711,398362.8,2022-02-05 00:00:00+00:00
1644105600000,1.716,1.756,1.668,1.738,320183.6,2022-02-06 00:00:00+00:00
1644192000000,1.742,2.086,1.698,2.014,881533.6,2022-02-07 00:00:00+00:00
1644278400000,2.024,2.048,1.86,1.939,897057.6,2022-02-08 00:00:00+00:00
1644364800000,1.948,2.059,1.891,2.037,379331.2,2022-02-09 00:00:00+00:00
1644451200000,2.034,2.042,1.874,1.894,884548.0,2022-02-10 00:00:00+00:00
1644537600000,1.894,1.899,1.676,1.715,988525.9,2022-02-11 00:00:00+00:00
1644624000000,1.707,1.763,1.643,1.702,790578.6,2022-02-12 00:00:00+00:00
1644710400000,1.693,1.724,1.643,1.658,463698.8,2022-02-13 00:00:00+00:00
1644796800000,1.664,1.68,1.595,1.657,618055.0,2022-02-14 00:00:00+00:00
1644883200000,1.656,1.877,1.654,1.871,1919684.4,2022-02-15 00:00:00+00:00
1644969600000,1.87,1.881,1.752,1.839,661457.7,2022-02-16 00:00:00+00:00
1645056000000,1.843,1.863,1.647,1.653,557169.8,2022-02-17 00:00:00+00:00
1645142400000,1.652,1.712,1.583,1.595,527321.5,2022-02-18 00:00:00+00:00
1645228800000,1.592,1.641,1.559,1.633,227401.8,2022-02-19 00:00:00+00:00
1645315200000,1.634,1.635,1.494,1.509,301481.6,2022-02-20 00:00:00+00:00
1645401600000,1.508,1.615,1.4,1.402,882296.1,2022-02-21 00:00:00+00:00
1645488000000,1.407,1.473,1.348,1.46,1003976.9,2022-02-22 00:00:00+00:00
1645574400000,1.46,1.596,1.434,1.434,500460.2,2022-02-23 00:00:00+00:00
1645660800000,1.434,1.513,1.246,1.441,1558561.9,2022-02-24 00:00:00+00:00
1645747200000,1.444,1.575,1.404,1.547,680716.9,2022-02-25 00:00:00+00:00
1645833600000,1.557,1.594,1.504,1.513,274893.8,2022-02-26 00:00:00+00:00
1645920000000,1.516,1.546,1.424,1.454,526221.3,2022-02-27 00:00:00+00:00
1646006400000,1.45,1.618,1.422,1.618,725832.2,2022-02-28 00:00:00+00:00
1646092800000,1.615,1.664,1.555,1.623,1186483.9,2022-03-01 00:00:00+00:00
1646179200000,1.617,1.699,1.583,1.63,525988.6,2022-03-02 00:00:00+00:00
1646265600000,1.637,1.652,1.545,1.581,247945.5,2022-03-03 00:00:00+00:00
1646352000000,1.585,1.585,1.453,1.47,287994.6,2022-03-04 00:00:00+00:00
1646438400000,1.47,1.514,1.449,1.507,904760.3,2022-03-05 00:00:00+00:00
1646524800000,1.513,1.519,1.432,1.436,267046.2,2022-03-06 00:00:00+00:00
1646611200000,1.431,1.496,1.369,1.41,509428.5,2022-03-07 00:00:00+00:00
1646697600000,1.412,1.476,1.403,1.445,1178827.3,2022-03-08 00:00:00+00:00
1646784000000,1.446,1.545,1.445,1.505,390856.0,2022-03-09 00:00:00+00:00
1646870400000,1.507,1.51,1.403,1.434,300064.8,2022-03-10 00:00:00+00:00
1646956800000,1.436,1.476,1.405,1.405,221171.9,2022-03-11 00:00:00+00:00
1647043200000,1.404,1.434,1.394,1.394,217966.6,2022-03-12 00:00:00+00:00
1647129600000,1.394,1.42,1.353,1.363,96162.3,2022-03-13 00:00:00+00:00
1647216000000,1.354,1.393,1.33,1.379,192646.0,2022-03-14 00:00:00+00:00
1647302400000,1.379,1.409,1.332,1.377,152482.1,2022-03-15 00:00:00+00:00
1647388800000,1.38,1.471,1.356,1.469,1031489.6,2022-03-16 00:00:00+00:00
1647475200000,1.471,1.499,1.438,1.447,222078.8,2022-03-17 00:00:00+00:00
1647561600000,1.446,1.51,1.417,1.498,204480.4,2022-03-18 00:00:00+00:00
1647648000000,1.499,1.542,1.499,1.529,398960.8,2022-03-19 00:00:00+00:00
1647734400000,1.53,1.536,1.459,1.462,187005.4,2022-03-20 00:00:00+00:00
1647820800000,1.463,1.498,1.443,1.465,132837.5,2022-03-21 00:00:00+00:00
1647907200000,1.461,1.533,1.46,1.503,263636.5,2022-03-22 00:00:00+00:00
1647993600000,1.506,1.558,1.493,1.553,183792.9,2022-03-23 00:00:00+00:00
1648080000000,1.556,1.637,1.545,1.628,421867.4,2022-03-24 00:00:00+00:00
1648166400000,1.631,1.663,1.565,1.576,392031.4,2022-03-25 00:00:00+00:00
1648252800000,1.585,1.615,1.565,1.607,147768.3,2022-03-26 00:00:00+00:00
1648339200000,1.609,1.696,1.602,1.695,472144.7,2022-03-27 00:00:00+00:00
1648425600000,1.695,1.746,1.652,1.655,632640.7,2022-03-28 00:00:00+00:00
1648512000000,1.663,1.736,1.636,1.676,545223.3,2022-03-29 00:00:00+00:00
1648598400000,1.676,1.726,1.629,1.681,285538.5,2022-03-30 00:00:00+00:00
1648684800000,1.678,1.749,1.608,1.613,354406.3,2022-03-31 00:00:00+00:00
1648771200000,1.62,1.712,1.56,1.695,254873.3,2022-04-01 00:00:00+00:00
1648857600000,1.688,1.728,1.647,1.653,405107.7,2022-04-02 00:00:00+00:00
1648944000000,1.657,1.713,1.633,1.69,143378.3,2022-04-03 00:00:00+00:00
1649030400000,1.688,1.688,1.607,1.646,163712.3,2022-04-04 00:00:00+00:00
1649116800000,1.646,1.675,1.585,1.594,280163.7,2022-04-05 00:00:00+00:00
1649203200000,1.591,1.591,1.455,1.46,319040.6,2022-04-06 00:00:00+00:00
1649289600000,1.462,1.522,1.439,1.513,174676.0,2022-04-07 00:00:00+00:00
1649376000000,1.508,1.526,1.424,1.436,125763.2,2022-04-08 00:00:00+00:00
1649462400000,1.437,1.467,1.427,1.464,62583.7,2022-04-09 00:00:00+00:00
1649548800000,1.464,1.489,1.421,1.422,106921.0,2022-04-10 00:00:00+00:00
1649635200000,1.42,1.438,1.314,1.334,231871.1,2022-04-11 00:00:00+00:00
1649721600000,1.336,1.475,1.327,1.395,439121.7,2022-04-12 00:00:00+00:00
1649808000000,1.391,1.437,1.367,1.419,145484.4,2022-04-13 00:00:00+00:00
1649894400000,1.417,1.443,1.353,1.373,181023.0,2022-04-14 00:00:00+00:00
1649980800000,1.372,1.4,1.367,1.397,92678.2,2022-04-15 00:00:00+00:00
1650067200000,1.397,1.403,1.365,1.389,107925.1,2022-04-16 00:00:00+00:00
1650153600000,1.389,1.39,1.334,1.341,186697.4,2022-04-17 00:00:00+00:00
1650240000000,1.337,1.426,1.293,1.422,548389.7,2022-04-18 00:00:00+00:00
1650326400000,1.418,1.449,1.394,1.429,336140.8,2022-04-19 00:00:00+00:00
1650412800000,1.423,1.466,1.397,1.42,252855.2,2022-04-20 00:00:00+00:00
1650499200000,1.419,1.468,1.36,1.38,283940.1,2022-04-21 00:00:00+00:00
1650585600000,1.375,1.505,1.374,1.401,969584.6,2022-04-22 00:00:00+00:00
1650672000000,1.396,1.411,1.343,1.362,254096.4,2022-04-23 00:00:00+00:00
1650758400000,1.363,1.374,1.332,1.344,236269.0,2022-04-24 00:00:00+00:00
1650844800000,1.341,1.356,1.264,1.351,604878.4,2022-04-25 00:00:00+00:00
1650931200000,1.354,1.363,1.225,1.245,465805.1,2022-04-26 00:00:00+00:00
1651017600000,1.244,1.291,1.236,1.256,196536.5,2022-04-27 00:00:00+00:00
1651104000000,1.256,1.28,1.228,1.239,231173.6,2022-04-28 00:00:00+00:00
1651190400000,1.236,1.246,1.128,1.14,430764.3,2022-04-29 00:00:00+00:00
1651276800000,1.143,1.165,1.011,1.033,644831.3,2022-04-30 00:00:00+00:00
1651363200000,1.043,1.123,1.015,1.1,663524.3,2022-05-01 00:00:00+00:00
1651449600000,1.102,1.12,1.036,1.078,636176.8,2022-05-02 00:00:00+00:00
1651536000000,1.077,1.117,1.054,1.075,301124.1,2022-05-03 00:00:00+00:00
1651622400000,1.075,1.174,1.07,1.172,419175.7,2022-05-04 00:00:00+00:00
1651708800000,1.171,1.187,1.029,1.065,632764.0,2022-05-05 00:00:00+00:00
1651795200000,1.064,1.076,1.013,1.042,598277.7,2022-05-06 00:00:00+00:00
1651881600000,1.042,1.067,0.993,1.018,404143.9,2022-05-07 00:00:00+00:00
1651968000000,1.02,1.029,0.962,0.977,334592.4,2022-05-08 00:00:00+00:00
1652054400000,0.98,0.991,0.786,0.805,728541.6,2022-05-09 00:00:00+00:00
1652140800000,0.807,0.988,0.792,0.892,1042000.5,2022-05-10 00:00:00+00:00
1652227200000,0.886,0.912,0.604,0.675,2790426.0,2022-05-11 00:00:00+00:00
1652313600000,0.677,0.718,0.498,0.601,1524259.5,2022-05-12 00:00:00+00:00
1652400000000,0.602,0.751,0.595,0.667,589892.2,2022-05-13 00:00:00+00:00
1652486400000,0.67,0.71,0.617,0.683,390567.9,2022-05-14 00:00:00+00:00
1652572800000,0.687,0.743,0.657,0.743,326420.8,2022-05-15 00:00:00+00:00
1652659200000,0.743,0.744,0.659,0.678,445864.6,2022-05-16 00:00:00+00:00
1652745600000,0.676,0.735,0.675,0.727,214699.2,2022-05-17 00:00:00+00:00
1652832000000,0.726,0.735,0.623,0.624,253589.9,2022-05-18 00:00:00+00:00
1652918400000,0.63,0.672,0.61,0.659,313963.9,2022-05-19 00:00:00+00:00
1653004800000,0.659,0.678,0.618,0.634,274081.2,2022-05-20 00:00:00+00:00
1653091200000,0.632,0.66,0.622,0.651,197194.4,2022-05-21 00:00:00+00:00
1653177600000,0.651,0.682,0.642,0.676,168607.9,2022-05-22 00:00:00+00:00
1653264000000,0.675,0.7,0.636,0.64,559109.5,2022-05-23 00:00:00+00:00
1653350400000,0.641,0.668,0.612,0.663,498306.8,2022-05-24 00:00:00+00:00
1653436800000,0.663,0.673,0.629,0.645,529819.4,2022-05-25 00:00:00+00:00
1653523200000,0.646,0.659,0.578,0.596,545315.5,2022-05-26 00:00:00+00:00
1653609600000,0.6,0.609,0.565,0.573,518276.8,2022-05-27 00:00:00+00:00
1653696000000,0.575,0.596,0.57,0.587,263379.8,2022-05-28 00:00:00+00:00
1653782400000,0.588,0.601,0.575,0.598,179169.2,2022-05-29 00:00:00+00:00
1653868800000,0.6,0.66,0.596,0.658,434234.8,2022-05-30 00:00:00+00:00
1653955200000,0.659,0.684,0.644,0.661,508871.9,2022-05-31 00:00:00+00:00
1654041600000,0.665,0.67,0.586,0.6,628154.6,2022-06-01 00:00:00+00:00
1654128000000,0.598,0.622,0.592,0.619,432131.4,2022-06-02 00:00:00+00:00
1654214400000,0.62,0.621,0.576,0.588,457684.4,2022-06-03 00:00:00+00:00
1654300800000,0.59,0.6,0.577,0.596,163412.7,2022-06-04 00:00:00+00:00
1654387200000,0.597,0.607,0.585,0.598,210261.5,2022-06-05 00:00:00+00:00
1654473600000,0.596,0.655,0.596,0.632,322649.4,2022-06-06 00:00:00+00:00
1654560000000,0.631,0.634,0.584,0.617,241446.2,2022-06-07 00:00:00+00:00
1654646400000,0.619,0.632,0.601,0.606,158145.2,2022-06-08 00:00:00+00:00
1654732800000,0.606,0.652,0.602,0.633,215546.7,2022-06-09 00:00:00+00:00
1654819200000,0.632,0.663,0.591,0.594,386143.6,2022-06-10 00:00:00+00:00
1654905600000,0.592,0.606,0.532,0.538,354146.2,2022-06-11 00:00:00+00:00
