ts,open,high,low,close,volume,dt
1641340800000,2.386,2.422,2.371,2.42,37606.0,2022-01-05 00:00:00+00:00
1641355200000,2.419,2.441,2.395,2.438,46328.7,2022-01-05 04:00:00+00:00
1641369600000,2.432,2.453,2.386,2.393,3704.5,2022-01-05 08:00:00+00:00
1641384000000,2.399,2.409,2.377,2.391,12823.4,2022-01-05 12:00:00+00:00
1641398400000,2.381,2.387,2.237,2.237,41913.4,2022-01-05 16:00:00+00:00
1641412800000,2.242,2.256,2.01,2.18,387186.0,2022-01-05 20:00:00+00:00
1641427200000,2.179,2.22,2.11,2.11,113088.6,2022-01-06 00:00:00+00:00
1641441600000,2.125,2.163,2.102,2.14,49826.7,2022-01-06 04:00:00+00:00
1641456000000,2.144,2.148,2.076,2.107,38157.7,2022-01-06 08:00:00+00:00
1641470400000,2.11,2.232,2.079,2.217,83095.3,2022-01-06 12:00:00+00:00
1641484800000,2.213,2.297,2.186,2.283,73679.8,2022-01-06 16:00:00+00:00
1641499200000,2.28,2.284,2.226,2.247,37370.1,2022-01-06 20:00:00+00:00
1641513600000,2.263,2.266,2.098,2.115,147706.7,2022-01-07 00:00:00+00:00
1641528000000,2.122,2.141,2.063,2.122,97538.6,2022-01-07 04:00:00+00:00
1641542400000,2.126,2.18,2.117,2.144,57698.2,2022-01-07 08:00:00+00:00
1641556800000,2.156,2.186,2.062,2.093,157917.2,2022-01-07 12:00:00+00:00
1641571200000,2.105,2.14,2.06,2.102,74650.5,2022-01-07 16:00:00+00:00
1641585600000,2.104,2.111,2.043,2.049,35062.0,2022-01-07 20:00:00+00:00
1641600000000,2.06,2.123,2.041,2.089,51706.6,2022-01-08 00:00:00+00:00
1641614400000,2.094,2.126,2.094,2.123,15783.8,2022-01-08 04:00:00+00:00
1641628800000,2.126,2.143,2.108,2.108,10393.4,2022-01-08 08:00:00+00:00
1641643200000,2.11,2.111,2.046,2.055,85495.3,2022-01-08 12:00:00+00:00
1641657600000,2.055,2.074,1.864,1.927,359479.4,2022-01-08 16:00:00+00:00
1641672000000,1.931,2.038,1.911,1.986,71661.8,2022-01-08 20:00:00+00:00
1641686400000,1.983,2.032,1.965,2.01,37291.7,2022-01-09 00:00:00+00:00
1641700800000,2.014,2.046,2.012,2.024,35789.7,2022-01-09 04:00:00+00:00
1641715200000,2.024,2.037,1.986,2.037,13920.0,2022-01-09 08:00:00+00:00
1641729600000,2.04,2.044,1.988,2.003,19875.5,2022-01-09 12:00:00+00:00
1641744000000,2.007,2.159,2.007,2.159,135481.2,2022-01-09 16:00:00+00:00
1641758400000,2.155,2.166,2.099,2.114,65644.8,2022-01-09 20:00:00+00:00
1641772800000,2.113,2.144,2.082,2.109,54530.2,2022-01-10 00:00:00+00:00
1641787200000,2.115,2.148,2.111,2.135,37857.0,2022-01-10 04:00:00+00:00
1641801600000,2.126,2.134,2.077,2.077,38744.9,2022-01-10 08:00:00+00:00
1641816000000,2.091,2.091,1.922,1.987,239677.4,2022-01-10 12:00:00+00:00
1641830400000,1.979,2.066,1.969,2.005,118499.4,2022-01-10 16:00:00+00:00
1641844800000,2.011,2.077,1.994,2.073,41629.0,2022-01-10 20:00:00+00:00
1641859200000,2.062,2.173,2.048,2.173,41004.1,2022-01-11 00:00:00+00:00
1641873600000,2.175,2.175,2.139,2.151,75930.7,2022-01-11 04:00:00+00:00
1641888000000,2.165,2.199,2.128,2.199,27276.3,2022-01-11 08:00:00+00:00
1641902400000,2.201,2.262,2.18,2.243,164426.6,2022-01-11 12:00:00+00:00
1641916800000,2.249,2.356,2.248,2.346,209050.1,2022-01-11 16:00:00+00:00
1641931200000,2.342,2.373,2.305,2.357,46199.2,2022-01-11 20:00:00+00:00
1641945600000,2.365,2.387,2.321,2.331,91565.9,2022-01-12 00:00:00+00:00
1641960000000,2.336,2.357,2.31,2.31,29186.8,2022-01-12 04:00:00+00:00
1641974400000,2.325,2.38,2.313,2.352,20455.5,2022-01-12 08:00:00+00:00
1641988800000,2.366,2.449,2.366,2.386,155644.9,2022-01-12 12:00:00+00:00
1642003200000,2.386,2.386,2.31,2.34,87811.7,2022-01-12 16:00:00+00:00
1642017600000,2.34,2.398,2.323,2.398,53810.4,2022-01-12 20:00:00+00:00
1642032000000,2.394,2.439,2.328,2.343,128607.1,2022-01-13 00:00:00+00:00
1642046400000,2.344,2.407,2.344,2.401,62469.3,2022-01-13 04:00:00+00:00
1642060800000,2.4,2.418,2.364,2.37,37345.2,2022-01-13 08:00:00+00:00
1642075200000,2.368,2.435,2.288,2.329,58821.3,2022-01-13 12:00:00+00:00
1642089600000,2.315,2.34,2.255,2.267,95573.0,2022-01-13 16:00:00+00:00
1642104000000,2.27,2.306,2.242,2.252,35252.0,2022-01-13 20:00:00+00:00
