ts,open,high,low,close,volume,dt
1609459200000,584.14,600.38,582.2,597.08,7.72671,2021-01-01 00:00:00+00:00
1609473600000,593.63,597.16,589.38,595.36,31.72362,2021-01-01 04:00:00+00:00
1609488000000,589.79,598.17,589.79,597.5,21.29611,2021-01-01 08:00:00+00:00
1609502400000,597.95,598.75,592.09,598.3,11.43731,2021-01-01 12:00:00+00:00
1609516800000,598.87,598.87,572.99,577.73,10.06722,2021-01-01 16:00:00+00:00
1609531200000,575.11,581.17,573.29,581.14,6.25519,2021-01-01 20:00:00+00:00
1609545600000,577.72,581.82,568.06,580.68,12.97222,2021-01-02 00:00:00+00:00
1609560000000,577.9,594.72,577.89,588.19,22.56643,2021-01-02 04:00:00+00:00
1609574400000,580.69,586.98,579.83,582.64,6.97727,2021-01-02 08:00:00+00:00
1609588800000,585.0,615.45,585.0,609.56,36.15014,2021-01-02 12:00:00+00:00
1609603200000,612.59,613.14,596.36,611.86,32.15915,2021-01-02 16:00:00+00:00
1609617600000,608.32,615.45,590.89,608.64,28.26923,2021-01-02 20:00:00+00:00
1609632000000,613.12,648.0,610.69,642.69,42.18252,2021-01-03 00:00:00+00:00
1609646400000,639.83,658.04,639.83,649.79,34.87995,2021-01-03 04:00:00+00:00
1609660800000,643.4,669.03,638.95,652.64,28.52302,2021-01-03 08:00:00+00:00
1609675200000,651.99,696.04,649.37,682.13,53.83664,2021-01-03 12:00:00+00:00
1609689600000,684.76,698.14,654.26,664.7,19.29498,2021-01-03 16:00:00+00:00
1609704000000,661.28,691.42,659.86,678.57,36.795,2021-01-03 20:00:00+00:00
1609718400000,677.14,695.82,667.87,693.5,17.86869,2021-01-04 00:00:00+00:00
1609732800000,697.62,750.21,690.56,693.0,35.46359,2021-01-04 04:00:00+00:00
1609747200000,699.99,714.2,628.57,666.69,71.45369,2021-01-04 08:00:00+00:00
1609761600000,662.1,692.85,662.1,689.56,20.18907,2021-01-04 12:00:00+00:00
1609776000000,692.85,699.99,663.51,699.99,19.94978,2021-01-04 16:00:00+00:00
1609790400000,699.99,699.99,669.41,685.71,32.29552,2021-01-04 20:00:00+00:00
1609804800000,689.69,719.0,674.79,678.54,28.26739,2021-01-05 00:00:00+00:00
1609819200000,678.67,681.34,657.14,674.58,11.08163,2021-01-05 04:00:00+00:00
1609833600000,674.26,703.57,674.26,702.25,18.7362,2021-01-05 08:00:00+00:00
1609848000000,703.0,718.15,685.71,717.44,20.59321,2021-01-05 12:00:00+00:00
1609862400000,721.42,764.28,714.84,738.57,12.70268,2021-01-05 16:00:00+00:00
1609876800000,732.05,779.57,732.05,764.03,19.99762,2021-01-05 20:00:00+00:00
1609891200000,767.42,769.97,745.65,749.94,12.06638,2021-01-06 00:00:00+00:00
1609905600000,749.94,799.68,749.94,795.68,27.98194,2021-01-06 04:00:00+00:00
