ts,open,high,low,close,volume,dt
1642636800000,16.243,16.667,16.052,16.4,18406.6,2022-01-20 00:00:00+00:00
1642651200000,16.481,16.806,16.35,16.728,500.4,2022-01-20 04:00:00+00:00
1642665600000,16.76,16.76,16.574,16.631,3184.5,2022-01-20 08:00:00+00:00
1642680000000,16.5,17.544,16.356,17.263,958.5,2022-01-20 12:00:00+00:00
1642694400000,17.259,17.371,17.002,17.133,17913.6,2022-01-20 16:00:00+00:00
1642708800000,17.082,17.082,15.227,15.227,11928.5,2022-01-20 20:00:00+00:00
1642723200000,15.147,15.675,14.185,14.525,11546.4,2022-01-21 00:00:00+00:00
1642737600000,14.635,14.948,14.296,14.706,8729.4,2022-01-21 04:00:00+00:00
1642752000000,14.697,14.741,14.3,14.369,1489.3,2022-01-21 08:00:00+00:00
1642766400000,14.05,14.554,13.91,14.473,7141.6,2022-01-21 12:00:00+00:00
1642780800000,14.449,14.459,13.587,13.591,10027.7,2022-01-21 16:00:00+00:00
1642795200000,13.627,13.628,11.958,13.193,13692.5,2022-01-21 20:00:00+00:00
1642809600000,13.161,13.504,12.69,12.705,1388.4,2022-01-22 00:00:00+00:00
1642824000000,12.705,12.705,11.163,11.19,8355.5,2022-01-22 04:00:00+00:00
1642838400000,11.34,11.547,10.093,11.343,21785.7,2022-01-22 08:00:00+00:00
1642852800000,11.424,12.228,11.17,11.17,6926.0,2022-01-22 12:00:00+00:00
1642867200000,11.02,11.825,10.92,11.331,5208.7,2022-01-22 16:00:00+00:00
1642881600000,11.324,11.845,11.171,11.4,2200.8,2022-01-22 20:00:00+00:00
1642896000000,11.529,12.404,11.529,11.867,13841.5,2022-01-23 00:00:00+00:00
1642910400000,11.836,12.148,11.633,11.954,3781.2,2022-01-23 04:00:00+00:00
1642924800000,11.875,12.513,11.74,11.81,6536.9,2022-01-23 08:00:00+00:00
1642939200000,11.875,12.054,11.13,11.272,9733.2,2022-01-23 12:00:00+00:00
1642953600000,11.25,11.485,10.902,10.989,11808.5,2022-01-23 16:00:00+00:00
1642968000000,11.009,11.805,10.885,11.707,6928.9,2022-01-23 20:00:00+00:00
1642982400000,11.54,11.578,10.85,10.983,4878.2,2022-01-24 00:00:00+00:00
1642996800000,10.989,10.997,10.25,10.324,3737.4,2022-01-24 04:00:00+00:00
1643011200000,10.211,10.36,9.567,10.017,12005.6,2022-01-24 08:00:00+00:00
1643025600000,9.917,10.38,9.543,10.368,9534.7,2022-01-24 12:00:00+00:00
1643040000000,10.307,10.75,9.86,10.431,8347.2,2022-01-24 16:00:00+00:00
1643054400000,10.467,11.046,10.467,10.65,4715.9,2022-01-24 20:00:00+00:00
1643068800000,10.664,10.664,10.234,10.419,2308.1,2022-01-25 00:00:00+00:00
1643083200000,10.261,10.261,10.049,10.061,786.8,2022-01-25 04:00:00+00:00
1643097600000,10.428,11.0,10.384,11.0,3179.8,2022-01-25 08:00:00+00:00
1643112000000,10.884,11.389,10.524,11.294,10073.6,2022-01-25 12:00:00+00:00
1643126400000,11.242,12.468,11.242,12.346,16348.3,2022-01-25 16:00:00+00:00
1643140800000,12.346,12.346,11.619,12.106,14713.9,2022-01-25 20:00:00+00:00
1643155200000,12.095,12.391,11.689,11.869,11070.0,2022-01-26 00:00:00+00:00
1643169600000,11.753,12.215,11.474,11.668,4476.6,2022-01-26 04:00:00+00:00
1643184000000,11.828,12.044,11.699,11.915,2912.3,2022-01-26 08:00:00+00:00
1643198400000,11.884,12.569,11.839,12.109,7266.6,2022-01-26 12:00:00+00:00
1643212800000,12.058,12.934,11.582,11.988,21114.8,2022-01-26 16:00:00+00:00
1643227200000,11.917,11.917,10.731,11.276,9856.5,2022-01-26 20:00:00+00:00
1643241600000,11.279,11.406,10.546,10.546,5016.8,2022-01-27 00:00:00+00:00
1643256000000,10.712,11.111,10.576,11.007,2823.5,2022-01-27 04:00:00+00:00
