ts,open,high,low,close,volume,dt
1664971200000,0.9,0.9,0.8383,0.8383,14594.0,2022-10-05 12:00:00+00:00
1664985600000,0.8593,0.8594,0.8593,0.8594,297.0,2022-10-05 16:00:00+00:00
1665000000000,0.8594,0.8594,0.8594,0.8594,0.0,2022-10-05 20:00:00+00:00
1665014400000,0.8594,0.8594,0.8594,0.8594,0.0,2022-10-06 00:00:00+00:00
1665028800000,0.8686,0.8686,0.8594,0.8594,1116.0,2022-10-06 04:00:00+00:00
1665043200000,0.8649,0.8649,0.8518,0.8545,728.0,2022-10-06 08:00:00+00:00
1665057600000,0.8546,0.8546,0.8546,0.8546,1137.0,2022-10-06 12:00:00+00:00
1665072000000,0.8499,0.8499,0.8499,0.8499,1178.0,2022-10-06 16:00:00+00:00
1665086400000,0.8502,0.8502,0.8401,0.8444,226.0,2022-10-06 20:00:00+00:00
1665100800000,0.8444,0.8444,0.8444,0.8444,0.0,2022-10-07 00:00:00+00:00
1665115200000,0.8444,0.8444,0.8444,0.8444,0.0,2022-10-07 04:00:00+00:00
1665129600000,0.8444,0.8444,0.8444,0.8444,0.0,2022-10-07 08:00:00+00:00
1665144000000,0.836,0.8364,0.8315,0.8335,2584.0,2022-10-07 12:00:00+00:00
1665158400000,0.8335,0.8335,0.8335,0.8335,0.0,2022-10-07 16:00:00+00:00
1665172800000,0.8335,0.8341,0.8335,0.8341,1332.0,2022-10-07 20:00:00+00:00
1665187200000,0.8368,0.8405,0.8368,0.8405,73.0,2022-10-08 00:00:00+00:00
1665201600000,0.8402,0.8402,0.8402,0.8402,107.0,2022-10-08 04:00:00+00:00
1665216000000,0.8402,0.8402,0.8402,0.8402,0.0,2022-10-08 08:00:00+00:00
1665230400000,0.8402,0.8402,0.8402,0.8402,0.0,2022-10-08 12:00:00+00:00
1665244800000,0.8402,0.8402,0.8402,0.8402,0.0,2022-10-08 16:00:00+00:00
1665259200000,0.8402,0.8402,0.8402,0.8402,0.0,2022-10-08 20:00:00+00:00
1665273600000,0.8402,0.8402,0.8402,0.8402,0.0,2022-10-09 00:00:00+00:00
1665288000000,0.8298,0.8308,0.8298,0.8308,322.0,2022-10-09 04:00:00+00:00
1665302400000,0.8324,0.8324,0.8324,0.8324,107.0,2022-10-09 08:00:00+00:00
1665316800000,0.8324,0.8324,0.8324,0.8324,0.0,2022-10-09 12:00:00+00:00
1665331200000,0.8324,0.8324,0.8324,0.8324,0.0,2022-10-09 16:00:00+00:00
1665345600000,0.8324,0.8324,0.8324,0.8324,0.0,2022-10-09 20:00:00+00:00
1665360000000,0.8353,0.8353,0.8353,0.8353,24.0,2022-10-10 00:00:00+00:00
1665374400000,0.8319,0.8319,0.8319,0.8319,25.0,2022-10-10 04:00:00+00:00
1665388800000,0.8235,0.8235,0.8235,0.8235,25.0,2022-10-10 08:00:00+00:00
1665403200000,0.8277,0.8277,0.8236,0.8256,202.0,2022-10-10 12:00:00+00:00
1665417600000,0.8242,0.8242,0.8213,0.8213,1911.0,2022-10-10 16:00:00+00:00
1665432000000,0.8244,0.8244,0.8151,0.8151,1627.0,2022-10-10 20:00:00+00:00
1665446400000,0.8067,0.8067,0.7998,0.7998,150.0,2022-10-11 00:00:00+00:00
1665460800000,0.7997,0.7997,0.7902,0.7914,1262.0,2022-10-11 04:00:00+00:00
1665475200000,0.7914,0.7914,0.7914,0.7914,0.0,2022-10-11 08:00:00+00:00
1665489600000,0.7777,0.7777,0.777,0.777,809.0,2022-10-11 12:00:00+00:00
1665504000000,0.7828,0.7844,0.7825,0.7828,15468.0,2022-10-11 16:00:00+00:00
1665518400000,0.7744,0.7744,0.7744,0.7744,103.0,2022-10-11 20:00:00+00:00
1665532800000,0.7761,0.7761,0.7761,0.7761,77.0,2022-10-12 00:00:00+00:00
1665547200000,0.7832,0.7832,0.7832,0.7832,182.0,2022-10-12 04:00:00+00:00
1665561600000,0.7876,0.7876,0.7873,0.7873,2139.0,2022-10-12 08:00:00+00:00
1665576000000,0.7795,0.7795,0.7795,0.7795,150.0,2022-10-12 12:00:00+00:00
1665590400000,0.7807,0.7807,0.7807,0.7807,266.0,2022-10-12 16:00:00+00:00
1665604800000,0.7807,0.7807,0.7807,0.7807,0.0,2022-10-12 20:00:00+00:00
1665619200000,0.7585,0.7585,0.7585,0.7585,48.0,2022-10-13 00:00:00+00:00
1665633600000,0.7452,0.7518,0.7419,0.7456,4641.0,2022-10-13 04:00:00+00:00
1665648000000,0.7348,0.7348,0.7232,0.7277,2497.0,2022-10-13 08:00:00+00:00
1665662400000,0.7233,0.7505,0.7233,0.7505,7142.0,2022-10-13 12:00:00+00:00
1665676800000,0.7646,0.7646,0.7646,0.7646,13.0,2022-10-13 16:00:00+00:00
1665691200000,0.7655,0.7655,0.7655,0.7655,27.0,2022-10-13 20:00:00+00:00
1665705600000,0.7899,0.7899,0.7899,0.7899,14.0,2022-10-14 00:00:00+00:00
1665720000000,0.7821,0.7821,0.7821,0.7821,29.0,2022-10-14 04:00:00+00:00
1665734400000,0.7785,0.7785,0.7785,0.7785,16.0,2022-10-14 08:00:00+00:00
1665748800000,0.7785,0.7785,0.7785,0.7785,0.0,2022-10-14 12:00:00+00:00
1665763200000,0.7637,0.7637,0.7635,0.7635,55.0,2022-10-14 16:00:00+00:00
1665777600000,0.7479,0.7479,0.7479,0.7479,26.0,2022-10-14 20:00:00+00:00
1665792000000,0.7479,0.7479,0.7479,0.7479,0.0,2022-10-15 00:00:00+00:00
1665806400000,0.7479,0.7479,0.7479,0.7479,0.0,2022-10-15 04:00:00+00:00
