ts,open,high,low,close,volume,dt
1642723200000,5.872,5.872,5.49,5.569,887.4,2022-01-21 00:00:00+00:00
1642737600000,5.719,5.776,5.68,5.765,1231.9,2022-01-21 04:00:00+00:00
1642752000000,5.755,5.755,5.641,5.657,3574.7,2022-01-21 08:00:00+00:00
1642766400000,5.628,5.635,5.38,5.635,26046.9,2022-01-21 12:00:00+00:00
1642780800000,5.622,5.681,5.46,5.46,28147.0,2022-01-21 16:00:00+00:00
1642795200000,5.398,5.476,4.793,4.961,153132.9,2022-01-21 20:00:00+00:00
1642809600000,4.933,5.108,4.929,4.965,18541.6,2022-01-22 00:00:00+00:00
1642824000000,5.03,5.03,4.449,4.489,23067.4,2022-01-22 04:00:00+00:00
1642838400000,4.508,4.594,3.995,4.402,79325.5,2022-01-22 08:00:00+00:00
1642852800000,4.404,4.754,4.391,4.391,29487.4,2022-01-22 12:00:00+00:00
1642867200000,4.328,4.569,4.252,4.31,19054.0,2022-01-22 16:00:00+00:00
1642881600000,4.337,4.526,4.337,4.404,27466.5,2022-01-22 20:00:00+00:00
1642896000000,4.403,4.649,4.358,4.431,4662.1,2022-01-23 00:00:00+00:00
1642910400000,4.452,4.621,4.452,4.596,5935.6,2022-01-23 04:00:00+00:00
1642924800000,4.593,4.72,4.587,4.616,3177.0,2022-01-23 08:00:00+00:00
1642939200000,4.608,4.772,4.479,4.57,33847.9,2022-01-23 12:00:00+00:00
1642953600000,4.634,4.676,4.343,4.362,13215.9,2022-01-23 16:00:00+00:00
1642968000000,4.348,4.698,4.316,4.652,21556.1,2022-01-23 20:00:00+00:00
1642982400000,4.624,4.624,4.399,4.438,3761.6,2022-01-24 00:00:00+00:00
1642996800000,4.447,4.452,4.193,4.193,12926.1,2022-01-24 04:00:00+00:00
1643011200000,4.199,4.257,3.844,3.89,36986.9,2022-01-24 08:00:00+00:00
1643025600000,3.913,4.182,3.812,4.136,48644.0,2022-01-24 12:00:00+00:00
1643040000000,4.123,4.337,4.04,4.3,13510.9,2022-01-24 16:00:00+00:00
1643054400000,4.321,4.479,4.321,4.453,10310.4,2022-01-24 20:00:00+00:00
1643068800000,4.366,4.396,4.27,4.325,1586.4,2022-01-25 00:00:00+00:00
1643083200000,4.355,4.385,4.35,4.367,448.2,2022-01-25 04:00:00+00:00
1643097600000,4.419,4.465,4.349,4.442,1465.1,2022-01-25 08:00:00+00:00
1643112000000,4.5,4.51,4.364,4.49,6016.8,2022-01-25 12:00:00+00:00
1643126400000,4.434,4.639,4.434,4.603,2231.4,2022-01-25 16:00:00+00:00
1643140800000,4.557,4.557,4.483,4.484,2414.6,2022-01-25 20:00:00+00:00
1643155200000,4.522,4.522,4.22,4.312,17719.6,2022-01-26 00:00:00+00:00
1643169600000,4.339,4.416,4.339,4.368,4441.7,2022-01-26 04:00:00+00:00
1643184000000,4.466,4.509,4.442,4.509,8393.4,2022-01-26 08:00:00+00:00
1643198400000,4.502,4.756,4.426,4.607,28743.4,2022-01-26 12:00:00+00:00
1643212800000,4.635,4.791,4.422,4.53,51336.9,2022-01-26 16:00:00+00:00
1643227200000,4.452,4.452,4.128,4.261,21689.8,2022-01-26 20:00:00+00:00
1643241600000,4.253,4.281,4.031,4.064,5633.1,2022-01-27 00:00:00+00:00
1643256000000,4.105,4.165,4.105,4.156,2456.1,2022-01-27 04:00:00+00:00
1643270400000,4.12,4.191,4.077,4.143,9211.2,2022-01-27 08:00:00+00:00
1643284800000,4.179,4.267,4.164,4.188,1167.4,2022-01-27 12:00:00+00:00
1643299200000,4.223,4.223,3.988,4.024,12002.9,2022-01-27 16:00:00+00:00
1643313600000,3.981,4.077,3.86,4.057,30462.5,2022-01-27 20:00:00+00:00
1643328000000,4.068,4.181,4.019,4.133,19289.2,2022-01-28 00:00:00+00:00
1643342400000,4.156,4.162,4.083,4.125,10978.5,2022-01-28 04:00:00+00:00
1643356800000,4.1,4.1,3.981,3.997,9224.1,2022-01-28 08:00:00+00:00
1643371200000,4.031,4.09,3.937,4.086,15154.8,2022-01-28 12:00:00+00:00
1643385600000,4.102,4.172,4.052,4.091,21408.1,2022-01-28 16:00:00+00:00
1643400000000,4.104,4.215,4.074,4.173,7206.6,2022-01-28 20:00:00+00:00
1643414400000,4.177,4.244,4.135,4.196,6563.8,2022-01-29 00:00:00+00:00
1643428800000,4.175,4.245,4.158,4.245,9291.7,2022-01-29 04:00:00+00:00
1643443200000,4.234,4.234,4.186,4.186,3693.4,2022-01-29 08:00:00+00:00
1643457600000,4.212,4.313,4.151,4.156,12598.1,2022-01-29 12:00:00+00:00
1643472000000,4.135,4.213,4.135,4.194,15343.8,2022-01-29 16:00:00+00:00
1643486400000,4.15,4.269,4.145,4.185,23351.9,2022-01-29 20:00:00+00:00
1643500800000,4.187,4.187,4.082,4.149,9730.0,2022-01-30 00:00:00+00:00
1643515200000,4.18,4.228,4.177,4.228,5524.9,2022-01-30 04:00:00+00:00
1643529600000,4.234,4.345,4.194,4.26,27457.9,2022-01-30 08:00:00+00:00
1643544000000,4.297,4.297,4.184,4.234,11084.6,2022-01-30 12:00:00+00:00
1643558400000,4.274,4.274,4.018,4.018,13011.3,2022-01-30 16:00:00+00:00
1643572800000,4.036,4.159,4.026,4.101,15287.4,2022-01-30 20:00:00+00:00
1643587200000,4.051,4.064,3.892,3.942,22283.2,2022-01-31 00:00:00+00:00
1643601600000,3.917,3.984,3.872,3.984,6397.4,2022-01-31 04:00:00+00:00
1643616000000,3.97,4.023,3.97,4.015,689.9,2022-01-31 08:00:00+00:00
1643630400000,4.027,4.225,3.974,4.198,12736.6,2022-01-31 12:00:00+00:00
1643644800000,4.189,4.304,4.189,4.215,20389.3,2022-01-31 16:00:00+00:00
1643659200000,4.224,4.233,4.196,4.217,9641.6,2022-01-31 20:00:00+00:00
1643673600000,4.204,4.295,4.204,4.287,10259.3,2022-02-01 00:00:00+00:00
1643688000000,4.301,4.346,4.238,4.331,10846.7,2022-02-01 04:00:00+00:00
1643702400000,4.322,4.42,4.271,4.391,25246.3,2022-02-01 08:00:00+00:00
1643716800000,4.385,4.441,4.341,4.388,21762.2,2022-02-01 12:00:00+00:00
1643731200000,4.379,4.487,4.352,4.381,10069.1,2022-02-01 16:00:00+00:00
1643745600000,4.388,4.451,4.337,4.345,8060.6,2022-02-01 20:00:00+00:00
1643760000000,4.366,4.366,4.283,4.321,9584.8,2022-02-02 00:00:00+00:00
1643774400000,4.323,4.359,4.302,4.359,14288.3,2022-02-02 04:00:00+00:00
1643788800000,4.354,4.389,4.354,4.379,3166.3,2022-02-02 08:00:00+00:00
1643803200000,4.401,4.432,4.17,4.21,31911.1,2022-02-02 12:00:00+00:00
1643817600000,4.172,4.274,4.121,4.274,13956.6,2022-02-02 16:00:00+00:00
1643832000000,4.243,4.257,4.041,4.095,27570.0,2022-02-02 20:00:00+00:00
1643846400000,4.103,4.132,4.031,4.031,13339.7,2022-02-03 00:00:00+00:00
1643860800000,4.044,4.073,4.017,4.073,5219.2,2022-02-03 04:00:00+00:00
1643875200000,4.09,4.102,3.969,4.039,7212.0,2022-02-03 08:00:00+00:00
1643889600000,4.008,4.046,3.97,4.046,10293.9,2022-02-03 12:00:00+00:00
1643904000000,4.07,4.072,3.97,3.987,3227.8,2022-02-03 16:00:00+00:00
1643918400000,3.984,4.095,3.94,4.095,953.4,2022-02-03 20:00:00+00:00
1643932800000,4.082,4.114,4.043,4.075,2039.8,2022-02-04 00:00:00+00:00
1643947200000,4.073,4.177,4.059,4.165,2729.0,2022-02-04 04:00:00+00:00
1643961600000,4.166,4.196,4.163,4.167,2688.2,2022-02-04 08:00:00+00:00
1643976000000,4.161,4.277,4.078,4.222,20063.4,2022-02-04 12:00:00+00:00
1643990400000,4.238,4.304,4.238,4.301,17576.2,2022-02-04 16:00:00+00:00
1644004800000,4.279,4.477,4.278,4.429,24375.4,2022-02-04 20:00:00+00:00
1644019200000,4.431,4.645,4.431,4.612,18669.7,2022-02-05 00:00:00+00:00
1644033600000,4.639,4.853,4.639,4.831,23322.8,2022-02-05 04:00:00+00:00
1644048000000,4.822,4.895,4.763,4.828,25679.8,2022-02-05 08:00:00+00:00
1644062400000,4.806,4.873,4.76,4.817,18800.8,2022-02-05 12:00:00+00:00
1644076800000,4.805,4.816,4.598,4.63,38415.8,2022-02-05 16:00:00+00:00
1644091200000,4.621,4.723,4.616,4.708,10158.2,2022-02-05 20:00:00+00:00
1644105600000,4.687,4.765,4.684,4.689,6137.0,2022-02-06 00:00:00+00:00
1644120000000,4.689,4.705,4.579,4.696,11658.3,2022-02-06 04:00:00+00:00
1644134400000,4.685,4.718,4.653,4.677,4576.0,2022-02-06 08:00:00+00:00
1644148800000,4.676,4.715,4.472,4.568,21331.2,2022-02-06 12:00:00+00:00
1644163200000,4.572,4.625,4.572,4.614,6402.1,2022-02-06 16:00:00+00:00
1644177600000,4.632,4.805,4.621,4.798,20814.3,2022-02-06 20:00:00+00:00
1644192000000,4.811,4.818,4.689,4.812,14673.2,2022-02-07 00:00:00+00:00
1644206400000,4.768,4.872,4.763,4.801,9391.7,2022-02-07 04:00:00+00:00
1644220800000,4.823,4.827,4.722,4.796,3649.1,2022-02-07 08:00:00+00:00
1644235200000,4.805,4.962,4.763,4.896,12223.7,2022-02-07 12:00:00+00:00
1644249600000,4.915,4.93,4.814,4.89,23674.3,2022-02-07 16:00:00+00:00
1644264000000,4.907,4.96,4.818,4.96,7620.7,2022-02-07 20:00:00+00:00
1644278400000,4.975,4.982,4.808,4.845,6766.0,2022-02-08 00:00:00+00:00
1644292800000,4.862,5.091,4.846,4.943,18205.6,2022-02-08 04:00:00+00:00
1644307200000,4.92,4.928,4.619,4.739,27013.9,2022-02-08 08:00:00+00:00
1644321600000,4.726,4.726,4.544,4.592,20877.8,2022-02-08 12:00:00+00:00
