ts,open,high,low,close,volume,dt
1609459200000,5.1514,5.2696,5.0,5.1583,56555.22,2021-01-01 00:00:00+00:00
1609473600000,5.1523,5.1523,4.8605,4.988,37821.26,2021-01-01 04:00:00+00:00
1609488000000,5.0044,5.1086,4.8714,5.0054,23670.55,2021-01-01 08:00:00+00:00
1609502400000,5.0,5.0466,4.7232,4.7805,44566.99,2021-01-01 12:00:00+00:00
1609516800000,4.7805,4.8681,4.6103,4.818,46380.75,2021-01-01 16:00:00+00:00
1609531200000,4.8147,4.8844,4.6909,4.7488,28263.03,2021-01-01 20:00:00+00:00
1609545600000,4.7163,4.8212,4.499,4.8085,39398.34,2021-01-02 00:00:00+00:00
1609560000000,4.7895,4.9333,4.6643,4.6837,41205.02,2021-01-02 04:00:00+00:00
1609574400000,4.699,4.699,4.4852,4.6123,31533.07,2021-01-02 08:00:00+00:00
1609588800000,4.6207,4.8787,4.527,4.8787,34813.97,2021-01-02 12:00:00+00:00
1609603200000,4.8962,5.1692,4.6918,5.0572,59410.4,2021-01-02 16:00:00+00:00
1609617600000,5.0774,5.1469,4.6615,4.8595,56080.89,2021-01-02 20:00:00+00:00
1609632000000,4.8548,4.8824,4.7205,4.7205,23423.91,2021-01-03 00:00:00+00:00
1609646400000,4.7293,4.994,4.6621,4.7776,34325.85,2021-01-03 04:00:00+00:00
1609660800000,4.7881,5.15,4.7066,5.0839,34904.4,2021-01-03 08:00:00+00:00
1609675200000,5.0821,5.4337,5.0227,5.2354,79466.6,2021-01-03 12:00:00+00:00
1609689600000,5.2775,5.3866,4.9961,5.1271,29227.65,2021-01-03 16:00:00+00:00
1609704000000,5.15,5.6378,5.15,5.5152,32576.68,2021-01-03 20:00:00+00:00
1609718400000,5.5202,5.9929,5.3578,5.9651,57483.52,2021-01-04 00:00:00+00:00
1609732800000,5.9531,6.1988,5.4952,5.6533,67097.39,2021-01-04 04:00:00+00:00
1609747200000,5.6613,5.75,4.911,5.3014,38574.35,2021-01-04 08:00:00+00:00
1609761600000,5.2458,5.5734,5.2188,5.3793,15884.04,2021-01-04 12:00:00+00:00
1609776000000,5.384,5.4403,5.1539,5.4247,15051.82,2021-01-04 16:00:00+00:00
1609790400000,5.4444,5.475,5.1806,5.431,12929.49,2021-01-04 20:00:00+00:00
1609804800000,5.4395,5.7413,5.256,5.2914,36182.91,2021-01-05 00:00:00+00:00
1609819200000,5.2843,5.4467,5.2151,5.4103,17530.0,2021-01-05 04:00:00+00:00
1609833600000,5.4419,5.938,5.4419,5.9184,18326.59,2021-01-05 08:00:00+00:00
1609848000000,5.9247,6.1971,5.6686,6.1925,29262.29,2021-01-05 12:00:00+00:00
1609862400000,6.2,6.5444,6.086,6.3863,29993.62,2021-01-05 16:00:00+00:00
1609876800000,6.3963,6.55,6.2321,6.25,41363.3,2021-01-05 20:00:00+00:00
1609891200000,6.3,6.3458,6.0217,6.201,29807.65,2021-01-06 00:00:00+00:00
1609905600000,6.209,6.4304,6.1,6.15,20272.53,2021-01-06 04:00:00+00:00
1609920000000,6.1692,6.35,6.0474,6.2939,13154.68,2021-01-06 08:00:00+00:00
1609934400000,6.3,6.379,6.1666,6.1736,20281.59,2021-01-06 12:00:00+00:00
1609948800000,6.217,6.5938,6.2,6.2,16205.53,2021-01-06 16:00:00+00:00
1609963200000,6.2179,6.4103,6.0529,6.4103,23237.34,2021-01-06 20:00:00+00:00
1609977600000,6.4268,6.4268,6.1763,6.3,24410.44,2021-01-07 00:00:00+00:00
1609992000000,6.3085,6.3085,6.132,6.2075,14295.94,2021-01-07 04:00:00+00:00
1610006400000,6.2339,6.2806,6.0964,6.1978,6659.69,2021-01-07 08:00:00+00:00
1610020800000,6.1712,6.7063,6.1549,6.6426,19360.13,2021-01-07 12:00:00+00:00
1610035200000,6.6602,6.8087,6.0101,6.3063,52330.86,2021-01-07 16:00:00+00:00
1610049600000,6.3307,6.4873,6.1637,6.2602,27542.22,2021-01-07 20:00:00+00:00
1610064000000,6.2756,6.2922,5.485,5.8346,46210.14,2021-01-08 00:00:00+00:00
1610078400000,5.8287,6.1255,5.7363,6.1255,9947.79,2021-01-08 04:00:00+00:00
1610092800000,6.137,6.3627,6.0318,6.2167,15345.05,2021-01-08 08:00:00+00:00
1610107200000,6.2238,6.2634,5.8715,5.9666,25085.56,2021-01-08 12:00:00+00:00
1610121600000,6.0036,6.1255,5.7363,5.7915,15467.42,2021-01-08 16:00:00+00:00
1610136000000,5.7657,5.9237,5.6068,5.8727,11547.08,2021-01-08 20:00:00+00:00
1610150400000,5.8789,6.1255,5.6666,6.0679,16423.15,2021-01-09 00:00:00+00:00
1610164800000,6.0808,6.0808,5.7829,5.8986,10704.13,2021-01-09 04:00:00+00:00
1610179200000,5.9407,6.2377,5.9143,6.1275,15842.58,2021-01-09 08:00:00+00:00
1610193600000,6.1664,6.2466,6.0094,6.1106,7350.17,2021-01-09 12:00:00+00:00
1610208000000,6.1255,6.2442,5.9942,6.1854,7209.67,2021-01-09 16:00:00+00:00
1610222400000,6.2037,6.3484,6.1499,6.2243,11913.29,2021-01-09 20:00:00+00:00
1610236800000,6.2228,6.4692,6.2228,6.2471,20000.97,2021-01-10 00:00:00+00:00
1610251200000,6.2944,6.5767,6.2681,6.5286,18582.5,2021-01-10 04:00:00+00:00
1610265600000,6.5369,6.5369,6.0008,6.0157,18099.89,2021-01-10 08:00:00+00:00
1610280000000,6.0034,6.1793,5.8352,6.1027,11239.45,2021-01-10 12:00:00+00:00
1610294400000,6.0877,6.15,5.7868,5.7954,8510.56,2021-01-10 16:00:00+00:00
1610308800000,5.8255,6.0708,5.5335,5.998,18254.54,2021-01-10 20:00:00+00:00
1610323200000,5.9727,5.9727,5.1209,5.3865,33653.14,2021-01-11 00:00:00+00:00
1610337600000,5.3872,5.5196,5.2776,5.3309,19960.39,2021-01-11 04:00:00+00:00
1610352000000,5.3847,5.5602,5.2776,5.2776,9057.15,2021-01-11 08:00:00+00:00
1610366400000,5.2877,5.4093,4.7249,4.8687,37583.72,2021-01-11 12:00:00+00:00
1610380800000,4.8684,4.9539,4.4161,4.7797,46769.42,2021-01-11 16:00:00+00:00
1610395200000,4.737,5.2574,4.6642,5.2572,26769.14,2021-01-11 20:00:00+00:00
1610409600000,5.2495,5.3032,5.0352,5.2724,17413.98,2021-01-12 00:00:00+00:00
1610424000000,5.2916,5.6983,5.216,5.5007,34910.81,2021-01-12 04:00:00+00:00
1610438400000,5.4736,5.5054,5.2231,5.363,7419.68,2021-01-12 08:00:00+00:00
