ts,open,high,low,close,volume,dt
1609459200000,0.21918,0.24983,0.216,0.2375,15956505.7,2021-01-01 00:00:00+00:00
1609545600000,0.23738,0.23796,0.21,0.22101,6975599.2,2021-01-02 00:00:00+00:00
1609632000000,0.22078,0.23843,0.215,0.22351,5885059.7,2021-01-03 00:00:00+00:00
1609718400000,0.22574,0.2614,0.2195,0.23576,8533376.0,2021-01-04 00:00:00+00:00
1609804800000,0.23614,0.24163,0.21756,0.22578,5303996.3,2021-01-05 00:00:00+00:00
1609891200000,0.22618,0.27436,0.22161,0.24883,10225047.5,2021-01-06 00:00:00+00:00
1609977600000,0.24833,0.37,0.24523,0.324,24104539.4,2021-01-07 00:00:00+00:00
1610064000000,0.32499,0.34576,0.28521,0.32134,13519430.7,2021-01-08 00:00:00+00:00
1610150400000,0.3204,0.33921,0.30582,0.32469,5336839.7,2021-01-09 00:00:00+00:00
1610236800000,0.32503,0.36837,0.289,0.31567,8533697.8,2021-01-10 00:00:00+00:00
1610323200000,0.31537,0.31537,0.25435,0.28757,6868858.0,2021-01-11 00:00:00+00:00
1610409600000,0.2878,0.30949,0.27817,0.29248,4609502.2,2021-01-12 00:00:00+00:00
1610496000000,0.29177,0.30502,0.28521,0.29691,2326492.8,2021-01-13 00:00:00+00:00
1689292800000,0.7725,2.0,0.56,0.72,432668.0,2023-07-14 00:00:00+00:00
1689379200000,0.7202,0.736,0.6937,0.7157,605759.0,2023-07-15 00:00:00+00:00
1689465600000,0.7197,0.7896,0.7026,0.7488,442580.0,2023-07-16 00:00:00+00:00
1689552000000,0.7488,0.7698,0.7155,0.739,722527.0,2023-07-17 00:00:00+00:00
1689638400000,0.7401,0.784,0.7323,0.7825,506176.0,2023-07-18 00:00:00+00:00
1689724800000,0.7774,0.85,0.7725,0.8211,1156976.0,2023-07-19 00:00:00+00:00
1689811200000,0.8211,0.848,0.7727,0.7948,867591.0,2023-07-20 00:00:00+00:00
1689897600000,0.7928,0.8,0.7612,0.7713,400296.0,2023-07-21 00:00:00+00:00
1689984000000,0.7707,0.7789,0.7243,0.7341,337099.0,2023-07-22 00:00:00+00:00
1690070400000,0.734,0.7513,0.7159,0.7402,515946.0,2023-07-23 00:00:00+00:00
1690156800000,0.7371,0.7424,0.6827,0.7016,738878.0,2023-07-24 00:00:00+00:00
1690243200000,0.7016,0.7142,0.6741,0.7098,692905.0,2023-07-25 00:00:00+00:00
1690329600000,0.7093,0.7304,0.6946,0.7164,463481.0,2023-07-26 00:00:00+00:00
1690416000000,0.7164,0.7317,0.7079,0.7145,305560.0,2023-07-27 00:00:00+00:00
1690502400000,0.7124,0.7184,0.7038,0.712,183977.0,2023-07-28 00:00:00+00:00
1690588800000,0.712,0.7152,0.7053,0.7126,239932.0,2023-07-29 00:00:00+00:00
1690675200000,0.7116,0.7358,0.6916,0.7061,249890.0,2023-07-30 00:00:00+00:00
1690761600000,0.7045,0.7205,0.6859,0.7002,217264.0,2023-07-31 00:00:00+00:00
1690848000000,0.6991,0.7079,0.6781,0.7069,217800.0,2023-08-01 00:00:00+00:00
1690934400000,0.7061,0.7072,0.6776,0.6861,304149.0,2023-08-02 00:00:00+00:00
