ts,open,high,low,close,volume,dt
1609459200000,0.21918,0.22908,0.216,0.22709,2198056.8,2021-01-01 00:00:00+00:00
1609473600000,0.22747,0.24967,0.22586,0.22913,4492993.4,2021-01-01 04:00:00+00:00
1609488000000,0.23033,0.24168,0.2259,0.23758,2283133.5,2021-01-01 08:00:00+00:00
1609502400000,0.23759,0.24419,0.23184,0.24334,1710847.1,2021-01-01 12:00:00+00:00
1609516800000,0.24332,0.24983,0.2296,0.23401,4503250.3,2021-01-01 16:00:00+00:00
1609531200000,0.23348,0.24074,0.23278,0.2375,768224.6,2021-01-01 20:00:00+00:00
1609545600000,0.23738,0.23796,0.23085,0.23478,644741.0,2021-01-02 00:00:00+00:00
1609560000000,0.23485,0.23637,0.23231,0.23326,424162.6,2021-01-02 04:00:00+00:00
1609574400000,0.23385,0.23451,0.22194,0.22763,1685565.7,2021-01-02 08:00:00+00:00
1609588800000,0.22758,0.23324,0.22583,0.22888,809259.8,2021-01-02 12:00:00+00:00
1609603200000,0.22713,0.22837,0.21562,0.22061,2006999.4,2021-01-02 16:00:00+00:00
1609617600000,0.22105,0.22874,0.21,0.22101,1404870.7,2021-01-02 20:00:00+00:00
1609632000000,0.22078,0.22331,0.217,0.22174,740589.0,2021-01-03 00:00:00+00:00
1609646400000,0.22166,0.225,0.215,0.21723,367484.0,2021-01-03 04:00:00+00:00
1609660800000,0.2177,0.22605,0.21603,0.22085,654490.3,2021-01-03 08:00:00+00:00
1609675200000,0.22124,0.22463,0.2175,0.22071,712067.0,2021-01-03 12:00:00+00:00
1609689600000,0.22091,0.23843,0.21907,0.2251,2500352.4,2021-01-03 16:00:00+00:00
1609704000000,0.22616,0.22933,0.22265,0.22351,910077.0,2021-01-03 20:00:00+00:00
1609718400000,0.22574,0.23527,0.22302,0.23222,636848.1,2021-01-04 00:00:00+00:00
1609732800000,0.23222,0.2614,0.2305,0.23993,2082373.1,2021-01-04 04:00:00+00:00
1609747200000,0.24097,0.24516,0.2195,0.23153,2214804.0,2021-01-04 08:00:00+00:00
1609761600000,0.23171,0.235,0.22541,0.23377,1368926.2,2021-01-04 12:00:00+00:00
1609776000000,0.23442,0.24238,0.22791,0.23119,1255717.6,2021-01-04 16:00:00+00:00
1609790400000,0.23154,0.23762,0.22812,0.23576,974707.0,2021-01-04 20:00:00+00:00
1609804800000,0.23614,0.23935,0.22718,0.22803,1045996.6,2021-01-05 00:00:00+00:00
1609819200000,0.22887,0.23128,0.22521,0.2298,579949.4,2021-01-05 04:00:00+00:00
1609833600000,0.23047,0.24163,0.23014,0.23761,605765.3,2021-01-05 08:00:00+00:00
1609848000000,0.23877,0.23877,0.21756,0.22687,1169913.2,2021-01-05 12:00:00+00:00
1609862400000,0.22702,0.22948,0.22179,0.22481,796623.2,2021-01-05 16:00:00+00:00
1609876800000,0.22474,0.22722,0.22214,0.22578,1105748.6,2021-01-05 20:00:00+00:00
1609891200000,0.22618,0.235,0.22161,0.22518,1343240.1,2021-01-06 00:00:00+00:00
1609905600000,0.22546,0.22959,0.2246,0.2269,1247627.6,2021-01-06 04:00:00+00:00
1609920000000,0.22727,0.23303,0.22456,0.22739,583366.2,2021-01-06 08:00:00+00:00
1609934400000,0.22753,0.27436,0.22703,0.24686,3595146.8,2021-01-06 12:00:00+00:00
1609948800000,0.24718,0.257,0.23808,0.24699,1928323.6,2021-01-06 16:00:00+00:00
1609963200000,0.24912,0.25499,0.2365,0.24883,1527343.2,2021-01-06 20:00:00+00:00
1609977600000,0.24833,0.27781,0.24523,0.27735,2212513.1,2021-01-07 00:00:00+00:00
1609992000000,0.27972,0.3205,0.27482,0.28836,7076184.4,2021-01-07 04:00:00+00:00
1610006400000,0.2899,0.3632,0.275,0.35855,4786686.2,2021-01-07 08:00:00+00:00
1610020800000,0.35855,0.3608,0.323,0.33602,2878109.7,2021-01-07 12:00:00+00:00
1610035200000,0.33647,0.37,0.25,0.32706,5231506.4,2021-01-07 16:00:00+00:00
1610049600000,0.32892,0.34545,0.31,0.324,1919539.6,2021-01-07 20:00:00+00:00
1610064000000,0.32499,0.34576,0.28521,0.30378,5840246.1,2021-01-08 00:00:00+00:00
1610078400000,0.30236,0.32501,0.29756,0.32133,1696389.8,2021-01-08 04:00:00+00:00
1610092800000,0.32157,0.3445,0.31557,0.32821,2006382.0,2021-01-08 08:00:00+00:00
1610107200000,0.32825,0.33124,0.30369,0.31246,2002544.4,2021-01-08 12:00:00+00:00
1610121600000,0.31392,0.32142,0.30469,0.31048,878083.3,2021-01-08 16:00:00+00:00
1610136000000,0.3095,0.32414,0.29654,0.32134,1095785.1,2021-01-08 20:00:00+00:00
1610150400000,0.3204,0.33016,0.30582,0.32246,1748679.6,2021-01-09 00:00:00+00:00
1610164800000,0.32102,0.32218,0.30864,0.3171,652532.3,2021-01-09 04:00:00+00:00
1610179200000,0.31761,0.33164,0.31376,0.32148,675022.8,2021-01-09 08:00:00+00:00
1610193600000,0.32295,0.32938,0.31662,0.32194,599397.6,2021-01-09 12:00:00+00:00
1610208000000,0.32283,0.32887,0.31452,0.32667,652811.4,2021-01-09 16:00:00+00:00
1610222400000,0.32736,0.33921,0.32253,0.32469,1008396.0,2021-01-09 20:00:00+00:00
1610236800000,0.32503,0.33962,0.32503,0.33198,781103.9,2021-01-10 00:00:00+00:00
1610251200000,0.33186,0.36837,0.33118,0.35194,2172177.5,2021-01-10 04:00:00+00:00
1610265600000,0.35399,0.35849,0.31631,0.3217,1447646.3,2021-01-10 08:00:00+00:00
1610280000000,0.32444,0.3372,0.31669,0.32785,1007073.2,2021-01-10 12:00:00+00:00
1610294400000,0.32666,0.33028,0.30922,0.31235,1748505.0,2021-01-10 16:00:00+00:00
1610308800000,0.313,0.31908,0.289,0.31567,1377191.9,2021-01-10 20:00:00+00:00
1610323200000,0.31537,0.31537,0.25435,0.2746,2178701.1,2021-01-11 00:00:00+00:00
