pair,train_adf_p,beta,tr_sharpe,tr_total,tr_trades,te_sharpe,te_total,te_trades,te_sharpe_maker,te_total_maker
SAND/ATOM,0.0005,1.227,1.37,0.942,27,2.2,3.232,31,2.28,3.358
SAND/MATIC,0.0086,1.06,0.81,0.41,20,1.31,0.626,14,1.42,0.682
FIL/AVAX,0.0242,0.909,-0.3,-0.421,31,1.29,1.485,37,1.42,1.635
COMP/XRP,0.0004,0.22,1.05,0.745,22,1.27,1.146,21,1.36,1.23
FIL/COMP,0.0105,1.237,0.32,0.548,36,1.18,2.269,36,1.26,2.415
FIL/NEAR,0.0109,0.673,1.7,1.863,40,0.97,0.963,36,1.11,1.107
AAVE/SUSHI,0.0402,0.548,-0.12,-0.13,26,0.94,1.298,34,1.04,1.434
ETC/SUSHI,0.022,0.409,0.0,0.001,28,0.92,0.901,34,1.05,1.039
SUSHI/MANA,0.0381,0.753,0.69,0.789,25,0.92,2.258,32,0.97,2.386
DOT/SUSHI,0.032,0.812,0.5,0.473,33,0.89,1.697,38,0.97,1.849
FIL/ETC,0.0274,2.234,-0.05,-0.148,36,0.89,1.782,39,0.96,1.938
FIL/MANA,0.0281,0.833,0.35,0.409,32,0.83,1.101,37,0.94,1.249
SAND/SUSHI,0.0363,0.753,1.1,0.767,26,0.83,1.435,24,0.88,1.533
ETC/DOGE,0.0039,0.683,-0.45,-0.982,35,0.83,0.863,43,0.99,1.035
UNI/COMP,0.0001,0.66,0.55,0.768,41,0.82,1.26,43,0.93,1.434
FIL/SUSHI,0.0131,0.972,0.92,1.277,29,0.82,1.901,32,0.88,2.029
FIL/ATOM,0.0217,1.629,0.32,0.803,36,0.73,1.313,36,0.8,1.459
SUSHI/ALGO,0.0342,0.756,0.36,0.473,36,0.72,1.832,30,0.77,1.952
FIL/UNI,0.005,1.769,1.15,2.193,38,0.67,1.662,33,0.73,1.796
LTC/ETH,0.0327,0.858,1.11,1.253,42,0.67,0.688,40,0.83,0.848
AAVE/COMP,0.0013,0.712,-0.02,-0.024,34,0.64,0.774,38,0.76,0.926
ETC/COMP,0.0194,0.264,-0.4,-0.857,35,0.61,0.678,38,0.74,0.832
ETC/XRP,0.0151,0.438,1.62,0.917,21,0.58,0.347,19,0.71,0.425
LTC/XRP,0.0003,0.196,0.73,0.42,21,0.57,0.312,17,0.69,0.382
COMP/NEAR,0.0427,0.448,-0.08,-0.103,29,0.56,0.701,27,0.65,0.809
DOT/AAVE,0.0076,1.306,-0.36,-0.52,31,0.54,0.829,35,0.63,0.969
FIL/DOT,0.0,1.222,1.46,1.471,32,0.53,0.596,33,0.65,0.728
UNI/LTC,0.0059,1.267,0.61,0.984,41,0.52,0.887,35,0.6,1.027
AAVE/ETC,0.032,1.271,0.87,1.273,35,0.47,0.638,35,0.57,0.778
ADA/COMP,0.0015,0.626,-0.44,-0.648,38,0.42,0.67,44,0.53,0.848
FIL/ADA,0.0151,1.477,0.11,0.194,35,0.39,0.776,33,0.45,0.91
DOT/ADA,0.0346,1.099,1.15,0.842,33,0.38,0.441,34,0.49,0.579
ETC/BTC,0.0439,0.575,-1.37,-2.907,29,0.3,0.315,36,0.43,0.461
ETC/LTC,0.0226,0.461,-1.61,-3.13,29,0.29,0.319,37,0.43,0.467
ETC/BCH,0.0204,0.36,-1.5,-2.985,31,0.29,0.335,40,0.43,0.495
SUSHI/NEAR,0.0288,0.626,-0.2,-0.256,27,0.27,0.668,25,0.31,0.768
DOT/AVAX,0.0373,0.723,0.9,0.622,32,0.26,0.205,34,0.43,0.341
ETC/NEAR,0.009,0.305,0.04,0.047,32,0.24,0.211,31,0.39,0.337
CRV/ATOM,0.0273,1.275,0.2,0.322,34,0.18,0.253,36,0.28,0.397
