ts,o,h,l,close,vol,dt
1626307200000,269.69,288.98,265.82,272.15,914.1823,2021-07-15 00:00:00+00:00
1626393600000,272.68,279.67,253.28,253.5,454.0672,2021-07-16 00:00:00+00:00
1626480000000,252.17,257.39,246.28,254.25,141.5641,2021-07-17 00:00:00+00:00
1626566400000,257.34,266.99,253.23,254.78,502.7668,2021-07-18 00:00:00+00:00
1626652800000,252.58,252.74,234.03,240.66,1116.5006,2021-07-19 00:00:00+00:00
1626739200000,239.15,240.82,213.36,221.42,825.4847,2021-07-20 00:00:00+00:00
1626825600000,221.42,263.1,217.42,258.04,1094.1622,2021-07-21 00:00:00+00:00
1626912000000,259.43,280.0,257.94,278.81,713.0536,2021-07-22 00:00:00+00:00
1626998400000,278.72,292.64,269.49,290.38,774.7959,2021-07-23 00:00:00+00:00
1627084800000,288.17,298.99,281.24,287.8,761.5824,2021-07-24 00:00:00+00:00
1627171200000,287.14,291.92,271.83,286.32,200.9178,2021-07-25 00:00:00+00:00
1627257600000,287.16,335.0,286.32,303.35,1609.3558,2021-07-26 00:00:00+00:00
1627344000000,301.86,311.46,285.17,300.0,514.0328,2021-07-27 00:00:00+00:00
1627430400000,298.02,308.09,293.33,296.27,373.1806,2021-07-28 00:00:00+00:00
1627516800000,296.32,315.55,294.66,311.18,279.791,2021-07-29 00:00:00+00:00
1627603200000,313.46,323.96,301.18,320.95,794.4592,2021-07-30 00:00:00+00:00
1627689600000,319.04,332.67,313.24,330.84,609.7409,2021-07-31 00:00:00+00:00
1627776000000,330.27,338.99,313.9,318.38,696.7973,2021-08-01 00:00:00+00:00
1627862400000,317.4,329.26,309.74,320.7,784.8001,2021-08-02 00:00:00+00:00
1627948800000,319.7,323.34,302.42,307.3,798.4057,2021-08-03 00:00:00+00:00
1628035200000,307.3,342.9,300.39,338.23,883.0952,2021-08-04 00:00:00+00:00
1628121600000,337.48,383.24,337.48,372.86,2862.8974,2021-08-05 00:00:00+00:00
1628208000000,372.86,379.22,357.61,369.18,1817.967,2021-08-06 00:00:00+00:00
1628294400000,368.26,398.84,365.37,383.49,1014.8212,2021-08-07 00:00:00+00:00
1628380800000,383.33,389.39,352.48,361.34,453.8688,2021-08-08 00:00:00+00:00
1628467200000,360.66,384.36,347.47,372.75,927.8753,2021-08-09 00:00:00+00:00
1628553600000,374.93,399.43,368.43,383.19,673.0039,2021-08-10 00:00:00+00:00
1628640000000,382.62,419.84,382.6,404.69,1766.8151,2021-08-11 00:00:00+00:00
1628726400000,401.72,417.83,376.09,392.34,748.1931,2021-08-12 00:00:00+00:00
1628812800000,392.78,428.09,390.08,427.98,1795.7854,2021-08-13 00:00:00+00:00
1628899200000,427.98,428.09,404.48,414.31,855.7894,2021-08-14 00:00:00+00:00
1628985600000,414.94,415.93,391.6,410.98,881.6423,2021-08-15 00:00:00+00:00
1629072000000,411.4,446.76,402.54,413.34,2726.5568,2021-08-16 00:00:00+00:00
1629158400000,412.37,448.13,380.36,380.36,1793.0472,2021-08-17 00:00:00+00:00
1629244800000,380.9,397.14,361.88,380.43,1405.2836,2021-08-18 00:00:00+00:00
1629331200000,381.05,405.57,371.1,404.98,1016.2609,2021-08-19 00:00:00+00:00
1629417600000,405.59,420.81,403.72,409.04,451.4844,2021-08-20 00:00:00+00:00
1629504000000,409.35,415.73,393.61,400.72,849.3089,2021-08-21 00:00:00+00:00
1629590400000,401.69,408.51,385.67,400.86,769.6876,2021-08-22 00:00:00+00:00
1629676800000,400.99,414.87,399.69,407.51,1006.7163,2021-08-23 00:00:00+00:00
1629763200000,408.49,413.94,370.39,379.12,959.7358,2021-08-24 00:00:00+00:00
1629849600000,379.36,385.67,363.73,383.05,853.4701,2021-08-25 00:00:00+00:00
1629936000000,384.21,388.8,341.44,350.23,1255.1261,2021-08-26 00:00:00+00:00
1630022400000,349.81,375.17,344.4,373.19,834.6029,2021-08-27 00:00:00+00:00
1630108800000,373.45,376.73,362.19,367.0,440.768,2021-08-28 00:00:00+00:00
1630195200000,368.12,377.55,355.75,363.99,375.0807,2021-08-29 00:00:00+00:00
1630281600000,362.76,376.82,346.27,357.3,760.0125,2021-08-30 00:00:00+00:00
1630368000000,358.91,396.96,350.91,391.8,1014.6819,2021-08-31 00:00:00+00:00
1630454400000,391.52,414.11,382.0,414.11,1794.3281,2021-09-01 00:00:00+00:00
1630540800000,413.56,415.18,399.12,400.59,578.3814,2021-09-02 00:00:00+00:00
1630627200000,399.59,407.81,388.17,394.06,2161.2147,2021-09-03 00:00:00+00:00
1630713600000,395.27,406.72,384.83,399.79,1779.4826,2021-09-04 00:00:00+00:00
1630800000000,396.63,425.29,394.8,417.42,1063.7306,2021-09-05 00:00:00+00:00
1630886400000,416.63,424.84,396.32,408.52,942.2727,2021-09-06 00:00:00+00:00
1630972800000,407.8,409.4,271.46,344.66,5178.0517,2021-09-07 00:00:00+00:00
1631059200000,347.07,353.29,313.66,331.42,930.9285,2021-09-08 00:00:00+00:00
1631145600000,331.42,350.51,326.53,330.35,576.7604,2021-09-09 00:00:00+00:00
1631232000000,329.72,340.13,304.5,311.71,1669.3557,2021-09-10 00:00:00+00:00
1631318400000,313.03,339.89,310.96,327.49,659.3879,2021-09-11 00:00:00+00:00
1631404800000,328.82,348.43,322.13,333.18,429.5949,2021-09-12 00:00:00+00:00
1631491200000,333.63,340.8,303.43,330.94,1093.9809,2021-09-13 00:00:00+00:00
1631577600000,331.38,390.4,322.65,383.62,3576.9951,2021-09-14 00:00:00+00:00
1631664000000,384.92,416.76,376.69,416.25,1876.9656,2021-09-15 00:00:00+00:00
1631750400000,414.88,414.88,370.62,384.49,1470.9435,2021-09-16 00:00:00+00:00
1631836800000,386.68,389.01,350.4,354.13,525.3744,2021-09-17 00:00:00+00:00
1631923200000,353.53,368.96,346.76,355.05,873.5667,2021-09-18 00:00:00+00:00
1632009600000,356.06,357.36,335.34,340.34,650.4885,2021-09-19 00:00:00+00:00
1632096000000,340.06,340.06,288.02,289.8,1180.0268,2021-09-20 00:00:00+00:00
1632182400000,289.4,306.99,260.29,271.11,987.8176,2021-09-21 00:00:00+00:00
1632268800000,271.45,303.43,267.13,302.51,672.0176,2021-09-22 00:00:00+00:00
1632355200000,302.18,309.13,294.23,309.05,701.8138,2021-09-23 00:00:00+00:00
1632441600000,309.05,311.61,261.81,280.87,720.7142,2021-09-24 00:00:00+00:00
1632528000000,281.11,283.92,268.05,275.56,331.2834,2021-09-25 00:00:00+00:00
1632614400000,273.65,300.68,252.13,294.02,1034.0956,2021-09-26 00:00:00+00:00
1632700800000,293.3,309.05,273.09,273.61,511.7799,2021-09-27 00:00:00+00:00
1632787200000,272.94,277.23,259.41,259.41,423.7383,2021-09-28 00:00:00+00:00
1632873600000,261.63,276.94,259.4,265.11,869.6293,2021-09-29 00:00:00+00:00
1632960000000,264.73,281.11,264.73,276.43,382.4185,2021-09-30 00:00:00+00:00
1633046400000,276.61,304.05,272.11,302.09,542.2294,2021-10-01 00:00:00+00:00
1633132800000,302.46,323.47,297.22,314.62,750.6686,2021-10-02 00:00:00+00:00
1633219200000,315.28,323.24,308.66,310.78,793.7676,2021-10-03 00:00:00+00:00
1633305600000,308.79,311.23,291.41,300.2,1129.6075,2021-10-04 00:00:00+00:00
1633392000000,301.17,309.92,296.38,307.07,762.9668,2021-10-05 00:00:00+00:00
1633478400000,308.27,317.91,284.79,311.94,1490.2865,2021-10-06 00:00:00+00:00
1633564800000,310.85,313.64,299.32,305.98,1041.7656,2021-10-07 00:00:00+00:00
1633651200000,305.53,324.48,303.53,307.51,730.8376,2021-10-08 00:00:00+00:00
1633737600000,307.68,313.18,304.29,307.41,241.1189,2021-10-09 00:00:00+00:00
1633824000000,306.24,307.79,287.19,288.53,210.8723,2021-10-10 00:00:00+00:00
1633910400000,287.53,301.44,283.37,290.61,492.4327,2021-10-11 00:00:00+00:00
1633996800000,289.66,289.66,271.21,282.43,583.2473,2021-10-12 00:00:00+00:00
1634083200000,282.61,303.04,282.57,296.67,1598.861,2021-10-13 00:00:00+00:00
1634169600000,297.82,310.96,293.44,303.46,2147.6675,2021-10-14 00:00:00+00:00
1634256000000,303.62,305.17,292.66,300.54,922.0437,2021-10-15 00:00:00+00:00
1634342400000,301.62,316.48,300.14,304.7,1096.4582,2021-10-16 00:00:00+00:00
1634428800000,304.0,320.13,292.81,305.54,1611.0926,2021-10-17 00:00:00+00:00
1634515200000,305.97,308.29,290.13,293.65,904.9754,2021-10-18 00:00:00+00:00
1634601600000,293.4,304.37,292.81,303.83,749.2588,2021-10-19 00:00:00+00:00
1634688000000,304.23,317.25,296.73,315.74,1885.5638,2021-10-20 00:00:00+00:00
