ts,o,h,l,close,vol,dt
1641513600000,1.5216,1.5289,1.4029,1.4389,102694.0,2022-01-07 00:00:00+00:00
1641600000000,1.4429,1.4662,1.3151,1.39,52760.0,2022-01-08 00:00:00+00:00
1641686400000,1.3835,1.4423,1.3736,1.4045,34183.0,2022-01-09 00:00:00+00:00
1641772800000,1.3986,1.4475,1.3014,1.365,113017.0,2022-01-10 00:00:00+00:00
1641859200000,1.3655,1.4534,1.3533,1.4285,67642.0,2022-01-11 00:00:00+00:00
1641945600000,1.4534,1.51,1.4419,1.498,151398.0,2022-01-12 00:00:00+00:00
1642032000000,1.4952,1.4958,1.3437,1.3585,173318.0,2022-01-13 00:00:00+00:00
1642118400000,1.3647,1.41,1.3249,1.3845,165737.0,2022-01-14 00:00:00+00:00
1642204800000,1.3899,1.4131,1.3592,1.3791,107006.0,2022-01-15 00:00:00+00:00
1642291200000,1.3803,1.4474,1.3664,1.4322,147839.0,2022-01-16 00:00:00+00:00
1642377600000,1.4323,1.4428,1.3373,1.3443,178256.0,2022-01-17 00:00:00+00:00
1642464000000,1.3389,1.3583,1.2801,1.3193,221756.0,2022-01-18 00:00:00+00:00
1642550400000,1.3162,1.3187,1.2258,1.2675,92627.0,2022-01-19 00:00:00+00:00
1642636800000,1.2714,1.327,1.159,1.1616,150578.0,2022-01-20 00:00:00+00:00
1642723200000,1.1626,1.192,0.9989,1.0307,416281.0,2022-01-21 00:00:00+00:00
1642809600000,1.0254,1.0606,0.7987,0.9475,652018.0,2022-01-22 00:00:00+00:00
1642896000000,0.9539,1.07,0.9245,0.9894,768882.0,2022-01-23 00:00:00+00:00
1642982400000,0.9848,0.9848,0.8176,0.916,222317.0,2022-01-24 00:00:00+00:00
1643068800000,0.9138,0.9614,0.8687,0.9233,240033.0,2022-01-25 00:00:00+00:00
1643155200000,0.9205,0.9923,0.8942,0.9218,274828.0,2022-01-26 00:00:00+00:00
1643241600000,0.9205,0.9543,0.8771,0.9357,223392.0,2022-01-27 00:00:00+00:00
1643328000000,0.9357,0.9826,0.9216,0.9586,187357.0,2022-01-28 00:00:00+00:00
1643414400000,0.9578,1.0059,0.9567,0.9692,71709.0,2022-01-29 00:00:00+00:00
1643500800000,0.9716,0.989,0.9313,0.9426,157995.0,2022-01-30 00:00:00+00:00
1643587200000,0.9384,0.9714,0.9034,0.9525,123379.0,2022-01-31 00:00:00+00:00
1643673600000,0.9475,0.9923,0.9464,0.9671,146352.0,2022-02-01 00:00:00+00:00
1643760000000,0.9692,1.0308,0.9239,0.9273,354397.0,2022-02-02 00:00:00+00:00
1643846400000,0.9273,0.9397,0.9016,0.9397,70068.0,2022-02-03 00:00:00+00:00
1643932800000,0.9371,0.9991,0.9278,0.9953,60655.0,2022-02-04 00:00:00+00:00
1644019200000,0.994,1.0428,0.9826,1.0073,140209.0,2022-02-05 00:00:00+00:00
1644105600000,1.0079,1.0287,0.974,1.0244,101245.0,2022-02-06 00:00:00+00:00
1644192000000,1.0153,1.0963,0.998,1.0721,352186.0,2022-02-07 00:00:00+00:00
1644278400000,1.0668,1.1013,0.9872,1.0256,233131.0,2022-02-08 00:00:00+00:00
1644364800000,1.022,1.0481,0.9978,1.0383,190904.0,2022-02-09 00:00:00+00:00
1644451200000,1.0356,1.0489,0.9758,0.9758,359179.0,2022-02-10 00:00:00+00:00
1644537600000,0.9798,0.9948,0.8972,0.9153,170303.0,2022-02-11 00:00:00+00:00
1644624000000,0.9169,0.9421,0.8927,0.9233,52336.0,2022-02-12 00:00:00+00:00
1644710400000,0.9196,0.9327,0.8751,0.902,90509.0,2022-02-13 00:00:00+00:00
1644796800000,0.8955,0.9075,0.8753,0.9004,108299.0,2022-02-14 00:00:00+00:00
1644883200000,0.903,0.9749,0.8984,0.9703,317667.0,2022-02-15 00:00:00+00:00
1644969600000,0.9685,1.0063,0.9545,0.9801,254290.0,2022-02-16 00:00:00+00:00
1645056000000,0.9758,0.9877,0.8889,0.8968,206492.0,2022-02-17 00:00:00+00:00
