ts,o,h,l,close,vol,dt
1637193600000,102.59,105.0,92.2,101.48,14151.55,2021-11-18 00:00:00+00:00
1637280000000,101.48,113.49,96.07,112.24,14473.69,2021-11-19 00:00:00+00:00
1637366400000,112.05,130.8,111.56,125.5,33628.82,2021-11-20 00:00:00+00:00
1637452800000,125.98,147.82,123.24,128.51,52926.81,2021-11-21 00:00:00+00:00
1637539200000,128.64,165.0,126.12,134.9,49140.95,2021-11-22 00:00:00+00:00
1637625600000,135.04,139.53,122.06,123.72,26004.5,2021-11-23 00:00:00+00:00
1637712000000,123.71,125.73,112.61,115.16,25908.2,2021-11-24 00:00:00+00:00
1637798400000,115.19,130.0,114.33,119.39,30426.84,2021-11-25 00:00:00+00:00
1637884800000,119.38,119.74,101.36,104.41,28876.95,2021-11-26 00:00:00+00:00
1637971200000,104.36,118.53,103.34,113.49,20240.58,2021-11-27 00:00:00+00:00
1638057600000,113.13,113.88,100.83,110.68,23068.7,2021-11-28 00:00:00+00:00
1638144000000,110.58,120.55,109.22,120.55,15611.03,2021-11-29 00:00:00+00:00
1638230400000,120.53,125.29,114.09,120.54,46017.77,2021-11-30 00:00:00+00:00
1638316800000,120.76,127.47,117.4,119.73,34694.36,2021-12-01 00:00:00+00:00
1638403200000,119.6,119.74,107.07,108.61,15104.63,2021-12-02 00:00:00+00:00
1638489600000,108.0,121.05,100.89,112.43,28414.34,2021-12-03 00:00:00+00:00
1638576000000,112.04,117.38,90.0,105.0,17462.29,2021-12-04 00:00:00+00:00
1638662400000,105.0,114.0,89.88,98.44,7353.06,2021-12-05 00:00:00+00:00
1638748800000,98.44,99.04,77.03,93.04,26255.25,2021-12-06 00:00:00+00:00
1638835200000,92.93,96.67,88.0,89.66,18164.04,2021-12-07 00:00:00+00:00
1638921600000,89.43,93.25,86.37,93.25,12008.47,2021-12-08 00:00:00+00:00
1639008000000,93.27,94.58,83.41,85.34,16184.45,2021-12-09 00:00:00+00:00
1639094400000,85.58,91.65,80.39,80.58,23511.36,2021-12-10 00:00:00+00:00
1639180800000,80.61,87.06,78.81,86.51,22401.34,2021-12-11 00:00:00+00:00
1639267200000,86.53,88.95,83.01,88.04,12261.06,2021-12-12 00:00:00+00:00
1639353600000,88.35,89.93,75.61,79.27,36757.93,2021-12-13 00:00:00+00:00
1639440000000,78.89,87.39,76.4,87.25,23770.25,2021-12-14 00:00:00+00:00
1639526400000,87.13,105.65,86.1,101.28,66862.13,2021-12-15 00:00:00+00:00
1639612800000,101.34,109.99,98.07,98.21,40517.86,2021-12-16 00:00:00+00:00
1639699200000,98.5,116.19,98.25,110.83,50633.88,2021-12-17 00:00:00+00:00
1639785600000,111.47,117.37,105.55,116.0,19604.88,2021-12-18 00:00:00+00:00
1639872000000,115.99,116.63,106.77,107.36,14242.51,2021-12-19 00:00:00+00:00
1639958400000,107.48,116.21,101.0,113.17,41602.09,2021-12-20 00:00:00+00:00
1640044800000,113.62,124.04,110.66,123.13,35296.83,2021-12-21 00:00:00+00:00
1640131200000,123.86,127.34,115.59,116.47,20709.15,2021-12-22 00:00:00+00:00
1640217600000,116.57,125.0,116.26,121.3,13520.16,2021-12-23 00:00:00+00:00
1640304000000,121.3,124.59,113.28,114.8,16423.16,2021-12-24 00:00:00+00:00
1640390400000,114.84,116.87,112.36,115.3,11213.15,2021-12-25 00:00:00+00:00
1640476800000,114.85,117.97,109.41,115.19,18675.19,2021-12-26 00:00:00+00:00
1640563200000,115.5,120.89,113.42,113.42,15907.1,2021-12-27 00:00:00+00:00
1640649600000,113.41,116.69,104.37,106.94,18589.8,2021-12-28 00:00:00+00:00
1640736000000,107.14,110.54,102.41,103.03,14468.41,2021-12-29 00:00:00+00:00
1640822400000,103.33,105.44,98.21,101.91,13614.01,2021-12-30 00:00:00+00:00
1640908800000,101.94,112.09,100.33,109.5,17109.3,2021-12-31 00:00:00+00:00
1640995200000,109.58,114.52,108.56,114.17,6270.57,2022-01-01 00:00:00+00:00
1641081600000,114.08,117.56,112.09,113.06,7560.91,2022-01-02 00:00:00+00:00
1641168000000,113.04,114.03,106.02,108.03,8421.86,2022-01-03 00:00:00+00:00
1641254400000,108.44,109.29,102.93,103.03,19773.08,2022-01-04 00:00:00+00:00
1641340800000,103.13,106.61,90.53,97.47,21796.45,2022-01-05 00:00:00+00:00
1641427200000,97.47,97.96,91.05,95.23,20375.19,2022-01-06 00:00:00+00:00
1641513600000,95.05,95.05,85.09,86.63,23933.22,2022-01-07 00:00:00+00:00
1641600000000,86.91,89.61,79.24,83.82,23021.67,2022-01-08 00:00:00+00:00
1641686400000,83.81,91.92,82.47,89.13,21724.75,2022-01-09 00:00:00+00:00
1641772800000,89.13,90.94,80.3,84.5,30879.01,2022-01-10 00:00:00+00:00
1641859200000,84.65,91.01,83.26,89.37,13863.04,2022-01-11 00:00:00+00:00
1641945600000,89.78,96.9,88.87,96.09,20295.74,2022-01-12 00:00:00+00:00
1642032000000,96.06,97.23,89.15,89.6,20323.63,2022-01-13 00:00:00+00:00
1642118400000,89.78,91.74,87.3,90.26,9086.85,2022-01-14 00:00:00+00:00
1642204800000,90.47,94.38,89.49,93.01,16431.19,2022-01-15 00:00:00+00:00
1642291200000,93.23,94.88,91.82,92.11,32185.91,2022-01-16 00:00:00+00:00
1642377600000,92.45,92.45,85.31,86.62,35610.18,2022-01-17 00:00:00+00:00
1642464000000,86.75,87.4,83.73,86.11,38779.69,2022-01-18 00:00:00+00:00
1642550400000,85.89,86.36,81.12,82.51,32535.62,2022-01-19 00:00:00+00:00
1642636800000,82.5,87.78,78.72,79.42,44798.01,2022-01-20 00:00:00+00:00
1642723200000,79.12,80.33,63.97,66.12,173216.8,2022-01-21 00:00:00+00:00
1642809600000,65.91,67.49,52.98,59.79,130660.66,2022-01-22 00:00:00+00:00
1642896000000,59.49,66.82,59.04,64.8,55217.39,2022-01-23 00:00:00+00:00
1642982400000,64.81,64.89,55.12,63.07,88151.29,2022-01-24 00:00:00+00:00
1643068800000,62.87,70.57,61.72,67.98,20873.3,2022-01-25 00:00:00+00:00
1643155200000,68.06,73.47,64.39,65.76,187879.15,2022-01-26 00:00:00+00:00
1643241600000,65.68,67.88,61.14,64.7,49559.56,2022-01-27 00:00:00+00:00
1643328000000,64.78,67.44,61.78,67.1,35158.22,2022-01-28 00:00:00+00:00
1643414400000,66.89,73.55,66.89,72.02,54348.71,2022-01-29 00:00:00+00:00
1643500800000,71.77,72.36,66.91,68.07,50956.68,2022-01-30 00:00:00+00:00
1643587200000,68.05,70.97,64.27,70.05,29114.47,2022-01-31 00:00:00+00:00
1643673600000,69.7,73.84,68.56,73.25,37500.28,2022-02-01 00:00:00+00:00
1643760000000,73.39,74.96,67.45,67.92,52570.46,2022-02-02 00:00:00+00:00
1643846400000,67.66,69.19,64.97,68.45,38116.71,2022-02-03 00:00:00+00:00
1643932800000,68.46,77.82,67.45,77.68,59159.32,2022-02-04 00:00:00+00:00
1644019200000,77.85,80.93,74.95,77.07,48993.33,2022-02-05 00:00:00+00:00
1644105600000,77.29,79.15,74.21,79.05,30069.15,2022-02-06 00:00:00+00:00
1644192000000,79.15,85.39,77.4,82.96,44164.33,2022-02-07 00:00:00+00:00
1644278400000,83.49,93.08,81.69,86.41,97087.14,2022-02-08 00:00:00+00:00
1644364800000,86.7,92.03,84.44,89.9,34512.33,2022-02-09 00:00:00+00:00
