ts,o,h,l,close,vol,dt
1609459200000,340.87,355.09,331.5,341.28,1358.34374,2021-01-01 00:00:00+00:00
1609545600000,340.08,367.1,333.37,353.76,1365.8504,2021-01-02 00:00:00+00:00
1609632000000,354.57,433.62,354.23,422.97,3229.25492,2021-01-03 00:00:00+00:00
1609718400000,424.44,464.34,379.99,404.44,2270.32348,2021-01-04 00:00:00+00:00
1609804800000,407.31,425.0,389.71,418.34,1416.62407,2021-01-05 00:00:00+00:00
1609891200000,419.99,459.51,410.95,453.0,1098.35971,2021-01-06 00:00:00+00:00
1609977600000,454.82,484.37,422.44,448.22,1295.719,2021-01-07 00:00:00+00:00
1610064000000,451.02,454.21,404.76,438.93,1422.19318,2021-01-08 00:00:00+00:00
1610150400000,437.51,588.27,417.99,575.0,4278.89894,2021-01-09 00:00:00+00:00
1610236800000,575.67,629.16,549.89,600.85,7314.22066,2021-01-10 00:00:00+00:00
1610323200000,600.74,602.52,401.77,476.85,5868.8015,2021-01-11 00:00:00+00:00
1610409600000,476.35,510.13,444.06,451.66,2901.62616,2021-01-12 00:00:00+00:00
1610496000000,450.49,500.11,429.19,496.29,1662.7356,2021-01-13 00:00:00+00:00
1610582400000,496.87,539.15,484.32,528.01,1699.3736,2021-01-14 00:00:00+00:00
1610668800000,527.31,535.67,453.55,490.61,2099.77664,2021-01-15 00:00:00+00:00
1610755200000,492.43,515.04,474.71,489.71,1514.60128,2021-01-16 00:00:00+00:00
1610841600000,489.71,494.57,461.73,478.73,849.14536,2021-01-17 00:00:00+00:00
1610928000000,480.83,514.15,470.04,508.95,1268.10067,2021-01-18 00:00:00+00:00
1611014400000,508.92,553.25,503.01,507.59,1715.65271,2021-01-19 00:00:00+00:00
1611100800000,505.46,518.22,469.06,497.37,1603.30098,2021-01-20 00:00:00+00:00
1611187200000,498.8,498.96,406.68,419.38,2116.55858,2021-01-21 00:00:00+00:00
1611273600000,417.0,454.37,389.02,439.84,2079.6926,2021-01-22 00:00:00+00:00
1611360000000,439.84,443.97,419.43,431.09,687.50738,2021-01-23 00:00:00+00:00
1611446400000,431.09,449.43,422.04,440.24,626.09852,2021-01-24 00:00:00+00:00
1611532800000,439.7,464.99,431.52,433.33,1005.63871,2021-01-25 00:00:00+00:00
1611619200000,430.3,438.13,413.01,427.47,1206.78626,2021-01-26 00:00:00+00:00
1611705600000,426.37,427.08,369.84,378.37,3299.81208,2021-01-27 00:00:00+00:00
1611792000000,377.18,414.41,370.57,404.23,1263.78323,2021-01-28 00:00:00+00:00
1611878400000,405.01,434.76,391.08,408.34,2696.72242,2021-01-29 00:00:00+00:00
1611964800000,407.69,418.81,392.13,416.85,886.33903,2021-01-30 00:00:00+00:00
1612051200000,416.39,416.84,390.74,399.0,506.10963,2021-01-31 00:00:00+00:00
1612137600000,399.17,444.3,389.68,413.98,1011.92304,2021-02-01 00:00:00+00:00
1612224000000,414.0,434.47,411.11,430.55,956.24559,2021-02-02 00:00:00+00:00
1612310400000,430.8,449.75,427.2,445.59,1080.22005,2021-02-03 00:00:00+00:00
1612396800000,446.46,454.92,412.1,421.22,2124.61089,2021-02-04 00:00:00+00:00
1612483200000,423.02,448.58,417.91,447.21,887.98339,2021-02-05 00:00:00+00:00
1612569600000,448.35,489.96,446.01,458.39,2416.80822,2021-02-06 00:00:00+00:00
1612656000000,457.04,464.26,429.8,445.37,1366.04081,2021-02-07 00:00:00+00:00
1612742400000,444.98,488.35,436.85,484.14,1088.58466,2021-02-08 00:00:00+00:00
1612828800000,485.16,519.63,472.78,514.28,1629.6795,2021-02-09 00:00:00+00:00
1612915200000,515.6,538.93,467.94,495.05,2685.75612,2021-02-10 00:00:00+00:00
1613001600000,495.52,542.25,490.64,529.75,1418.10126,2021-02-11 00:00:00+00:00
1613088000000,530.72,580.01,510.9,576.61,1935.13215,2021-02-12 00:00:00+00:00
1613174400000,577.35,670.07,541.97,668.73,3704.2897,2021-02-13 00:00:00+00:00
1613260800000,669.26,750.0,652.94,721.9,5982.81293,2021-02-14 00:00:00+00:00
1613347200000,720.97,772.97,602.68,715.44,5008.72444,2021-02-15 00:00:00+00:00
1613433600000,715.98,744.91,669.98,706.2,2619.98501,2021-02-16 00:00:00+00:00
1613520000000,706.05,726.78,675.6,715.41,1704.72394,2021-02-17 00:00:00+00:00
1613606400000,717.07,729.82,690.94,705.97,1006.89855,2021-02-18 00:00:00+00:00
1613692800000,705.17,742.57,682.5,718.91,1234.0712,2021-02-19 00:00:00+00:00
1613779200000,719.51,748.3,628.68,680.67,2054.26296,2021-02-20 00:00:00+00:00
1613865600000,677.4,736.19,666.28,706.71,2045.11311,2021-02-21 00:00:00+00:00
1613952000000,707.03,709.71,535.7,629.25,3608.87039,2021-02-22 00:00:00+00:00
1614038400000,630.82,631.03,414.62,516.55,6923.26587,2021-02-23 00:00:00+00:00
1614124800000,517.03,557.46,493.4,526.44,3096.61104,2021-02-24 00:00:00+00:00
1614211200000,526.81,556.98,493.38,498.86,1371.72445,2021-02-25 00:00:00+00:00
1614297600000,498.62,507.68,457.59,483.48,1699.53942,2021-02-26 00:00:00+00:00
1614384000000,485.34,502.43,473.31,482.7,618.11044,2021-02-27 00:00:00+00:00
1614470400000,482.8,484.67,431.75,458.73,1685.00436,2021-02-28 00:00:00+00:00
1614556800000,459.72,506.04,457.77,501.33,1013.59884,2021-03-01 00:00:00+00:00
1614643200000,502.09,550.49,495.04,514.21,2113.17543,2021-03-02 00:00:00+00:00
1614729600000,515.82,555.97,510.85,522.19,1921.20305,2021-03-03 00:00:00+00:00
1614816000000,520.41,537.95,493.01,505.79,1174.65198,2021-03-04 00:00:00+00:00
1614902400000,503.26,504.58,472.23,498.42,1103.0727,2021-03-05 00:00:00+00:00
1614988800000,498.9,505.08,482.64,501.13,462.71469,2021-03-06 00:00:00+00:00
1615075200000,504.05,518.39,502.0,515.68,360.16032,2021-03-07 00:00:00+00:00
1615161600000,516.99,529.91,500.83,529.13,588.30786,2021-03-08 00:00:00+00:00
1615248000000,530.1,547.47,523.24,544.96,1031.98472,2021-03-09 00:00:00+00:00
1615334400000,545.66,567.65,517.47,546.19,1656.10266,2021-03-10 00:00:00+00:00
1615420800000,546.3,564.67,528.45,549.92,1354.64812,2021-03-11 00:00:00+00:00
1615507200000,550.05,563.84,510.0,537.98,1532.23836,2021-03-12 00:00:00+00:00
1615593600000,537.27,609.03,522.15,593.62,2214.74368,2021-03-13 00:00:00+00:00
1615680000000,594.68,601.29,551.64,551.64,1341.53175,2021-03-14 00:00:00+00:00
1615766400000,553.51,568.0,516.93,522.24,1940.34311,2021-03-15 00:00:00+00:00
1615852800000,523.96,538.07,503.1,525.91,1247.70949,2021-03-16 00:00:00+00:00
1615939200000,528.36,541.81,511.6,540.09,2233.13325,2021-03-17 00:00:00+00:00
1616025600000,541.81,546.71,523.11,528.5,1791.69053,2021-03-18 00:00:00+00:00
1616112000000,528.5,550.66,517.72,532.35,1490.49919,2021-03-19 00:00:00+00:00
1616198400000,532.88,551.64,529.65,536.11,738.35764,2021-03-20 00:00:00+00:00
