ts,o,h,l,close,vol,dt
1609459200000,37.3526,38.9579,37.0332,37.6696,10088.33,2021-01-01 00:00:00+00:00
1609545600000,37.6819,38.8231,36.7881,38.2207,13338.74,2021-01-02 00:00:00+00:00
1609632000000,38.2413,41.6666,37.8,41.1282,34781.57,2021-01-03 00:00:00+00:00
1609718400000,41.2774,43.2137,38.0204,41.0884,38351.07,2021-01-04 00:00:00+00:00
1609804800000,41.1443,41.8,38.8475,41.8,19815.05,2021-01-05 00:00:00+00:00
1609891200000,41.8537,42.2031,40.45,42.2031,20169.71,2021-01-06 00:00:00+00:00
1609977600000,42.2709,44.5296,41.1,43.5427,31832.35,2021-01-07 00:00:00+00:00
1610064000000,43.5427,43.6456,40.248,42.4121,17312.29,2021-01-08 00:00:00+00:00
1610150400000,42.3943,44.0158,41.5875,43.7545,16815.1,2021-01-09 00:00:00+00:00
1610236800000,43.8278,45.0782,40.1,42.4197,21611.74,2021-01-10 00:00:00+00:00
1610323200000,42.3974,42.3974,35.1286,38.1263,36625.6,2021-01-11 00:00:00+00:00
1610409600000,38.2047,40.0416,37.1298,38.2181,19330.4,2021-01-12 00:00:00+00:00
1610496000000,38.2585,40.4308,37.038,40.1677,18944.64,2021-01-13 00:00:00+00:00
1610582400000,40.1184,41.9734,39.5965,41.9125,15222.89,2021-01-14 00:00:00+00:00
1610668800000,41.9228,42.5579,38.719,40.9376,18501.09,2021-01-15 00:00:00+00:00
1610755200000,40.9996,44.0998,40.6209,43.0707,20614.04,2021-01-16 00:00:00+00:00
1610841600000,43.073,46.7421,40.971,45.8696,28488.67,2021-01-17 00:00:00+00:00
1610928000000,45.8699,46.8653,44.0693,45.3709,15670.94,2021-01-18 00:00:00+00:00
1611014400000,45.3973,47.1869,41.823,42.5148,26880.83,2021-01-19 00:00:00+00:00
1611100800000,42.4786,42.8031,40.2236,42.6173,27490.71,2021-01-20 00:00:00+00:00
1611187200000,42.6065,42.6521,38.281,38.6267,39945.87,2021-01-21 00:00:00+00:00
1611273600000,38.6842,41.5117,36.9516,40.918,32068.92,2021-01-22 00:00:00+00:00
1611360000000,40.8697,41.8088,39.5,40.8801,15811.78,2021-01-23 00:00:00+00:00
1611446400000,40.9353,42.1764,40.3198,41.8154,7161.4,2021-01-24 00:00:00+00:00
1611532800000,41.8131,43.373,40.586,41.7365,12522.8,2021-01-25 00:00:00+00:00
1611619200000,41.8662,42.5496,39.8786,41.8567,8175.22,2021-01-26 00:00:00+00:00
