ts,o,h,l,close,vol,dt
1609459200000,149.13,154.88,139.9,145.53,2281.68642,2021-01-01 00:00:00+00:00
1609545600000,145.9,147.61,134.59,136.61,1463.38959,2021-01-02 00:00:00+00:00
1609632000000,136.34,151.32,133.08,147.05,1851.72869,2021-01-03 00:00:00+00:00
1609718400000,147.06,161.74,137.81,149.82,1909.08096,2021-01-04 00:00:00+00:00
1609804800000,151.55,165.58,147.29,161.85,2254.80527,2021-01-05 00:00:00+00:00
1609891200000,162.5,186.15,159.8,184.37,2200.1456,2021-01-06 00:00:00+00:00
1609977600000,184.68,191.43,166.25,172.45,2606.37163,2021-01-07 00:00:00+00:00
1610064000000,173.65,181.65,153.48,165.52,2801.38173,2021-01-08 00:00:00+00:00
1610150400000,166.19,186.14,161.62,180.17,1386.7599,2021-01-09 00:00:00+00:00
1610236800000,181.32,209.05,170.82,194.7,2621.97457,2021-01-10 00:00:00+00:00
1610323200000,195.36,196.4,148.27,168.26,2884.82079,2021-01-11 00:00:00+00:00
1610409600000,169.25,201.25,162.59,183.49,2341.97515,2021-01-12 00:00:00+00:00
1610496000000,182.72,218.51,175.0,211.26,1784.49981,2021-01-13 00:00:00+00:00
1610582400000,211.92,224.66,201.94,214.97,1323.5825,2021-01-14 00:00:00+00:00
1610668800000,215.53,217.86,187.25,203.74,1191.85329,2021-01-15 00:00:00+00:00
1610755200000,203.88,219.99,201.21,207.77,1334.80622,2021-01-16 00:00:00+00:00
1610841600000,205.83,226.91,200.89,214.84,1724.21676,2021-01-17 00:00:00+00:00
1610928000000,216.69,238.68,207.44,225.46,1369.62571,2021-01-18 00:00:00+00:00
1611014400000,225.52,234.87,210.84,211.31,1334.36852,2021-01-19 00:00:00+00:00
1611100800000,211.59,217.98,197.71,212.55,992.59831,2021-01-20 00:00:00+00:00
1611187200000,212.49,213.61,175.0,177.34,1238.38457,2021-01-21 00:00:00+00:00
1611273600000,176.11,208.71,166.0,200.45,2105.82563,2021-01-22 00:00:00+00:00
1611360000000,199.68,213.14,197.02,207.16,759.96735,2021-01-23 00:00:00+00:00
1611446400000,205.83,252.72,205.72,250.77,1511.37861,2021-01-24 00:00:00+00:00
1611532800000,251.66,258.73,206.52,212.61,2209.15026,2021-01-25 00:00:00+00:00
1611619200000,212.2,241.99,205.64,238.0,2428.62324,2021-01-26 00:00:00+00:00
1611705600000,238.51,239.67,210.07,219.55,1578.49938,2021-01-27 00:00:00+00:00
1611792000000,219.2,267.94,214.26,251.81,1343.2297,2021-01-28 00:00:00+00:00
1611878400000,254.09,303.6,237.15,294.74,2043.61463,2021-01-29 00:00:00+00:00
1611964800000,295.64,339.99,279.96,338.51,3096.55964,2021-01-30 00:00:00+00:00
