ts,o,h,l,close,vol,dt
1632355200000,2.41,2.995,2.396,2.799,214258.7,2021-09-23 00:00:00+00:00
1632441600000,2.8,2.859,2.293,2.414,151446.3,2021-09-24 00:00:00+00:00
1632528000000,2.404,2.466,2.281,2.317,52687.8,2021-09-25 00:00:00+00:00
1632614400000,2.28,2.602,2.089,2.568,68842.7,2021-09-26 00:00:00+00:00
1632700800000,2.536,2.748,2.365,2.374,100805.9,2021-09-27 00:00:00+00:00
1632787200000,2.35,2.414,2.227,2.227,45064.5,2021-09-28 00:00:00+00:00
1632873600000,2.271,2.4,2.216,2.288,138921.3,2021-09-29 00:00:00+00:00
1632960000000,2.289,2.394,2.259,2.334,93820.2,2021-09-30 00:00:00+00:00
1633046400000,2.338,2.56,2.293,2.527,61232.9,2021-10-01 00:00:00+00:00
1633132800000,2.541,2.656,2.459,2.542,45899.3,2021-10-02 00:00:00+00:00
1633219200000,2.519,2.958,2.486,2.808,163693.5,2021-10-03 00:00:00+00:00
1633305600000,2.801,2.899,2.636,2.897,70183.1,2021-10-04 00:00:00+00:00
1633392000000,2.899,3.041,2.766,2.934,145370.3,2021-10-05 00:00:00+00:00
1633478400000,2.936,2.94,2.631,2.733,53671.9,2021-10-06 00:00:00+00:00
1633564800000,2.732,2.908,2.66,2.795,65477.2,2021-10-07 00:00:00+00:00
1633651200000,2.794,2.962,2.755,2.944,57894.2,2021-10-08 00:00:00+00:00
1633737600000,2.964,3.096,2.867,2.909,155278.3,2021-10-09 00:00:00+00:00
1633824000000,2.898,2.899,2.681,2.698,31301.9,2021-10-10 00:00:00+00:00
1633910400000,2.678,2.805,2.637,2.688,29405.1,2021-10-11 00:00:00+00:00
1633996800000,2.636,2.706,2.524,2.682,13585.5,2021-10-12 00:00:00+00:00
1634083200000,2.687,3.0,2.649,2.966,192427.0,2021-10-13 00:00:00+00:00
1634169600000,2.961,3.15,2.858,2.883,257800.5,2021-10-14 00:00:00+00:00
1634256000000,2.862,3.014,2.811,2.893,173682.5,2021-10-15 00:00:00+00:00
1634342400000,2.906,3.081,2.883,2.908,108935.6,2021-10-16 00:00:00+00:00
1634428800000,2.894,2.915,2.727,2.878,41504.4,2021-10-17 00:00:00+00:00
1634515200000,2.851,2.87,2.727,2.797,29866.4,2021-10-18 00:00:00+00:00
1634601600000,2.794,2.847,2.684,2.801,40851.4,2021-10-19 00:00:00+00:00
1634688000000,2.804,2.969,2.804,2.939,132694.3,2021-10-20 00:00:00+00:00
1634774400000,2.934,3.054,2.847,2.86,119992.7,2021-10-21 00:00:00+00:00
1634860800000,2.887,3.375,2.865,3.328,255908.5,2021-10-22 00:00:00+00:00
1634947200000,3.334,3.793,3.175,3.698,570697.1,2021-10-23 00:00:00+00:00
1635033600000,3.677,8.0,3.451,3.484,657669.9,2021-10-24 00:00:00+00:00
1635120000000,3.508,4.844,3.507,4.8,1355462.0,2021-10-25 00:00:00+00:00
1635206400000,4.803,5.472,4.521,4.629,2200617.7,2021-10-26 00:00:00+00:00
1635292800000,4.629,4.718,4.085,4.435,1273207.1,2021-10-27 00:00:00+00:00
1635379200000,4.449,5.512,4.447,4.765,1880200.3,2021-10-28 00:00:00+00:00
1635465600000,4.757,5.003,4.559,4.665,410083.6,2021-10-29 00:00:00+00:00
1635552000000,4.666,25.0,0.42,4.736,933549.1,2021-10-30 00:00:00+00:00
1635638400000,4.739,4.741,4.302,4.426,228937.4,2021-10-31 00:00:00+00:00
1635724800000,4.439,4.536,4.178,4.508,346638.2,2021-11-01 00:00:00+00:00
1635811200000,4.494,4.631,4.236,4.287,307887.2,2021-11-02 00:00:00+00:00
1635897600000,4.269,4.601,4.057,4.389,283748.4,2021-11-03 00:00:00+00:00
1635984000000,4.39,4.54,4.055,4.156,260644.6,2021-11-04 00:00:00+00:00
1636070400000,4.17,4.221,4.021,4.076,115297.1,2021-11-05 00:00:00+00:00
1636156800000,4.089,4.295,3.881,4.105,378269.9,2021-11-06 00:00:00+00:00
1636243200000,4.117,4.773,4.084,4.485,825661.0,2021-11-07 00:00:00+00:00
1636329600000,4.495,4.675,4.302,4.624,372136.4,2021-11-08 00:00:00+00:00
1636416000000,4.636,5.0,4.43,4.522,511752.3,2021-11-09 00:00:00+00:00
1636502400000,4.518,4.595,3.692,4.074,394650.3,2021-11-10 00:00:00+00:00
1636588800000,4.08,4.419,4.046,4.173,187303.9,2021-11-11 00:00:00+00:00
1636675200000,4.168,4.292,3.882,4.027,139506.5,2021-11-12 00:00:00+00:00
1636761600000,4.041,4.393,4.04,4.225,275434.7,2021-11-13 00:00:00+00:00
1636848000000,4.238,4.373,4.031,4.133,107632.8,2021-11-14 00:00:00+00:00
1636934400000,4.134,4.159,3.9,3.931,149911.9,2021-11-15 00:00:00+00:00
1637020800000,3.928,3.928,3.286,3.713,264204.5,2021-11-16 00:00:00+00:00
1637107200000,3.706,4.056,3.687,4.038,336299.5,2021-11-17 00:00:00+00:00
1637193600000,4.033,4.247,3.57,4.13,389598.0,2021-11-18 00:00:00+00:00
1637280000000,4.117,4.301,3.882,3.972,152470.1,2021-11-19 00:00:00+00:00
1637366400000,3.977,4.181,3.837,3.943,147212.0,2021-11-20 00:00:00+00:00
1637452800000,3.918,3.925,3.746,3.811,121358.9,2021-11-21 00:00:00+00:00
1637539200000,3.799,4.54,3.715,4.265,638191.1,2021-11-22 00:00:00+00:00
1637625600000,4.262,5.093,4.117,5.058,785103.2,2021-11-23 00:00:00+00:00
1637712000000,5.062,6.168,4.535,5.866,939208.9,2021-11-24 00:00:00+00:00
1637798400000,5.851,6.395,5.484,5.916,866455.3,2021-11-25 00:00:00+00:00
1637884800000,5.932,6.105,4.723,4.929,685321.2,2021-11-26 00:00:00+00:00
1637971200000,4.929,5.367,4.672,4.84,385835.7,2021-11-27 00:00:00+00:00
1638057600000,4.823,4.898,4.186,4.89,233830.1,2021-11-28 00:00:00+00:00
1638144000000,4.87,5.033,4.6,4.694,223946.0,2021-11-29 00:00:00+00:00
