ts,o,h,l,close,vol,dt
1609459200000,5.6926,5.8551,5.6179,5.6515,5738.97,2021-01-01 00:00:00+00:00
1609545600000,5.6502,5.9176,5.577,5.7741,12288.99,2021-01-02 00:00:00+00:00
1609632000000,5.7891,6.6555,5.7799,6.5539,20864.84,2021-01-03 00:00:00+00:00
1609718400000,6.5746,7.7715,5.4,7.0553,26022.03,2021-01-04 00:00:00+00:00
1609804800000,7.0941,7.4678,6.35,7.2447,18438.07,2021-01-05 00:00:00+00:00
1609891200000,7.2639,7.745,7.0186,7.5598,20124.54,2021-01-06 00:00:00+00:00
1609977600000,7.4943,7.6617,7.0322,7.2093,16809.0,2021-01-07 00:00:00+00:00
1610064000000,7.2416,7.3196,6.6953,6.9007,11634.89,2021-01-08 00:00:00+00:00
1610150400000,6.9857,8.0286,6.7457,7.7539,28260.99,2021-01-09 00:00:00+00:00
1610236800000,7.8023,28.828,7.8023,8.9014,108414.89,2021-01-10 00:00:00+00:00
1610323200000,8.9014,8.9014,6.3067,7.2305,62010.57,2021-01-11 00:00:00+00:00
1610409600000,7.2295,7.6621,6.8089,7.0344,37605.31,2021-01-12 00:00:00+00:00
1610496000000,7.025,7.6171,6.8616,7.6004,21691.08,2021-01-13 00:00:00+00:00
1610582400000,7.6171,8.1023,7.3417,7.7453,18947.39,2021-01-14 00:00:00+00:00
1610668800000,7.7715,8.0168,7.195,7.6198,27967.83,2021-01-15 00:00:00+00:00
1610755200000,7.617,8.1,7.4107,7.7912,20424.46,2021-01-16 00:00:00+00:00
1610841600000,7.7804,8.3483,7.3407,7.7301,16296.01,2021-01-17 00:00:00+00:00
1610928000000,7.73,7.8726,7.49,7.712,18039.17,2021-01-18 00:00:00+00:00
1611014400000,7.7203,8.4777,7.5566,7.8152,48419.28,2021-01-19 00:00:00+00:00
1611100800000,7.8054,8.0315,7.4023,7.9269,14480.21,2021-01-20 00:00:00+00:00
1611187200000,7.9126,8.1803,7.0126,7.133,24285.43,2021-01-21 00:00:00+00:00
1611273600000,7.1228,7.6341,6.6704,7.4524,20323.55,2021-01-22 00:00:00+00:00
1611360000000,7.4329,7.5696,7.2167,7.4248,15760.88,2021-01-23 00:00:00+00:00
1611446400000,7.4248,7.7681,7.3923,7.6375,8222.55,2021-01-24 00:00:00+00:00
