ts,o,h,l,close,vol,dt
1654819200000,0.181,0.181,0.1467,0.147,140503.0,2022-06-10 00:00:00+00:00
1654905600000,0.1463,0.1493,0.1351,0.1351,29693.0,2022-06-11 00:00:00+00:00
1654992000000,0.1276,0.1325,0.115,0.115,20073.0,2022-06-12 00:00:00+00:00
1655078400000,0.1118,0.1148,0.1061,0.1124,85519.0,2022-06-13 00:00:00+00:00
1655164800000,0.1104,0.1128,0.1071,0.1071,12041.0,2022-06-14 00:00:00+00:00
1655251200000,0.1082,0.1082,0.0865,0.1054,113247.0,2022-06-15 00:00:00+00:00
1655337600000,0.0975,0.0984,0.0851,0.0851,395115.0,2022-06-16 00:00:00+00:00
1655424000000,0.082,0.0825,0.0771,0.0801,332435.0,2022-06-17 00:00:00+00:00
1655510400000,0.08,0.0903,0.0679,0.0746,114707.0,2022-06-18 00:00:00+00:00
1655596800000,0.0748,0.0794,0.0722,0.0794,46521.0,2022-06-19 00:00:00+00:00
1655683200000,0.0775,0.0821,0.0754,0.0814,51755.0,2022-06-20 00:00:00+00:00
1655769600000,0.0806,0.0871,0.0806,0.081,41404.0,2022-06-21 00:00:00+00:00
1655856000000,0.0803,0.088,0.0792,0.0826,77012.0,2022-06-22 00:00:00+00:00
1655942400000,0.0831,0.0837,0.08,0.0837,35554.0,2022-06-23 00:00:00+00:00
1656028800000,0.0826,0.0911,0.0824,0.0902,60160.0,2022-06-24 00:00:00+00:00
1656115200000,0.09,0.0949,0.0878,0.0906,103718.0,2022-06-25 00:00:00+00:00
1656201600000,0.0894,0.0941,0.0839,0.0844,133227.0,2022-06-26 00:00:00+00:00
1656288000000,0.0821,0.0854,0.0796,0.0828,197468.0,2022-06-27 00:00:00+00:00
1656374400000,0.0819,0.084,0.0757,0.076,81710.0,2022-06-28 00:00:00+00:00
1656460800000,0.0771,0.0793,0.0744,0.0778,181819.0,2022-06-29 00:00:00+00:00
1656547200000,0.0773,0.0793,0.0691,0.0719,283402.0,2022-06-30 00:00:00+00:00
1656633600000,0.0758,0.0774,0.0737,0.0744,23611.0,2022-07-01 00:00:00+00:00
1656720000000,0.0734,0.082,0.0734,0.0759,43646.0,2022-07-02 00:00:00+00:00
1656806400000,0.0748,0.0775,0.072,0.0751,40565.0,2022-07-03 00:00:00+00:00
1656892800000,0.0745,0.0773,0.0734,0.0773,16923.0,2022-07-04 00:00:00+00:00
1656979200000,0.0774,0.0774,0.0721,0.0743,20312.0,2022-07-05 00:00:00+00:00
1657065600000,0.0741,0.078,0.0734,0.0768,118249.0,2022-07-06 00:00:00+00:00
1657152000000,0.0757,0.0826,0.0757,0.0804,48840.0,2022-07-07 00:00:00+00:00
1657238400000,0.0787,0.0803,0.077,0.0792,20593.0,2022-07-08 00:00:00+00:00
1657324800000,0.0803,0.0826,0.0803,0.0818,7637.0,2022-07-09 00:00:00+00:00
1657411200000,0.08,0.0814,0.0771,0.0771,47205.0,2022-07-10 00:00:00+00:00
1657497600000,0.0766,0.0766,0.0722,0.0722,70857.0,2022-07-11 00:00:00+00:00
1657584000000,0.0699,0.0745,0.0686,0.0686,24903.0,2022-07-12 00:00:00+00:00
1657670400000,0.0683,0.0735,0.0682,0.0735,25026.0,2022-07-13 00:00:00+00:00
1657756800000,0.0745,0.0804,0.0743,0.0774,62797.0,2022-07-14 00:00:00+00:00
1657843200000,0.0767,0.0792,0.0763,0.0768,40877.0,2022-07-15 00:00:00+00:00
1657929600000,0.0767,0.0822,0.0765,0.0811,92182.0,2022-07-16 00:00:00+00:00
1658016000000,0.0811,0.0822,0.0786,0.0797,176202.0,2022-07-17 00:00:00+00:00
1658102400000,0.0816,0.0857,0.081,0.0843,135626.0,2022-07-18 00:00:00+00:00
1658188800000,0.0843,0.0901,0.0834,0.0873,163368.0,2022-07-19 00:00:00+00:00
1658275200000,0.0873,0.0926,0.0829,0.0836,220038.0,2022-07-20 00:00:00+00:00
1658361600000,0.0804,0.0861,0.0804,0.0861,90253.0,2022-07-21 00:00:00+00:00
1658448000000,0.0852,0.0878,0.0823,0.0825,90974.0,2022-07-22 00:00:00+00:00
1658534400000,0.0824,0.0837,0.0811,0.0825,99036.0,2022-07-23 00:00:00+00:00
1658620800000,0.0851,0.087,0.0829,0.085,18839.0,2022-07-24 00:00:00+00:00
1658707200000,0.0843,0.0843,0.0774,0.0774,27112.0,2022-07-25 00:00:00+00:00
1658793600000,0.0761,0.0767,0.0747,0.0747,20412.0,2022-07-26 00:00:00+00:00
