ts,o,h,l,close,vol,dt
1623974400000,66.86,67.27,63.86,65.49,1809.595,2021-06-18 00:00:00+00:00
1624060800000,65.85,66.54,64.46,65.33,223.6378,2021-06-19 00:00:00+00:00
1624147200000,63.71,64.66,60.11,63.18,875.7453,2021-06-20 00:00:00+00:00
1624233600000,63.43,63.59,45.03,46.22,7860.4237,2021-06-21 00:00:00+00:00
1624320000000,46.24,51.66,42.65,49.2,9706.7506,2021-06-22 00:00:00+00:00
1624406400000,49.12,59.2,47.61,58.79,9312.3015,2021-06-23 00:00:00+00:00
1624492800000,59.24,59.24,54.6,57.32,2398.1245,2021-06-24 00:00:00+00:00
1624579200000,57.38,57.87,50.44,52.6,1362.7839,2021-06-25 00:00:00+00:00
1624665600000,51.48,53.06,50.46,52.76,469.3815,2021-06-26 00:00:00+00:00
1624752000000,52.9,56.35,52.88,56.23,581.4157,2021-06-27 00:00:00+00:00
1624838400000,56.02,57.48,55.06,56.54,632.4392,2021-06-28 00:00:00+00:00
1624924800000,56.91,66.21,56.29,64.45,1742.1273,2021-06-29 00:00:00+00:00
1625011200000,64.66,65.37,56.73,60.49,1373.8537,2021-06-30 00:00:00+00:00
1625097600000,59.42,59.87,55.3,56.82,692.9239,2021-07-01 00:00:00+00:00
1625184000000,56.87,57.32,55.08,57.21,213.8633,2021-07-02 00:00:00+00:00
1625270400000,57.09,59.92,56.78,58.71,458.4743,2021-07-03 00:00:00+00:00
1625356800000,58.45,60.65,58.18,58.87,158.5766,2021-07-04 00:00:00+00:00
1625443200000,58.52,58.52,54.88,56.63,283.2017,2021-07-05 00:00:00+00:00
1625529600000,56.88,58.34,56.05,56.92,184.326,2021-07-06 00:00:00+00:00
1625616000000,57.06,58.02,56.37,56.37,358.2272,2021-07-07 00:00:00+00:00
1625702400000,56.32,56.32,53.13,53.82,480.2471,2021-07-08 00:00:00+00:00
1625788800000,53.04,55.56,52.77,55.42,312.492,2021-07-09 00:00:00+00:00
1625875200000,55.63,55.92,53.58,53.98,122.399,2021-07-10 00:00:00+00:00
1625961600000,54.3,55.69,54.03,55.69,187.4355,2021-07-11 00:00:00+00:00
1626048000000,54.76,55.43,52.27,52.38,254.479,2021-07-12 00:00:00+00:00
1626134400000,52.97,52.97,50.42,50.52,411.6975,2021-07-13 00:00:00+00:00
1626220800000,51.16,51.16,48.18,49.57,1617.8949,2021-07-14 00:00:00+00:00
1626307200000,49.4,50.29,46.37,47.4,484.3643,2021-07-15 00:00:00+00:00
1626393600000,48.08,48.21,45.96,46.05,284.789,2021-07-16 00:00:00+00:00
1626480000000,45.57,46.06,45.23,45.65,233.4798,2021-07-17 00:00:00+00:00
1626566400000,45.84,47.43,45.82,46.92,987.3063,2021-07-18 00:00:00+00:00
1626652800000,46.8,47.07,44.41,44.92,886.1636,2021-07-19 00:00:00+00:00
1626739200000,44.88,44.88,41.02,41.43,2019.3336,2021-07-20 00:00:00+00:00
1626825600000,41.02,47.77,40.13,46.05,4057.836,2021-07-21 00:00:00+00:00
1626912000000,46.34,46.83,44.66,45.5,1030.4266,2021-07-22 00:00:00+00:00
1626998400000,45.73,47.32,44.99,47.13,4593.3118,2021-07-23 00:00:00+00:00
1627084800000,47.0,51.37,46.54,49.42,2308.4916,2021-07-24 00:00:00+00:00
1627171200000,49.71,49.94,47.3,49.01,536.2979,2021-07-25 00:00:00+00:00
1627257600000,49.11,52.95,48.86,49.16,7855.0362,2021-07-26 00:00:00+00:00
1627344000000,49.14,49.69,47.28,49.43,3076.5234,2021-07-27 00:00:00+00:00
1627430400000,49.58,50.91,48.4,49.58,2169.2358,2021-07-28 00:00:00+00:00
1627516800000,49.44,49.54,48.51,49.31,703.5194,2021-07-29 00:00:00+00:00
1627603200000,49.65,51.35,48.74,51.17,1555.1755,2021-07-30 00:00:00+00:00
1627689600000,51.35,52.77,50.38,51.93,3877.2429,2021-07-31 00:00:00+00:00
1627776000000,51.76,58.33,51.76,53.84,12625.3986,2021-08-01 00:00:00+00:00
1627862400000,54.12,55.96,53.19,54.49,2770.6252,2021-08-02 00:00:00+00:00
1627948800000,54.37,55.01,52.74,54.71,2486.3553,2021-08-03 00:00:00+00:00
1628035200000,54.45,57.33,54.43,56.51,3778.0477,2021-08-04 00:00:00+00:00
1628121600000,56.73,58.19,55.07,57.9,4454.0768,2021-08-05 00:00:00+00:00
1628208000000,58.06,64.85,57.24,64.34,9258.6831,2021-08-06 00:00:00+00:00
1628294400000,64.35,70.76,63.74,69.49,12808.7322,2021-08-07 00:00:00+00:00
1628380800000,69.35,69.35,63.44,64.44,4763.7886,2021-08-08 00:00:00+00:00
1628467200000,64.5,68.16,61.47,67.73,5000.508,2021-08-09 00:00:00+00:00
1628553600000,66.99,69.73,65.33,66.36,2433.5342,2021-08-10 00:00:00+00:00
1628640000000,67.22,74.09,67.13,72.44,4532.6899,2021-08-11 00:00:00+00:00
1628726400000,71.69,75.0,66.22,68.3,4149.2199,2021-08-12 00:00:00+00:00
1628812800000,68.49,74.75,68.49,74.6,3247.5895,2021-08-13 00:00:00+00:00
1628899200000,74.57,75.04,70.23,72.56,5184.6019,2021-08-14 00:00:00+00:00
