ts,o,h,l,close,vol,dt
1778716800000,5.251,5.251,5.069,5.093,305.33,2026-05-14 00:00:00+00:00
1778803200000,5.185,5.242,4.797,4.914,865.34,2026-05-15 00:00:00+00:00
1778889600000,4.85,4.866,4.85,4.85,124.27,2026-05-16 00:00:00+00:00
1778976000000,4.679,4.838,4.5,4.532,444.37,2026-05-17 00:00:00+00:00
1779062400000,4.532,4.532,4.532,4.532,6.62,2026-05-18 00:00:00+00:00
1779148800000,5.318,5.389,4.875,4.963,8176.93,2026-05-19 00:00:00+00:00
1779235200000,4.9,5.117,4.766,4.816,12183.22,2026-05-20 00:00:00+00:00
1779321600000,4.864,5.3,4.857,5.24,54358.46,2026-05-21 00:00:00+00:00
1779408000000,5.111,5.6,5.087,5.11,39348.57,2026-05-22 00:00:00+00:00
1779494400000,5.245,5.599,4.75,5.305,6992.9,2026-05-23 00:00:00+00:00
1779580800000,5.321,5.321,5.084,5.284,243.63,2026-05-24 00:00:00+00:00
1779667200000,5.098,5.8,5.059,5.686,33004.97,2026-05-25 00:00:00+00:00
1779753600000,5.717,6.061,5.499,5.744,33619.77,2026-05-26 00:00:00+00:00
1779840000000,5.635,5.975,5.423,5.436,5496.5,2026-05-27 00:00:00+00:00
1779926400000,5.514,5.612,5.31,5.438,850.1,2026-05-28 00:00:00+00:00
1780012800000,5.546,6.7,5.546,6.447,17281.58,2026-05-29 00:00:00+00:00
1780099200000,6.399,7.069,6.327,6.588,21884.97,2026-05-30 00:00:00+00:00
1780185600000,6.564,6.747,6.306,6.515,5324.48,2026-05-31 00:00:00+00:00
1780272000000,6.491,7.316,6.432,6.961,15551.47,2026-06-01 00:00:00+00:00
1780358400000,6.954,7.319,6.487,6.487,7225.28,2026-06-02 00:00:00+00:00
1780444800000,6.649,6.966,6.329,6.559,16997.62,2026-06-03 00:00:00+00:00
1780531200000,6.562,6.562,5.341,5.431,5105.63,2026-06-04 00:00:00+00:00
1780617600000,5.432,5.508,4.805,5.158,13036.17,2026-06-05 00:00:00+00:00
1780704000000,5.158,5.422,4.89,5.169,2839.97,2026-06-06 00:00:00+00:00
1780790400000,5.178,5.551,5.093,5.42,7420.29,2026-06-07 00:00:00+00:00
1780876800000,5.447,5.915,5.371,5.626,1233.26,2026-06-08 00:00:00+00:00
1780963200000,5.632,5.846,5.43,5.55,2376.35,2026-06-09 00:00:00+00:00
1781049600000,5.49,5.49,4.895,4.954,3842.46,2026-06-10 00:00:00+00:00
1781136000000,4.993,5.481,4.958,5.481,2502.36,2026-06-11 00:00:00+00:00
1781222400000,5.42,5.633,5.081,5.081,2219.56,2026-06-12 00:00:00+00:00
1781308800000,5.145,5.377,5.055,5.198,5939.08,2026-06-13 00:00:00+00:00
