ts,o,h,l,close,vol,dt
1642118400000,25.17,25.91,23.97,25.78,3267.32,2022-01-14 00:00:00+00:00
1642204800000,25.74,26.21,25.15,25.21,2856.73,2022-01-15 00:00:00+00:00
1642291200000,25.12,26.34,24.68,25.56,3155.3,2022-01-16 00:00:00+00:00
1642377600000,25.52,25.55,23.33,23.78,7032.92,2022-01-17 00:00:00+00:00
1642464000000,23.79,24.34,22.0,22.93,6393.95,2022-01-18 00:00:00+00:00
1642550400000,22.93,23.13,21.28,21.71,9229.1,2022-01-19 00:00:00+00:00
1642636800000,21.52,22.95,20.02,20.18,8441.9,2022-01-20 00:00:00+00:00
1642723200000,20.17,20.44,17.12,17.25,25204.05,2022-01-21 00:00:00+00:00
1642809600000,17.54,17.8,14.28,15.78,84498.02,2022-01-22 00:00:00+00:00
1642896000000,15.82,16.85,15.19,16.58,14248.67,2022-01-23 00:00:00+00:00
1642982400000,16.49,16.49,13.5,15.63,30388.44,2022-01-24 00:00:00+00:00
1643068800000,15.57,16.0,14.57,15.46,56751.68,2022-01-25 00:00:00+00:00
1643155200000,15.35,16.72,14.72,15.24,20762.07,2022-01-26 00:00:00+00:00
1643241600000,15.28,15.69,14.41,15.24,9551.64,2022-01-27 00:00:00+00:00
1643328000000,15.24,16.27,14.74,16.14,3583.41,2022-01-28 00:00:00+00:00
1643414400000,16.14,16.66,15.96,16.18,9644.45,2022-01-29 00:00:00+00:00
1643500800000,16.3,18.1,16.0,17.74,15141.56,2022-01-30 00:00:00+00:00
1643587200000,17.82,17.86,16.47,17.27,7789.38,2022-01-31 00:00:00+00:00
1643673600000,17.08,17.89,16.84,17.03,5906.68,2022-02-01 00:00:00+00:00
1643760000000,17.01,17.36,15.57,15.78,7063.47,2022-02-02 00:00:00+00:00
1643846400000,15.78,16.28,15.33,16.28,3490.85,2022-02-03 00:00:00+00:00
1643932800000,16.18,17.57,16.03,17.39,4034.34,2022-02-04 00:00:00+00:00
1644019200000,17.54,18.31,17.45,17.74,4883.72,2022-02-05 00:00:00+00:00
1644105600000,17.87,18.18,17.2,17.99,3628.47,2022-02-06 00:00:00+00:00
1644192000000,18.08,19.47,17.67,18.8,9608.91,2022-02-07 00:00:00+00:00
1644278400000,18.89,19.54,17.74,18.45,54426.73,2022-02-08 00:00:00+00:00
1644364800000,18.42,18.74,17.76,18.65,4842.35,2022-02-09 00:00:00+00:00
1644451200000,18.53,18.7,17.39,17.39,15999.63,2022-02-10 00:00:00+00:00
1644537600000,17.4,17.79,15.96,16.07,28866.59,2022-02-11 00:00:00+00:00
1644624000000,16.08,16.39,15.57,15.93,4115.85,2022-02-12 00:00:00+00:00
1644710400000,16.04,16.32,15.55,15.68,1390.47,2022-02-13 00:00:00+00:00
1644796800000,15.6,16.12,15.23,15.99,3894.8,2022-02-14 00:00:00+00:00
1644883200000,15.93,17.44,15.85,17.32,36549.42,2022-02-15 00:00:00+00:00
1644969600000,17.27,17.34,16.22,17.14,75255.81,2022-02-16 00:00:00+00:00
1645056000000,17.18,17.46,15.51,15.56,4783.91,2022-02-17 00:00:00+00:00
1645142400000,15.51,16.07,15.03,15.21,20892.75,2022-02-18 00:00:00+00:00
1645228800000,15.29,15.65,14.84,15.57,34201.34,2022-02-19 00:00:00+00:00
1645315200000,15.5,15.51,14.4,14.62,35511.76,2022-02-20 00:00:00+00:00
1645401600000,14.55,15.3,13.4,13.47,34955.36,2022-02-21 00:00:00+00:00
1645488000000,13.59,14.21,13.04,13.99,25963.74,2022-02-22 00:00:00+00:00
1645574400000,14.0,14.66,13.33,13.33,12943.24,2022-02-23 00:00:00+00:00
1645660800000,13.27,13.94,11.4,13.15,47902.51,2022-02-24 00:00:00+00:00
1645747200000,13.27,14.48,13.09,14.3,16320.18,2022-02-25 00:00:00+00:00
1645833600000,14.32,15.02,14.11,14.73,14497.45,2022-02-26 00:00:00+00:00
1645920000000,14.62,14.84,13.5,13.64,28796.32,2022-02-27 00:00:00+00:00
1646006400000,13.66,15.15,13.35,15.15,36414.43,2022-02-28 00:00:00+00:00
1646092800000,15.19,15.73,14.74,15.33,21697.24,2022-03-01 00:00:00+00:00
1646179200000,15.26,15.85,14.91,15.26,29316.43,2022-03-02 00:00:00+00:00
1646265600000,15.18,15.38,14.47,14.88,6956.93,2022-03-03 00:00:00+00:00
1646352000000,14.96,14.96,13.57,13.68,9355.62,2022-03-04 00:00:00+00:00
1646438400000,13.64,14.26,13.46,14.06,1705.72,2022-03-05 00:00:00+00:00
1646524800000,14.07,14.11,13.27,13.27,6349.41,2022-03-06 00:00:00+00:00
1646611200000,13.26,13.65,12.43,12.73,48788.45,2022-03-07 00:00:00+00:00
1646697600000,12.63,13.54,12.63,13.08,26943.1,2022-03-08 00:00:00+00:00
1646784000000,13.1,14.46,13.05,14.03,56233.1,2022-03-09 00:00:00+00:00
1646870400000,13.94,14.11,13.01,13.25,15984.11,2022-03-10 00:00:00+00:00
1646956800000,13.14,13.64,12.82,13.05,10835.32,2022-03-11 00:00:00+00:00
1647043200000,13.14,13.46,13.12,13.14,6669.51,2022-03-12 00:00:00+00:00
1647129600000,13.12,13.43,12.58,12.75,18579.57,2022-03-13 00:00:00+00:00
1647216000000,12.67,13.42,12.61,13.42,26776.88,2022-03-14 00:00:00+00:00
1647302400000,13.45,13.77,12.88,13.71,11825.5,2022-03-15 00:00:00+00:00
1647388800000,13.77,14.77,13.66,14.7,33398.87,2022-03-16 00:00:00+00:00
1647475200000,14.65,14.91,14.24,14.43,49862.68,2022-03-17 00:00:00+00:00
1647561600000,14.36,15.26,14.13,15.05,21065.85,2022-03-18 00:00:00+00:00
1647648000000,15.05,15.4,14.85,15.0,14366.64,2022-03-19 00:00:00+00:00
1647734400000,15.0,15.11,14.47,14.55,8333.94,2022-03-20 00:00:00+00:00
1647820800000,14.61,15.26,14.31,15.04,6217.91,2022-03-21 00:00:00+00:00
1647907200000,15.05,15.84,15.0,15.43,29147.87,2022-03-22 00:00:00+00:00
1647993600000,15.49,15.95,15.13,15.82,13787.25,2022-03-23 00:00:00+00:00
1648080000000,15.85,16.4,15.62,16.21,22393.05,2022-03-24 00:00:00+00:00
1648166400000,16.1,16.45,15.47,15.57,24817.22,2022-03-25 00:00:00+00:00
1648252800000,15.62,15.91,15.51,15.88,8953.49,2022-03-26 00:00:00+00:00
1648339200000,15.87,16.89,15.64,16.83,26405.6,2022-03-27 00:00:00+00:00
1648425600000,16.87,17.36,16.31,16.48,27497.57,2022-03-28 00:00:00+00:00
1648512000000,16.47,17.51,16.47,17.0,21003.05,2022-03-29 00:00:00+00:00
1648598400000,16.94,17.58,16.54,17.18,14313.26,2022-03-30 00:00:00+00:00
1648684800000,17.22,18.05,16.67,16.93,16638.11,2022-03-31 00:00:00+00:00
1648771200000,17.0,17.37,16.18,17.36,12038.37,2022-04-01 00:00:00+00:00
1648857600000,17.28,17.85,17.11,17.38,14760.74,2022-04-02 00:00:00+00:00
1648944000000,17.41,18.32,17.17,18.14,12100.05,2022-04-03 00:00:00+00:00
1649030400000,18.02,18.03,16.84,17.52,7715.88,2022-04-04 00:00:00+00:00
1649116800000,17.57,17.65,16.67,16.73,8078.17,2022-04-05 00:00:00+00:00
1649203200000,16.7,16.75,15.3,15.37,12052.32,2022-04-06 00:00:00+00:00
1649289600000,15.46,15.87,15.12,15.76,5168.83,2022-04-07 00:00:00+00:00
1649376000000,15.69,15.9,15.07,15.07,2471.87,2022-04-08 00:00:00+00:00
1649462400000,15.17,15.48,15.14,15.43,3335.51,2022-04-09 00:00:00+00:00
1649548800000,15.46,15.91,15.18,15.18,4783.66,2022-04-10 00:00:00+00:00
1649635200000,15.2,15.21,13.53,13.71,13197.03,2022-04-11 00:00:00+00:00
1649721600000,13.81,14.32,13.64,13.94,18260.52,2022-04-12 00:00:00+00:00
1649808000000,14.01,14.22,13.7,14.19,2951.77,2022-04-13 00:00:00+00:00
1649894400000,14.18,14.33,13.33,13.63,12668.07,2022-04-14 00:00:00+00:00
1649980800000,13.69,14.19,13.64,14.12,13156.28,2022-04-15 00:00:00+00:00
1650067200000,14.09,14.26,13.84,14.19,5770.53,2022-04-16 00:00:00+00:00
1650153600000,14.12,14.63,13.65,13.77,13906.3,2022-04-17 00:00:00+00:00
1650240000000,13.7,14.05,13.15,14.02,34536.09,2022-04-18 00:00:00+00:00
1650326400000,14.07,14.4,13.83,14.26,8648.78,2022-04-19 00:00:00+00:00
1650412800000,14.26,14.49,13.71,14.05,13163.5,2022-04-20 00:00:00+00:00
1650499200000,14.07,14.36,13.38,13.57,8443.43,2022-04-21 00:00:00+00:00
1650585600000,13.56,13.87,13.48,13.57,5235.66,2022-04-22 00:00:00+00:00
1650672000000,13.56,13.67,13.21,13.36,5229.74,2022-04-23 00:00:00+00:00
1650758400000,13.36,13.63,13.23,13.26,32028.55,2022-04-24 00:00:00+00:00
1650844800000,13.24,13.51,12.54,13.46,51572.95,2022-04-25 00:00:00+00:00
1650931200000,13.4,13.49,12.15,12.38,15259.35,2022-04-26 00:00:00+00:00
1651017600000,12.4,12.79,12.32,12.76,13911.64,2022-04-27 00:00:00+00:00
1651104000000,12.71,12.97,12.4,12.65,25411.02,2022-04-28 00:00:00+00:00
1651190400000,12.66,12.73,11.84,11.96,14523.73,2022-04-29 00:00:00+00:00
1651276800000,11.99,12.23,10.66,10.98,18941.18,2022-04-30 00:00:00+00:00
1651363200000,10.97,11.46,10.87,11.29,6366.31,2022-05-01 00:00:00+00:00
1651449600000,11.32,11.44,10.77,11.13,20362.64,2022-05-02 00:00:00+00:00
1651536000000,11.1,11.5,10.81,11.11,4994.54,2022-05-03 00:00:00+00:00
1651622400000,11.1,12.19,11.1,12.19,9888.35,2022-05-04 00:00:00+00:00
1651708800000,12.22,12.28,10.64,10.9,20252.21,2022-05-05 00:00:00+00:00
1651795200000,10.84,10.99,10.38,10.77,16735.37,2022-05-06 00:00:00+00:00
1651881600000,10.77,10.85,10.0,10.24,4474.1,2022-05-07 00:00:00+00:00
1651968000000,10.24,10.37,9.84,9.96,13301.84,2022-05-08 00:00:00+00:00
1652054400000,9.98,10.14,8.02,8.08,33693.28,2022-05-09 00:00:00+00:00
