ts,o,h,l,close,vol,dt
1641427200000,2.9085,3.4406,2.8004,3.389,451924.0,2022-01-06 00:00:00+00:00
1641513600000,3.3784,3.3949,3.0301,3.0405,130706.0,2022-01-07 00:00:00+00:00
1641600000000,3.0535,3.1306,2.8359,2.935,91767.0,2022-01-08 00:00:00+00:00
1641686400000,2.9314,3.0472,2.84,2.9345,81866.0,2022-01-09 00:00:00+00:00
1641772800000,2.9508,2.9656,2.6397,2.8257,32731.0,2022-01-10 00:00:00+00:00
1641859200000,2.8021,2.9422,2.7606,2.9282,92932.0,2022-01-11 00:00:00+00:00
1641945600000,2.9443,3.1051,2.9142,3.0877,128478.0,2022-01-12 00:00:00+00:00
1642032000000,3.0909,3.0911,2.8822,2.8864,111102.0,2022-01-13 00:00:00+00:00
1642118400000,2.8942,3.0146,2.8134,2.9541,80994.0,2022-01-14 00:00:00+00:00
1642204800000,2.9656,3.0637,2.9149,2.9881,101766.0,2022-01-15 00:00:00+00:00
1642291200000,2.9792,3.1937,2.9251,3.1209,230410.0,2022-01-16 00:00:00+00:00
1642377600000,3.1308,3.1851,2.863,2.9013,122532.0,2022-01-17 00:00:00+00:00
1642464000000,2.9187,2.9228,2.7792,2.8585,45011.0,2022-01-18 00:00:00+00:00
1642550400000,2.8492,2.8978,2.707,2.7334,28463.0,2022-01-19 00:00:00+00:00
1642636800000,2.7263,2.8924,2.6177,2.636,69988.0,2022-01-20 00:00:00+00:00
1642723200000,2.6279,2.6981,2.1421,2.2194,250069.0,2022-01-21 00:00:00+00:00
1642809600000,2.2095,2.2639,1.7086,2.0425,646598.0,2022-01-22 00:00:00+00:00
1642896000000,2.0362,2.157,2.0,2.1163,240389.0,2022-01-23 00:00:00+00:00
1642982400000,2.1094,2.138,1.8133,2.0813,255987.0,2022-01-24 00:00:00+00:00
1643068800000,2.0813,2.1678,2.0068,2.1,99309.0,2022-01-25 00:00:00+00:00
1643155200000,2.0944,2.3638,2.0646,2.1552,232808.0,2022-01-26 00:00:00+00:00
1643241600000,2.1528,2.3509,2.0329,2.258,405691.0,2022-01-27 00:00:00+00:00
1643328000000,2.2429,2.3126,2.166,2.2898,202926.0,2022-01-28 00:00:00+00:00
1643414400000,2.2739,2.4171,2.2692,2.3646,92660.0,2022-01-29 00:00:00+00:00
1643500800000,2.3578,2.5589,2.3549,2.5115,131791.0,2022-01-30 00:00:00+00:00
1643587200000,2.5115,2.8505,2.3662,2.8231,474644.0,2022-01-31 00:00:00+00:00
1643673600000,2.8247,2.8927,2.6554,2.6824,251347.0,2022-02-01 00:00:00+00:00
1643760000000,2.6839,2.7362,2.4978,2.5459,204728.0,2022-02-02 00:00:00+00:00
1643846400000,2.5355,2.6807,2.4384,2.679,173787.0,2022-02-03 00:00:00+00:00
1643932800000,2.6827,2.8261,2.5788,2.8156,175563.0,2022-02-04 00:00:00+00:00
1644019200000,2.7998,3.1,2.7783,3.0115,197653.0,2022-02-05 00:00:00+00:00
1644105600000,3.0315,3.3894,3.0248,3.296,261703.0,2022-02-06 00:00:00+00:00
1644192000000,3.31,3.4509,3.2179,3.276,339406.0,2022-02-07 00:00:00+00:00
1644278400000,3.2989,3.4873,3.1157,3.4613,220066.0,2022-02-08 00:00:00+00:00
