ts,o,h,l,close,vol,dt
1609459200000,584.14,600.38,572.99,581.14,88.50616,2021-01-01 00:00:00+00:00
1609545600000,577.72,615.45,568.06,608.64,139.09444,2021-01-02 00:00:00+00:00
1609632000000,613.12,698.14,610.69,678.57,215.51211,2021-01-03 00:00:00+00:00
1609718400000,677.14,750.21,628.57,685.71,197.22034,2021-01-04 00:00:00+00:00
1609804800000,689.69,779.57,657.14,764.03,111.37873,2021-01-05 00:00:00+00:00
1609891200000,767.42,1000.0,745.65,993.17,151.74672,2021-01-06 00:00:00+00:00
1609977600000,994.0,994.0,980.0,981.94,1.85099,2021-01-07 00:00:00+00:00
1610064000000,985.0,1125.38,691.33,1042.86,150.43507,2021-01-08 00:00:00+00:00
1610150400000,1046.82,1595.48,1033.23,1595.48,453.91507,2021-01-09 00:00:00+00:00
1610236800000,1596.32,1975.74,1438.92,1495.31,708.13364,2021-01-10 00:00:00+00:00
1610323200000,1489.95,1502.06,1079.17,1406.71,488.43031,2021-01-11 00:00:00+00:00
1610409600000,1405.54,1714.37,1316.5,1481.52,453.05968,2021-01-12 00:00:00+00:00
1610496000000,1456.66,1585.12,1386.56,1547.54,194.11412,2021-01-13 00:00:00+00:00
1610582400000,1560.0,1711.74,1485.06,1607.27,200.90961,2021-01-14 00:00:00+00:00
1610668800000,1612.64,1641.76,1347.58,1472.77,250.95371,2021-01-15 00:00:00+00:00
1610755200000,1477.22,1620.28,1464.38,1491.58,120.7236,2021-01-16 00:00:00+00:00
1610841600000,1465.07,1519.0,1424.64,1428.9,96.16836,2021-01-17 00:00:00+00:00
1610928000000,1449.35,1460.36,1355.93,1427.29,80.57837,2021-01-18 00:00:00+00:00
1611014400000,1418.19,1531.15,1401.7,1406.87,117.59071,2021-01-19 00:00:00+00:00
1611100800000,1407.0,1439.48,1240.01,1416.57,225.79211,2021-01-20 00:00:00+00:00
1611187200000,1418.98,1418.98,1131.83,1164.99,318.23586,2021-01-21 00:00:00+00:00
1611273600000,1153.03,1489.36,1071.92,1402.39,232.59329,2021-01-22 00:00:00+00:00
1611360000000,1401.12,1460.83,1354.46,1375.54,79.53824,2021-01-23 00:00:00+00:00
1611446400000,1369.29,1468.0,1369.29,1456.57,117.41114,2021-01-24 00:00:00+00:00
1611532800000,1456.74,1532.05,1343.84,1366.74,155.77267,2021-01-25 00:00:00+00:00
1611619200000,1358.85,1477.68,1305.92,1473.15,77.94051,2021-01-26 00:00:00+00:00
1611705600000,1477.35,1477.35,1280.26,1326.61,111.66168,2021-01-27 00:00:00+00:00
1611792000000,1325.0,1448.03,1307.24,1397.87,109.13968,2021-01-28 00:00:00+00:00
1611878400000,1403.74,1461.1,1360.97,1407.34,189.65885,2021-01-29 00:00:00+00:00
1611964800000,1416.76,1630.07,1392.21,1580.55,227.43344,2021-01-30 00:00:00+00:00
1612051200000,1600.0,1608.94,1410.42,1484.36,120.79064,2021-01-31 00:00:00+00:00
1612137600000,1472.94,1514.3,1421.04,1470.75,304.15743,2021-02-01 00:00:00+00:00
1612224000000,1477.19,1773.02,1462.86,1701.28,364.12318,2021-02-02 00:00:00+00:00
1612310400000,1697.43,1767.31,1638.59,1756.98,165.47583,2021-02-03 00:00:00+00:00
1612396800000,1756.98,2367.33,1598.02,2093.02,490.4781,2021-02-04 00:00:00+00:00
1612483200000,2124.76,3080.82,2113.78,2713.19,853.03032,2021-02-05 00:00:00+00:00
1612569600000,2696.11,2834.39,2274.79,2509.65,136.97352,2021-02-06 00:00:00+00:00
1612656000000,2509.66,2654.63,2247.25,2476.84,73.69415,2021-02-07 00:00:00+00:00
1612742400000,2451.56,2853.23,2409.69,2500.87,94.44811,2021-02-08 00:00:00+00:00
1612828800000,2507.41,2631.16,2451.6,2563.09,60.33876,2021-02-09 00:00:00+00:00
1612915200000,2587.14,2715.27,2362.43,2518.62,98.77113,2021-02-10 00:00:00+00:00
1613001600000,2531.03,2649.52,2441.68,2540.66,61.27115,2021-02-11 00:00:00+00:00
1613088000000,2553.82,2832.76,2518.84,2739.56,82.55522,2021-02-12 00:00:00+00:00
1613174400000,2756.84,2799.85,2528.56,2597.09,39.15127,2021-02-13 00:00:00+00:00
1613260800000,2614.18,2670.37,2482.38,2514.71,37.40009,2021-02-14 00:00:00+00:00
1613347200000,2519.78,2597.98,2102.03,2474.24,261.61841,2021-02-15 00:00:00+00:00
1613433600000,2463.4,2586.63,2418.71,2482.48,85.682,2021-02-16 00:00:00+00:00
1613520000000,2492.69,2614.66,2365.86,2614.66,90.83158,2021-02-17 00:00:00+00:00
1613606400000,2616.68,2702.72,2546.83,2609.46,91.69753,2021-02-18 00:00:00+00:00
1613692800000,2635.26,2688.77,2511.77,2575.01,97.3894,2021-02-19 00:00:00+00:00
