ts,o,h,l,close,vol,dt
1642636800000,16.243,17.544,15.227,15.227,52892.1,2022-01-20 00:00:00+00:00
1642723200000,15.147,15.675,11.958,13.193,52626.9,2022-01-21 00:00:00+00:00
1642809600000,13.161,13.504,10.093,11.4,45865.1,2022-01-22 00:00:00+00:00
1642896000000,11.529,12.513,10.885,11.707,52630.2,2022-01-23 00:00:00+00:00
1642982400000,11.54,11.578,9.543,10.65,43219.0,2022-01-24 00:00:00+00:00
1643068800000,10.664,12.468,10.049,12.106,47410.5,2022-01-25 00:00:00+00:00
1643155200000,12.095,12.934,10.731,11.276,56696.8,2022-01-26 00:00:00+00:00
1643241600000,11.279,11.726,9.954,10.586,28048.7,2022-01-27 00:00:00+00:00
1643328000000,10.493,10.919,10.134,10.738,27238.8,2022-01-28 00:00:00+00:00
1643414400000,10.718,11.346,10.702,10.937,10890.2,2022-01-29 00:00:00+00:00
1643500800000,11.067,11.148,10.296,10.344,19659.8,2022-01-30 00:00:00+00:00
1643587200000,10.345,11.359,10.04,11.102,22426.8,2022-01-31 00:00:00+00:00
1643673600000,11.013,11.504,10.897,11.244,39461.5,2022-02-01 00:00:00+00:00
1643760000000,11.242,11.927,10.863,10.863,23115.7,2022-02-02 00:00:00+00:00
1643846400000,10.892,10.963,10.443,10.889,28221.2,2022-02-03 00:00:00+00:00
1643932800000,10.987,13.127,10.971,12.951,55006.8,2022-02-04 00:00:00+00:00
1644019200000,13.011,13.569,12.608,12.845,41624.6,2022-02-05 00:00:00+00:00
1644105600000,12.832,13.954,12.748,13.505,33857.6,2022-02-06 00:00:00+00:00
1644192000000,13.561,14.071,13.109,13.558,23290.7,2022-02-07 00:00:00+00:00
1644278400000,13.558,13.727,12.21,12.75,15260.6,2022-02-08 00:00:00+00:00
1644364800000,12.83,13.127,12.102,12.844,25508.4,2022-02-09 00:00:00+00:00
1644451200000,12.833,12.841,11.75,11.845,26730.4,2022-02-10 00:00:00+00:00
1644537600000,11.732,12.306,10.679,10.886,27936.3,2022-02-11 00:00:00+00:00
1644624000000,10.852,11.235,10.414,10.735,11628.6,2022-02-12 00:00:00+00:00
1644710400000,10.761,10.897,10.138,10.425,14386.3,2022-02-13 00:00:00+00:00
1644796800000,10.345,10.661,10.059,10.518,6449.6,2022-02-14 00:00:00+00:00
1644883200000,10.568,11.605,10.494,11.512,17973.6,2022-02-15 00:00:00+00:00
1644969600000,11.431,11.48,10.868,11.177,7671.7,2022-02-16 00:00:00+00:00
1645056000000,11.285,11.718,10.406,10.507,29485.2,2022-02-17 00:00:00+00:00
1645142400000,10.394,10.939,10.013,10.296,19615.2,2022-02-18 00:00:00+00:00
