ts,o,h,l,close,vol,dt
1655942400000,0.508,0.516,0.487,0.514,32673.33,2022-06-23 00:00:00+00:00
1656028800000,0.523,0.631,0.523,0.589,46056.16,2022-06-24 00:00:00+00:00
1656115200000,0.591,0.654,0.572,0.586,27859.32,2022-06-25 00:00:00+00:00
1656201600000,0.586,0.622,0.529,0.529,11924.13,2022-06-26 00:00:00+00:00
1656288000000,0.559,0.568,0.559,0.568,170.51,2022-06-27 00:00:00+00:00
1656374400000,0.517,0.557,0.517,0.529,4760.04,2022-06-28 00:00:00+00:00
1656460800000,0.542,0.607,0.541,0.587,10968.49,2022-06-29 00:00:00+00:00
1656547200000,0.587,0.587,0.525,0.534,28835.85,2022-06-30 00:00:00+00:00
1656633600000,0.566,0.566,0.526,0.533,4247.68,2022-07-01 00:00:00+00:00
1656720000000,0.527,0.53,0.519,0.528,12799.75,2022-07-02 00:00:00+00:00
1656806400000,0.525,0.533,0.512,0.522,2269.44,2022-07-03 00:00:00+00:00
1656892800000,0.525,0.566,0.517,0.56,5691.05,2022-07-04 00:00:00+00:00
1656979200000,0.563,0.566,0.517,0.525,4080.64,2022-07-05 00:00:00+00:00
1657065600000,0.522,0.555,0.519,0.543,5884.55,2022-07-06 00:00:00+00:00
1657152000000,0.546,0.587,0.546,0.574,32979.06,2022-07-07 00:00:00+00:00
1657238400000,0.578,0.62,0.558,0.568,36089.22,2022-07-08 00:00:00+00:00
1657324800000,0.571,0.584,0.56,0.574,2834.51,2022-07-09 00:00:00+00:00
1657411200000,0.571,0.571,0.527,0.532,13150.97,2022-07-10 00:00:00+00:00
1657497600000,0.53,0.533,0.475,0.482,33902.93,2022-07-11 00:00:00+00:00
1657584000000,0.485,0.488,0.447,0.452,16024.69,2022-07-12 00:00:00+00:00
1657670400000,0.449,0.473,0.409,0.473,70005.62,2022-07-13 00:00:00+00:00
1657756800000,0.475,0.5,0.438,0.492,34341.09,2022-07-14 00:00:00+00:00
1657843200000,0.489,0.51,0.475,0.482,23693.76,2022-07-15 00:00:00+00:00
1657929600000,0.479,0.533,0.472,0.522,27726.46,2022-07-16 00:00:00+00:00
1658016000000,0.525,0.613,0.516,0.58,105591.08,2022-07-17 00:00:00+00:00
1658102400000,0.584,0.83,0.566,0.818,226569.49,2022-07-18 00:00:00+00:00
1658188800000,0.816,0.835,0.703,0.722,92086.68,2022-07-19 00:00:00+00:00
1658275200000,0.717,0.839,0.672,0.684,156817.25,2022-07-20 00:00:00+00:00
1658361600000,0.688,0.787,0.653,0.775,194185.33,2022-07-21 00:00:00+00:00
1658448000000,0.778,0.874,0.732,0.838,147404.05,2022-07-22 00:00:00+00:00
1658534400000,0.836,0.961,0.809,0.936,166766.17,2022-07-23 00:00:00+00:00
1658620800000,0.942,0.976,0.893,0.918,153782.19,2022-07-24 00:00:00+00:00
1658707200000,0.916,0.919,0.791,0.793,112838.77,2022-07-25 00:00:00+00:00
1658793600000,0.794,0.828,0.748,0.828,151691.41,2022-07-26 00:00:00+00:00
1658880000000,0.824,1.077,0.806,1.051,352664.76,2022-07-27 00:00:00+00:00
1658966400000,1.054,1.551,1.032,1.447,1093080.05,2022-07-28 00:00:00+00:00
1659052800000,1.45,1.958,1.408,1.845,1741384.21,2022-07-29 00:00:00+00:00
1659139200000,1.835,1.883,1.642,1.809,964708.55,2022-07-30 00:00:00+00:00
1659225600000,1.806,1.809,1.572,1.589,541972.98,2022-07-31 00:00:00+00:00
1659312000000,1.589,1.685,1.428,1.511,391813.9,2022-08-01 00:00:00+00:00
1659398400000,1.507,1.667,1.364,1.637,742326.77,2022-08-02 00:00:00+00:00
1659484800000,1.64,2.168,1.543,1.987,1163844.09,2022-08-03 00:00:00+00:00
1659571200000,1.987,2.232,1.825,1.916,1213606.89,2022-08-04 00:00:00+00:00
1659657600000,1.923,2.078,1.798,1.943,1211756.76,2022-08-05 00:00:00+00:00
1659744000000,1.953,2.051,1.873,1.902,383792.64,2022-08-06 00:00:00+00:00
1659830400000,1.9,1.997,1.893,1.911,138337.31,2022-08-07 00:00:00+00:00
1659916800000,1.903,2.073,1.846,1.898,175921.26,2022-08-08 00:00:00+00:00
1660003200000,1.903,1.924,1.607,1.609,200143.79,2022-08-09 00:00:00+00:00
1660089600000,1.609,1.835,1.54,1.57,253393.61,2022-08-10 00:00:00+00:00
1660176000000,1.577,1.717,1.496,1.561,278472.33,2022-08-11 00:00:00+00:00
1660262400000,1.559,1.658,1.535,1.653,154027.33,2022-08-12 00:00:00+00:00
1660348800000,1.646,1.699,1.513,1.54,266091.48,2022-08-13 00:00:00+00:00
1660435200000,1.541,1.586,1.377,1.443,303919.66,2022-08-14 00:00:00+00:00
1660521600000,1.434,1.572,1.384,1.561,117249.52,2022-08-15 00:00:00+00:00
1660608000000,1.569,1.597,1.418,1.452,153537.19,2022-08-16 00:00:00+00:00
1660694400000,1.452,1.498,1.259,1.314,202240.34,2022-08-17 00:00:00+00:00
1660780800000,1.323,1.372,1.186,1.197,143717.65,2022-08-18 00:00:00+00:00
1660867200000,1.192,1.267,1.096,1.229,314344.34,2022-08-19 00:00:00+00:00
1660953600000,1.231,1.294,1.092,1.133,195433.01,2022-08-20 00:00:00+00:00
1661040000000,1.137,1.224,1.117,1.178,109867.77,2022-08-21 00:00:00+00:00
1661126400000,1.172,1.203,1.094,1.166,71556.18,2022-08-22 00:00:00+00:00
1661212800000,1.169,1.353,1.126,1.336,364211.06,2022-08-23 00:00:00+00:00
1661299200000,1.332,1.336,1.222,1.225,293054.74,2022-08-24 00:00:00+00:00
1661385600000,1.225,1.28,1.164,1.18,251741.22,2022-08-25 00:00:00+00:00
1661472000000,1.172,1.183,1.005,1.016,238458.53,2022-08-26 00:00:00+00:00
1661558400000,1.021,1.051,0.989,1.024,200134.61,2022-08-27 00:00:00+00:00
1661644800000,1.019,1.085,1.014,1.049,68879.38,2022-08-28 00:00:00+00:00
1661731200000,1.047,1.197,1.028,1.172,188488.56,2022-08-29 00:00:00+00:00
1661817600000,1.168,1.191,1.061,1.077,93887.5,2022-08-30 00:00:00+00:00
1661904000000,1.084,1.215,1.084,1.127,128017.29,2022-08-31 00:00:00+00:00
1661990400000,1.133,1.191,1.076,1.178,102724.98,2022-09-01 00:00:00+00:00
1662076800000,1.186,1.303,1.147,1.232,133754.62,2022-09-02 00:00:00+00:00
1662163200000,1.229,1.243,1.169,1.194,96867.06,2022-09-03 00:00:00+00:00
1662249600000,1.196,1.223,1.13,1.173,168891.98,2022-09-04 00:00:00+00:00
1662336000000,1.173,1.209,1.112,1.196,36483.25,2022-09-05 00:00:00+00:00
1662422400000,1.197,1.267,1.085,1.097,191498.96,2022-09-06 00:00:00+00:00
1662508800000,1.095,1.186,1.067,1.172,100609.22,2022-09-07 00:00:00+00:00
1662595200000,1.178,1.201,1.117,1.178,97420.57,2022-09-08 00:00:00+00:00
1662681600000,1.184,1.462,1.184,1.413,332519.81,2022-09-09 00:00:00+00:00
1662768000000,1.404,1.476,1.337,1.388,58191.29,2022-09-10 00:00:00+00:00
1662854400000,1.397,1.454,1.331,1.41,34193.46,2022-09-11 00:00:00+00:00
1662940800000,1.397,1.428,1.258,1.258,38397.12,2022-09-12 00:00:00+00:00
1663027200000,1.256,1.329,1.16,1.18,80158.53,2022-09-13 00:00:00+00:00
1663113600000,1.186,1.233,1.133,1.213,35775.6,2022-09-14 00:00:00+00:00
1663200000000,1.209,1.283,1.114,1.126,65061.49,2022-09-15 00:00:00+00:00
1663286400000,1.133,1.139,1.061,1.111,32172.14,2022-09-16 00:00:00+00:00
1663372800000,1.115,1.135,1.087,1.131,5375.21,2022-09-17 00:00:00+00:00
1663459200000,1.126,1.135,0.901,0.929,71221.13,2022-09-18 00:00:00+00:00
1663545600000,0.933,0.979,0.894,0.955,30230.91,2022-09-19 00:00:00+00:00
