ts,o,h,l,close,vol,dt
1733356800000,2.5e-05,9.999e-05,2.08e-05,2.151e-05,36424336592.0,2024-12-05 00:00:00+00:00
1733443200000,2.149e-05,2.239e-05,2.06e-05,2.191e-05,13542088395.0,2024-12-06 00:00:00+00:00
1733529600000,2.191e-05,2.704e-05,2.112e-05,2.499e-05,42317881032.0,2024-12-07 00:00:00+00:00
1733616000000,2.506e-05,2.704e-05,2.387e-05,2.645e-05,33405265321.0,2024-12-08 00:00:00+00:00
1733702400000,2.646e-05,2.844e-05,2.32e-05,2.643e-05,49631009185.0,2024-12-09 00:00:00+00:00
1733788800000,2.644e-05,2.72e-05,2.2e-05,2.36e-05,40175289716.0,2024-12-10 00:00:00+00:00
1733875200000,2.369e-05,2.55e-05,2.156e-05,2.519e-05,18459858398.0,2024-12-11 00:00:00+00:00
1733961600000,2.519e-05,2.6e-05,2.327e-05,2.375e-05,13168083110.0,2024-12-12 00:00:00+00:00
1734048000000,2.373e-05,2.49e-05,2.309e-05,2.489e-05,6676408122.0,2024-12-13 00:00:00+00:00
1734134400000,2.489e-05,2.49e-05,2.278e-05,2.345e-05,4157817156.0,2024-12-14 00:00:00+00:00
1734220800000,2.331e-05,2.432e-05,2.27e-05,2.412e-05,6330606643.0,2024-12-15 00:00:00+00:00
1734307200000,2.415e-05,2.446e-05,2.3e-05,2.359e-05,7449563088.0,2024-12-16 00:00:00+00:00
1734393600000,2.355e-05,2.436e-05,2.222e-05,2.255e-05,6376878502.0,2024-12-17 00:00:00+00:00
1734480000000,2.255e-05,2.255e-05,1.921e-05,1.959e-05,14028833168.0,2024-12-18 00:00:00+00:00
1734566400000,1.958e-05,1.997e-05,1.655e-05,1.743e-05,13262043951.0,2024-12-19 00:00:00+00:00
1734652800000,1.713e-05,1.805e-05,1.421e-05,1.796e-05,14052883509.0,2024-12-20 00:00:00+00:00
1734739200000,1.793e-05,1.956e-05,1.696e-05,1.743e-05,7307053443.0,2024-12-21 00:00:00+00:00
1734825600000,1.731e-05,1.82e-05,1.669e-05,1.785e-05,9342173406.0,2024-12-22 00:00:00+00:00
1734912000000,1.779e-05,1.893e-05,1.733e-05,1.843e-05,5174140931.0,2024-12-23 00:00:00+00:00
1734998400000,1.851e-05,1.938e-05,1.795e-05,1.909e-05,3966181760.0,2024-12-24 00:00:00+00:00
1735084800000,1.917e-05,1.926e-05,1.811e-05,1.839e-05,2043402607.0,2024-12-25 00:00:00+00:00
1735171200000,1.845e-05,1.86e-05,1.692e-05,1.725e-05,6774368842.0,2024-12-26 00:00:00+00:00
1735257600000,1.73e-05,1.83e-05,1.723e-05,1.797e-05,4109988699.0,2024-12-27 00:00:00+00:00
1735344000000,1.785e-05,1.918e-05,1.769e-05,1.886e-05,2028788963.0,2024-12-28 00:00:00+00:00
1735430400000,1.876e-05,1.909e-05,1.759e-05,1.802e-05,5596274872.0,2024-12-29 00:00:00+00:00
1735516800000,1.797e-05,1.888e-05,1.739e-05,1.819e-05,5579696440.0,2024-12-30 00:00:00+00:00
1735603200000,1.833e-05,2.189e-05,1.766e-05,2.013e-05,21916982145.0,2024-12-31 00:00:00+00:00
1735689600000,2.009e-05,2.066e-05,1.905e-05,1.982e-05,6177744549.0,2025-01-01 00:00:00+00:00
1735776000000,1.983e-05,2.104e-05,1.936e-05,2.049e-05,15599591008.0,2025-01-02 00:00:00+00:00
1735862400000,2.031e-05,2.158e-05,1.995e-05,2.13e-05,7690042452.0,2025-01-03 00:00:00+00:00
1735948800000,2.157e-05,2.17e-05,2.055e-05,2.102e-05,2999931188.0,2025-01-04 00:00:00+00:00
1736035200000,2.104e-05,2.133e-05,2.02e-05,2.091e-05,9072965545.0,2025-01-05 00:00:00+00:00
1736121600000,2.079e-05,2.129e-05,2.028e-05,2.077e-05,4399465793.0,2025-01-06 00:00:00+00:00
1736208000000,2.064e-05,2.085e-05,1.837e-05,1.868e-05,9949518042.0,2025-01-07 00:00:00+00:00
1736294400000,1.869e-05,1.88e-05,1.705e-05,1.792e-05,3241617797.0,2025-01-08 00:00:00+00:00
1736380800000,1.785e-05,1.797e-05,1.665e-05,1.707e-05,3496683579.0,2025-01-09 00:00:00+00:00
