ts,o,h,l,close,vol,dt
1724284800000,6.1,6.1,4.796,4.952,143.35,2024-08-22 00:00:00+00:00
1724371200000,5.08,6.083,5.08,5.612,10582.79,2024-08-23 00:00:00+00:00
1724457600000,5.62,6.349,5.448,6.192,9907.79,2024-08-24 00:00:00+00:00
1724544000000,6.177,6.479,5.933,6.313,7245.4,2024-08-25 00:00:00+00:00
1724630400000,6.312,6.417,5.983,6.113,2862.11,2024-08-26 00:00:00+00:00
1724716800000,6.21,6.571,5.575,5.74,5778.49,2024-08-27 00:00:00+00:00
1724803200000,5.668,6.131,5.474,5.52,10917.9,2024-08-28 00:00:00+00:00
1724889600000,5.501,5.816,5.183,5.255,6073.86,2024-08-29 00:00:00+00:00
1724976000000,5.255,5.311,4.907,5.239,4444.8,2024-08-30 00:00:00+00:00
1725062400000,5.263,5.315,4.954,5.034,3199.36,2024-08-31 00:00:00+00:00
1725148800000,4.968,5.147,4.806,4.822,3053.47,2024-09-01 00:00:00+00:00
1725235200000,4.812,5.144,4.781,5.115,1638.12,2024-09-02 00:00:00+00:00
1725321600000,5.103,5.202,4.702,4.702,2986.8,2024-09-03 00:00:00+00:00
1725408000000,4.744,5.045,4.505,4.931,2045.14,2024-09-04 00:00:00+00:00
1725494400000,4.883,4.902,4.634,4.675,1804.37,2024-09-05 00:00:00+00:00
1725580800000,4.705,4.935,4.456,4.673,3474.45,2024-09-06 00:00:00+00:00
1725667200000,4.683,4.875,4.669,4.694,2735.37,2024-09-07 00:00:00+00:00
1725753600000,4.729,4.928,4.719,4.841,1474.45,2024-09-08 00:00:00+00:00
1725840000000,4.896,5.252,4.799,5.173,2852.52,2024-09-09 00:00:00+00:00
1725926400000,5.131,5.321,5.008,5.301,2748.79,2024-09-10 00:00:00+00:00
1726012800000,5.248,5.248,4.823,5.07,2935.57,2024-09-11 00:00:00+00:00
1726099200000,5.104,5.308,5.104,5.252,2612.06,2024-09-12 00:00:00+00:00
1726185600000,5.252,5.294,4.996,5.211,1893.58,2024-09-13 00:00:00+00:00
1726272000000,5.28,5.37,5.201,5.214,1289.17,2024-09-14 00:00:00+00:00
1726358400000,5.253,5.268,4.906,4.956,1423.78,2024-09-15 00:00:00+00:00
1726444800000,4.94,5.067,4.667,4.748,2274.58,2024-09-16 00:00:00+00:00
1726531200000,4.748,4.948,4.669,4.757,2013.81,2024-09-17 00:00:00+00:00
1726617600000,4.716,4.981,4.591,4.981,3195.54,2024-09-18 00:00:00+00:00
1726704000000,4.982,5.517,4.982,5.115,3291.03,2024-09-19 00:00:00+00:00
1726790400000,5.097,5.442,5.065,5.294,2093.92,2024-09-20 00:00:00+00:00
1726876800000,5.303,5.63,5.163,5.63,2201.81,2024-09-21 00:00:00+00:00
1726963200000,5.63,5.767,5.393,5.663,4359.35,2024-09-22 00:00:00+00:00
1727049600000,5.591,6.355,5.51,6.224,6272.54,2024-09-23 00:00:00+00:00
1727136000000,6.224,6.32,5.977,6.251,3284.69,2024-09-24 00:00:00+00:00
1727222400000,6.236,6.355,5.913,5.913,4808.66,2024-09-25 00:00:00+00:00
1727308800000,5.96,6.484,5.857,6.301,2569.17,2024-09-26 00:00:00+00:00
1727395200000,6.323,6.824,5.959,6.694,5764.26,2024-09-27 00:00:00+00:00
1727481600000,6.694,6.779,6.394,6.531,2954.31,2024-09-28 00:00:00+00:00
1727568000000,6.459,6.81,6.351,6.687,5035.44,2024-09-29 00:00:00+00:00
1727654400000,6.627,6.771,6.354,6.454,4570.29,2024-09-30 00:00:00+00:00
1727740800000,6.467,6.693,5.576,5.783,16695.18,2024-10-01 00:00:00+00:00
1727827200000,5.812,6.043,5.366,5.444,5138.4,2024-10-02 00:00:00+00:00
1727913600000,5.414,5.617,5.048,5.222,4254.14,2024-10-03 00:00:00+00:00
1728000000000,5.264,5.862,5.205,5.654,6528.99,2024-10-04 00:00:00+00:00
1728086400000,5.707,5.753,5.366,5.398,2803.65,2024-10-05 00:00:00+00:00
1728172800000,5.435,5.607,5.314,5.44,2240.74,2024-10-06 00:00:00+00:00
1728259200000,5.397,5.658,5.251,5.251,3380.14,2024-10-07 00:00:00+00:00
1728345600000,5.308,5.373,5.183,5.346,3097.95,2024-10-08 00:00:00+00:00
1728432000000,5.355,5.416,4.964,5.07,2051.94,2024-10-09 00:00:00+00:00
1728518400000,5.07,5.55,4.907,5.087,5888.1,2024-10-10 00:00:00+00:00
1728604800000,5.087,5.428,5.052,5.397,1956.82,2024-10-11 00:00:00+00:00
1728691200000,5.432,5.6,5.394,5.441,2752.2,2024-10-12 00:00:00+00:00
1728777600000,5.449,5.492,5.197,5.388,3468.28,2024-10-13 00:00:00+00:00
1728864000000,5.408,5.722,5.408,5.628,2870.05,2024-10-14 00:00:00+00:00
1728950400000,5.62,5.772,5.367,5.48,11857.88,2024-10-15 00:00:00+00:00
1729036800000,5.484,5.554,5.305,5.432,1271.23,2024-10-16 00:00:00+00:00
1729123200000,5.388,5.388,5.133,5.237,1620.97,2024-10-17 00:00:00+00:00
1729209600000,5.249,5.44,5.216,5.388,1037.61,2024-10-18 00:00:00+00:00
1729296000000,5.351,5.471,5.287,5.373,610.14,2024-10-19 00:00:00+00:00
1729382400000,5.376,5.545,5.213,5.516,4330.33,2024-10-20 00:00:00+00:00
1729468800000,5.526,5.721,5.21,5.238,4980.57,2024-10-21 00:00:00+00:00
1729555200000,5.235,5.49,5.124,5.211,2249.8,2024-10-22 00:00:00+00:00
1729641600000,5.22,5.22,4.93,5.111,3871.17,2024-10-23 00:00:00+00:00
1729728000000,5.097,5.275,5.048,5.202,4699.68,2024-10-24 00:00:00+00:00
1729814400000,5.217,5.217,4.577,4.625,10554.94,2024-10-25 00:00:00+00:00
1729900800000,4.611,4.866,4.563,4.795,2464.97,2024-10-26 00:00:00+00:00
1729987200000,4.79,4.934,4.767,4.912,1441.83,2024-10-27 00:00:00+00:00
1730073600000,4.928,4.974,4.693,4.912,2267.9,2024-10-28 00:00:00+00:00
1730160000000,4.908,5.19,4.896,5.146,2651.77,2024-10-29 00:00:00+00:00
1730246400000,5.145,5.149,4.97,5.023,5658.44,2024-10-30 00:00:00+00:00
1730332800000,4.993,5.029,4.673,4.789,2313.12,2024-10-31 00:00:00+00:00
1730419200000,4.79,4.946,4.628,4.674,3850.82,2024-11-01 00:00:00+00:00
1730505600000,4.703,4.734,4.532,4.592,1131.69,2024-11-02 00:00:00+00:00
1730592000000,4.618,4.619,4.222,4.421,2137.41,2024-11-03 00:00:00+00:00
1730678400000,4.421,4.503,4.148,4.223,1496.61,2024-11-04 00:00:00+00:00
1730764800000,4.246,4.515,4.246,4.422,21331.86,2024-11-05 00:00:00+00:00
1730851200000,4.428,5.099,4.428,5.031,10121.43,2024-11-06 00:00:00+00:00
1730937600000,5.084,5.229,4.925,4.968,3084.86,2024-11-07 00:00:00+00:00
1731024000000,5.023,5.11,4.804,4.952,5175.77,2024-11-08 00:00:00+00:00
1731110400000,4.905,5.366,4.871,5.333,6331.22,2024-11-09 00:00:00+00:00
1731196800000,5.302,5.914,5.27,5.656,12894.02,2024-11-10 00:00:00+00:00
1731283200000,5.658,7.106,5.658,6.894,20874.94,2024-11-11 00:00:00+00:00
1731369600000,6.893,7.764,6.542,7.197,39429.23,2024-11-12 00:00:00+00:00
1731456000000,7.195,7.483,6.381,7.031,12806.14,2024-11-13 00:00:00+00:00
1731542400000,6.99,7.25,6.505,6.599,14554.99,2024-11-14 00:00:00+00:00
1731628800000,6.593,7.126,6.388,6.905,8432.94,2024-11-15 00:00:00+00:00
1731715200000,6.9,7.438,6.773,7.045,8312.03,2024-11-16 00:00:00+00:00
1731801600000,7.011,7.325,6.633,7.146,16059.1,2024-11-17 00:00:00+00:00
1731888000000,7.073,8.08,7.06,7.695,14083.24,2024-11-18 00:00:00+00:00
1731974400000,7.671,8.36,7.414,7.895,9838.66,2024-11-19 00:00:00+00:00
1732060800000,7.896,8.195,7.36,7.36,7952.27,2024-11-20 00:00:00+00:00
1732147200000,7.409,7.634,6.991,7.394,11949.98,2024-11-21 00:00:00+00:00
1732233600000,7.394,7.559,6.991,7.559,10242.79,2024-11-22 00:00:00+00:00
1732320000000,7.568,8.2,7.497,7.617,25209.69,2024-11-23 00:00:00+00:00
1732406400000,7.671,8.116,7.271,8.046,8096.98,2024-11-24 00:00:00+00:00
1732492800000,7.987,8.251,7.36,7.493,15413.8,2024-11-25 00:00:00+00:00
1732579200000,7.46,7.743,7.1,7.432,6782.12,2024-11-26 00:00:00+00:00
1732665600000,7.438,8.0,7.328,7.961,5965.69,2024-11-27 00:00:00+00:00
1732752000000,7.977,8.788,7.966,8.554,12033.11,2024-11-28 00:00:00+00:00
1732838400000,8.554,8.95,8.386,8.74,6767.06,2024-11-29 00:00:00+00:00
1732924800000,8.707,9.141,8.656,8.858,7979.43,2024-11-30 00:00:00+00:00
