ts,o,h,l,close,vol,dt
1658880000000,0.624,0.625,0.311,0.582,22092.38,2022-07-27 00:00:00+00:00
1658966400000,0.575,0.612,0.575,0.604,8165.88,2022-07-28 00:00:00+00:00
1659052800000,0.604,0.63,0.591,0.598,35055.84,2022-07-29 00:00:00+00:00
1659139200000,0.631,0.632,0.597,0.597,1666.56,2022-07-30 00:00:00+00:00
1659225600000,0.609,0.835,0.609,0.734,146292.45,2022-07-31 00:00:00+00:00
1659312000000,0.747,0.758,0.667,0.701,31677.4,2022-08-01 00:00:00+00:00
1659398400000,0.7,0.715,0.639,0.69,11187.52,2022-08-02 00:00:00+00:00
1659484800000,0.686,0.751,0.665,0.707,34916.55,2022-08-03 00:00:00+00:00
1659571200000,0.715,0.722,0.672,0.68,21622.36,2022-08-04 00:00:00+00:00
1659657600000,0.687,0.811,0.687,0.758,31485.96,2022-08-05 00:00:00+00:00
1659744000000,0.753,0.757,0.728,0.731,19944.55,2022-08-06 00:00:00+00:00
1659830400000,0.726,0.762,0.712,0.741,7572.74,2022-08-07 00:00:00+00:00
1659916800000,0.751,0.825,0.751,0.767,7066.24,2022-08-08 00:00:00+00:00
1660003200000,0.758,0.767,0.694,0.713,6845.9,2022-08-09 00:00:00+00:00
1660089600000,0.707,0.767,0.683,0.727,29827.93,2022-08-10 00:00:00+00:00
1660176000000,0.727,0.752,0.699,0.704,9540.71,2022-08-11 00:00:00+00:00
1660262400000,0.697,0.724,0.697,0.724,2834.18,2022-08-12 00:00:00+00:00
1660348800000,0.727,0.798,0.721,0.786,32365.7,2022-08-13 00:00:00+00:00
1660435200000,0.789,0.79,0.719,0.722,24595.84,2022-08-14 00:00:00+00:00
1660521600000,0.729,0.737,0.679,0.679,16956.44,2022-08-15 00:00:00+00:00
1660608000000,0.687,0.696,0.659,0.666,11184.35,2022-08-16 00:00:00+00:00
1660694400000,0.67,0.705,0.627,0.644,18483.16,2022-08-17 00:00:00+00:00
1660780800000,0.641,0.654,0.608,0.608,5976.74,2022-08-18 00:00:00+00:00
1660867200000,0.607,0.607,0.551,0.551,13833.04,2022-08-19 00:00:00+00:00
