ts,o,h,l,close,vol,dt
1664928000000,0.9,0.9,0.8383,0.8594,14891.0,2022-10-05 00:00:00+00:00
1665014400000,0.8686,0.8686,0.8401,0.8444,4385.0,2022-10-06 00:00:00+00:00
1665100800000,0.836,0.8364,0.8315,0.8341,3916.0,2022-10-07 00:00:00+00:00
1665187200000,0.8368,0.8405,0.8368,0.8402,180.0,2022-10-08 00:00:00+00:00
1665273600000,0.8298,0.8324,0.8298,0.8324,429.0,2022-10-09 00:00:00+00:00
1665360000000,0.8353,0.8353,0.8151,0.8151,3814.0,2022-10-10 00:00:00+00:00
1665446400000,0.8067,0.8067,0.7744,0.7744,17792.0,2022-10-11 00:00:00+00:00
1665532800000,0.7761,0.7876,0.7761,0.7807,2814.0,2022-10-12 00:00:00+00:00
1665619200000,0.7585,0.7655,0.7232,0.7655,14368.0,2022-10-13 00:00:00+00:00
1665705600000,0.7899,0.7899,0.7479,0.7479,140.0,2022-10-14 00:00:00+00:00
1665792000000,0.7738,0.7859,0.7594,0.7594,13536.0,2022-10-15 00:00:00+00:00
1665878400000,0.7779,0.7873,0.7738,0.7846,15356.0,2022-10-16 00:00:00+00:00
1665964800000,0.78,0.7885,0.779,0.7863,1080.0,2022-10-17 00:00:00+00:00
1666051200000,0.7985,0.8014,0.7649,0.7649,612.0,2022-10-18 00:00:00+00:00
1666137600000,0.7693,0.7693,0.7308,0.7308,3103.0,2022-10-19 00:00:00+00:00
1666224000000,0.7354,0.7495,0.722,0.7234,2375.0,2022-10-20 00:00:00+00:00
1666310400000,0.7173,0.7337,0.7013,0.7337,2752.0,2022-10-21 00:00:00+00:00
1666396800000,0.7337,0.7337,0.7337,0.7337,0.0,2022-10-22 00:00:00+00:00
1666483200000,0.7422,0.7626,0.7414,0.7626,2095.0,2022-10-23 00:00:00+00:00
1666569600000,0.7541,0.7541,0.7342,0.7342,3025.0,2022-10-24 00:00:00+00:00
1666656000000,0.7395,0.7644,0.7395,0.7623,369.0,2022-10-25 00:00:00+00:00
1666742400000,0.7659,0.7823,0.7659,0.7779,385.0,2022-10-26 00:00:00+00:00
1666828800000,0.784,0.8175,0.7664,0.7742,6090.0,2022-10-27 00:00:00+00:00
1666915200000,0.7799,0.7982,0.7799,0.7982,1135.0,2022-10-28 00:00:00+00:00
1667001600000,0.8056,0.8318,0.8056,0.8174,2988.0,2022-10-29 00:00:00+00:00
1667088000000,0.8113,0.9444,0.8113,0.8493,17018.0,2022-10-30 00:00:00+00:00
1667174400000,0.879,0.9074,0.85,0.881,9639.0,2022-10-31 00:00:00+00:00
1667260800000,0.8742,0.9201,0.8627,0.8627,8267.0,2022-11-01 00:00:00+00:00
1667347200000,0.86,0.86,0.7992,0.805,8173.0,2022-11-02 00:00:00+00:00
1667433600000,0.8256,0.8474,0.8089,0.8089,11493.0,2022-11-03 00:00:00+00:00
1667520000000,0.8178,0.89,0.8178,0.89,11541.0,2022-11-04 00:00:00+00:00
1667606400000,0.8902,0.9842,0.8902,0.9097,39489.0,2022-11-05 00:00:00+00:00
1667692800000,0.907,0.916,0.8445,0.8477,1746.0,2022-11-06 00:00:00+00:00
1667779200000,0.8468,0.8582,0.8204,0.8295,12485.0,2022-11-07 00:00:00+00:00
1667865600000,0.8448,0.8612,0.607,0.7149,42679.0,2022-11-08 00:00:00+00:00
1667952000000,0.7095,0.7167,0.555,0.5625,79753.0,2022-11-09 00:00:00+00:00
1668038400000,0.5626,0.68,0.5626,0.6712,34201.0,2022-11-10 00:00:00+00:00
1668124800000,0.68,0.68,0.607,0.6266,17900.0,2022-11-11 00:00:00+00:00
1668211200000,0.624,0.6275,0.5892,0.5892,15520.0,2022-11-12 00:00:00+00:00
1668297600000,0.5992,0.6608,0.5776,0.5902,36063.0,2022-11-13 00:00:00+00:00
1668384000000,0.5957,0.6013,0.5529,0.5882,7596.0,2022-11-14 00:00:00+00:00
1668470400000,0.5883,0.6173,0.5804,0.5996,10686.0,2022-11-15 00:00:00+00:00
1668556800000,0.6002,0.6069,0.5718,0.579,12886.0,2022-11-16 00:00:00+00:00
1668643200000,0.5802,0.5815,0.5653,0.577,10075.0,2022-11-17 00:00:00+00:00
1668729600000,0.5822,0.5888,0.5718,0.58,14767.0,2022-11-18 00:00:00+00:00
1668816000000,0.5782,0.6222,0.5683,0.593,47764.0,2022-11-19 00:00:00+00:00
1668902400000,0.5953,0.6002,0.5457,0.547,13670.0,2022-11-20 00:00:00+00:00
1668988800000,0.5465,0.559,0.5273,0.5348,34513.0,2022-11-21 00:00:00+00:00
1669075200000,0.5371,0.5519,0.5183,0.5512,30876.0,2022-11-22 00:00:00+00:00
1669161600000,0.553,0.5712,0.553,0.5675,25331.0,2022-11-23 00:00:00+00:00
1669248000000,0.5729,0.5902,0.5535,0.5588,29633.0,2022-11-24 00:00:00+00:00
1669334400000,0.5611,0.5644,0.5456,0.5632,13149.0,2022-11-25 00:00:00+00:00
1669420800000,0.5653,0.5804,0.5591,0.5639,16099.0,2022-11-26 00:00:00+00:00
1669507200000,0.5639,0.5915,0.5639,0.569,18769.0,2022-11-27 00:00:00+00:00
1669593600000,0.5664,0.5702,0.5369,0.5546,27091.0,2022-11-28 00:00:00+00:00
1669680000000,0.5509,0.568,0.5484,0.5632,30348.0,2022-11-29 00:00:00+00:00
1669766400000,0.5635,0.5902,0.5628,0.5902,29446.0,2022-11-30 00:00:00+00:00
1669852800000,0.5918,0.5958,0.575,0.5775,18819.0,2022-12-01 00:00:00+00:00
1669939200000,0.5775,0.6059,0.5775,0.601,22957.0,2022-12-02 00:00:00+00:00
1670025600000,0.6036,0.6036,0.5772,0.5772,8960.0,2022-12-03 00:00:00+00:00
1670112000000,0.5793,0.5902,0.5788,0.5902,6501.0,2022-12-04 00:00:00+00:00
1670198400000,0.5909,0.6343,0.5909,0.6149,38887.0,2022-12-05 00:00:00+00:00
1670284800000,0.6152,0.6189,0.6019,0.6114,16004.0,2022-12-06 00:00:00+00:00
1670371200000,0.6148,0.6227,0.5767,0.583,10736.0,2022-12-07 00:00:00+00:00
1670457600000,0.5824,0.5982,0.5744,0.5946,19850.0,2022-12-08 00:00:00+00:00
1670544000000,0.5902,0.5941,0.5782,0.581,16676.0,2022-12-09 00:00:00+00:00
1670630400000,0.5809,0.5851,0.5805,0.5812,4713.0,2022-12-10 00:00:00+00:00
1670716800000,0.5844,0.5844,0.5713,0.5713,1669.0,2022-12-11 00:00:00+00:00
1670803200000,0.5706,0.5706,0.5469,0.5577,7596.0,2022-12-12 00:00:00+00:00
1670889600000,0.5529,0.5707,0.5471,0.5663,18975.0,2022-12-13 00:00:00+00:00
1670976000000,0.5664,0.5724,0.555,0.555,3122.0,2022-12-14 00:00:00+00:00
1671062400000,0.555,0.555,0.5456,0.5456,3057.0,2022-12-15 00:00:00+00:00
1671148800000,0.5392,0.5434,0.4768,0.4768,15601.0,2022-12-16 00:00:00+00:00
1671235200000,0.4802,0.4829,0.4743,0.4761,23198.0,2022-12-17 00:00:00+00:00
1671321600000,0.4764,0.4764,0.4674,0.4707,23630.0,2022-12-18 00:00:00+00:00
1671408000000,0.4756,0.4756,0.4365,0.4365,8546.0,2022-12-19 00:00:00+00:00
1671494400000,0.4321,0.4498,0.4321,0.4498,9609.0,2022-12-20 00:00:00+00:00
1671580800000,0.4498,0.45,0.4331,0.4331,3104.0,2022-12-21 00:00:00+00:00
1671667200000,0.447,0.4475,0.4233,0.4351,7424.0,2022-12-22 00:00:00+00:00
1671753600000,0.45,0.459,0.4487,0.457,34204.0,2022-12-23 00:00:00+00:00
1671840000000,0.4543,0.4543,0.4465,0.4465,10394.0,2022-12-24 00:00:00+00:00
1671926400000,0.4479,0.4479,0.4376,0.4376,417.0,2022-12-25 00:00:00+00:00
1672012800000,0.4453,0.4454,0.4405,0.4405,1178.0,2022-12-26 00:00:00+00:00
1672099200000,0.4452,0.4487,0.4433,0.4487,1193.0,2022-12-27 00:00:00+00:00
1672185600000,0.4382,0.4382,0.4131,0.4131,10889.0,2022-12-28 00:00:00+00:00
1672272000000,0.4114,0.4124,0.3925,0.4003,21926.0,2022-12-29 00:00:00+00:00
1672358400000,0.402,0.402,0.3828,0.3901,31144.0,2022-12-30 00:00:00+00:00
1672444800000,0.387,0.3902,0.3842,0.3844,4040.0,2022-12-31 00:00:00+00:00
1672531200000,0.3841,0.3878,0.3767,0.3866,21821.0,2023-01-01 00:00:00+00:00
1672617600000,0.3843,0.4121,0.3843,0.4082,4693.0,2023-01-02 00:00:00+00:00
1672704000000,0.4123,0.4192,0.4039,0.4174,16727.0,2023-01-03 00:00:00+00:00
1672790400000,0.421,0.4405,0.421,0.4311,8009.0,2023-01-04 00:00:00+00:00
1672876800000,0.4345,0.4426,0.4285,0.4285,6522.0,2023-01-05 00:00:00+00:00
