ts,o,h,l,close,vol,dt
1631664000000,6.82e-06,6.9e-06,6.69e-06,6.76e-06,110760433115.0,2021-09-15 00:00:00+00:00
1631750400000,6.77e-06,1.25e-05,6.52e-06,8.75e-06,1360301923298.0,2021-09-16 00:00:00+00:00
1631836800000,8.75e-06,9.89e-06,8.05e-06,8.46e-06,1789919552759.0,2021-09-17 00:00:00+00:00
1631923200000,8.45e-06,8.64e-06,7.61e-06,7.86e-06,668404108233.0,2021-09-18 00:00:00+00:00
1632009600000,7.84e-06,8.4e-06,7.36e-06,8.12e-06,549999822353.0,2021-09-19 00:00:00+00:00
1632096000000,8.12e-06,8.17e-06,6.75e-06,7.02e-06,684658475082.0,2021-09-20 00:00:00+00:00
1632182400000,7.02e-06,7.33e-06,6.6e-06,6.87e-06,541996534789.0,2021-09-21 00:00:00+00:00
1632268800000,6.86e-06,7.32e-06,6.85e-06,7.23e-06,354472305662.0,2021-09-22 00:00:00+00:00
1632355200000,7.24e-06,7.73e-06,7.1e-06,7.64e-06,474333135009.0,2021-09-23 00:00:00+00:00
1632441600000,7.64e-06,7.84e-06,6.76e-06,7.38e-06,525867197015.0,2021-09-24 00:00:00+00:00
1632528000000,7.37e-06,7.6e-06,7.1e-06,7.33e-06,318068717965.0,2021-09-25 00:00:00+00:00
1632614400000,7.32e-06,7.33e-06,6.81e-06,7.11e-06,189881243179.0,2021-09-26 00:00:00+00:00
1632700800000,7.1e-06,7.26e-06,6.91e-06,6.98e-06,131568841771.0,2021-09-27 00:00:00+00:00
1632787200000,6.97e-06,7.17e-06,6.83e-06,6.94e-06,145764528398.0,2021-09-28 00:00:00+00:00
1632873600000,6.96e-06,7.18e-06,6.92e-06,7.02e-06,202123113056.0,2021-09-29 00:00:00+00:00
1632960000000,7.01e-06,7.41e-06,7.01e-06,7.22e-06,166578282389.0,2021-09-30 00:00:00+00:00
1633046400000,7.21e-06,7.79e-06,7.17e-06,7.71e-06,168791429347.0,2021-10-01 00:00:00+00:00
1633132800000,7.7e-06,8.24e-06,7.43e-06,7.88e-06,296660038697.0,2021-10-02 00:00:00+00:00
1633219200000,7.89e-06,9.05e-06,7.64e-06,8.54e-06,591656659436.0,2021-10-03 00:00:00+00:00
1633305600000,8.54e-06,1.519e-05,8.21e-06,1.348e-05,4249835863435.0,2021-10-04 00:00:00+00:00
1633392000000,1.349e-05,2e-05,1.21e-05,1.733e-05,6908410652255.0,2021-10-05 00:00:00+00:00
1633478400000,1.734e-05,2.897e-05,1.662e-05,2.791e-05,9122426078173.0,2021-10-06 00:00:00+00:00
1633564800000,2.785e-05,3.515e-05,2.057e-05,2.29e-05,12290194677909.0,2021-10-07 00:00:00+00:00
1633651200000,2.289e-05,2.95e-05,2.061e-05,2.725e-05,9602545824065.0,2021-10-08 00:00:00+00:00
1633737600000,2.727e-05,3.02e-05,2.433e-05,2.668e-05,5158267210087.0,2021-10-09 00:00:00+00:00
