ts,o,h,l,close,vol,dt
1698192000000,0.5,1.1313,0.1,0.4452,38470.8,2023-10-25 00:00:00+00:00
1698278400000,0.4452,0.4699,0.425,0.4698,14289.9,2023-10-26 00:00:00+00:00
1698364800000,0.44,0.4698,0.44,0.4695,14934.4,2023-10-27 00:00:00+00:00
1698451200000,0.4695,0.48,0.4301,0.4799,7392.7,2023-10-28 00:00:00+00:00
1698537600000,0.4799,0.4799,0.4321,0.4626,55235.0,2023-10-29 00:00:00+00:00
1698624000000,0.4331,0.4799,0.4331,0.4799,8929.6,2023-10-30 00:00:00+00:00
1698710400000,0.4706,0.4706,0.4305,0.4306,8219.3,2023-10-31 00:00:00+00:00
1698796800000,0.4698,0.5,0.4305,0.465,10062.8,2023-11-01 00:00:00+00:00
1698883200000,0.4607,0.5078,0.4454,0.4497,9317.3,2023-11-02 00:00:00+00:00
1698969600000,0.4496,0.4514,0.4388,0.4514,1769.5,2023-11-03 00:00:00+00:00
1699056000000,0.4523,0.55,0.4523,0.5078,5890.0,2023-11-04 00:00:00+00:00
1699142400000,0.5078,0.5399,0.4858,0.5019,4783.9,2023-11-05 00:00:00+00:00
1699228800000,0.5044,0.5357,0.4906,0.5313,10536.3,2023-11-06 00:00:00+00:00
1699315200000,0.523,0.5291,0.4954,0.5156,56022.3,2023-11-07 00:00:00+00:00
1699401600000,0.5156,0.6,0.5156,0.5937,34278.6,2023-11-08 00:00:00+00:00
1699488000000,0.5718,0.6055,0.4992,0.5461,22039.8,2023-11-09 00:00:00+00:00
1699574400000,0.5577,0.6055,0.5349,0.6055,6405.8,2023-11-10 00:00:00+00:00
1699660800000,0.6055,0.66,0.5719,0.6199,10565.6,2023-11-11 00:00:00+00:00
1699747200000,0.5901,0.6457,0.5816,0.6323,8880.3,2023-11-12 00:00:00+00:00
1699833600000,0.6324,0.6457,0.594,0.6193,5079.1,2023-11-13 00:00:00+00:00
1699920000000,0.6065,0.6193,0.5595,0.569,5743.0,2023-11-14 00:00:00+00:00
1700006400000,0.581,0.6268,0.581,0.6268,1648.3,2023-11-15 00:00:00+00:00
1700092800000,0.6268,0.6416,0.5695,0.5695,7410.0,2023-11-16 00:00:00+00:00
