ts,o,h,l,close,vol,dt
1609459200000,5.1514,5.2696,4.6103,4.7488,237257.8,2021-01-01 00:00:00+00:00
1609545600000,4.7163,5.1692,4.4852,4.8595,262441.69,2021-01-02 00:00:00+00:00
1609632000000,4.8548,5.6378,4.6621,5.5152,233925.09,2021-01-03 00:00:00+00:00
1609718400000,5.5202,6.1988,4.911,5.431,207020.61,2021-01-04 00:00:00+00:00
1609804800000,5.4395,6.55,5.2151,6.25,172658.71,2021-01-05 00:00:00+00:00
1609891200000,6.3,6.5938,6.0217,6.4103,122959.32,2021-01-06 00:00:00+00:00
1609977600000,6.4268,6.8087,6.0101,6.2602,144599.28,2021-01-07 00:00:00+00:00
1610064000000,6.2756,6.3627,5.485,5.8727,123603.04,2021-01-08 00:00:00+00:00
1610150400000,5.8789,6.3484,5.6666,6.2243,69442.99,2021-01-09 00:00:00+00:00
1610236800000,6.2228,6.5767,5.5335,5.998,94687.91,2021-01-10 00:00:00+00:00
1610323200000,5.9727,5.9727,4.4161,5.2572,173792.96,2021-01-11 00:00:00+00:00
1610409600000,5.2495,5.8182,4.9718,5.5582,118685.89,2021-01-12 00:00:00+00:00
1610496000000,5.5589,6.3724,5.2751,6.36,110833.61,2021-01-13 00:00:00+00:00
1610582400000,6.3542,7.128,6.0495,6.9435,190898.92,2021-01-14 00:00:00+00:00
1610668800000,6.9696,7.4832,6.4062,7.3882,212183.18,2021-01-15 00:00:00+00:00
1610755200000,7.3856,9.365,7.21,8.4126,193308.41,2021-01-16 00:00:00+00:00
1610841600000,8.4053,9.1697,8.0766,8.6462,149562.13,2021-01-17 00:00:00+00:00
1610928000000,8.7004,9.8578,8.3052,9.179,128097.29,2021-01-18 00:00:00+00:00
1611014400000,9.1944,9.6654,8.4747,8.602,122921.09,2021-01-19 00:00:00+00:00
1611100800000,8.5931,9.0316,7.6633,8.9664,137892.54,2021-01-20 00:00:00+00:00
1611187200000,8.9789,9.0252,7.3463,7.5826,239722.49,2021-01-21 00:00:00+00:00
1611273600000,7.5941,9.0212,7.031,8.7195,160275.24,2021-01-22 00:00:00+00:00
1611360000000,8.7012,9.5168,8.5118,9.3082,75774.91,2021-01-23 00:00:00+00:00
1611446400000,9.3299,12.3075,9.1714,12.0297,190535.56,2021-01-24 00:00:00+00:00
1611532800000,12.047,12.8903,10.9006,11.3188,259087.02,2021-01-25 00:00:00+00:00
1611619200000,11.2977,14.2444,11.1874,13.9,249062.43,2021-01-26 00:00:00+00:00
1611705600000,13.8956,15.4923,13.0419,14.7706,243978.97,2021-01-27 00:00:00+00:00
