ts,o,h,l,close,vol,dt
1609459200000,0.1278,0.13966,0.12663,0.1317,4196272.7,2021-01-01 00:00:00+00:00
1609545600000,0.13167,0.13453,0.12634,0.12758,5384452.6,2021-01-02 00:00:00+00:00
1609632000000,0.12758,0.13914,0.12406,0.13634,8374520.2,2021-01-03 00:00:00+00:00
1609718400000,0.13676,0.16731,0.12811,0.16407,12792913.9,2021-01-04 00:00:00+00:00
1609804800000,0.16475,0.21194,0.15031,0.19408,17967950.3,2021-01-05 00:00:00+00:00
1609891200000,0.19364,0.38535,0.19169,0.33934,36606563.6,2021-01-06 00:00:00+00:00
1609977600000,0.34156,0.41153,0.29,0.31182,19727014.3,2021-01-07 00:00:00+00:00
1610064000000,0.31164,0.3303,0.26191,0.29842,15254178.7,2021-01-08 00:00:00+00:00
1610150400000,0.29842,0.32936,0.2815,0.31105,10464667.6,2021-01-09 00:00:00+00:00
1610236800000,0.31297,0.325,0.262,0.28603,6372509.0,2021-01-10 00:00:00+00:00
1610323200000,0.28497,0.28517,0.20801,0.27154,8939675.4,2021-01-11 00:00:00+00:00
1610409600000,0.27138,0.3107,0.25419,0.28005,17114690.1,2021-01-12 00:00:00+00:00
1610496000000,0.27933,0.30987,0.2725,0.30398,13259186.3,2021-01-13 00:00:00+00:00
1610582400000,0.30423,0.32383,0.28741,0.30351,12746782.6,2021-01-14 00:00:00+00:00
1610668800000,0.3038,0.31332,0.26044,0.28396,7706103.9,2021-01-15 00:00:00+00:00
1610755200000,0.28467,0.3111,0.27729,0.29066,4961956.6,2021-01-16 00:00:00+00:00
1610841600000,0.29061,0.31915,0.28646,0.3041,6492620.6,2021-01-17 00:00:00+00:00
1610928000000,0.30331,0.30887,0.29396,0.30519,3489695.8,2021-01-18 00:00:00+00:00
1611014400000,0.30496,0.31936,0.29392,0.29805,6477383.0,2021-01-19 00:00:00+00:00
1611100800000,0.29779,0.30167,0.27509,0.29341,3284074.7,2021-01-20 00:00:00+00:00
1611187200000,0.29339,0.29465,0.24363,0.25137,5074954.2,2021-01-21 00:00:00+00:00
1611273600000,0.25114,0.281,0.22761,0.26944,6839703.2,2021-01-22 00:00:00+00:00
