pair,adf_p,beta,tr_sharpe,te_sharpe,te_total,te_trades,te_sharpe_maker
AAVE/ADA,0.0007396371536076447,0.8165861422096873,-0.15913888193878234,0.0370831484972918,0.045627399189704515,38,0.15979195008293792
AAVE/ALGO,0.1173145791403003,0.3993813727790196,-0.6666443729988448,-0.09324213608075549,-0.10380407671682024,28,0.007328651579423814
AAVE/APE,0.13062390624474413,0.16178589556520007,-0.32561408691766597,0.35666552915170824,0.4047668600011672,31,0.4636237223173048
AAVE/ARB,0.4383610318362038,-0.2017571298526685,0.9410807845756081,0.6189652243688871,0.6182010090981754,21,0.7001020141640322
AAVE/ATOM,0.030242281627789434,0.9201207184560648,-0.3911096100841914,-0.18275970132235414,-0.2462776891781825,41,-0.05927684355040034
AAVE/AVAX,0.0001883860362397353,0.5152573016529237,-0.4667253866294151,-0.20789188583033943,-0.22940781047973224,30,-0.0986831152777859
AAVE/BCH,0.17843004195228263,0.8742468372438542,-0.218834297937485,0.05060374972211125,0.06829675694142012,38,0.16405994629022969
AAVE/BNB,0.051051780054078844,1.7337806616602314,-0.09744999571626928,0.11814695444938197,0.18443250107898757,37,0.21213130899419957
AAVE/BTC,0.14526536382014638,1.3622241483370172,0.19282767722444943,0.33573600187287433,0.3925184088037363,37,0.4596457340175391
AAVE/COMP,0.0013124490282421693,0.7124000232415905,-0.021791098669221,0.6378838696800303,0.7743139350087089,38,0.7586695850684247
AAVE/CRV,0.08142631822983593,0.6210855107271424,0.07631730232906384,0.055399346082589035,0.06936547872898513,34,0.16483557555252284
AAVE/DOGE,0.003639578750215556,1.1654556073701787,0.6450234094347795,-0.16028186057290958,-0.2516541853910029,37,-0.06579622854728626
AAVE/DOT,0.003785818565285529,0.6612221584567028,-0.09586489583989136,1.0239300380087244,1.1611847373524453,33,1.1335195886373486
AAVE/ETC,0.03201179737899462,1.2707472504731185,0.8718145606134383,0.47099472345617266,0.6384347105256598,35,0.5721898729616008
AAVE/ETH,0.012343889048037182,1.3762017206828685,0.1347040359639944,-0.24260588822962012,-0.2668740103628997,36,-0.11106644116281808
AAVE/FET,0.02215720362784156,0.1256928692744572,0.12200104472090822,0.4073409512067931,0.4632367385269717,27,0.5000623487658448
AAVE/FIL,0.0005679737090835315,0.5564911517235447,0.2551668439892224,-0.23591482841704298,-0.3191694601878724,28,-0.15260186439450177
AAVE/LINK,0.05826238902622622,0.6513776002560577,-0.6702027061328003,0.04444120511618987,0.04104401061785748,35,0.19485696840072536
AAVE/LTC,0.1886717855446084,1.249392208588043,0.569257454449627,0.47532848717098836,0.7025823612209401,35,0.5684305636706224
AAVE/MANA,0.0814668420335053,0.4413152240715645,0.05633257353791166,1.4417390842713926,1.7171465704655597,35,1.5514636443621777
AAVE/MKR,0.13522524025164623,0.9970467970303082,-0.6215290264774662,-1.4470523092143188,-1.880388471758461,23,-1.371512150540348
AAVE/NEAR,0.005794549236791959,0.3809641994766912,0.4144768451182392,0.02222956481993135,0.025621368014017154,32,0.13261106264114636
AAVE/OP,0.041380117629716384,0.27660171482444423,-0.028140182348036957,0.38129594360913727,0.39517129015549446,26,0.4794694272220738
AAVE/SAND,0.33923143369942804,0.19244607814252673,-0.05838187947013865,0.4343745409921874,0.4701904394673051,26,0.5282580183877323
AAVE/SHIB,4.289764864942492e-07,0.7682057289893849,-0.7642145133746283,-0.018759306435897145,-0.027610331260265464,33,0.07071416263611445
AAVE/SOL,0.011822586135323812,0.5931424525336424,-0.4541987527059062,0.15099414155710095,0.1747360920976418,30,0.2535916228663582
AAVE/SUI,0.16937320693371455,0.5669702211037133,0.1433535063705092,0.6265772230058589,0.3302272710510122,22,0.7880379214391094
AAVE/UNI,0.05025152802763092,0.9956397765783084,0.4203374430483428,-0.7014681343711204,-1.0094236406351444,30,-0.6160190663293224
