ts,open,high,low,close,volume
1749837600000,0.6369,0.638,0.6278,0.6321,823308.2
1749841200000,0.632,0.634,0.629,0.6317,634669.06
1749844800000,0.6316,0.6386,0.6304,0.6374,589543.09
1749848400000,0.6379,0.6388,0.6341,0.6381,925837.58
1749852000000,0.6382,0.6412,0.6364,0.6387,779855.68
1749855600000,0.6387,0.6423,0.6384,0.6421,580527.78
1749859200000,0.6416,0.642,0.6365,0.6371,638919.05
1749862800000,0.637,0.638,0.6345,0.6361,270975.65
1749866400000,0.636,0.6384,0.6333,0.6348,243121.93
1749870000000,0.6346,0.6376,0.6339,0.6359,243719.87
1749873600000,0.6359,0.6385,0.6355,0.6381,245775.84
1749877200000,0.6384,0.6385,0.6358,0.6379,210298.36
1749880800000,0.638,0.6384,0.6341,0.6355,397359.17
1749884400000,0.6355,0.6373,0.632,0.6362,224751.03
1749888000000,0.6361,0.6364,0.6333,0.6362,205845.34
1749891600000,0.6363,0.6363,0.6318,0.6321,200904.04
1749895200000,0.6322,0.6359,0.6314,0.6356,257307.57
1749898800000,0.6356,0.6374,0.6341,0.6357,300993.09
1749902400000,0.6354,0.6363,0.632,0.6352,216316.58
1749906000000,0.6351,0.637,0.6328,0.6337,414559.05
1749909600000,0.6337,0.6346,0.6306,0.631,361336.05
1749913200000,0.6312,0.6324,0.6257,0.6281,951671.79
1749916800000,0.6278,0.6296,0.6143,0.6178,816089.59
1749920400000,0.6178,0.6239,0.6165,0.6215,406481.15
1749924000000,0.6214,0.6246,0.6151,0.6202,1026382.55
1749927600000,0.6206,0.6235,0.6184,0.6187,396792.95
1749931200000,0.6184,0.6191,0.6128,0.6179,1000220.04
1749934800000,0.6182,0.6268,0.6173,0.625,825663.04
1749938400000,0.6252,0.6268,0.6206,0.6218,330254.92
1749942000000,0.6218,0.6254,0.6218,0.6243,201880.05
1749945600000,0.6243,0.6266,0.6237,0.6258,208006.6
1749949200000,0.6259,0.6268,0.6233,0.6242,276812.99
1749952800000,0.6242,0.6276,0.6242,0.6265,282402.02
1749956400000,0.6265,0.6296,0.6259,0.6272,180510.93
1749960000000,0.6272,0.6314,0.6269,0.6313,236815.76
1749963600000,0.6311,0.6339,0.6289,0.6339,315830.85
1749967200000,0.634,0.6344,0.6295,0.6296,290603.05
1749970800000,0.6298,0.63,0.627,0.6276,247686.03
1749974400000,0.6276,0.6279,0.6252,0.6262,224930.67
1749978000000,0.6262,0.6262,0.6211,0.6216,321455.85
1749981600000,0.6218,0.627,0.6217,0.6269,333898.41
1749985200000,0.6267,0.6284,0.6234,0.6259,599254.25
1749988800000,0.6259,0.6294,0.6254,0.6292,354718.27
1749992400000,0.6292,0.6322,0.6282,0.6316,368391.05
1749996000000,0.6317,0.6354,0.628,0.6344,432461.58
1749999600000,0.6348,0.635,0.6294,0.63,740307.76
1750003200000,0.6302,0.6319,0.6285,0.6303,555331.01
1750006800000,0.6302,0.6315,0.6277,0.6297,558974.56
1750010400000,0.6299,0.6308,0.627,0.6303,425779.83
1750014000000,0.6302,0.6327,0.627,0.6293,787591.98
1750017600000,0.6293,0.6293,0.6205,0.6228,689062.72
1750021200000,0.6225,0.6264,0.6206,0.6264,470979.51
1750024800000,0.6262,0.6337,0.6258,0.6323,583010.86
1750028400000,0.6324,0.6347,0.6314,0.633,473956.59
1750032000000,0.633,0.6343,0.6301,0.6316,387736.29
1750035600000,0.6315,0.6375,0.6244,0.6366,627811.63
1750039200000,0.637,0.6405,0.6361,0.6375,556748.78
1750042800000,0.6378,0.64,0.6361,0.6366,309504.19
1750046400000,0.6367,0.6417,0.6362,0.6409,392136.79
1750050000000,0.641,0.6456,0.6397,0.6439,988537.45
1750053600000,0.6439,0.6453,0.6428,0.6428,366595.8
1750057200000,0.6429,0.6503,0.6429,0.6489,484736.85
1750060800000,0.6489,0.6493,0.6456,0.6462,331437.55
1750064400000,0.6464,0.6473,0.644,0.6443,254921.68
1750068000000,0.6446,0.646,0.6416,0.6425,142259.02
1750071600000,0.6426,0.6472,0.639,0.6456,235729.44
1750075200000,0.6455,0.6487,0.6432,0.6437,455073.84
1750078800000,0.644,0.6488,0.6429,0.6487,346165.54
1750082400000,0.6488,0.6531,0.6461,0.6499,446959.71
1750086000000,0.65,0.6538,0.6473,0.6489,438234.44
1750089600000,0.6491,0.656,0.6484,0.655,457454.95
1750093200000,0.6549,0.6568,0.6508,0.6512,474898.72
1750096800000,0.6513,0.6555,0.6509,0.6555,237125.73
1750100400000,0.6554,0.6571,0.6531,0.6547,561779.42
1750104000000,0.6549,0.656,0.6515,0.6557,748965.73
1750107600000,0.6557,0.6559,0.6516,0.6534,419269.79
1750111200000,0.6538,0.6561,0.6345,0.6402,1344027.8
1750114800000,0.6402,0.6443,0.6283,0.6302,952218.34
1750118400000,0.6299,0.636,0.6189,0.6356,2174461.1
1750122000000,0.6357,0.6372,0.6309,0.6342,493919.68
1750125600000,0.6344,0.6392,0.6294,0.6388,515837.48
1750129200000,0.639,0.642,0.6363,0.6365,322215.38
1750132800000,0.6364,0.6372,0.6327,0.634,315571.42
1750136400000,0.6339,0.6352,0.6318,0.633,378829.22
1750140000000,0.633,0.6354,0.6305,0.6314,377847.75
1750143600000,0.6313,0.6331,0.6297,0.632,447566.43
1750147200000,0.632,0.6324,0.6233,0.6244,585972.37
1750150800000,0.6246,0.6269,0.6229,0.6254,362666.69
1750154400000,0.6254,0.6257,0.6206,0.6249,486247.2
1750158000000,0.6248,0.6248,0.6203,0.6214,391271.27
1750161600000,0.6214,0.6247,0.6205,0.6219,365287.9
1750165200000,0.6216,0.6262,0.621,0.6232,422681.94
1750168800000,0.6237,0.6275,0.6193,0.6193,539666.77
1750172400000,0.6201,0.6201,0.6064,0.6114,1155238.01
1750176000000,0.6114,0.6118,0.6008,0.6012,1059598.74
1750179600000,0.6011,0.6085,0.5994,0.6036,879809.05
1750183200000,0.6035,0.6139,0.6033,0.6139,606400.6
1750186800000,0.614,0.6215,0.6136,0.6172,755920.98
1750190400000,0.6173,0.6189,0.6138,0.6142,460699.44
1750194000000,0.6141,0.6151,0.6091,0.61,996178.62
1750197600000,0.6103,0.6108,0.6051,0.6057,394734.8
1750201200000,0.6056,0.6124,0.6055,0.6087,299116.74
1750204800000,0.6088,0.614,0.6084,0.6138,350082.88
1750208400000,0.6138,0.6175,0.6109,0.6109,327940.93
1750212000000,0.6112,0.6133,0.609,0.6091,216569.54
1750215600000,0.6091,0.6142,0.6081,0.6134,220940.27
1750219200000,0.6134,0.6203,0.6127,0.6191,372340.46
1750222800000,0.6188,0.6213,0.6175,0.618,312254.16
1750226400000,0.6181,0.6184,0.6129,0.6135,443307.99
1750230000000,0.6131,0.6152,0.6121,0.6151,194661.24
1750233600000,0.6151,0.6172,0.6094,0.6114,1132299.41
1750237200000,0.6116,0.6141,0.6084,0.6096,318567.95
1750240800000,0.6097,0.61,0.5994,0.6009,1236945.61
1750244400000,0.6009,0.6071,0.5996,0.6065,462445.81
1750248000000,0.6065,0.6073,0.6003,0.6013,622346.96
1750251600000,0.6011,0.6012,0.5917,0.5994,2386693.26
1750255200000,0.5993,0.6062,0.5947,0.5955,1349121.33
1750258800000,0.5955,0.5994,0.5892,0.5945,2024183.06
1750262400000,0.5944,0.5964,0.5897,0.5915,896829.2
1750266000000,0.5914,0.5975,0.5881,0.5955,1019086.58
1750269600000,0.5955,0.6007,0.589,0.589,2115602.31
1750273200000,0.589,0.5983,0.5879,0.5907,1037945.5
1750276800000,0.5909,0.6073,0.5893,0.6052,872564.92
1750280400000,0.6054,0.6095,0.602,0.6076,1470315.59
1750284000000,0.6074,0.6086,0.6042,0.6051,407851.47
1750287600000,0.6052,0.6072,0.6014,0.6035,353526.71
1750291200000,0.6039,0.6115,0.6025,0.6067,464687.55
1750294800000,0.6066,0.6071,0.6012,0.6018,513648.73
1750298400000,0.602,0.6035,0.5986,0.5996,594964.08
1750302000000,0.5996,0.6028,0.5996,0.6028,283255.34
1750305600000,0.6028,0.6053,0.5997,0.6039,533118.11
1750309200000,0.604,0.6074,0.6013,0.6014,333328.45
1750312800000,0.6016,0.603,0.5964,0.5975,291758.8
1750316400000,0.5975,0.5992,0.5972,0.598,378542.72
1750320000000,0.5981,0.6008,0.5977,0.5981,689818.78
1750323600000,0.598,0.6038,0.5968,0.6013,405917.5
