ts,open,high,low,close,volume
1749837600000,4.118,4.118,4.057,4.073,15158.51
1749841200000,4.071,4.088,4.061,4.073,15429.72
1749844800000,4.075,4.116,4.069,4.101,18338.36
1749848400000,4.103,4.115,4.092,4.106,12423.22
1749852000000,4.11,4.13,4.104,4.117,12075.18
1749855600000,4.118,4.131,4.113,4.126,11745.73
1749859200000,4.126,4.129,4.111,4.113,17174.1
1749862800000,4.114,4.114,4.095,4.1,10900.43
1749866400000,4.099,4.11,4.097,4.104,10523.29
1749870000000,4.105,4.126,4.104,4.113,9505.54
1749873600000,4.113,4.129,4.111,4.126,6152.44
1749877200000,4.126,4.139,4.116,4.133,11598.4
1749880800000,4.133,4.133,4.116,4.117,9404.54
1749884400000,4.116,4.122,4.096,4.118,15025.85
1749888000000,4.116,4.122,4.102,4.119,15682.61
1749891600000,4.119,4.124,4.103,4.103,13683.06
1749895200000,4.103,4.124,4.102,4.122,11326.76
1749898800000,4.123,4.136,4.123,4.132,10017.82
1749902400000,4.132,4.139,4.115,4.139,13022.82
1749906000000,4.139,4.153,4.111,4.121,19399.73
1749909600000,4.121,4.128,4.106,4.111,13499.11
1749913200000,4.114,4.126,4.083,4.094,22281.55
1749916800000,4.095,4.103,4.05,4.057,24495.64
1749920400000,4.056,4.096,4.055,4.088,16021.2
1749924000000,4.088,4.104,4.049,4.071,14776.69
1749927600000,4.074,4.081,4.046,4.046,20217.33
1749931200000,4.046,4.06,4.02,4.053,20876.92
1749934800000,4.055,4.103,4.051,4.097,27417.17
1749938400000,4.1,4.109,4.081,4.087,12027.04
1749942000000,4.086,4.097,4.082,4.082,7411.64
1749945600000,4.082,4.106,4.082,4.103,9604.78
1749949200000,4.103,4.11,4.092,4.096,9318.88
1749952800000,4.096,4.115,4.096,4.104,8412.1
1749956400000,4.104,4.111,4.102,4.105,7344.56
1749960000000,4.104,4.114,4.103,4.112,7883.73
1749963600000,4.113,4.127,4.091,4.123,11113.69
1749967200000,4.128,4.128,4.084,4.085,30210.12
1749970800000,4.084,4.092,4.073,4.09,10081.78
1749974400000,4.089,4.09,4.074,4.075,11311.95
1749978000000,4.077,4.077,4.051,4.054,14808.32
1749981600000,4.053,4.072,4.053,4.069,12667.83
1749985200000,4.069,4.075,4.051,4.066,12182.31
1749988800000,4.065,4.074,4.053,4.071,11861.68
1749992400000,4.07,4.087,4.063,4.083,14102.05
1749996000000,4.079,4.121,4.064,4.117,21954.78
1749999600000,4.118,4.125,4.091,4.093,15052.39
1750003200000,4.094,4.099,4.081,4.085,14525.06
1750006800000,4.086,4.086,4.064,4.072,20760.64
1750010400000,4.072,4.072,4.046,4.053,12912.03
1750014000000,4.052,4.068,4.034,4.046,11647.69
1750017600000,4.048,4.048,4.005,4.022,22211.9
1750021200000,4.021,4.046,4.007,4.045,11903.09
1750024800000,4.045,4.089,4.044,4.082,21352.45
1750028400000,4.084,4.094,4.075,4.088,8193.14
1750032000000,4.09,4.09,4.072,4.083,11327.3
1750035600000,4.083,4.109,4.06,4.106,16862.24
1750039200000,4.111,4.131,4.111,4.124,14175.44
1750042800000,4.124,4.131,4.113,4.113,6794.99
1750046400000,4.113,4.14,4.113,4.135,10406.56
1750050000000,4.136,4.18,4.128,4.174,70058.0
1750053600000,4.175,4.195,4.175,4.182,20211.21
1750057200000,4.183,4.215,4.183,4.21,21058.82
1750060800000,4.216,4.226,4.204,4.221,16801.93
1750064400000,4.223,4.238,4.222,4.224,15589.87
1750068000000,4.224,4.235,4.21,4.219,14974.47
1750071600000,4.216,4.241,4.195,4.236,16680.2
1750075200000,4.236,4.243,4.218,4.232,14768.38
1750078800000,4.236,4.263,4.232,4.261,21328.38
1750082400000,4.267,4.292,4.256,4.27,21825.89
1750086000000,4.272,4.272,4.238,4.244,19474.33
1750089600000,4.244,4.273,4.244,4.258,15309.2
1750093200000,4.26,4.263,4.244,4.259,15675.08
1750096800000,4.261,4.27,4.253,4.27,17057.39
1750100400000,4.27,4.281,4.259,4.267,19631.47
1750104000000,4.269,4.292,4.256,4.285,19843.49
1750107600000,4.285,4.289,4.262,4.272,11099.42
1750111200000,4.276,4.285,4.164,4.194,33611.71
1750114800000,4.194,4.203,4.131,4.132,41528.69
1750118400000,4.138,4.172,4.062,4.172,32158.8
1750122000000,4.171,4.188,4.159,4.159,16333.3
1750125600000,4.16,4.186,4.139,4.185,15125.64
1750129200000,4.185,4.198,4.17,4.177,28032.51
1750132800000,4.177,4.178,4.153,4.158,9110.6
1750136400000,4.157,4.165,4.138,4.145,10159.67
1750140000000,4.143,4.154,4.129,4.136,9222.27
1750143600000,4.136,4.148,4.127,4.128,9184.74
1750147200000,4.129,4.132,4.089,4.092,27323.87
1750150800000,4.093,4.105,4.088,4.1,18915.83
1750154400000,4.099,4.102,4.071,4.092,21782.59
1750158000000,4.087,4.087,4.056,4.068,24632.19
1750161600000,4.065,4.077,4.058,4.068,16184.55
1750165200000,4.068,4.094,4.067,4.081,23740.12
1750168800000,4.084,4.11,4.072,4.072,29055.92
1750172400000,4.062,4.064,4.005,4.034,40106.51
1750176000000,4.034,4.036,3.977,3.98,26890.43
1750179600000,3.978,4.027,3.968,4.001,30268.67
1750183200000,3.998,4.049,3.998,4.049,22125.38
1750186800000,4.049,4.099,4.044,4.079,23777.54
1750190400000,4.079,4.092,4.062,4.063,17398.92
1750194000000,4.063,4.067,4.034,4.049,22791.29
1750197600000,4.052,4.056,4.015,4.019,20305.76
1750201200000,4.016,4.037,4.016,4.016,13417.91
1750204800000,4.018,4.044,4.009,4.036,13627.63
1750208400000,4.038,4.055,4.025,4.025,14181.98
1750212000000,4.028,4.034,4.012,4.023,11009.01
1750215600000,4.019,4.049,4.015,4.047,12578.41
1750219200000,4.048,4.072,4.043,4.064,10550.68
1750222800000,4.063,4.065,4.047,4.049,15734.61
1750226400000,4.049,4.056,4.032,4.041,11615.25
1750230000000,4.04,4.045,4.027,4.043,14138.07
1750233600000,4.045,4.053,4.01,4.019,11763.59
1750237200000,4.021,4.025,3.993,4.004,18743.28
1750240800000,4.005,4.005,3.943,3.95,71817.17
1750244400000,3.947,3.982,3.94,3.982,21532.25
1750248000000,3.982,3.989,3.958,3.96,21454.2
1750251600000,3.961,3.973,3.91,3.972,77415.35
1750255200000,3.971,4.022,3.966,3.99,26106.8
1750258800000,3.99,4.007,3.963,3.994,19558.86
1750262400000,3.991,3.995,3.946,3.964,24155.9
1750266000000,3.962,3.977,3.933,3.973,22965.13
1750269600000,3.976,3.998,3.937,3.937,21896.97
1750273200000,3.936,3.976,3.936,3.951,23744.71
1750276800000,3.955,4.042,3.948,4.04,21837.43
1750280400000,4.041,4.054,4.018,4.038,24225.36
1750284000000,4.041,4.046,4.025,4.028,13622.59
1750287600000,4.027,4.034,3.998,4.012,15947.43
1750291200000,4.012,4.047,4.007,4.019,26978.78
1750294800000,4.02,4.023,3.991,3.995,21812.36
1750298400000,3.997,4.014,3.985,3.994,14626.04
1750302000000,3.993,4.016,3.993,4.013,15237.36
1750305600000,4.014,4.02,3.997,4.016,12291.01
1750309200000,4.017,4.036,4.004,4.006,16699.94
1750312800000,4.005,4.013,3.992,3.995,13066.42
1750316400000,3.995,4.008,3.995,3.997,12064.49
1750320000000,3.997,4.017,3.997,3.998,11938.53
1750323600000,3.997,4.037,3.996,4.027,17016.7
1750327200000,4.03,4.031,4.012,4.02,13452.6
1750330800000,4.021,4.021,4.005,4.011,14656.82
1750334400000,4.011,4.024,4.005,4.021,10778.1
1750338000000,4.021,4.025,3.991,3.995,17572.19
1750341600000,3.993,4.01,3.97,3.977,21141.86
1750345200000,3.977,3.993,3.971,3.976,15603.85
1750348800000,3.979,3.993,3.957,3.959,15124.93
1750352400000,3.964,4.025,3.957,4.004,13499.01
1750356000000,4.006,4.025,4.0,4.016,18026.49
1750359600000,4.019,4.028,4.012,4.022,15217.02
1750363200000,4.023,4.044,4.023,4.032,16542.54
1750366800000,4.033,4.058,4.025,4.053,21548.53
1750370400000,4.053,4.07,4.051,4.058,19922.97
1750374000000,4.059,4.061,4.033,4.035,22745.45
1750377600000,4.034,4.041,4.022,4.033,21773.95
1750381200000,4.033,4.034,4.012,4.028,12029.65
1750384800000,4.028,4.03,4.01,4.015,11538.89
1750388400000,4.016,4.017,4.006,4.011,9394.94
1750392000000,4.011,4.014,3.976,3.979,13376.17
1750395600000,3.978,4.001,3.977,4.001,14444.65
1750399200000,4.002,4.015,3.993,4.015,12933.15
1750402800000,4.015,4.057,4.011,4.054,17069.7
