ts,open,high,low,close,volume
1749837600000,19.218,19.256,18.897,19.028,5408.9
1749841200000,19.023,19.159,18.96,19.023,6799.9
1749844800000,19.036,19.273,18.971,19.205,7855.5
1749848400000,19.204,19.268,19.115,19.197,10196.0
1749852000000,19.203,19.349,19.196,19.284,9191.3
1749855600000,19.285,19.42,19.282,19.409,4612.3
1749859200000,19.397,19.415,19.224,19.233,7870.4
1749862800000,19.224,19.276,19.152,19.202,5651.5
1749866400000,19.202,19.296,19.149,19.163,4115.1
1749870000000,19.171,19.323,19.171,19.239,5450.4
1749873600000,19.238,19.403,19.238,19.347,7160.6
1749877200000,19.349,19.353,19.235,19.268,4861.5
1749880800000,19.267,19.289,19.161,19.19,4463.2
1749884400000,19.185,19.276,19.067,19.229,7038.6
1749888000000,19.226,19.228,19.099,19.169,6207.8
1749891600000,19.166,19.173,19.032,19.038,5915.6
1749895200000,19.039,19.143,18.984,19.109,6998.2
1749898800000,19.11,19.162,19.07,19.127,7454.6
1749902400000,19.118,19.141,19.003,19.119,6165.6
1749906000000,19.114,19.198,19.009,19.09,6361.9
1749909600000,19.089,19.12,18.974,19.009,5628.8
1749913200000,19.013,19.059,18.842,18.947,7892.6
1749916800000,18.944,19.012,18.704,18.723,7924.0
1749920400000,18.717,18.951,18.696,18.926,8363.1
1749924000000,18.937,19.058,18.754,18.897,7791.8
1749927600000,18.898,18.966,18.857,18.873,5940.9
1749931200000,18.87,18.914,18.74,18.886,7359.5
1749934800000,18.886,19.087,18.842,19.047,10451.3
1749938400000,19.057,19.09,18.894,18.944,10818.4
1749942000000,18.946,19.007,18.925,18.928,4678.5
1749945600000,18.926,19.033,18.905,19.028,4575.5
1749949200000,19.018,19.031,18.914,18.948,5268.7
1749952800000,18.949,19.046,18.927,18.928,5046.0
1749956400000,18.93,19.006,18.896,18.963,5333.1
1749960000000,18.961,19.146,18.953,19.144,4223.6
1749963600000,19.129,19.234,19.042,19.234,4485.3
1749967200000,19.248,19.261,19.083,19.083,3902.9
1749970800000,19.084,19.088,18.925,18.964,4388.7
1749974400000,18.956,18.965,18.85,18.868,5246.9
1749978000000,18.859,18.859,18.76,18.785,6193.9
1749981600000,18.794,18.952,18.787,18.952,4372.4
1749985200000,18.948,19.01,18.866,18.97,5051.2
1749988800000,18.972,19.027,18.9,19.02,6359.6
1749992400000,19.015,19.06,18.88,19.016,9695.1
1749996000000,19.024,19.216,18.895,19.17,6723.4
1749999600000,19.184,19.247,19.036,19.064,7552.5
1750003200000,19.062,19.124,18.993,19.116,7281.2
1750006800000,19.105,19.173,19.009,19.119,7239.1
1750010400000,19.122,19.122,18.984,19.076,5789.5
1750014000000,19.07,19.163,18.983,19.072,6356.2
1750017600000,19.072,19.078,18.733,18.809,8232.2
1750021200000,18.809,18.931,18.719,18.915,10647.0
1750024800000,18.92,19.172,18.907,19.109,13734.3
1750028400000,19.112,19.138,19.049,19.105,7074.3
1750032000000,19.101,19.134,19.007,19.073,7245.8
1750035600000,19.077,19.351,18.89,19.326,11361.4
1750039200000,19.36,19.46,19.338,19.349,8065.4
1750042800000,19.356,19.381,19.246,19.254,5025.1
1750046400000,19.254,19.444,19.244,19.407,7912.2
1750050000000,19.407,19.626,19.348,19.602,7257.1
1750053600000,19.616,19.74,19.599,19.642,7356.7
1750057200000,19.653,19.847,19.653,19.781,8378.7
1750060800000,19.791,19.817,19.643,19.708,7551.8
1750064400000,19.723,19.76,19.671,19.721,9157.7
1750068000000,19.727,19.782,19.578,19.605,8379.8
1750071600000,19.601,19.644,19.416,19.627,7821.3
1750075200000,19.628,19.642,19.498,19.511,6342.0
1750078800000,19.517,19.73,19.469,19.719,8947.8
1750082400000,19.729,19.912,19.669,19.713,8439.9
1750086000000,19.725,19.846,19.668,19.713,11377.7
1750089600000,19.717,19.869,19.663,19.763,9728.7
1750093200000,19.768,19.83,19.669,19.7,11225.4
1750096800000,19.703,19.818,19.645,19.818,7911.0
1750100400000,19.8,19.937,19.709,19.747,10279.5
1750104000000,19.756,19.991,19.664,19.928,9731.2
1750107600000,19.924,19.969,19.789,19.837,11927.8
1750111200000,19.835,19.934,19.16,19.34,36641.4
1750114800000,19.327,19.505,18.983,19.051,10322.2
1750118400000,19.039,19.267,18.661,19.256,12153.1
1750122000000,19.293,19.338,19.13,19.211,7708.4
1750125600000,19.192,19.383,19.054,19.353,7176.1
1750129200000,19.362,19.478,19.267,19.291,5903.3
1750132800000,19.294,19.309,19.195,19.246,5885.6
1750136400000,19.25,19.282,19.148,19.208,4509.1
1750140000000,19.195,19.236,19.042,19.09,4409.5
1750143600000,19.088,19.181,19.077,19.123,4957.9
1750147200000,19.12,19.142,18.962,18.979,6990.1
1750150800000,18.989,19.046,18.907,18.957,6083.9
1750154400000,18.957,18.972,18.843,18.967,5568.4
1750158000000,18.966,18.97,18.84,18.912,4283.5
1750161600000,18.885,19.015,18.875,18.888,5236.1
1750165200000,18.89,19.053,18.873,18.909,5878.9
1750168800000,18.91,19.042,18.697,18.697,8266.2
1750172400000,18.714,18.746,18.505,18.648,9424.2
1750176000000,18.648,18.652,18.134,18.143,9329.5
1750179600000,18.143,18.421,18.092,18.267,8322.7
1750183200000,18.283,18.561,18.281,18.56,25484.8
1750186800000,18.577,18.92,18.556,18.778,9527.4
1750190400000,18.777,18.835,18.629,18.646,8549.4
1750194000000,18.648,18.69,18.452,18.522,14014.6
1750197600000,18.536,18.548,18.332,18.34,7064.6
1750201200000,18.34,18.664,18.339,18.574,7425.3
1750204800000,18.577,18.732,18.524,18.68,8718.7
1750208400000,18.678,18.839,18.625,18.63,8201.4
1750212000000,18.632,18.682,18.546,18.571,6361.5
1750215600000,18.578,18.74,18.556,18.695,5511.2
1750219200000,18.705,18.886,18.685,18.835,7378.9
1750222800000,18.834,18.871,18.762,18.777,8968.5
1750226400000,18.78,18.824,18.625,18.674,10152.6
1750230000000,18.675,18.723,18.643,18.722,9099.9
1750233600000,18.725,18.811,18.552,18.62,10786.9
1750237200000,18.629,18.675,18.49,18.54,10127.9
1750240800000,18.548,18.548,18.25,18.28,9979.3
1750244400000,18.284,18.534,18.22,18.501,10940.2
1750248000000,18.5,18.539,18.351,18.375,12052.6
1750251600000,18.384,18.384,18.05,18.365,10993.5
1750255200000,18.365,18.584,18.268,18.348,8411.3
1750258800000,18.344,18.471,18.224,18.331,6429.5
1750262400000,18.33,18.338,18.105,18.204,9546.1
1750266000000,18.193,18.382,18.062,18.35,10399.4
1750269600000,18.35,18.483,18.102,18.104,9107.0
1750273200000,18.085,18.375,18.075,18.214,8398.6
1750276800000,18.217,18.648,18.126,18.584,11892.1
1750280400000,18.594,18.622,18.323,18.385,12909.8
1750284000000,18.39,18.39,18.158,18.165,7045.7
1750287600000,18.17,18.226,18.067,18.161,7292.0
1750291200000,18.164,18.387,18.088,18.152,18692.4
1750294800000,18.159,18.171,17.976,18.033,13897.2
1750298400000,18.045,18.097,17.912,17.973,11431.4
1750302000000,17.97,18.105,17.97,18.042,5518.6
1750305600000,18.043,18.062,17.766,17.874,23999.0
1750309200000,17.879,18.062,17.839,17.894,19374.6
1750312800000,17.892,17.945,17.845,17.909,6016.2
1750316400000,17.914,17.978,17.889,17.901,6962.4
1750320000000,17.9,18.018,17.9,17.9,11577.0
1750323600000,17.899,18.082,17.873,18.028,3738.4
1750327200000,18.029,18.067,17.929,17.974,4834.6
1750330800000,17.97,17.975,17.86,17.892,5641.4
1750334400000,17.9,17.982,17.841,17.951,6748.7
1750338000000,17.953,18.011,17.739,17.767,8182.5
1750341600000,17.771,17.887,17.65,17.699,13066.3
1750345200000,17.699,17.775,17.65,17.723,8741.1
1750348800000,17.733,17.843,17.63,17.643,10003.4
1750352400000,17.667,17.968,17.629,17.931,9325.1
1750356000000,17.93,18.078,17.871,17.953,7563.5
1750359600000,17.959,18.023,17.901,17.925,5505.9
1750363200000,17.93,18.08,17.913,18.021,6365.4
1750366800000,18.024,18.053,17.939,18.0,8003.4
1750370400000,18.003,18.178,18.003,18.101,7894.8
1750374000000,18.104,18.158,18.018,18.049,4543.9
1750377600000,18.052,18.142,18.04,18.077,4883.1
1750381200000,18.074,18.156,17.986,18.131,6083.9
1750384800000,18.136,18.166,18.016,18.042,3918.2
1750388400000,18.047,18.049,17.972,17.986,6072.7
1750392000000,17.982,17.995,17.84,17.841,7592.9
1750395600000,17.839,17.97,17.818,17.961,5126.5
1750399200000,17.983,18.027,17.948,18.002,3495.1
1750402800000,18.013,18.395,17.985,18.322,6266.2
1750406400000,18.315,18.402,18.18,18.21,5036.7
1750410000000,18.218,18.249,18.138,18.201,6931.2
1750413600000,18.207,18.289,18.154,18.276,6612.4
1750417200000,18.269,18.323,18.218,18.246,6342.3
1750420800000,18.248,18.356,18.224,18.303,5876.7
1750424400000,18.297,18.344,18.144,18.188,7146.2
1750428000000,18.175,18.237,17.709,17.73,11131.7
1750431600000,17.748,17.926,17.732,17.801,8216.9
1750435200000,17.805,17.808,17.437,17.481,11915.5
1750438800000,17.485,17.501,16.939,17.327,14841.9
1750442400000,17.313,17.471,17.307,17.4,7693.7
1750446000000,17.39,17.451,17.257,17.431,5257.4
1750449600000,17.435,17.662,17.43,17.548,6528.8
1750453200000,17.545,17.545,17.337,17.34,9150.9
1750456800000,17.348,17.348,17.208,17.292,8721.0
1750460400000,17.295,17.374,17.251,17.359,5739.9
1750464000000,17.362,17.496,17.355,17.419,6597.2
1750467600000,17.428,17.545,17.409,17.529,7369.1
1750471200000,17.527,17.552,17.465,17.53,4072.2
1750474800000,17.531,17.63,17.531,17.583,6200.8
1750478400000,17.583,17.607,17.516,17.516,4098.1
1750482000000,17.527,17.592,17.49,17.537,4736.8
1750485600000,17.551,17.581,17.517,17.56,4520.1
1750489200000,17.566,17.58,17.485,17.536,3775.4
1750492800000,17.538,17.602,17.481,17.601,6178.8
1750496400000,17.602,17.627,17.513,17.586,9384.0
1750500000000,17.587,17.603,17.485,17.526,4377.5
1750503600000,17.526,17.623,17.518,17.597,5704.1
1750507200000,17.592,17.617,17.34,17.344,9081.5
1750510800000,17.345,17.373,17.127,17.156,6556.8
1750514400000,17.148,17.226,17.069,17.121,13294.8
1750518000000,17.137,17.181,16.993,17.133,7746.1
1750521600000,17.131,17.178,17.011,17.059,6546.9
1750525200000,17.074,17.134,16.8,16.841,9973.7
1750528800000,16.841,16.99,16.785,16.797,7553.6
1750532400000,16.804,16.918,16.74,16.775,10809.3
1750536000000,16.789,17.112,16.789,17.076,11198.4
1750539600000,17.077,17.098,16.33,16.565,17687.4
1750543200000,16.562,16.755,16.53,16.692,5436.5
1750546800000,16.697,16.838,16.441,16.815,15334.4
1750550400000,16.818,17.094,16.669,16.982,8825.5
1750554000000,16.977,17.107,16.83,16.84,7905.1
1750557600000,16.838,16.98,16.592,16.762,10401.3
1750561200000,16.774,16.844,16.607,16.699,9764.7
1750564800000,16.701,16.95,16.664,16.917,10365.7
1750568400000,16.925,16.986,16.825,16.95,6503.9
1750572000000,16.947,16.99,16.88,16.978,9643.8
1750575600000,16.981,16.988,16.798,16.841,6388.1
1750579200000,16.845,16.887,16.755,16.872,8946.1
1750582800000,16.879,16.917,16.512,16.527,7955.8
1750586400000,16.519,16.743,16.518,16.675,7765.2
1750590000000,16.673,16.802,16.579,16.653,7007.0
1750593600000,16.645,16.739,16.491,16.676,9630.9
1750597200000,16.674,16.708,16.023,16.214,14900.7
1750600800000,16.21,16.313,15.95,16.311,13761.1
1750604400000,16.294,16.359,15.99,16.028,6438.2
1750608000000,16.02,16.181,15.97,16.181,9354.3
1750611600000,16.18,16.326,16.062,16.215,9592.4
1750615200000,16.211,16.29,16.042,16.051,10141.5
1750618800000,16.055,16.072,15.89,15.923,22301.0
1750622400000,15.932,16.124,15.61,16.044,10955.3
1750626000000,16.045,16.142,15.881,15.941,14322.6
1750629600000,15.956,16.374,15.948,16.342,9618.9
1750633200000,16.4,16.517,16.293,16.511,6717.0
1750636800000,16.518,16.747,16.492,16.571,7239.1
1750640400000,16.564,16.668,16.484,16.667,8735.0
1750644000000,16.67,16.696,16.603,16.63,7628.2
1750647600000,16.626,16.67,16.495,16.513,7453.0
1750651200000,16.517,16.658,16.508,16.635,5943.2
1750654800000,16.637,16.812,16.637,16.796,5360.0
1750658400000,16.805,16.92,16.801,16.909,5347.7
1750662000000,16.934,17.044,16.905,16.918,6230.6
1750665600000,16.906,17.076,16.894,17.063,4637.8
1750669200000,17.066,17.131,16.987,17.109,7483.1
1750672800000,17.114,17.13,16.837,16.887,5473.8
1750676400000,16.886,16.905,16.784,16.867,5512.6
1750680000000,16.872,17.035,16.777,17.035,7813.0
1750683600000,17.016,17.262,16.754,17.111,12594.1
1750687200000,17.106,17.204,16.924,16.959,11062.1
1750690800000,16.967,17.036,16.71,16.744,10059.6
1750694400000,16.751,16.759,16.251,16.359,14132.6
1750698000000,16.364,17.008,16.296,16.967,11544.5
1750701600000,16.96,17.224,16.96,17.158,16492.3
1750705200000,17.161,17.305,17.104,17.289,8651.3
1750708800000,17.293,17.758,17.25,17.521,13486.6
1750712400000,17.533,17.688,17.349,17.371,15510.4
1750716000000,17.399,18.179,17.399,18.012,8415.0
1750719600000,18.023,18.104,17.987,18.053,6867.5
1750723200000,18.053,18.142,17.945,18.02,7437.4
1750726800000,18.028,18.229,17.982,18.129,4684.5
1750730400000,18.125,18.126,18.006,18.102,8187.9
1750734000000,18.11,18.191,18.013,18.045,3730.1
1750737600000,18.044,18.084,17.963,18.057,8529.7
1750741200000,18.063,18.345,18.046,18.344,10400.6
1750744800000,18.344,18.469,18.274,18.448,5349.8
1750748400000,18.413,18.44,18.035,18.043,8920.7
1750752000000,18.053,18.109,17.887,18.031,7253.6
1750755600000,18.029,18.268,17.991,18.088,9045.7
1750759200000,18.075,18.146,18.039,18.127,6703.5
1750762800000,18.135,18.185,18.007,18.117,5122.5
1750766400000,18.122,18.17,18.001,18.084,6517.2
1750770000000,18.082,18.152,17.979,18.066,8592.9
1750773600000,18.07,18.281,18.07,18.182,7882.6
1750777200000,18.196,18.244,18.055,18.159,6747.9
1750780800000,18.165,18.414,18.086,18.414,11009.3
1750784400000,18.396,18.406,18.102,18.121,10441.3
1750788000000,18.123,18.151,17.964,18.082,6668.8
1750791600000,18.073,18.11,17.907,18.013,5643.2
1750795200000,18.016,18.177,17.946,18.175,8635.2
1750798800000,18.172,18.215,18.039,18.197,8640.4
1750802400000,18.186,18.194,18.057,18.145,7431.6
1750806000000,18.143,18.22,18.054,18.22,7277.1
1750809600000,18.219,18.309,18.088,18.299,17721.5
1750813200000,18.289,18.311,18.124,18.219,7456.7
1750816800000,18.212,18.349,18.154,18.174,6403.0
1750820400000,18.18,18.239,18.115,18.115,7154.9
1750824000000,18.114,18.171,18.078,18.101,4934.1
1750827600000,18.102,18.12,17.987,18.017,4237.8
1750831200000,18.011,18.077,17.974,18.063,5053.1
1750834800000,18.063,18.119,17.981,18.029,5306.6
1750838400000,18.026,18.039,17.809,17.912,6378.9
1750842000000,17.909,17.97,17.729,17.774,5518.7
1750845600000,17.776,17.892,17.742,17.868,8131.6
1750849200000,17.903,17.986,17.813,17.978,5174.2
1750852800000,17.974,17.977,17.852,17.917,4915.1
1750856400000,17.903,18.117,17.894,18.018,9356.9
1750860000000,18.018,18.037,17.628,17.791,11036.7
1750863600000,17.792,17.801,17.552,17.581,10865.9
1750867200000,17.581,17.714,17.563,17.589,9468.7
1750870800000,17.587,17.792,17.53,17.664,9778.4
