ts,open,high,low,close,volume
1749837600000,652.28,652.49,649.41,650.75,1468.01
1749841200000,650.79,651.76,649.77,651.07,934.81
1749844800000,651.07,652.85,650.19,652.53,1027.96
1749848400000,652.66,653.29,651.88,652.98,877.85
1749852000000,653.1,654.07,652.84,653.92,946.66
1749855600000,653.93,654.98,653.54,654.98,674.53
1749859200000,654.97,654.97,653.09,653.8,1185.26
1749862800000,653.8,653.82,650.28,650.57,1034.16
1749866400000,650.44,651.7,650.4,651.4,690.03
1749870000000,651.46,651.57,650.6,650.87,609.7
1749873600000,650.71,651.86,650.26,651.07,1200.78
1749877200000,651.08,652.11,650.63,652.11,623.38
1749880800000,652.03,652.12,650.86,651.5,590.37
1749884400000,651.42,651.85,649.82,651.48,645.46
1749888000000,651.4,651.41,649.48,650.13,904.3
1749891600000,650.13,650.14,648.77,648.86,832.91
1749895200000,648.78,650.2,648.78,649.93,600.03
1749898800000,649.94,650.48,649.87,650.29,597.48
1749902400000,650.23,650.32,648.43,649.52,951.57
1749906000000,649.41,650.05,647.48,647.93,1024.05
1749909600000,647.99,648.19,646.1,646.26,1021.0
1749913200000,646.18,646.36,644.0,645.08,1596.74
1749916800000,644.95,645.7,640.14,641.18,2133.14
1749920400000,641.0,643.95,640.87,643.07,1342.22
1749924000000,643.07,643.73,638.72,641.17,2063.22
1749927600000,641.34,642.01,640.31,640.31,1010.3
1749931200000,640.52,641.02,638.64,640.51,1280.07
1749934800000,640.66,643.55,640.38,643.29,892.01
1749938400000,643.29,643.93,642.4,643.72,683.7
1749942000000,643.73,646.0,643.56,645.24,634.83
1749945600000,645.24,646.31,644.71,645.99,772.45
1749949200000,645.99,646.8,645.33,645.9,830.42
1749952800000,645.96,647.33,645.96,646.86,764.62
1749956400000,646.86,647.67,646.76,647.28,502.55
1749960000000,647.31,649.04,647.31,649.0,1237.72
1749963600000,648.91,649.9,648.19,649.68,923.73
1749967200000,649.67,651.53,647.94,650.68,1620.59
1749970800000,650.64,650.73,648.62,648.83,1213.32
1749974400000,648.83,649.09,646.45,647.55,1815.55
1749978000000,647.55,647.55,645.71,646.08,1432.23
1749981600000,646.08,648.82,646.04,648.48,950.11
1749985200000,648.47,649.13,647.63,648.08,859.35
1749988800000,648.08,650.15,648.08,650.01,1171.31
1749992400000,650.06,650.87,648.05,648.59,1589.92
1749996000000,648.59,648.83,646.64,648.33,2203.76
1749999600000,648.36,648.46,646.83,647.4,1202.32
1750003200000,647.58,647.77,645.91,647.49,888.22
1750006800000,647.42,648.81,647.25,648.28,601.97
1750010400000,648.36,648.43,647.15,647.33,483.01
1750014000000,647.33,647.33,645.52,646.44,596.59
1750017600000,646.3,646.4,642.43,643.23,969.82
1750021200000,643.23,645.0,642.49,645.0,949.48
1750024800000,645.05,647.65,644.49,647.05,1262.9
1750028400000,647.1,648.24,646.94,647.93,1036.67
1750032000000,647.93,648.19,646.49,647.55,1101.97
1750035600000,647.63,650.32,646.1,649.98,1471.83
1750039200000,650.36,652.54,650.2,651.54,1360.48
1750042800000,651.58,651.87,650.8,651.67,731.75
1750046400000,651.67,653.1,651.19,652.03,843.7
1750050000000,652.14,655.02,652.11,654.6,1141.56
1750053600000,654.65,654.92,653.56,653.66,995.13
1750057200000,653.72,656.66,653.72,655.94,1183.81
1750060800000,656.23,656.67,655.1,656.28,932.72
1750064400000,656.19,656.41,655.2,655.97,870.2
1750068000000,655.96,656.36,653.84,654.07,772.07
1750071600000,654.06,654.69,653.0,654.58,915.15
1750075200000,654.56,655.75,653.76,655.17,980.55
1750078800000,655.29,656.72,654.98,656.51,1269.54
1750082400000,656.52,659.53,656.16,657.37,2041.72
1750086000000,657.51,658.73,657.1,657.59,1214.49
1750089600000,657.69,658.92,657.26,657.95,1035.66
1750093200000,657.96,657.96,655.74,655.74,891.01
1750096800000,655.93,657.72,655.86,657.72,766.12
1750100400000,657.66,659.12,657.49,659.12,1071.15
1750104000000,659.25,659.25,657.38,658.97,924.37
1750107600000,659.06,659.06,656.79,658.1,827.45
1750111200000,658.1,658.92,651.54,653.34,1395.23
1750114800000,653.27,654.71,650.13,650.4,1896.97
1750118400000,650.79,654.0,647.52,653.95,2385.04
1750122000000,654.04,655.58,653.26,655.01,2044.86
1750125600000,655.03,655.77,652.62,655.71,1272.57
1750129200000,655.6,656.76,655.1,656.58,1182.88
1750132800000,656.58,656.65,655.26,656.03,1052.05
1750136400000,656.03,656.46,655.34,656.34,1198.62
1750140000000,656.34,659.19,655.89,658.23,1364.73
1750143600000,658.18,658.48,656.02,657.93,1347.31
1750147200000,657.83,658.75,656.14,656.5,3086.47
1750150800000,656.59,657.91,656.47,656.78,1141.81
1750154400000,656.7,656.84,653.46,655.0,4036.11
1750158000000,655.04,655.04,652.57,653.68,1450.55
1750161600000,653.68,654.24,653.16,653.65,1148.49
1750165200000,653.49,656.3,652.31,652.31,1473.79
1750168800000,652.47,653.94,651.15,651.15,1795.93
1750172400000,650.63,650.64,645.19,646.38,2376.04
1750176000000,646.29,646.55,641.03,641.03,2083.16
1750179600000,640.79,644.58,640.06,642.43,2210.7
1750183200000,642.42,646.02,642.0,646.02,1544.51
1750186800000,646.02,649.8,645.92,648.35,1776.42
1750190400000,648.32,648.9,646.59,646.74,1425.93
1750194000000,646.59,648.6,645.59,647.56,1221.6
1750197600000,647.56,647.98,645.64,645.87,1161.19
1750201200000,645.73,648.81,645.73,648.0,778.82
1750204800000,648.09,650.9,647.93,650.9,1259.39
1750208400000,650.84,655.38,650.62,650.71,2047.93
1750212000000,650.9,653.44,650.25,652.31,1817.21
1750215600000,652.3,653.31,651.9,651.91,948.81
1750219200000,652.04,653.48,651.51,652.74,1144.89
1750222800000,652.67,653.64,652.61,652.8,810.87
1750226400000,652.95,653.54,651.07,651.19,1062.42
1750230000000,651.14,651.57,650.52,651.45,1024.36
1750233600000,651.56,652.51,649.64,649.87,1403.24
1750237200000,649.96,650.77,647.64,647.64,1249.82
1750240800000,647.47,648.0,641.35,642.31,2488.13
1750244400000,642.3,645.42,641.49,644.85,2136.34
1750248000000,644.45,644.82,641.84,641.98,1694.38
1750251600000,641.88,641.95,636.88,640.3,1864.46
1750255200000,640.11,644.06,639.6,642.41,1571.21
1750258800000,642.4,643.22,638.97,641.75,2150.99
