ts,open,high,low,close,volume
1749837600000,0.17843,0.17886,0.17551,0.17661,4998688.0
1749841200000,0.17659,0.17759,0.1757,0.17641,1858010.0
1749844800000,0.17642,0.17853,0.17607,0.17796,2163036.0
1749848400000,0.17813,0.17908,0.17758,0.1786,2451919.0
1749852000000,0.17863,0.17952,0.17844,0.17944,2504700.0
1749855600000,0.17947,0.18034,0.17911,0.18032,2137607.0
1749859200000,0.1803,0.1803,0.17841,0.17858,4732020.0
1749862800000,0.17856,0.17858,0.17737,0.17745,3746304.0
1749866400000,0.17744,0.17801,0.177,0.17732,4801106.0
1749870000000,0.17731,0.17813,0.17711,0.17775,1974717.0
1749873600000,0.17774,0.17837,0.17765,0.17804,2188528.0
1749877200000,0.17806,0.17815,0.17733,0.17779,1672379.0
1749880800000,0.17776,0.17798,0.17646,0.17649,2266752.0
1749884400000,0.17651,0.17686,0.17563,0.17652,1452136.0
1749888000000,0.17652,0.17694,0.17591,0.17687,1727518.0
1749891600000,0.17687,0.17693,0.17611,0.17618,1672273.0
1749895200000,0.17619,0.17715,0.17604,0.17692,1548057.0
1749898800000,0.177,0.17787,0.17687,0.17782,2371911.0
1749902400000,0.17776,0.17786,0.1768,0.17782,1815689.0
1749906000000,0.17782,0.17823,0.17712,0.1778,1783153.0
1749909600000,0.17778,0.17821,0.1772,0.17747,1978561.0
1749913200000,0.17751,0.1777,0.17559,0.1766,1780345.0
1749916800000,0.17661,0.17711,0.17443,0.1752,2533668.0
1749920400000,0.17515,0.17743,0.17511,0.17716,1359919.0
1749924000000,0.17715,0.17821,0.17549,0.17662,1756080.0
1749927600000,0.1767,0.17718,0.17589,0.17607,1575825.0
1749931200000,0.17603,0.17668,0.17508,0.17664,2410205.0
1749934800000,0.17669,0.1783,0.17647,0.17804,3293929.0
1749938400000,0.17806,0.17848,0.17713,0.17759,3444881.0
1749942000000,0.17758,0.1784,0.1775,0.17821,1092714.0
1749945600000,0.17821,0.17844,0.17764,0.17841,1482481.0
1749949200000,0.17842,0.17862,0.17724,0.17734,2042710.0
1749952800000,0.17736,0.17808,0.17736,0.17741,1117010.0
1749956400000,0.17742,0.17801,0.17731,0.1776,1119488.0
1749960000000,0.17757,0.1784,0.17748,0.17828,1183919.0
1749963600000,0.17827,0.17827,0.17606,0.17768,2201388.0
1749967200000,0.17774,0.1779,0.17603,0.17614,1165409.0
1749970800000,0.17609,0.17611,0.17523,0.17552,1218824.0
1749974400000,0.17551,0.17561,0.17443,0.17491,1705891.0
1749978000000,0.17488,0.17488,0.17351,0.17361,1640073.0
1749981600000,0.17365,0.17496,0.17359,0.17461,1954619.0
1749985200000,0.17458,0.17481,0.17364,0.17419,2215738.0
1749988800000,0.17416,0.17531,0.17382,0.17519,2484958.0
1749992400000,0.1752,0.17622,0.17476,0.17615,1989231.0
1749996000000,0.17621,0.17734,0.17484,0.17682,2288895.0
1749999600000,0.1769,0.17704,0.17569,0.17583,3188898.0
1750003200000,0.17592,0.17645,0.17532,0.17619,1486720.0
1750006800000,0.17611,0.17665,0.17526,0.17636,1362394.0
1750010400000,0.17638,0.17642,0.17395,0.17481,1540401.0
1750014000000,0.17473,0.17535,0.17246,0.1736,3783794.0
1750017600000,0.17362,0.17362,0.17136,0.17247,3088779.0
1750021200000,0.17237,0.17364,0.17188,0.17351,2672845.0
1750024800000,0.17348,0.1755,0.17325,0.17498,3021849.0
1750028400000,0.17498,0.17581,0.17473,0.17545,2283007.0
1750032000000,0.17543,0.17574,0.17443,0.17484,2481611.0
1750035600000,0.17488,0.17593,0.17275,0.17593,4345442.0
1750039200000,0.17589,0.17673,0.17569,0.17598,3173356.0
1750042800000,0.17604,0.17684,0.17582,0.17585,1217845.0
1750046400000,0.17585,0.17732,0.17585,0.17691,1827867.0
1750050000000,0.17692,0.1784,0.17659,0.17747,1810446.0
1750053600000,0.17745,0.17772,0.17707,0.17724,1560978.0
1750057200000,0.17732,0.17883,0.17732,0.17819,2240336.0
1750060800000,0.17817,0.17824,0.17725,0.17767,2347929.0
1750064400000,0.17762,0.17767,0.1768,0.17701,2486043.0
1750068000000,0.17701,0.17769,0.1764,0.17664,931161.0
1750071600000,0.17667,0.17694,0.17531,0.17664,1572962.0
1750075200000,0.17664,0.17711,0.17619,0.17677,1457999.0
1750078800000,0.17676,0.17802,0.17638,0.17786,1962604.0
1750082400000,0.178,0.17934,0.17704,0.17797,3005578.0
1750086000000,0.17802,0.17856,0.17713,0.17748,2560595.0
1750089600000,0.17748,0.1791,0.17714,0.17863,2337107.0
1750093200000,0.17863,0.17921,0.1781,0.17866,1466655.0
1750096800000,0.17865,0.1799,0.17857,0.17987,1598891.0
1750100400000,0.17989,0.181,0.17946,0.17984,2425352.0
1750104000000,0.1798,0.18025,0.17856,0.1797,4568804.0
1750107600000,0.17971,0.17999,0.17877,0.17938,2153689.0
1750111200000,0.17942,0.18,0.17379,0.17539,5943880.0
1750114800000,0.17543,0.17646,0.17204,0.17259,3637617.0
1750118400000,0.17261,0.17421,0.16858,0.17408,6411827.0
1750122000000,0.17413,0.17483,0.17308,0.17412,2124674.0
1750125600000,0.17416,0.17569,0.17263,0.17529,2929028.0
1750129200000,0.17526,0.17595,0.17461,0.17518,1680883.0
1750132800000,0.17517,0.17536,0.17388,0.17421,1827097.0
1750136400000,0.17422,0.17451,0.17328,0.17369,3423822.0
1750140000000,0.17369,0.17425,0.17302,0.1735,1382161.0
1750143600000,0.17348,0.17399,0.17311,0.17374,1166671.0
1750147200000,0.1737,0.174,0.17214,0.17233,1110061.0
1750150800000,0.17233,0.17275,0.17151,0.17231,1691576.0
1750154400000,0.17223,0.17227,0.17056,0.17166,2620729.0
1750158000000,0.17166,0.17167,0.1706,0.17131,1569365.0
1750161600000,0.17131,0.17221,0.1709,0.1711,1904390.0
1750165200000,0.17107,0.1722,0.17087,0.17129,1498617.0
1750168800000,0.17138,0.1723,0.17017,0.17038,1951413.0
1750172400000,0.1703,0.1703,0.1665,0.16789,8516520.0
1750176000000,0.16785,0.16804,0.16403,0.16409,8833650.0
