ts,open,high,low,close,volume
1749837600000,3.837,3.843,3.755,3.772,20149.98
1749841200000,3.773,3.784,3.751,3.763,23572.96
1749844800000,3.765,3.814,3.759,3.81,17246.38
1749848400000,3.811,3.827,3.792,3.811,26015.69
1749852000000,3.812,3.832,3.811,3.826,11912.53
1749855600000,3.827,3.84,3.823,3.837,12880.05
1749859200000,3.835,3.84,3.815,3.821,20375.93
1749862800000,3.82,3.82,3.796,3.804,10429.99
1749866400000,3.802,3.81,3.795,3.805,10716.3
1749870000000,3.806,3.82,3.806,3.816,5127.97
1749873600000,3.816,3.826,3.812,3.82,8026.38
1749877200000,3.82,3.826,3.811,3.824,5529.27
1749880800000,3.823,3.825,3.809,3.81,14197.67
1749884400000,3.81,3.816,3.786,3.812,13358.87
1749888000000,3.81,3.81,3.792,3.799,6194.16
1749891600000,3.799,3.801,3.782,3.785,9980.9
1749895200000,3.785,3.801,3.779,3.795,4628.82
1749898800000,3.795,3.808,3.79,3.803,6307.58
1749902400000,3.802,3.805,3.782,3.803,4472.18
1749906000000,3.8,3.812,3.782,3.794,8070.08
1749909600000,3.794,3.795,3.769,3.775,13054.31
1749913200000,3.773,3.78,3.75,3.759,8298.33
1749916800000,3.758,3.766,3.717,3.728,13533.59
1749920400000,3.727,3.761,3.722,3.751,7838.25
1749924000000,3.751,3.765,3.717,3.744,8099.99
1749927600000,3.745,3.764,3.739,3.742,12986.84
1749931200000,3.741,3.745,3.715,3.738,7903.02
1749934800000,3.741,3.781,3.739,3.777,17758.51
1749938400000,3.779,3.789,3.769,3.78,13995.06
1749942000000,3.779,3.789,3.777,3.778,7276.11
1749945600000,3.776,3.792,3.776,3.791,5343.08
1749949200000,3.79,3.793,3.769,3.77,8531.04
1749952800000,3.773,3.789,3.773,3.779,4749.51
1749956400000,3.783,3.79,3.78,3.785,3128.58
1749960000000,3.784,3.8,3.783,3.8,6954.57
1749963600000,3.798,3.814,3.781,3.81,6706.84
1749967200000,3.814,3.814,3.781,3.781,7841.88
1749970800000,3.78,3.78,3.768,3.775,5691.19
1749974400000,3.776,3.776,3.764,3.768,4487.11
1749978000000,3.77,3.77,3.752,3.76,6044.97
1749981600000,3.76,3.786,3.758,3.783,7278.65
1749985200000,3.784,3.785,3.77,3.78,6128.33
1749988800000,3.781,3.795,3.771,3.795,5924.45
1749992400000,3.794,3.812,3.788,3.812,9175.4
1749996000000,3.812,3.829,3.792,3.825,12719.49
1749999600000,3.824,3.826,3.8,3.801,10507.2
1750003200000,3.803,3.809,3.778,3.791,10268.94
1750006800000,3.788,3.792,3.774,3.782,11110.84
1750010400000,3.782,3.785,3.763,3.782,4573.42
1750014000000,3.782,3.795,3.77,3.782,9931.41
1750017600000,3.784,3.784,3.735,3.746,13622.82
1750021200000,3.749,3.771,3.735,3.771,15989.2
1750024800000,3.771,3.819,3.767,3.816,16396.31
1750028400000,3.815,3.828,3.806,3.817,9552.3
1750032000000,3.817,3.826,3.799,3.816,11560.92
1750035600000,3.816,3.835,3.784,3.834,11170.67
1750039200000,3.838,3.854,3.834,3.847,21587.78
1750042800000,3.849,3.85,3.839,3.841,4632.36
1750046400000,3.841,3.865,3.84,3.852,8487.67
1750050000000,3.853,3.887,3.842,3.882,7805.72
1750053600000,3.883,3.897,3.878,3.886,11780.83
1750057200000,3.888,3.904,3.888,3.901,17832.58
1750060800000,3.902,3.913,3.887,3.906,11722.0
1750064400000,3.905,3.914,3.9,3.904,9359.7
1750068000000,3.901,3.915,3.885,3.896,7174.17
1750071600000,3.897,3.911,3.876,3.907,10315.43
