ts,open,high,low,close,volume
1749837600000,2542.7,2544.45,2508.74,2528.62,3223.16
1749841200000,2528.57,2540.23,2520.21,2526.68,1337.58
1749844800000,2526.57,2551.89,2523.08,2545.57,1486.98
1749848400000,2546.42,2559.81,2541.18,2552.94,2574.92
1749852000000,2552.98,2572.85,2552.98,2570.28,4348.03
1749855600000,2570.51,2582.82,2566.08,2577.6,2943.97
1749859200000,2577.84,2577.84,2558.01,2560.98,7993.64
1749862800000,2560.97,2564.25,2549.0,2555.95,2331.18
1749866400000,2555.95,2565.74,2550.91,2553.56,1271.11
1749870000000,2553.56,2558.65,2546.06,2547.85,957.86
1749873600000,2547.86,2555.03,2547.45,2550.73,710.2
1749877200000,2550.73,2555.33,2546.56,2550.82,664.51
1749880800000,2550.85,2555.07,2540.78,2542.13,1134.96
1749884400000,2542.14,2542.48,2524.66,2535.92,820.55
1749888000000,2535.91,2536.45,2522.98,2534.48,893.23
1749891600000,2534.57,2534.57,2520.21,2521.52,1222.68
1749895200000,2521.75,2534.04,2514.35,2529.79,1311.05
1749898800000,2530.18,2538.58,2529.14,2537.04,715.91
1749902400000,2536.62,2537.78,2527.34,2535.36,1038.26
1749906000000,2535.72,2544.3,2524.99,2533.55,1419.44
1749909600000,2533.43,2536.0,2523.06,2528.7,845.49
1749913200000,2528.7,2531.98,2503.51,2518.32,2067.31
1749916800000,2518.32,2524.5,2489.11,2496.12,2842.26
1749920400000,2496.01,2517.27,2487.67,2510.19,2016.62
1749924000000,2510.36,2522.59,2487.51,2507.41,3285.9
1749927600000,2508.26,2520.56,2504.05,2506.41,1233.02
1749931200000,2506.38,2512.49,2495.9,2508.12,1450.35
1749934800000,2508.14,2534.07,2505.01,2526.23,1674.91
1749938400000,2527.59,2531.74,2516.73,2525.26,1381.43
1749942000000,2525.19,2538.22,2525.02,2529.68,841.03
1749945600000,2529.68,2539.79,2527.53,2536.67,907.6
1749949200000,2536.67,2537.97,2523.92,2527.94,903.68
1749952800000,2528.07,2536.94,2527.14,2528.19,888.4
1749956400000,2528.27,2533.94,2526.81,2529.16,661.77
1749960000000,2529.07,2544.96,2528.61,2542.77,1036.17
1749963600000,2542.54,2551.36,2534.48,2550.66,828.95
1749967200000,2550.43,2551.8,2532.6,2534.5,1147.46
1749970800000,2534.5,2534.91,2521.34,2527.22,899.64
1749974400000,2527.22,2528.61,2517.37,2519.57,798.74
1749978000000,2519.18,2519.18,2507.14,2508.56,917.8
1749981600000,2508.57,2522.1,2508.57,2519.05,845.13
1749985200000,2519.04,2522.09,2510.73,2515.05,1120.89
1749988800000,2515.04,2525.53,2514.68,2524.62,1134.26
1749992400000,2524.38,2544.06,2521.55,2541.91,2175.47
1749996000000,2542.46,2554.44,2535.08,2547.66,2783.88
1749999600000,2548.15,2552.14,2537.7,2540.2,1017.17
1750003200000,2540.41,2554.31,2535.06,2550.48,2783.57
1750006800000,2550.44,2557.58,2543.5,2552.75,1936.03
1750010400000,2552.99,2553.4,2538.58,2547.73,1846.47
1750014000000,2547.65,2552.12,2529.53,2535.88,1403.96
1750017600000,2535.88,2535.93,2490.42,2502.17,3527.05
1750021200000,2502.01,2517.62,2496.25,2516.19,1441.23
1750024800000,2516.17,2548.87,2512.91,2543.62,2094.95
1750028400000,2543.95,2548.53,2538.35,2546.33,1253.41
1750032000000,2546.34,2551.63,2537.34,2543.68,1326.74
1750035600000,2543.44,2560.73,2514.0,2553.41,3899.47
1750039200000,2553.42,2577.58,2553.42,2573.21,4045.21
1750042800000,2573.03,2574.47,2564.4,2567.27,872.6
1750046400000,2567.56,2577.28,2565.79,2574.64,1022.97
1750050000000,2574.3,2619.68,2572.05,2605.89,3783.24
1750053600000,2606.25,2619.2,2601.92,2605.98,1579.29
1750057200000,2606.58,2637.47,2606.39,2627.97,1918.09
1750060800000,2627.87,2630.49,2620.79,2629.28,918.96
1750064400000,2629.76,2629.76,2617.81,2620.6,1085.1
1750068000000,2621.35,2633.08,2609.36,2616.13,1436.86
1750071600000,2615.97,2619.06,2591.43,2615.8,2413.31
1750075200000,2615.7,2617.69,2603.61,2614.08,1179.75
1750078800000,2613.92,2644.0,2607.0,2639.61,3356.16
1750082400000,2638.16,2656.36,2626.55,2637.94,4257.94
1750086000000,2638.53,2646.04,2626.3,2630.87,1792.36
1750089600000,2630.87,2644.53,2626.62,2634.59,2182.73
1750093200000,2634.59,2641.3,2628.41,2632.74,1687.27
1750096800000,2632.74,2657.07,2631.12,2653.34,2192.92
1750100400000,2653.19,2669.94,2643.36,2660.26,3848.63
1750104000000,2659.46,2679.68,2642.85,2668.05,7680.86
1750107600000,2668.05,2670.58,2642.12,2647.97,1992.43
1750111200000,2647.5,2656.81,2541.56,2568.81,7087.46
1750114800000,2567.71,2596.12,2534.0,2544.28,3422.83
1750118400000,2543.1,2588.38,2523.72,2586.24,4187.81
1750122000000,2586.25,2591.24,2571.64,2579.76,983.43
1750125600000,2579.79,2614.64,2557.2,2607.62,1888.43
1750129200000,2607.39,2617.42,2600.22,2606.28,1998.92
1750132800000,2606.37,2609.42,2586.88,2591.4,1650.61
1750136400000,2591.3,2597.21,2575.0,2579.5,1663.84
1750140000000,2578.53,2587.82,2574.41,2581.45,911.79
1750143600000,2581.4,2586.0,2569.24,2581.66,878.02
1750147200000,2581.38,2584.47,2565.43,2570.66,840.83
1750150800000,2570.66,2574.93,2560.43,2565.94,972.14
1750154400000,2565.86,2568.69,2544.4,2555.89,1160.56
1750158000000,2555.83,2555.96,2541.01,2551.52,2258.44
1750161600000,2551.36,2558.64,2544.93,2546.55,1048.62
1750165200000,2546.33,2563.12,2545.06,2552.06,2038.25
1750168800000,2552.09,2567.19,2525.73,2532.14,2423.7
1750172400000,2532.14,2539.32,2480.93,2497.78,7218.45
1750176000000,2497.79,2501.0,2457.01,2461.0,3331.52
1750179600000,2459.99,2486.4,2453.0,2465.83,3022.36
1750183200000,2465.5,2496.58,2463.37,2496.58,1626.83
1750186800000,2497.28,2542.29,2496.2,2526.83,3830.03
1750190400000,2526.72,2532.49,2505.44,2509.81,2334.53
1750194000000,2509.68,2526.0,2501.75,2518.84,1881.47
1750197600000,2518.86,2519.82,2491.05,2493.23,1404.92
