ts,open,high,low,close,volume
1749837600000,13.253,13.272,13.026,13.135,32361.3
1749841200000,13.129,13.203,13.075,13.129,42831.63
1749844800000,13.12,13.264,13.078,13.227,32800.39
1749848400000,13.234,13.293,13.174,13.244,36446.68
1749852000000,13.249,13.367,13.249,13.336,30458.79
1749855600000,13.34,13.446,13.338,13.433,41325.89
1749859200000,13.434,13.449,13.313,13.318,50072.37
1749862800000,13.318,13.357,13.25,13.292,33277.43
1749866400000,13.29,13.336,13.233,13.256,28677.98
1749870000000,13.258,13.326,13.243,13.251,25407.88
1749873600000,13.253,13.322,13.251,13.276,21639.95
1749877200000,13.276,13.297,13.23,13.266,25785.29
1749880800000,13.263,13.28,13.182,13.186,27945.23
1749884400000,13.19,13.227,13.123,13.201,22295.48
1749888000000,13.202,13.208,13.135,13.159,32187.35
1749891600000,13.161,13.166,13.083,13.091,29225.24
1749895200000,13.095,13.183,13.091,13.161,23148.08
1749898800000,13.163,13.197,13.109,13.151,29889.43
1749902400000,13.144,13.161,13.075,13.139,32076.62
1749906000000,13.138,13.188,13.059,13.104,23792.78
1749909600000,13.104,13.147,13.057,13.085,24235.46
1749913200000,13.086,13.113,12.936,12.989,43882.76
1749916800000,12.987,13.026,12.829,12.87,56415.76
1749920400000,12.866,13.008,12.843,12.996,29912.79
1749924000000,12.995,13.076,12.869,12.98,30766.12
1749927600000,12.983,13.063,12.949,12.985,37885.56
1749931200000,12.985,13.056,12.915,13.037,47566.7
1749934800000,13.037,13.181,13.025,13.152,46743.69
1749938400000,13.158,13.198,13.111,13.148,43193.73
1749942000000,13.148,13.174,13.126,13.143,18936.68
1749945600000,13.144,13.232,13.133,13.226,25054.87
1749949200000,13.228,13.239,13.167,13.207,23889.07
1749952800000,13.209,13.264,13.205,13.226,20618.24
1749956400000,13.228,13.255,13.207,13.216,26311.03
1749960000000,13.214,13.291,13.208,13.29,23545.3
1749963600000,13.285,13.305,13.198,13.293,17751.99
1749967200000,13.298,13.318,13.147,13.15,23217.15
1749970800000,13.151,13.158,13.105,13.145,52828.9
1749974400000,13.147,13.155,13.094,13.12,33403.16
1749978000000,13.116,13.117,13.019,13.03,27020.25
1749981600000,13.03,13.124,13.027,13.1,27286.02
1749985200000,13.094,13.121,13.035,13.068,23316.11
1749988800000,13.073,13.146,13.047,13.139,26482.97
1749992400000,13.142,13.216,13.114,13.189,28874.99
1749996000000,13.194,13.295,13.11,13.267,32490.24
1749999600000,13.268,13.297,13.153,13.163,37590.22
1750003200000,13.17,13.224,13.114,13.221,31297.8
1750006800000,13.217,13.231,13.145,13.178,28083.16
1750010400000,13.18,13.184,13.106,13.162,23981.96
1750014000000,13.159,13.21,13.095,13.13,27699.47
1750017600000,13.126,13.14,12.985,13.038,26920.37
1750021200000,13.03,13.139,13.007,13.139,32354.11
1750024800000,13.14,13.305,13.132,13.261,29881.29
1750028400000,13.263,13.303,13.233,13.29,29510.34
1750032000000,13.292,13.337,13.231,13.263,27650.38
1750035600000,13.261,13.429,13.169,13.408,30117.36
1750039200000,13.416,13.478,13.402,13.425,20546.63
1750042800000,13.428,13.435,13.37,13.372,24678.59
1750046400000,13.374,13.474,13.366,13.45,31938.47
1750050000000,13.452,13.625,13.418,13.611,32580.3
1750053600000,13.613,13.696,13.594,13.64,27793.1
1750057200000,13.639,13.729,13.639,13.681,21711.05
1750060800000,13.682,13.696,13.611,13.655,28432.15
1750064400000,13.661,13.69,13.629,13.689,30734.04
1750068000000,13.688,13.743,13.625,13.649,21512.59
1750071600000,13.646,13.686,13.555,13.674,32915.9
1750075200000,13.674,13.709,13.62,13.669,31046.29
1750078800000,13.67,13.79,13.641,13.781,32998.73
1750082400000,13.787,13.885,13.742,13.795,25484.63
1750086000000,13.8,13.862,13.764,13.793,32435.77
1750089600000,13.799,13.89,13.78,13.835,28162.17
1750093200000,13.83,13.921,13.82,13.866,27158.9
1750096800000,13.869,14.005,13.863,14.005,24000.58
