ts,open,high,low,close,volume
1749837600000,84.82,84.97,83.74,84.29,2278.94
1749841200000,84.32,84.83,84.1,84.72,2032.44
1749844800000,84.7,85.71,84.66,85.67,1703.87
1749848400000,85.69,85.74,85.13,85.55,2306.09
1749852000000,85.57,85.91,85.52,85.89,2555.04
1749855600000,85.89,86.62,85.89,86.47,1840.27
1749859200000,86.47,86.47,85.76,85.85,1298.71
1749862800000,85.83,86.0,85.57,85.93,1851.62
1749866400000,85.92,86.21,85.82,85.98,1767.68
1749870000000,85.97,86.41,85.96,86.11,1234.54
1749873600000,86.1,86.42,86.05,86.3,2284.24
1749877200000,86.31,86.42,86.05,86.24,1188.64
1749880800000,86.23,86.32,85.92,85.96,853.59
1749884400000,85.97,86.43,85.76,86.38,1104.73
1749888000000,86.37,86.83,86.18,86.78,1477.74
1749891600000,86.78,86.8,85.98,86.06,1250.46
1749895200000,86.06,86.39,85.87,86.31,1643.88
1749898800000,86.29,86.36,85.9,85.96,1743.14
1749902400000,85.96,86.18,85.74,86.16,1478.31
1749906000000,86.15,86.52,86.11,86.23,1649.29
1749909600000,86.23,86.23,85.69,85.72,1345.74
1749913200000,85.74,85.94,85.03,85.28,1315.93
1749916800000,85.24,85.43,84.18,84.31,2992.84
1749920400000,84.31,85.04,84.22,84.96,2083.58
1749924000000,84.98,85.3,84.19,84.7,1338.27
1749927600000,84.7,85.14,84.56,84.7,1960.47
1749931200000,84.68,84.96,84.2,84.78,1689.82
1749934800000,84.84,85.38,84.7,85.28,2735.65
1749938400000,85.28,85.34,84.92,85.12,2533.85
1749942000000,85.11,85.29,84.99,85.14,1005.29
1749945600000,85.13,85.56,84.98,85.51,1714.13
1749949200000,85.53,85.62,85.17,85.36,1183.24
1749952800000,85.37,85.74,85.36,85.54,1234.76
1749956400000,85.55,85.87,85.5,85.76,1063.19
1749960000000,85.75,86.14,85.72,86.1,1345.72
1749963600000,86.06,86.22,85.8,86.13,1350.45
1749967200000,86.14,86.23,85.61,85.61,1404.59
1749970800000,85.59,85.6,85.31,85.45,1271.19
1749974400000,85.45,85.48,85.12,85.23,761.42
1749978000000,85.21,85.44,84.99,85.02,1125.81
1749981600000,85.02,85.49,85.02,85.38,1171.82
1749985200000,85.37,85.48,85.07,85.28,909.86
1749988800000,85.29,85.86,85.26,85.86,1305.12
1749992400000,85.85,86.39,85.76,86.27,1252.3
1749996000000,86.3,86.53,85.85,86.42,1638.83
1749999600000,86.43,86.43,86.07,86.1,1260.26
1750003200000,86.12,86.27,85.84,86.09,1522.83
1750006800000,86.07,86.17,85.75,86.03,1089.65
1750010400000,86.02,86.05,85.58,85.87,1083.92
1750014000000,85.88,86.3,85.75,86.03,1484.16
1750017600000,86.03,86.08,85.06,85.16,2173.95
1750021200000,85.21,85.44,84.85,85.44,2398.63
1750024800000,85.45,86.2,85.38,86.06,2344.72
1750028400000,86.1,86.32,86.0,86.25,1130.42
1750032000000,86.22,86.44,85.85,86.05,892.12
1750035600000,86.04,86.71,85.33,86.62,1998.58
1750039200000,86.66,86.97,86.44,86.74,1803.75
1750042800000,86.76,86.77,86.38,86.48,1325.39
1750046400000,86.5,87.04,86.49,86.88,1336.96
1750050000000,86.87,87.53,86.62,87.22,2135.25
1750053600000,87.21,87.44,87.09,87.18,1558.3
1750057200000,87.21,87.68,87.21,87.5,1469.76
1750060800000,87.48,87.66,87.26,87.54,1536.64
1750064400000,87.55,87.55,87.05,87.15,1371.13
1750068000000,87.16,87.37,86.81,86.95,837.64
1750071600000,86.95,87.3,86.51,87.07,1457.8
1750075200000,87.04,87.49,86.93,87.27,1289.2
1750078800000,87.29,87.93,87.29,87.92,1872.6
1750082400000,88.01,88.73,87.79,88.3,1466.89
1750086000000,88.32,88.49,87.89,87.93,1715.82
1750089600000,87.94,88.59,87.88,88.09,1739.85
1750093200000,88.1,88.32,87.86,87.99,1450.82
1750096800000,88.02,88.5,87.94,88.49,840.25
1750100400000,88.49,88.83,88.49,88.76,1617.57
1750104000000,88.76,88.85,88.28,88.66,2225.94
1750107600000,88.67,88.75,88.35,88.68,2038.13
1750111200000,88.67,88.88,86.8,87.24,3494.24
1750114800000,87.23,87.94,86.47,86.62,2158.26
1750118400000,86.65,87.64,85.33,87.64,2740.38
1750122000000,87.69,87.74,86.89,86.89,1707.96
1750125600000,86.97,87.27,86.31,87.19,1733.27
1750129200000,87.19,87.31,86.85,87.1,1682.31
1750132800000,87.13,87.13,86.62,86.77,1814.11
1750136400000,86.75,86.78,86.03,86.25,1808.93
1750140000000,86.23,86.64,86.11,86.16,1546.04
1750143600000,86.18,86.44,86.0,86.35,1378.73
1750147200000,86.33,86.41,85.82,85.89,1969.1
1750150800000,85.89,86.19,85.8,85.99,1818.18
1750154400000,85.99,86.0,85.06,85.43,1455.78
