ts,open,high,low,close,volume
1749837600000,2.24,2.242,2.19,2.206,56123.0
1749841200000,2.205,2.209,2.159,2.182,43982.0
1749844800000,2.18,2.215,2.178,2.205,40779.0
1749848400000,2.206,2.218,2.191,2.208,78492.0
1749852000000,2.209,2.231,2.203,2.212,51639.0
1749855600000,2.212,2.238,2.211,2.237,55640.0
1749859200000,2.238,2.241,2.22,2.223,72252.0
1749862800000,2.22,2.229,2.207,2.222,34508.0
1749866400000,2.219,2.229,2.211,2.218,40480.0
1749870000000,2.219,2.234,2.216,2.219,31324.0
1749873600000,2.218,2.229,2.217,2.223,42232.0
1749877200000,2.223,2.243,2.218,2.237,33616.0
1749880800000,2.236,2.238,2.221,2.222,33463.0
1749884400000,2.224,2.229,2.206,2.227,27068.0
1749888000000,2.227,2.229,2.213,2.228,37386.0
1749891600000,2.228,2.23,2.215,2.215,34661.0
1749895200000,2.217,2.228,2.214,2.226,34123.0
1749898800000,2.227,2.242,2.225,2.235,34192.0
1749902400000,2.232,2.237,2.216,2.234,29904.0
1749906000000,2.23,2.246,2.218,2.225,44972.0
1749909600000,2.226,2.229,2.211,2.217,38189.0
1749913200000,2.217,2.223,2.186,2.2,52776.0
1749916800000,2.199,2.209,2.158,2.165,62195.0
1749920400000,2.165,2.199,2.163,2.194,49099.0
1749924000000,2.195,2.21,2.167,2.188,83940.0
1749927600000,2.189,2.202,2.183,2.185,41084.0
1749931200000,2.185,2.191,2.166,2.19,47023.0
1749934800000,2.191,2.222,2.187,2.219,108712.0
1749938400000,2.222,2.232,2.214,2.226,78251.0
1749942000000,2.225,2.242,2.225,2.231,41528.0
1749945600000,2.233,2.239,2.229,2.238,42571.0
1749949200000,2.236,2.238,2.226,2.231,42749.0
1749952800000,2.234,2.246,2.233,2.233,34910.0
1749956400000,2.233,2.245,2.233,2.237,30543.0
1749960000000,2.237,2.258,2.237,2.258,35291.0
1749963600000,2.257,2.269,2.242,2.268,39369.0
1749967200000,2.27,2.27,2.238,2.238,45265.0
1749970800000,2.238,2.239,2.23,2.239,21512.0
1749974400000,2.239,2.239,2.229,2.231,27118.0
1749978000000,2.233,2.233,2.213,2.215,37673.0
1749981600000,2.218,2.234,2.218,2.233,50156.0
1749985200000,2.232,2.235,2.193,2.203,44742.0
1749988800000,2.203,2.217,2.199,2.217,61448.0
1749992400000,2.217,2.228,2.206,2.223,49979.0
1749996000000,2.224,2.243,2.202,2.237,84008.0
1749999600000,2.239,2.239,2.211,2.214,75013.0
1750003200000,2.216,2.226,2.206,2.219,63508.0
1750006800000,2.22,2.22,2.204,2.213,54294.0
