ts,open,high,low,close,volume
1749837600000,146.45,146.65,144.24,145.46,8414.6
1749841200000,145.49,145.9,144.45,145.14,3071.02
1749844800000,145.13,147.65,144.74,147.26,6171.1
1749848400000,147.27,147.63,146.38,147.06,2692.2
1749852000000,147.06,147.98,147.02,147.76,1190.69
1749855600000,147.77,148.86,147.66,148.56,1335.71
1749859200000,148.55,148.65,147.65,147.75,12545.37
1749862800000,147.73,147.77,146.59,146.78,5430.68
1749866400000,146.75,147.26,146.33,146.4,7586.22
1749870000000,146.41,147.2,146.4,146.64,2848.19
1749873600000,146.68,147.09,146.5,146.73,1382.24
1749877200000,146.73,146.94,146.19,146.76,2109.1
1749880800000,146.77,146.96,145.9,146.11,3217.53
1749884400000,146.12,146.35,145.44,146.07,1995.39
1749888000000,146.05,146.11,145.11,145.68,1552.23
1749891600000,145.72,145.84,144.84,145.06,1374.22
1749895200000,145.1,145.79,145.02,145.53,543.98
1749898800000,145.51,145.99,145.38,145.75,744.87
1749902400000,145.73,145.8,144.88,145.41,659.44
1749906000000,145.41,145.9,144.96,145.42,765.58
1749909600000,145.44,145.65,144.94,145.21,576.59
1749913200000,145.24,145.37,143.69,144.42,3124.01
1749916800000,144.41,144.85,142.9,143.36,4257.6
1749920400000,143.35,144.57,143.01,144.39,2993.1
1749924000000,144.35,144.99,143.01,144.01,3695.86
1749927600000,144.06,144.37,143.41,143.45,1553.96
1749931200000,143.45,143.6,141.88,142.88,8423.98
1749934800000,142.88,144.74,142.66,144.5,6966.95
1749938400000,144.53,144.81,143.9,144.2,1690.98
1749942000000,144.27,144.93,144.21,144.57,658.03
1749945600000,144.59,145.71,144.51,145.5,1999.21
1749949200000,145.5,145.58,144.81,144.98,1087.45
1749952800000,145.02,145.96,145.02,145.45,757.55
1749956400000,145.45,145.75,145.41,145.65,214.86
1749960000000,145.58,146.36,145.58,146.16,806.21
1749963600000,146.14,147.3,145.67,147.29,1911.08
1749967200000,147.32,148.0,146.29,146.4,4170.89
1749970800000,146.41,146.44,145.68,145.8,1735.35
1749974400000,145.82,145.98,145.05,145.32,1554.58
1749978000000,145.28,145.3,144.15,144.23,2288.92
1749981600000,144.25,145.82,144.22,145.77,1971.67
1749985200000,145.77,146.58,145.42,146.26,2207.7
1749988800000,146.26,147.77,146.09,147.59,2677.43
1749992400000,147.63,148.25,146.85,148.25,2555.84
1749996000000,148.26,152.32,147.91,151.8,10392.73
1749999600000,151.81,152.84,150.47,150.72,7840.52
1750003200000,150.72,151.9,150.16,151.84,3874.85
1750006800000,151.79,152.6,151.49,152.18,5599.31
1750010400000,152.3,152.72,151.15,152.62,3053.35
1750014000000,152.55,153.42,151.82,152.17,6760.74
1750017600000,152.23,152.25,148.17,148.85,14014.0
1750021200000,148.85,150.75,148.13,150.54,4791.83
1750024800000,150.47,152.65,150.11,151.99,12818.84
1750028400000,152.03,152.95,151.56,152.94,3942.47
1750032000000,152.96,153.42,151.51,151.93,11997.88
1750035600000,151.93,156.93,150.92,156.54,26541.37
1750039200000,156.52,157.51,155.5,155.7,10382.69
1750042800000,155.71,156.21,155.5,155.53,2094.85
1750046400000,155.54,157.19,155.5,156.74,3248.09
1750050000000,156.72,157.89,156.44,156.71,5056.29
1750053600000,156.74,157.07,156.34,156.47,2793.69
1750057200000,156.48,157.54,156.48,157.3,1338.01
1750060800000,157.25,157.4,156.47,156.86,5458.21
1750064400000,156.89,156.89,155.93,156.41,4816.32
1750068000000,156.42,157.08,155.81,156.0,2187.16
1750071600000,156.01,156.79,154.77,156.45,5233.34
1750075200000,156.42,156.71,155.17,155.23,2657.51
1750078800000,155.26,156.71,154.66,156.56,4491.62
1750082400000,156.54,157.72,155.57,156.32,6580.43
1750086000000,156.36,157.37,156.02,156.53,3268.89
1750089600000,156.54,158.16,156.3,157.45,3119.19
1750093200000,157.46,157.99,156.92,157.17,6651.59
1750096800000,157.17,158.14,156.95,158.11,2803.35
1750100400000,158.15,158.7,157.11,157.75,6469.96
1750104000000,157.72,157.78,156.69,157.23,8333.27
1750107600000,157.22,157.49,156.2,156.67,4088.46
1750111200000,156.65,157.15,151.71,152.95,23115.13
1750114800000,152.88,154.06,150.26,150.69,13316.61
1750118400000,150.69,151.93,147.51,151.93,22995.87
1750122000000,151.94,152.22,150.96,151.54,3664.79
1750125600000,151.6,153.27,150.86,153.17,4289.25
1750129200000,153.23,153.94,152.58,153.3,3397.05
1750132800000,153.3,153.59,152.35,153.03,2340.08
1750136400000,152.99,153.84,152.67,153.59,3255.43
1750140000000,153.53,154.27,152.69,153.0,5023.79
1750143600000,152.98,153.31,152.52,152.66,1955.81
1750147200000,152.66,152.82,151.38,151.53,3370.99
1750150800000,151.58,151.92,151.02,151.48,2961.45
1750154400000,151.41,151.46,150.22,151.18,3347.71
1750158000000,151.17,151.17,150.13,150.43,4222.0
1750161600000,150.43,151.36,149.54,149.63,5174.15
1750165200000,149.63,150.5,148.96,149.52,6667.75
1750168800000,149.56,150.73,148.6,148.8,4644.54
1750172400000,148.65,148.96,146.41,147.61,8386.09
1750176000000,147.59,147.91,146.0,146.04,7019.59
1750179600000,146.03,147.34,145.61,146.27,5611.66
1750183200000,146.26,148.12,145.69,148.12,2972.86
1750186800000,148.12,150.34,147.82,148.87,7959.57
1750190400000,148.82,149.15,148.02,148.6,3456.32
1750194000000,148.64,148.94,146.63,147.73,4301.04
1750197600000,147.77,147.85,146.24,146.36,4524.68
1750201200000,146.39,148.34,146.32,147.5,4978.74
1750204800000,147.53,148.2,146.44,148.2,9486.65
1750208400000,148.19,149.05,147.44,147.48,7540.48
1750212000000,147.47,148.14,147.13,147.56,931.13
1750215600000,147.56,148.46,147.37,148.32,430.28
1750219200000,148.3,149.2,148.12,148.75,2207.43
1750222800000,148.76,149.01,148.16,148.16,4342.61
1750226400000,148.2,148.26,146.71,147.18,5743.81
1750230000000,147.1,147.91,147.03,147.88,4149.22
1750233600000,147.91,148.45,147.06,147.61,3152.9
1750237200000,147.62,148.26,147.2,147.33,635.73
1750240800000,147.38,147.4,145.29,145.64,4582.72
1750244400000,145.59,146.69,145.49,146.42,9199.6
1750248000000,146.37,146.53,145.0,145.09,4207.29
1750251600000,145.12,145.41,143.73,145.27,14166.46
1750255200000,145.22,146.69,144.58,145.2,12209.9
1750258800000,145.21,145.96,144.42,145.61,14002.94
1750262400000,145.61,145.63,144.4,144.71,2143.86
1750266000000,144.67,145.82,143.84,145.51,10164.39
1750269600000,145.51,146.39,143.89,143.93,11921.7
1750273200000,143.92,146.02,143.61,144.63,8510.33
1750276800000,144.72,147.82,144.02,147.37,14050.69
1750280400000,147.43,147.81,146.13,147.49,8049.81
1750284000000,147.51,147.83,147.1,147.25,3571.26
1750287600000,147.24,147.67,145.85,146.23,4246.24
1750291200000,146.25,147.81,145.83,146.84,5397.58
1750294800000,146.89,146.89,145.34,145.58,4873.02
1750298400000,145.59,146.05,144.85,145.42,3582.43
1750302000000,145.43,146.62,145.41,146.55,2140.28
1750305600000,146.55,146.6,145.57,146.43,2255.66
