ts,open,high,low,close,volume
1749837600000,0.26995,0.27021,0.2685,0.26918,441683.0
1749841200000,0.26916,0.26948,0.26879,0.26948,170059.0
1749844800000,0.26941,0.27092,0.26937,0.2709,222636.0
1749848400000,0.27105,0.27112,0.2702,0.27052,209550.0
1749852000000,0.27063,0.27091,0.27001,0.27019,261177.0
1749855600000,0.27026,0.27053,0.26946,0.26949,125765.0
1749859200000,0.26969,0.2698,0.26927,0.26931,242655.0
1749862800000,0.26928,0.27098,0.26916,0.27098,172665.0
1749866400000,0.27096,0.27147,0.27072,0.27131,179277.0
1749870000000,0.27129,0.27136,0.27089,0.2712,123815.0
1749873600000,0.27122,0.27137,0.27014,0.27055,216638.0
1749877200000,0.27051,0.27098,0.27026,0.27097,102237.0
1749880800000,0.27101,0.27199,0.27083,0.27148,218043.0
1749884400000,0.27152,0.27168,0.26883,0.26932,248058.0
1749888000000,0.26922,0.26954,0.26867,0.26892,157789.0
1749891600000,0.26883,0.26905,0.26854,0.26855,202624.0
1749895200000,0.2685,0.26956,0.26838,0.2693,337966.0
1749898800000,0.26935,0.27013,0.26923,0.26997,100273.0
1749902400000,0.26988,0.27002,0.26916,0.26967,168632.0
1749906000000,0.26966,0.26966,0.26917,0.26924,135206.0
1749909600000,0.26918,0.26945,0.26918,0.2694,180104.0
1749913200000,0.26945,0.26945,0.26913,0.26922,199462.0
1749916800000,0.26929,0.26932,0.26852,0.2687,296338.0
1749920400000,0.2687,0.26991,0.26837,0.26991,320771.0
1749924000000,0.26994,0.2706,0.26896,0.2698,311146.0
1749927600000,0.26977,0.27133,0.26973,0.27063,382823.0
1749931200000,0.27063,0.27066,0.26981,0.2705,251151.0
1749934800000,0.27054,0.2706,0.26998,0.27045,176676.0
1749938400000,0.27044,0.27119,0.2704,0.27116,188034.0
1749942000000,0.27117,0.27117,0.27077,0.27095,108193.0
1749945600000,0.27081,0.27086,0.27004,0.2705,216540.0
1749949200000,0.2705,0.27168,0.2705,0.27161,280757.0
1749952800000,0.27161,0.27208,0.27101,0.27138,191407.0
1749956400000,0.27138,0.27153,0.27116,0.27124,88474.0
1749960000000,0.27124,0.2716,0.27062,0.27139,217202.0
1749963600000,0.27139,0.27195,0.27078,0.2712,285167.0
1749967200000,0.27122,0.27125,0.27051,0.27102,239517.0
1749970800000,0.27096,0.27112,0.27056,0.27101,97208.0
1749974400000,0.27101,0.27169,0.27101,0.27148,227038.0
1749978000000,0.27148,0.27236,0.27142,0.27218,280079.0
1749981600000,0.27224,0.27245,0.27177,0.27245,243416.0
