ts,open,high,low,close,volume
1749837600000,2.1463,2.1483,2.1164,2.1316,403721.49
1749841200000,2.1315,2.1374,2.1202,2.1213,106700.92
1749844800000,2.1216,2.1466,2.1204,2.1406,221571.15
1749848400000,2.1406,2.1473,2.1318,2.1379,249605.75
1749852000000,2.1379,2.1455,2.1344,2.14,149464.34
1749855600000,2.1401,2.15,2.1393,2.1464,151700.14
1749859200000,2.1465,2.1482,2.1375,2.1389,504330.85
1749862800000,2.1386,2.1395,2.1318,2.1379,239420.7
1749866400000,2.138,2.144,2.1363,2.14,451157.11
1749870000000,2.1404,2.1591,2.1384,2.1579,243180.51
1749873600000,2.1577,2.169,2.1569,2.1626,466168.68
1749877200000,2.1629,2.168,2.154,2.1561,163931.31
1749880800000,2.1565,2.16,2.1496,2.1545,199901.68
1749884400000,2.1545,2.166,2.148,2.1641,141012.13
1749888000000,2.1647,2.1774,2.1574,2.1719,340479.33
1749891600000,2.172,2.1728,2.1616,2.1646,82662.87
1749895200000,2.1646,2.1709,2.1605,2.1688,73483.96
1749898800000,2.1696,2.1768,2.1664,2.1758,108441.95
1749902400000,2.1759,2.1767,2.1637,2.1712,132245.21
1749906000000,2.171,2.1746,2.1592,2.1639,140162.76
1749909600000,2.1639,2.168,2.1604,2.1637,212941.11
1749913200000,2.1637,2.167,2.1444,2.1487,424405.36
1749916800000,2.1487,2.1508,2.1166,2.1234,671332.33
1749920400000,2.1233,2.139,2.1217,2.1293,248400.23
1749924000000,2.13,2.139,2.114,2.1262,332326.26
1749927600000,2.1262,2.1362,2.1219,2.1241,181431.38
1749931200000,2.1239,2.1294,2.1082,2.126,260107.05
1749934800000,2.126,2.1419,2.124,2.1369,495539.34
1749938400000,2.1375,2.1431,2.134,2.1373,433242.53
1749942000000,2.1375,2.1448,2.1368,2.1381,102168.82
1749945600000,2.1382,2.1477,2.1362,2.1464,188926.0
1749949200000,2.1466,2.1477,2.1405,2.1419,120930.25
1749952800000,2.1419,2.1482,2.1419,2.1447,133669.6
1749956400000,2.1451,2.1524,2.1441,2.1519,40279.01
1749960000000,2.1519,2.1602,2.1504,2.158,109422.26
1749963600000,2.1576,2.1603,2.1511,2.1597,97202.98
1749967200000,2.1603,2.1608,2.1497,2.1517,221111.54
