trig_idx,entry_idx,dt,side,bar_dir,atr,range,ratio,gross,net,exit_reason,month,sym
76,77,2025-06-16 22:00:00,1,-1,481.48792868583877,1563.699999999997,3.247641128341309,-0.016232080097585692,-0.017552080097585694,time,2025-06,BTC
157,158,2025-06-20 07:00:00,-1,1,378.9078266555255,1163.5,3.0706676351073807,0.02354459583400314,0.022224595834003137,time,2025-06,BTC
164,165,2025-06-20 14:00:00,1,-1,441.19688310168783,1901.199999999997,4.309187287621443,-0.0040280112368421385,-0.0053480112368421385,time,2025-06,BTC
167,168,2025-06-20 17:00:00,1,-1,565.2137580810524,1415.2999999999884,2.5040084034844607,0.0010537713974674901,-0.00026622860253250986,time,2025-06,BTC
195,196,2025-06-21 21:00:00,1,-1,408.0250951962832,1729.5999999999913,4.238954957336523,0.007417503572650717,0.006097503572650717,time,2025-06,BTC
197,198,2025-06-21 23:00:00,-1,1,506.4502096335295,1407.5,2.779147827816037,-0.006106509756895692,-0.007426509756895692,time,2025-06,BTC
198,199,2025-06-22 00:00:00,-1,1,570.8109089454202,1539.5,2.6970402560179587,0.0010018704824638622,-0.00031812951753613775,time,2025-06,BTC
211,212,2025-06-22 13:00:00,1,-1,530.8024321701561,2505.0,4.719270011176188,0.0019983140774532653,0.0006783140774532653,time,2025-06,BTC
212,213,2025-06-22 14:00:00,1,-1,671.8165441580021,2172.100000000006,3.233174322496526,0.0166338936547566,0.0153138936547566,time,2025-06,BTC
235,236,2025-06-23 13:00:00,-1,1,621.1574443945028,1650.5,2.6571363104387946,-0.03034578097930876,-0.03166578097930876,time,2025-06,BTC
238,239,2025-06-23 16:00:00,1,-1,721.7782818275228,1806.5999999999913,2.5029847052556495,0.04119964068809816,0.039879640688098156,time,2025-06,BTC
239,240,2025-06-23 17:00:00,-1,1,799.2655474112706,2196.5,2.74814798049811,-0.028463383373729514,-0.029783383373729516,time,2025-06,BTC
244,245,2025-06-23 22:00:00,-1,1,861.0765458495222,2376.800000000003,2.76026563661085,0.0025288380425201457,0.0012088380425201457,time,2025-06,BTC
388,389,2025-06-29 22:00:00,-1,1,283.96641784922826,734.3000000000029,2.585869151576504,0.003983289254561185,0.0026632892545611847,time,2025-06,BTC
396,397,2025-06-30 06:00:00,1,-1,304.176873936473,773.3999999999942,2.5425996065746865,-0.00300493847827912,-0.00432493847827912,time,2025-06,BTC
404,405,2025-06-30 14:00:00,1,-1,321.8979804064384,920.0,2.858048375570357,0.002912248491887989,0.0015922484918879892,time,2025-06,BTC
405,406,2025-06-30 15:00:00,-1,1,364.61955323455,1033.3999999999942,2.8341870062443846,0.0035413208345539443,0.0022213208345539443,time,2025-06,BTC
428,429,2025-07-01 14:00:00,1,-1,378.0840357705443,1494.6000000000058,3.953089415568619,0.00038079183914888163,-0.0009392081608511184,time,2025-07,BTC
474,475,2025-07-03 12:00:00,1,-1,437.7949579352931,1221.199999999997,2.7894336786320246,0.002864076869073652,0.0015440768690736521,time,2025-07,BTC
475,476,2025-07-03 13:00:00,-1,1,493.7524609399148,1397.9000000000087,2.831175762322166,0.006731330268028204,0.005411330268028204,time,2025-07,BTC
547,548,2025-07-06 13:00:00,-1,1,183.00897014711535,923.3000000000029,5.045107894207536,-0.0024653199396548553,-0.0037853199396548553,time,2025-07,BTC
555,556,2025-07-06 21:00:00,-1,1,280.6922872796232,1048.8999999999942,3.7368322805217984,0.00318090285603297,0.00186090285603297,time,2025-07,BTC
620,621,2025-07-09 14:00:00,1,-1,332.67698486694644,983.6000000000058,2.956621722399567,0.021210865768932923,0.019890865768932925,time,2025-07,BTC
625,626,2025-07-09 19:00:00,-1,1,393.7476679028883,2534.600000000006,6.437117490750765,0.00479576590359944,0.0034757659035994396,time,2025-07,BTC
646,647,2025-07-10 16:00:00,-1,1,417.56515351134976,1379.6000000000058,3.3039155408414778,-0.03780645963615696,-0.03912645963615696,time,2025-07,BTC
647,648,2025-07-10 17:00:00,-1,1,486.28192826053953,1226.5,2.522199425315405,-0.03617561514464716,-0.03749561514464716,time,2025-07,BTC
651,652,2025-07-10 21:00:00,-1,1,539.2214872201508,4277.699999999997,7.933103745647877,-0.017211678832116814,-0.018531678832116816,time,2025-07,BTC
716,717,2025-07-13 14:00:00,-1,1,359.33625633827853,1051.800000000003,2.9270633882539263,-0.007616507459392296,-0.008936507459392295,time,2025-07,BTC
729,730,2025-07-14 03:00:00,-1,1,537.2845211409342,2198.199999999997,4.091314589394975,0.007136319776037552,0.005816319776037552,time,2025-07,BTC
764,765,2025-07-15 14:00:00,1,-1,821.6410496192536,2745.5,3.341483487554885,0.0115940729526521,0.0102740729526521,time,2025-07,BTC
836,837,2025-07-18 14:00:00,1,-1,753.5602554236094,2008.300000000003,2.6650821690045863,0.000466459765093836,-0.000853540234906164,time,2025-07,BTC
892,893,2025-07-20 22:00:00,1,-1,364.3526626404592,1595.699999999997,4.3795480687199575,0.009546598316508401,0.008226598316508401,time,2025-07,BTC
919,920,2025-07-22 01:00:00,-1,1,639.273934075058,1839.0,2.8767010540806446,-0.0034482758620689655,-0.0047682758620689655,time,2025-07,BTC
1054,1055,2025-07-27 16:00:00,-1,1,256.64924310043585,989.6999999999971,3.856235802778864,-0.0011810163796724554,-0.0025010163796724554,time,2025-07,BTC
1128,1129,2025-07-30 18:00:00,1,-1,529.3411744081387,1583.199999999997,2.9908876855653403,0.019070766059773325,0.017750766059773326,time,2025-07,BTC
1158,1159,2025-08-01 00:00:00,1,-1,583.0448717571123,1618.5,2.7759441483849336,0.0026729833666590285,0.0013529833666590285,time,2025-08,BTC
1171,1172,2025-08-01 13:00:00,1,-1,674.8752646395732,1829.0,2.7101304431075923,-0.0060971128608923375,-0.0074171128608923375,time,2025-08,BTC
1266,1267,2025-08-05 12:00:00,1,-1,404.1159895040837,1410.3999999999942,3.4900870953678056,-0.0005865777316476105,-0.0019065777316476106,time,2025-08,BTC
1268,1269,2025-08-05 14:00:00,1,-1,492.70817462341876,1737.3999999999942,3.526225237338318,0.005342254792629226,0.004022254792629226,time,2025-08,BTC
1292,1293,2025-08-06 14:00:00,-1,1,480.6696594736908,1328.5999999999913,2.764060459848333,0.005403100290435147,0.004083100290435147,time,2025-08,BTC
1312,1313,2025-08-07 10:00:00,-1,1,368.75617087474484,1327.699999999997,3.6004821203411836,-0.010643814916649463,-0.011963814916649463,time,2025-08,BTC
1377,1378,2025-08-10 03:00:00,-1,1,330.20078288669316,1274.800000000003,3.860681337140998,-0.002625469587607108,-0.003945469587607108,time,2025-08,BTC
1400,1401,2025-08-11 02:00:00,-1,1,474.57603105055927,1963.0,4.136323521553642,0.01338012794100988,0.01206012794100988,time,2025-08,BTC
1459,1460,2025-08-13 13:00:00,-1,1,518.1464394390225,1946.1000000000058,3.755888011325475,-0.01319143099099188,-0.01451143099099188,time,2025-08,BTC
1482,1483,2025-08-14 12:00:00,1,-1,691.6963302220129,3641.300000000003,5.264304349903461,-0.00608458507269784,-0.00740458507269784,time,2025-08,BTC
1567,1568,2025-08-18 01:00:00,1,-1,345.1405711169446,1200.1000000000058,3.477133957669015,-0.012242643357834631,-0.013562643357834631,time,2025-08,BTC
1604,1605,2025-08-19 14:00:00,1,-1,541.5605236071814,1614.699999999997,2.9815688729395142,-0.003785150334330134,-0.005105150334330134,time,2025-08,BTC
1628,1629,2025-08-20 14:00:00,-1,1,536.474715636772,1493.6000000000058,2.7841013871961664,-0.005410125242547135,-0.006730125242547135,time,2025-08,BTC
1676,1677,2025-08-22 14:00:00,-1,1,555.8634025424457,3677.899999999994,6.616553605036357,-0.0012386906849424686,-0.002558690684942469,time,2025-08,BTC
1729,1730,2025-08-24 19:00:00,1,-1,343.00757919878987,4210.5,12.275238960710565,-0.009763468407526793,-0.011083468407526793,time,2025-08,BTC
1796,1797,2025-08-27 14:00:00,-1,1,548.1997419831407,1379.0,2.5155064739932143,0.0027756278045964924,0.0014556278045964924,time,2025-08,BTC
1802,1803,2025-08-27 20:00:00,-1,1,614.0174637058515,1668.199999999997,2.7168608363868256,-0.006401532380164836,-0.007721532380164836,time,2025-08,BTC
1837,1838,2025-08-29 07:00:00,1,-1,506.5694158545556,1366.800000000003,2.6981494682111515,-0.01648672905150619,-0.01780672905150619,time,2025-08,BTC
1842,1843,2025-08-29 12:00:00,-1,1,534.9124303134206,1538.5999999999913,2.8763586576189324,0.02175280200378066,0.020432802003780663,time,2025-08,BTC
1843,1844,2025-08-29 13:00:00,1,-1,606.604399576747,1844.300000000003,3.0403670024267004,-0.015354781923038106,-0.016674781923038104,time,2025-08,BTC
1901,1902,2025-08-31 23:00:00,1,-1,305.93260293313,824.4000000000087,2.6947111621843196,0.005085095152566775,0.0037650951525667747,time,2025-08,BTC
1909,1910,2025-09-01 07:00:00,-1,1,440.56480797202033,1392.0,3.1595805538975417,0.0015116515135719685,0.00019165151357196852,time,2025-09,BTC
